GEO_ID,NAME,median_household_income,mean_household_income,mean_travel_time_to_work_mins,unemployment_rate_percent,poverty_rate_percent
Geography,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars),Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage,Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!With Food Stamp/SNAP benefits in the past 12 months,Percent!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All families
0500000US01001,"Autauga County, Alabama",69841,93367,53685,8.8,8.1
0500000US01003,"Baldwin County, Alabama",75019,100105,217366,6.8,7.3
0500000US01005,"Barbour County, Alabama",44290,64745,19335,22.2,17.7
0500000US01007,"Bibb County, Alabama",51215,67735,19051,20.3,16.0
0500000US01009,"Blount County, Alabama",61096,79203,52832,12.3,10.3
0500000US01011,"Bullock County, Alabama",36723,51121,7971,32.9,19.5
0500000US01013,"Butler County, Alabama",44881,69162,16254,16.4,18.5
0500000US01015,"Calhoun County, Alabama",55826,71879,101629,17.2,12.5
0500000US01017,"Chambers County, Alabama",49295,65673,29803,17.1,12.3
0500000US01019,"Cherokee County, Alabama",50769,71062,22698,11.5,12.6
0500000US01021,"Chilton County, Alabama",61873,75680,40619,13.9,10.2
0500000US01023,"Choctaw County, Alabama",44483,63315,11392,16.6,16.5
0500000US01025,"Clarke County, Alabama",49167,73965,20657,22.5,13.1
0500000US01027,"Clay County, Alabama",51852,71247,12738,14.2,13.4
0500000US01029,"Cleburne County, Alabama",53319,73100,13634,15.2,6.8
0500000US01031,"Coffee County, Alabama",64672,81266,46669,12.3,13.9
0500000US01033,"Colbert County, Alabama",56736,74264,53006,15.9,13.2
0500000US01035,"Conecuh County, Alabama",42266,61553,10407,17.0,17.3
0500000US01037,"Coosa County, Alabama",57063,69698,9231,13.6,8.0
0500000US01039,"Covington County, Alabama",50886,73109,33326,13.8,14.7
0500000US01041,"Crenshaw County, Alabama",49040,70635,11706,18.4,9.1
0500000US01043,"Cullman County, Alabama",60916,78002,79165,10.3,9.9
0500000US01045,"Dale County, Alabama",53955,69759,41709,17.5,14.9
0500000US01047,"Dallas County, Alabama",36810,55600,33795,32.5,24.0
0500000US01049,"DeKalb County, Alabama",51149,65789,60411,16.2,14.6
0500000US01051,"Elmore County, Alabama",75553,96359,77275,10.8,9.0
0500000US01053,"Escambia County, Alabama",44447,60177,30362,15.6,17.1
0500000US01055,"Etowah County, Alabama",53070,73124,89626,15.6,12.0
0500000US01057,"Fayette County, Alabama",50733,69566,14714,17.7,13.1
0500000US01059,"Franklin County, Alabama",51493,67215,27961,19.1,13.6
0500000US01061,"Geneva County, Alabama",50951,66098,23008,17.0,14.1
0500000US01063,"Greene County, Alabama",31495,48047,6470,30.2,28.4
0500000US01065,"Hale County, Alabama",41325,61740,13614,26.4,16.0
0500000US01067,"Henry County, Alabama",60135,78795,15822,14.0,11.3
0500000US01069,"Houston County, Alabama",57531,80048,94073,16.0,13.8
0500000US01071,"Jackson County, Alabama",49454,67768,46828,13.6,12.5
0500000US01073,"Jefferson County, Alabama",64589,97165,601632,13.9,11.6
0500000US01075,"Lamar County, Alabama",47447,60489,12441,18.6,10.4
0500000US01077,"Lauderdale County, Alabama",59082,78675,84810,10.8,9.6
0500000US01079,"Lawrence County, Alabama",60040,76640,29908,15.7,9.6
0500000US01081,"Lee County, Alabama",61123,86713,161070,10.5,9.6
0500000US01083,"Limestone County, Alabama",83534,105108,95988,8.1,6.5
0500000US01085,"Lowndes County, Alabama",35160,58417,9000,27.0,22.3
0500000US01087,"Macon County, Alabama",45951,61698,17025,22.1,17.3
0500000US01089,"Madison County, Alabama",83528,111962,362048,8.0,7.4
0500000US01091,"Marengo County, Alabama",44205,67077,17182,23.4,14.1
0500000US01093,"Marion County, Alabama",50714,66253,25653,17.8,11.7
0500000US01095,"Marshall County, Alabama",60946,82099,86348,11.2,12.4
0500000US01097,"Mobile County, Alabama",58119,79051,364089,16.9,11.9
0500000US01099,"Monroe County, Alabama",40225,57308,17136,14.6,17.1
0500000US01101,"Montgomery County, Alabama",58153,80704,197351,20.1,16.0
0500000US01103,"Morgan County, Alabama",64858,86044,108014,12.6,10.1
0500000US01105,"Perry County, Alabama",34368,42730,7445,32.2,24.2
0500000US01107,"Pickens County, Alabama",47014,66646,15666,17.9,15.8
0500000US01109,"Pike County, Alabama",47961,69002,30007,14.8,11.8
0500000US01111,"Randolph County, Alabama",51551,70749,20072,17.6,14.9
0500000US01113,"Russell County, Alabama",50046,65547,50273,18.8,18.0
0500000US01115,"St. Clair County, Alabama",78993,92258,84115,10.4,7.6
0500000US01117,"Shelby County, Alabama",93543,123911,209792,4.9,4.5
0500000US01119,"Sumter County, Alabama",37981,50405,10784,26.7,19.7
0500000US01121,"Talladega County, Alabama",56249,72746,71631,16.3,16.1
0500000US01123,"Tallapoosa County, Alabama",57185,75764,36765,16.4,12.9
0500000US01125,"Tuscaloosa County, Alabama",63947,85068,216463,11.4,11.5
0500000US01127,"Walker County, Alabama",54509,69909,56605,14.2,13.2
0500000US01129,"Washington County, Alabama",60503,80526,13956,12.3,16.0
0500000US01131,"Wilcox County, Alabama",42236,56527,9233,36.3,22.3
0500000US01133,"Winston County, Alabama",48032,66939,21100,15.3,13.7
0500000US02013,"Aleutians East Borough, Alaska",72692,86888,2214,12.9,14.8
0500000US02016,"Aleutians West Census Area, Alaska",107344,122928,4092,5.0,3.5
0500000US02020,"Anchorage Municipality, Alaska",98152,127598,248756,8.8,5.8
0500000US02050,"Bethel Census Area, Alaska",70616,90872,15855,42.4,21.3
0500000US02060,"Bristol Bay Borough, Alaska",100625,126030,691,5.3,1.7
0500000US02063,"Chugach Census Area, Alaska",88565,109799,5768,8.0,3.5
0500000US02066,"Copper River Census Area, Alaska",75053,90710,2174,13.6,5.7
0500000US02068,"Denali Borough, Alaska",88935,103321,1887,2.8,3.9
0500000US02070,"Dillingham Census Area, Alaska",74250,91943,3961,30.0,16.6
0500000US02090,"Fairbanks North Star Borough, Alaska",84722,110923,78846,6.5,2.8
0500000US02100,"Haines Borough, Alaska",72607,83299,1891,2.7,1.8
0500000US02105,"Hoonah-Angoon Census Area, Alaska",62500,83266,1833,14.6,6.6
0500000US02110,"Juneau City and Borough, Alaska",100513,122575,28743,7.0,4.9
0500000US02122,"Kenai Peninsula Borough, Alaska",77722,102341,51777,8.6,7.0
0500000US02130,"Ketchikan Gateway Borough, Alaska",89155,112238,12263,9.1,5.9
0500000US02150,"Kodiak Island Borough, Alaska",83716,102245,10719,8.5,6.5
0500000US02158,"Kusilvak Census Area, Alaska",48233,63070,7334,50.9,30.5
0500000US02164,"Lake and Peninsula Borough, Alaska",64000,74678,688,28.6,14.6
0500000US02170,"Matanuska-Susitna Borough, Alaska",90625,111363,94326,10.1,7.4
0500000US02180,"Nome Census Area, Alaska",76643,98246,8278,30.4,18.6
0500000US02185,"North Slope Borough, Alaska",86313,110508,9288,11.9,11.4
0500000US02188,"Northwest Arctic Borough, Alaska",81298,100502,6141,34.8,16.0
0500000US02195,"Petersburg Borough, Alaska",77026,98129,2940,8.8,4.3
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",59079,80149,4677,16.8,12.1
0500000US02220,"Sitka City and Borough, Alaska",101207,107564,7011,6.6,7.0
0500000US02230,"Skagway Municipality, Alaska",78594,98060,1192,2.4,4.6
