"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0500000US01001","Autauga County, Alabama","59285","*****",
"0500000US01003","Baldwin County, Alabama","239945","*****",
"0500000US01005","Barbour County, Alabama","24757","*****",
"0500000US01007","Bibb County, Alabama","22152","*****",
"0500000US01009","Blount County, Alabama","59292","*****",
"0500000US01011","Bullock County, Alabama","10157","*****",
"0500000US01013","Butler County, Alabama","18807","*****",
"0500000US01015","Calhoun County, Alabama","116141","*****",
"0500000US01017","Chambers County, Alabama","34450","*****",
"0500000US01019","Cherokee County, Alabama","25224","*****",
"0500000US01021","Chilton County, Alabama","45500","*****",
"0500000US01023","Choctaw County, Alabama","12525","*****",
"0500000US01025","Clarke County, Alabama","22802","*****",
"0500000US01027","Clay County, Alabama","14188","*****",
"0500000US01029","Cleburne County, Alabama","15254","*****",
"0500000US01031","Coffee County, Alabama","54231","*****",
"0500000US01033","Colbert County, Alabama","57648","*****",
"0500000US01035","Conecuh County, Alabama","11411","*****",
"0500000US01037","Coosa County, Alabama","10323","*****",
"0500000US01039","Covington County, Alabama","37647","*****",
"0500000US01041","Crenshaw County, Alabama","13144","*****",
"0500000US01043","Cullman County, Alabama","89463","*****",
"0500000US01045","Dale County, Alabama","49516","*****",
"0500000US01047","Dallas County, Alabama","37536","*****",
"0500000US01049","DeKalb County, Alabama","71946","*****",
"0500000US01051","Elmore County, Alabama","88669","*****",
"0500000US01053","Escambia County, Alabama","36695","*****",
"0500000US01055","Etowah County, Alabama","103208","*****",
"0500000US01057","Fayette County, Alabama","16173","*****",
"0500000US01059","Franklin County, Alabama","31978","*****",
"0500000US01061","Geneva County, Alabama","26726","*****",
"0500000US01063","Greene County, Alabama","7589","*****",
"0500000US01065","Hale County, Alabama","14749","*****",
"0500000US01067","Henry County, Alabama","17450","*****",
"0500000US01069","Houston County, Alabama","107628","*****",
"0500000US01071","Jackson County, Alabama","52839","*****",
"0500000US01073","Jefferson County, Alabama","669744","*****",
"0500000US01075","Lamar County, Alabama","13809","*****",
"0500000US01077","Lauderdale County, Alabama","95037","*****",
"0500000US01079","Lawrence County, Alabama","33182","*****",
"0500000US01081","Lee County, Alabama","177663","*****",
"0500000US01083","Limestone County, Alabama","107577","*****",
"0500000US01085","Lowndes County, Alabama","10008","*****",
"0500000US01087","Macon County, Alabama","18951","*****",
"0500000US01089","Madison County, Alabama","397135","*****",
"0500000US01091","Marengo County, Alabama","19027","*****",
"0500000US01093","Marion County, Alabama","29190","*****",
"0500000US01095","Marshall County, Alabama","98712","*****",
"0500000US01097","Mobile County, Alabama","413162","*****",
"0500000US01099","Monroe County, Alabama","19580","*****",
"0500000US01101","Montgomery County, Alabama","227197","*****",
"0500000US01103","Morgan County, Alabama","123742","*****",
"0500000US01105","Perry County, Alabama","8231","*****",
"0500000US01107","Pickens County, Alabama","18843","*****",
"0500000US01109","Pike County, Alabama","32953","*****",
"0500000US01111","Randolph County, Alabama","22310","*****",
"0500000US01113","Russell County, Alabama","58858","*****",
"0500000US01115","St. Clair County, Alabama","92903","*****",
"0500000US01117","Shelby County, Alabama","226955","*****",
"0500000US01119","Sumter County, Alabama","12020","*****",
"0500000US01121","Talladega County, Alabama","81170","*****",
"0500000US01123","Tallapoosa County, Alabama","41070","*****",
"0500000US01125","Tuscaloosa County, Alabama","234036","*****",
"0500000US01127","Walker County, Alabama","64886","*****",
"0500000US01129","Washington County, Alabama","15270","*****",
"0500000US01131","Wilcox County, Alabama","10347","*****",
"0500000US01133","Winston County, Alabama","23637","*****",
"0500000US02013","Aleutians East Borough, Alaska","3423","*****",
"0500000US02016","Aleutians West Census Area, Alaska","5178","*****",
"0500000US02020","Anchorage Municipality, Alaska","289069","*****",
"0500000US02050","Bethel Census Area, Alaska","18487","*****",
"0500000US02060","Bristol Bay Borough, Alaska","878","76",
"0500000US02063","Chugach Census Area, Alaska","6964","*****",
"0500000US02066","Copper River Census Area, Alaska","2626","*****",
"0500000US02068","Denali Borough, Alaska","2029","99",
"0500000US02070","Dillingham Census Area, Alaska","4780","*****",
"0500000US02090","Fairbanks North Star Borough, Alaska","95555","*****",
"0500000US02100","Haines Borough, Alaska","2077","*****",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","2313","*****",
"0500000US02110","Juneau City and Borough, Alaska","31969","*****",
"0500000US02122","Kenai Peninsula Borough, Alaska","59843","*****",
"0500000US02130","Ketchikan Gateway Borough, Alaska","13870","*****",
"0500000US02150","Kodiak Island Borough, Alaska","12878","*****",
"0500000US02158","Kusilvak Census Area, Alaska","8277","*****",
"0500000US02164","Lake and Peninsula Borough, Alaska","1007","99",
"0500000US02170","Matanuska-Susitna Borough, Alaska","110677","*****",
"0500000US02180","Nome Census Area, Alaska","9925","*****",
"0500000US02185","North Slope Borough, Alaska","10891","*****",
"0500000US02188","Northwest Arctic Borough, Alaska","7611","*****",
"0500000US02195","Petersburg Borough, Alaska","3394","*****",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","5730","*****",
"0500000US02220","Sitka City and Borough, Alaska","8393","*****",
"0500000US02230","Skagway Municipality, Alaska","1308","76",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","6936","*****",
"0500000US02275","Wrangell City and Borough, Alaska","2106","*****",
"0500000US02282","Yakutat City and Borough, Alaska","506","66",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","5271","*****",
"0500000US04001","Apache County, Arizona","65680","*****",
"0500000US04003","Cochise County, Arizona","125458","*****",
"0500000US04005","Coconino County, Arizona","144643","*****",
"0500000US04007","Gila County, Arizona","53610","*****",
"0500000US04009","Graham County, Arizona","38860","*****",
"0500000US04011","Greenlee County, Arizona","9452","*****",
"0500000US04012","La Paz County, Arizona","16605","*****",
"0500000US04013","Maricopa County, Arizona","4491987","*****",
"0500000US04015","Mohave County, Arizona","217420","*****",
"0500000US04017","Navajo County, Arizona","107744","*****",
