stusps,state,hud_area_code,countyname,hud_area_name,fips,pop2023,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
AL,01,METRO33860M33860,Autauga County,"Montgomery, AL MSA",0100199999,58761,860,870,1016,1304,1537
AL,01,METRO19300M19300,Baldwin County,"Daphne-Fairhope-Foley, AL MSA",0100399999,233420,1094,1200,1345,1692,2171
AL,01,NCNTY01005N01005,Barbour County,"Barbour County, AL",0100599999,24877,576,693,776,1017,1068
AL,01,METRO13820M13820,Bibb County,"Birmingham-Hoover, AL HUD Metro FMR Area",0100799999,22251,1024,1155,1266,1583,1801
AL,01,METRO13820M13820,Blount County,"Birmingham-Hoover, AL HUD Metro FMR Area",0100999999,59077,1024,1155,1266,1583,1801
AL,01,NCNTY01011N01011,Bullock County,"Bullock County, AL",0101199999,10328,576,708,776,930,1302
AL,01,NCNTY01013N01013,Butler County,"Butler County, AL",0101399999,18981,622,638,837,1004,1139
AL,01,METRO11500M11500,Calhoun County,"Anniston-Oxford, AL MSA",0101599999,116162,753,757,962,1300,1361
AL,01,NCNTY01017N01017,Chambers County,"Chambers County, AL",0101799999,34612,691,770,1002,1265,1327
AL,01,NCNTY01019N01019,Cherokee County,"Cherokee County, AL",0101999999,25069,627,682,844,1012,1259
AL,01,METRO13820N01021,Chilton County,"Chilton County, AL HUD Metro FMR Area",0102199999,45140,734,739,970,1274,1448
AL,01,NCNTY01023N01023,Choctaw County,"Choctaw County, AL",0102399999,12669,578,616,778,1024,1179
AL,01,NCNTY01025N01025,Clarke County,"Clarke County, AL",0102599999,23058,588,603,791,1034,1261
AL,01,NCNTY01027N01027,Clay County,"Clay County, AL",0102799999,14209,576,591,776,1024,1027
AL,01,NCNTY01029N01029,Cleburne County,"Cleburne County, AL",0102999999,15144,644,687,867,1082,1148
AL,01,NCNTY01031N01031,Coffee County,"Coffee County, AL",0103199999,53559,693,711,933,1298,1383
AL,01,METRO22520M22520,Colbert County,"Florence-Muscle Shoals, AL MSA",0103399999,57270,698,775,1000,1242,1409
AL,01,NCNTY01035N01035,Conecuh County,"Conecuh County, AL",0103599999,11576,576,615,776,1079,1157
AL,01,NCNTY01037N01037,Coosa County,"Coosa County, AL",0103799999,10329,576,615,776,1079,1157
AL,01,NCNTY01039N01039,Covington County,"Covington County, AL",0103999999,37542,576,591,776,999,1302
AL,01,NCNTY01041N01041,Crenshaw County,"Crenshaw County, AL",0104199999,13205,588,591,776,930,1027
AL,01,NCNTY01043N01043,Cullman County,"Cullman County, AL",0104399999,88284,666,670,879,1137,1381
AL,01,NCNTY01045N01045,Dale County,"Dale County, AL",0104599999,49455,603,690,776,1079,1302
AL,01,NCNTY01047N01047,Dallas County,"Dallas County, AL",0104799999,38326,620,637,836,1103,1107
AL,01,NCNTY01049N01049,DeKalb County,"DeKalb County, AL",0104999999,71680,576,591,776,992,1302
AL,01,METRO33860M33860,Elmore County,"Montgomery, AL MSA",0105199999,87694,860,870,1016,1304,1537
