RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,01-31-25,02-28-25,03-31-25,04-30-25,05-31-25,06-30-25
91982,1,77494,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,514442.7079,514112.5743,513183.4338,511347.8736,509101.3537,506443.2097
61148,2,8701,zip,NJ,NJ,Lakewood,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,561549.1001,563567.9758,565975.368,569431.7688,572395.7996,575095.3184
91940,3,77449,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Harris County,285313.8987,284676.4585,283826.2814,282846.7208,282025.0999,281003.3936
62080,4,11368,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,538958.8328,538825.764,538475.9075,538361.3863,538759.1619,540856.6547
91733,5,77084,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,279894.7621,279482.6244,278603.3253,277538.3437,276623.4173,275597.573
93144,6,79936,zip,TX,TX,El Paso,"El Paso, TX",El Paso County,217590.1925,217872.9205,217988.3247,218262.6554,218508.752,218670.5763
62093,7,11385,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,857062.3238,856861.6845,855941.9512,858427.8238,861541.0605,865214.4429
92593,8,78660,zip,TX,TX,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,409817.9547,407197.1039,404249.769,401158.8173,397933.198,394652.2019
62019,9,11208,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,726261.7217,725482.8134,724791.8273,727056.3517,729502.6381,732636.714
95992,10,90011,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,646328.0842,641554.4148,632135.8358,624586.5596,618154.0624,614638.6276
91926,11,77433,zip,TX,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,443817.4928,443453.9168,442763.8234,441739.1831,440482.3715,438866.1918
84630,12,60629,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,258779.0281,259729.2727,260744.6257,262343.7113,264025.8297,264999.4088
96193,13,90650,zip,CA,CA,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,785208.8134,781889.9773,775296.3572,770125.196,765422.2328,762324.4161
96361,14,91331,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,776499.8695,773308.1627,765994.2315,761180.3937,757194.4179,754930.9828
74101,15,37013,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,374901.8261,374451.8105,373643.1416,372609.4266,371678.8842,370371.0004
62046,16,11236,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,669852.0831,670638.4452,671570.3331,673902.9727,676841.803,679803.1453
61807,17,10467,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,428706.972,426224.4919,425659.1802,425560.0947,427136.7475,430957.5481
62085,18,11373,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,501097.78,501822.4426,501015.4278,500989.8476,503239.6931,507316.5979
62037,19,11226,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,802797.4899,805277.1404,806427.9625,809309.4441,811208.5385,812252.3108
62018,20,11207,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,633730.6452,632520.4092,631532.1053,632967.041,634521.0117,636064.6036
70829,21,30044,zip,GA,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,380897.9268,379680.3525,377656.9627,375475.872,373062.7606,370939.3923
96025,22,90044,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,690494.9858,686145.7891,678382.2527,671276.8448,664983.7124,660839.6841
96817,23,92336,zip,CA,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,724614.7613,723726.2175,721256.0867,718599.3998,714898.0931,711021.0246
97771,24,94565,zip,CA,CA,Pittsburg,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,601484.6856,599490.5476,595395.969,590550.389,585023.7261,579987.6744
92036,25,77573,zip,TX,TX,League City,"Houston-The Woodlands-Sugar Land, TX",Galveston County,391925.5527,391858.2987,391183.8802,390284.9921,389294.3867,388402.8963
96816,26,92335,zip,CA,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,580841.9155,578690.3539,574708.0113,572096.2008,569574.6744,567146.2263
96083,27,90201,zip,CA,CA,Bell,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,711063.8221,707169.1113,700414.7657,695373.2981,691275.0664,688823.3516
96107,28,90250,zip,CA,CA,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,929832.2198,924208.307,914176.494,905483.8319,896773.8484,889528.9015
61639,29,10025,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,1108425.842,1119665.783,1124611.066,1120735.107,1113284.683,1104072.557
90654,30,75052,zip,TX,TX,Grand Prairie,"Dallas-Fort Worth-Arlington, TX",Dallas County,340416.2709,339178.1685,337453.9512,335369.6243,333433.7843,331870.9201
96239,31,90805,zip,CA,CA,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,742015.3884,737487.8879,729542.3813,721560.6778,714745.8652,710261.0204
62025,32,11214,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,737439.5193,741170.0988,745961.9377,750162.0739,752987.8002,754616.1617
84620,33,60618,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,535774.4584,538238.93,540860.5241,541609.6949,540688.9372,539286.0066
97223,34,93307,zip,CA,CA,Bakersfield,"Bakersfield, CA",Kern County,320194.9105,320679.5247,320177.4295,319396.9917,318868.7724,318477.4091
96125,35,90280,zip,CA,CA,South Gate,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,723909.8705,719962.2069,713232.9391,707646.5523,702829.8198,700384.6171
62044,36,11234,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,755487.0033,753771.3466,753145.7925,756666.8526,761893.5416,767025.1701
96368,37,91342,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,844246.5644,839321.7598,831014.1293,825203.6806,820249.1268,816463.9453
96990,38,92683,zip,CA,CA,Westminster,"Los Angeles-Long Beach-Anaheim, CA",Orange County,1082747.609,1085482.418,1084777.166,1082171.824,1077625.809,1072854.114
61790,39,10314,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Richmond County,679672.2381,680585.0444,682106.219,685925.7211,689685.5707,693147.1641
62031,40,11220,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,926253.2768,928818.4386,930167.6957,934573.6504,939030.9122,944273.7743
84639,41,60639,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,320233.4971,321122.1539,321381.131,322050.192,322253.9293,322421.3619
92341,42,78245,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,270767.3311,269819.3847,268318.6119,266719.4755,265233.1893,264178.0542
62030,43,11219,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1126380.464,1131449.437,1137955.444,1145483.438,1155014.61,1164554.258
96882,44,92503,zip,CA,CA,Riverside,"Riverside-San Bernardino-Ontario, CA",Riverside County,658113.2228,656772.2826,653797.0695,651171.378,647676.7248,644322.4172
92481,46,78521,zip,TX,TX,Brownsville,"Brownsville-Harlingen, TX",Cameron County,170518.0595,171189.2753,171684.1148,171934.5068,171903.2682,171968.7247
62017,47,11206,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1014216.793,1023680.942,1029520.508,1032908.697,1037884.928,1046914.461
62032,48,11221,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1077781.462,1075210.791,1074885.459,1083310.96,1093915.693,1103244.719
61796,49,10456,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,433022.1513,436577.5767,441585.9494,445355.9089,447915.4341,449757.5331
96825,50,92345,zip,CA,CA,Hesperia,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,456437.398,455611.9756,453655.6628,451738.4788,449676.2995,447792.8416
91968,51,77479,zip,TX,TX,Sugar Land,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,559826.3594,559756.8948,559021.4441,557939.1586,556695.1745,554975.3084
96546,52,91911,zip,CA,CA,Chula Vista,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,793315.7977,792505.2651,789462.9441,784286.1429,778146.2521,773236.321
70828,53,30043,zip,GA,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,430113.8862,428930.6287,427181.9334,425424.9658,423284.7021,421154.2196
62034,54,11223,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1050068.273,1053422.538,1055886.463,1062604.918,1068075.386,1072704.377
399727,55,78542,zip,TX,TX,Edinburg,"McAllen-Edinburg-Mission, TX",Hidalgo County,207503.0082,206998.7303,205932.9973,204745.6227,203770.3346,203398.0643
92551,56,78613,zip,TX,TX,Cedar Park,"Austin-Round Rock-Georgetown, TX",Williamson County,502136.736,500175.6465,497635.0052,495238.7234,492091.9543,488001.884
62040,57,11230,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,883241.7497,887555.0066,890782.1498,896273.5016,902334.734,907748.3612
84646,58,60647,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,535541.2548,537098.9637,538954.2626,539139.8341,538372.7205,537071.3707
97104,59,93033,zip,CA,CA,Oxnard,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,714396.821,714111.1963,712730.2958,711749.9795,710428.5803,709932.4365
97970,60,95076,zip,CA,CA,Watsonville,"Santa Cruz-Watsonville, CA",Santa Cruz County,857937.8797,858609.5414,857059.4867,855197.8934,852890.9963,850864.3254
96690,61,92154,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,775694.2105,773235.875,768881.1246,762959.3055,756382.6126,750898.0166
91922,62,77429,zip,TX,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,394248.3182,394159.6455,393253.8192,391809.9007,390408.8605,388885.9131
61798,63,10458,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,422709.6925,426619.1049,426549.5094,424580.8425,421719.1911,421473.7028
96846,64,92376,zip,CA,CA,Rialto,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,579919.1063,578027.2336,574305.6892,571645.8912,569222.5895,566977.5338
84693,65,60804,zip,IL,IL,Cicero,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,262768.0023,264195.498,265155.7388,266131.0647,266535.6479,266863.901
62088,66,11377,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,540949.9161,542669.6554,543709.6165,546089.251,549186.9125,553335.7422
93146,67,79938,zip,TX,TX,El Paso,"El Paso, TX",El Paso County,248856.7284,249014.0849,248932.4684,248934.2693,249148.9965,249578.5532
97023,68,92804,zip,CA,CA,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",Orange County,940927.468,943189.9792,941638.6324,938599.3106,933354.1784,928832.2781
96468,69,91710,zip,CA,CA,Chino,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,785405.5279,785172.7245,782918.8695,781639.3907,779883.7839,777388.0354
97431,70,93722,zip,CA,CA,Fresno,"Fresno, CA",Fresno County,403390.4993,403648.3666,403216.7019,402925.0599,402592.1883,402072.626
97567,71,94112,zip,CA,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,1120057.104,1117194.111,1112247.118,1107210.068,1100802.797,1092294.163
100179,72,99301,zip,WA,WA,Pasco,"Kennewick-Richland, WA",Franklin County,423974.9186,424357.6232,423751.0884,422631.5645,421385.5266,420064.979
