state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Alabama,Huntsville,231668,231668,216407,0.0133499,City,228616,1036,223.633,34.6977,-86.6767,1,01089,01089
Alabama,Birmingham,194156,194156,200375,-0.00636643,City,195400,1320,147.07,33.5272,-86.797,2,01073,01073
Alabama,Montgomery,192117,192117,200041,-0.00818267,City,193702,1202,159.857,32.3485,-86.2673,3,01101,01101
Alabama,Mobile,179911,179911,186621,-0.00740401,City,181253,1290,139.482,30.6684,-88.1002,4,01097,01097
Alabama,Tuscaloosa,116085,116085,104217,0.0208775,City,113711,1868,62.15,33.2344,-87.5283,5,01125,01125
Alabama,Hoover,92254,92254,92738,-0.00105034,City,92351,1869,49.354,33.379,-86.8089,6,01073,01073
Alabama,Auburn,85343,85343,77047,0.0198246,City,83684,1366,62.486,32.6078,-85.4947,7,01081,01081
Alabama,Dothan,71377,71377,71079,0.000841314,City,71317,794,89.839,31.2337,-85.4068,8,01081,01081
Alabama,Madison,63223,63223,57300,0.0191012,City,62038,2069,30.563,34.7105,-86.7623,9,01089,01089
Alabama,Decatur,58703,58703,57748,0.00326429,City,58512,1075,54.594,34.573,-86.9899,10,01103,01103
Alabama,Florence,43677,43677,40577,0.0143995,City,43057,1644,26.574,34.8303,-87.6661,11,01103,01103
Alabama,Prattville,40292,40292,37856,0.0122346,City,39805,1128,35.728,32.449,-86.4494,12,01101,01101
Alabama,Phenix City,38203,38203,38798,-0.00310527,City,38322,1361,28.06,32.4537,-85.031,13,01081,01081
Alabama,Vestavia Hills,37280,37280,39129,-0.00982736,City,37650,1861,20.028,33.4625,-86.7395,14,01073,01073
Alabama,Opelika,35234,35234,31079,0.0241549,City,34403,576,61.153,32.6607,-85.3789,15,01081,01081
Alabama,Alabaster,34583,34583,33392,0.00692968,City,34345,1317,26.249,33.2144,-86.8231,16,01117,01117
Alabama,Athens,34368,34368,25707,0.0530702,City,32636,846,40.604,34.779,-86.9508,17,01103,01103
Alabama,Gadsden,32795,32795,33880,-0.00657337,City,33012,876,37.443,34.0066,-86.0161,18,01055,01055
Alabama,Daphne,32080,32080,27682,0.0282051,City,31200,1681,19.079,30.6261,-87.8818,19,01097,01097
Alabama,Enterprise,31229,31229,28834,0.0155772,City,30750,1009,30.958,31.3269,-85.844,20,01101,01101
Alabama,Northport,31050,31050,31202,-0.00096525,City,31080,1738,17.863,33.2576,-87.5964,21,01125,01125
Alabama,Homewood,28000,28000,27394,0.00434018,City,27879,3389,8.262,33.4585,-86.8096,22,01073,01073
Alabama,Foley,27623,27623,20748,0.0523849,City,26248,829,33.338,30.397,-87.6642,23,01003,01003
Alabama,Trussville,27152,27152,26196,0.00708431,City,26961,769,35.29,33.6552,-86.5632,24,01073,01073
Alabama,Fairhope,26488,26488,22702,0.0294198,City,25731,1795,14.759,30.5209,-87.8791,25,01097,01097
Alabama,Pelham,25703,25703,24247,0.0114513,City,25412,664,38.737,33.3218,-86.7422,26,01117,01117
Alabama,Bessemer,24385,24385,26014,-0.0131925,City,24711,602,40.527,33.3709,-86.9715,27,01073,01073
Alabama,Albertville,23445,23445,22409,0.00890782,City,23238,870,26.937,34.2631,-86.2107,28,01055,01055
Alabama,Helena,22801,22801,21091,0.0152277,City,22459,1032,22.089,33.2834,-86.8792,29,01117,01117
Alabama,Oxford,22069,22069,22091,-0.000181216,City,22073,692,31.877,33.5964,-85.8682,30,01015,01015
Alabama,Mountain Brook,21223,21223,22508,-0.0119646,City,21480,1653,12.841,33.4915,-86.7345,31,01073,01073
Alabama,Anniston,20935,20935,21515,-0.00551043,City,21051,457,45.825,33.6735,-85.8109,32,01015,01015
Alabama,Cullman,20901,20901,18431,0.0242074,City,20407,921,22.704,34.1769,-86.8407,33,01103,01103
