state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Arizona,Phoenix,1675144,1675144,1612459.0,0.00754057,City,1662607,3232,518.331,33.5722,-112.09,1,4013,4013
Arizona,Tucson,550306,550306,542638.0,0.00279533,City,548772,2272,242.187,32.153,-110.871,2,4019,4019
Arizona,Mesa,515486,515486,505890.0,0.00373661,City,513567,3646,141.384,33.4006,-111.716,3,4013,4013
Arizona,Chandler,282048,282048,277345.0,0.00334748,City,281107,4297,65.639,33.2828,-111.852,4,4013,4013
Arizona,Gilbert,279569,279569,269173.0,0.00749216,Town,277490,4072,68.663,33.3103,-111.743,5,4013,4013
Arizona,Glendale,257125,257125,248949.0,0.00639947,City,255490,3830,67.126,33.5331,-112.19,6,4013,4013
Arizona,Scottsdale,246068,246068,241883.0,0.00341311,City,245231,1337,184.003,33.6843,-111.861,7,4013,4013
Arizona,Peoria,203252,203252,191997.0,0.0111989,City,201001,1150,176.697,33.7862,-112.308,8,4013,4013
Arizona,Tempe,192838,192838,185328.0,0.00785006,City,191336,4823,39.981,33.3884,-111.932,9,4013,4013
Arizona,Surprise,167537,167537,144407.0,0.0283959,City,162911,1516,110.505,33.6708,-112.453,10,4013,4013
Arizona,Goodyear,121116,121116,97838.0,0.0399794,City,116460,633,191.305,33.254,-112.366,11,4013,4013
Arizona,Buckeye,119007,119007,93761.0,0.0443058,City,113958,301,394.829,33.4316,-112.642,12,4013,4013
Arizona,San Tan Valley,106179,106179,104936.0,0.0158628,CDP,104521,1401,75.793,33.1786,-111.563,13,4021,4021
Arizona,Yuma,103070,103070,97540.0,0.010847,City,101964,852,121.039,32.5163,-114.522,14,4027,4027
Arizona,Avondale,96196,96196,89568.0,0.013977,City,94870,2011,47.845,33.3132,-112.329,15,4013,4013
Arizona,Queen Creek,87006,87006,60915.0,0.0637991,Town,81788,2067,42.102,33.2394,-111.613,16,4021,4021
Arizona,Maricopa,79134,79134,58854.0,0.0540238,City,75078,1862,42.491,33.0419,-111.999,17,4013,4013
Arizona,Flagstaff,76246,76246,77095.0,-0.00222466,City,76416,1155,66.012,35.1852,-111.621,18,4005,4005
Arizona,Casas Adobes,70698,70698,70516.0,0.00370544,CDP,70437,2666,26.519,32.3418,-111.012,19,4019,4019
Arizona,Casa Grande,70156,70156,54123.0,0.0479021,City,66949,616,113.839,32.9069,-111.763,20,4021,4021
Arizona,Marana,62302,62302,52622.0,0.032071,Town,60366,514,121.099,32.4659,-111.135,21,4019,4019
Arizona,Lake Havasu City,60511,60511,57376.0,0.0104702,City,59884,1306,46.339,34.4998,-114.311,22,4012,4012
Arizona,Prescott Valley,52097,52097,46966.0,0.0200897,Town,51071,1288,40.442,34.5979,-112.318,23,4025,4025
Arizona,Catalina Foothills,50517,50517,50631.0,-0.000375969,CDP,50536,1208,41.83,32.3019,-110.885,24,4019,4019
Arizona,Oro Valley,49037,49037,47222.0,0.00745778,Town,48674,1399,35.06,32.4207,-110.977,25,4019,4019
Arizona,Prescott,48891,48891,46056.0,0.0117333,City,48324,993,49.227,34.5922,-112.447,26,4025,4025
Arizona,Bullhead City,44509,44509,41491.0,0.013757,City,43905,750,59.373,35.1274,-114.556,27,4015,4015
Arizona,Sierra Vista,43792,43792,45389.0,-0.00723176,City,44111,287,152.444,31.5654,-110.315,28,4003,4003
Arizona,Apache Junction,42766,42766,38733.0,0.0192331,City,41959,941,45.45,33.3828,-111.541,29,4021,4021
Arizona,San Luis,39551,39551,35588.0,0.0204603,City,38758,1169,33.822,32.4857,-114.722,30,4027,4027
Arizona,Sun City,37810,37810,38888.0,0.00052924,CDP,37790,2623,14.417,33.6155,-112.283,31,4013,4013
Arizona,Sahuarita,37689,37689,34356.0,0.0180163,Town,37022,1190,31.683,31.9322,-110.965,32,4019,4019
Arizona,Kingman,36958,36958,32898.0,0.0224644,City,36146,984,37.547,35.217,-114.011,33,4015,4015
Arizona,El Mirage,35780,35780,35955.0,-0.000977244,City,35815,3614,9.901,33.5902,-112.327,34,4013,4013
Arizona,Drexel Heights,30880,30880,30780.0,0.00678143,CDP,30672,1604,19.247,32.1453,-111.048,35,4019,4019
Arizona,Fortuna Foothills,27874,27874,29297.0,0.00388965,CDP,27766,696,40.077,32.6616,-114.397,36,4027,4027
Arizona,Sun City West,27165,27165,26043.0,0.00648388,CDP,26990,2278,11.926,33.6714,-112.357,37,4013,4013
Arizona,Fountain Hills,23435,23435,23875.0,-0.00374102,Town,23523,1155,20.283,33.6078,-111.738,38,4013,4013
Arizona,Anthem,22960,22960,23508.0,0.00367197,CDP,22876,2900,7.916,33.8468,-112.127,39,4013,4013
Arizona,Florence,22257,22257,27342.0,-0.0436968,Town,23274,355,62.637,33.0694,-111.414,40,4021,4021
Arizona,Rio Rico,22068,22068,19948.0,0.00946892,CDP,21861,350,63.086,31.4982,-110.988,41,4023,4023
Arizona,Coolidge,21531,21531,13436.0,0.0813078,City,19912,259,83.137,32.9336,-111.524,42,4021,4021
