state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Arkansas,Little Rock,204647,204647,202634.0,0.00197313,City,204244,1701,120.281,34.7254,-92.3586,1,05119,05119
Arkansas,Fayetteville,106278,106278,94783.0,0.0221102,City,103979,1941,54.755,36.0715,-94.1666,2,05143,05143
Arkansas,Fort Smith,90181,90181,89153.0,0.00228952,City,89975,1405,64.189,35.3493,-94.3709,3,05131,05131
Arkansas,Springdale,88825,88825,87322.0,0.00340021,City,88524,1785,49.773,36.1914,-94.1551,4,05007,05007
Arkansas,Jonesboro,81842,81842,78861.0,0.00733574,City,81246,1021,80.18,35.8198,-90.679,5,05031,05031
Arkansas,Rogers,76493,76493,70348.0,0.0163292,City,75264,1967,38.897,36.3181,-94.1523,6,05007,05007
Arkansas,Conway,73068,73068,64348.0,0.0244518,City,71324,1567,46.63,35.0744,-92.467,7,05045,05045
Arkansas,North Little Rock,64441,64441,64666.0,-0.000697825,City,64486,1215,53.045,34.7818,-92.2351,8,05119,05119
Arkansas,Bentonville,62570,62570,54822.0,0.0254015,City,61020,1765,35.441,36.3527,-94.2312,9,05007,05007
Arkansas,Benton,39184,39184,35119.0,0.0211879,City,38371,1711,22.899,34.5774,-92.5726,10,05125,05125
Arkansas,Hot Springs,38008,38008,37972.0,0.000184205,City,38001,1012,37.562,34.4894,-93.0503,11,05051,05051
Arkansas,Pine Bluff,37886,37886,40978.0,-0.0160503,City,38504,857,44.182,34.2116,-92.0176,12,05069,05069
Arkansas,Bella Vista,33807,33807,30209.0,0.0217608,City,33087,746,45.304,36.4666,-94.2663,13,05007,05007
Arkansas,Sherwood,33326,33326,32806.0,0.00313046,City,33222,1606,20.754,34.852,-92.2045,14,05119,05119
Arkansas,Paragould,31096,31096,29656.0,0.00934822,City,30808,979,31.774,36.0523,-90.5105,15,05031,05031
Arkansas,Russellville,29594,29594,28954.0,0.00434399,City,29466,1046,28.302,35.2763,-93.1387,16,05115,05115
Arkansas,Texarkana,29121,29121,29375.0,-0.00174825,City,29172,694,41.978,33.4363,-93.9871,17,05139,05139
Arkansas,Jacksonville,28818,28818,29507.0,-0.00476585,City,28956,1004,28.69,34.8805,-92.1306,18,05119,05119
Arkansas,Centerton,27761,27761,18240.0,0.0736358,City,25857,1945,14.27,36.3551,-94.2977,19,05007,05007
Arkansas,Cabot,27612,27612,26557.0,0.00770045,City,27401,1331,20.751,34.9751,-92.0283,20,05085,05085
Arkansas,Van Buren,24738,24738,23237.0,0.012276,City,24438,1598,15.476,35.4512,-94.354,21,05131,05131
Arkansas,Searcy,24381,24381,22961.0,0.0117857,City,24097,1331,18.317,35.2411,-91.7352,22,05145,05145
Arkansas,West Memphis,23401,23401,24461.0,-0.00897811,City,23613,811,28.842,35.1496,-90.1993,23,05035,05035
Arkansas,Bryant,22619,22619,20763.0,0.0166757,City,22248,1102,20.523,34.6151,-92.4913,24,05125,05125
Arkansas,Siloam Springs,20550,20550,17515.0,0.0304367,City,19943,1705,12.056,36.1846,-94.5315,25,05007,05007
Arkansas,Maumelle,19578,19578,19262.0,0.00322828,City,19515,1589,12.321,34.8523,-92.4,26,05119,05119
Arkansas,Hot Springs Village,17852,17852,15562.0,0.0191825,CDP,17516,310,57.637,34.6581,-92.9686,27,05051,05051
Arkansas,El Dorado,16319,16319,17694.0,-0.0165723,City,16594,1007,16.201,33.219,-92.6641,28,05139,05139
Arkansas,Harrison,13634,13634,13071.0,0.00835737,City,13521,1226,11.125,36.2426,-93.1177,29,05009,05009
Arkansas,Marion,13583,13583,13760.0,-0.00257013,City,13618,670,20.273,35.2042,-90.2067,30,05035,05035
Arkansas,Mountain Home,13570,13570,12840.0,0.010876,City,13424,1133,11.973,36.3351,-92.384,31,05009,05009
Arkansas,Lowell,12494,12494,9924.0,0.0429048,City,11980,1296,9.64,36.2559,-94.1534,32,05007,05007
Arkansas,Forrest City,12165,12165,12977.0,-0.0131419,City,12327,601,20.245,35.0136,-90.7932,33,05035,05035
Arkansas,Blytheville,12095,12095,13342.0,-0.0201717,City,12344,583,20.738,35.9341,-89.9051,34,05093,05093
Arkansas,Batesville,11725,11725,11200.0,0.00903614,City,11620,1011,11.596,35.7686,-91.6227,35,05145,05145
Arkansas,Malvern,11228,11228,10858.0,0.00663439,City,11154,1138,9.864,34.3736,-92.8213,36,05125,05125
Arkansas,Farmington,11189,11189,7619.0,0.0681623,City,10475,1139,9.827,36.0366,-94.2525,37,05143,05143
Arkansas,Magnolia,10524,10524,11136.0,-0.0114597,City,10646,795,13.231,33.2767,-93.2262,38,05139,05139
Arkansas,Arkadelphia,10187,10187,10357.0,-0.00332648,City,10221,1318,7.73,34.1274,-93.0709,39,05051,05051
Arkansas,Pea Ridge,10024,10024,6664.0,0.0718563,City,9352,1251,8.01,36.4528,-94.1259,40,05007,05007
Arkansas,Camden,9876,9876,10598.0,-0.0143713,City,10020,598,16.526,33.5677,-92.8491,41,05139,05139
Arkansas,Greenwood,9769,9769,9524.0,0.00504115,City,9720,897,10.893,35.2269,-94.2764,42,05131,05131
Arkansas,Clarksville,9758,9758,9363.0,0.008162,City,9679,536,18.216,35.4539,-93.4816,43,05115,05115
Arkansas,Beebe,9163,9163,8432.0,0.0161916,City,9017,906,10.118,35.0724,-91.9011,44,05145,05145
Arkansas,Tontitown,9139,9139,4701.0,0.107623,City,8251,510,17.911,36.1674,-94.2421,45,05007,05007
Arkansas,Prairie Grove,8887,8887,7134.0,0.04112,City,8536,953,9.326,35.9861,-94.3034,46,05143,05143
Arkansas,Hope,8326,8326,8905.0,-0.0137408,City,8442,779,10.683,33.6682,-93.5889,47,05051,05051
