state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
California,Los Angeles,3770958,3770958,3895848.0,-0.00658019,City,3795936,8014,470.517,34.0194,-118.411,1,06037,06037
California,San Diego,1389672,1389672,1386292.0,0.000486682,City,1388996,4262,326.087,32.815,-117.136,2,06073,06073
California,San Jose,943212,943212,1009319.0,-0.0138232,City,956433,5301,177.939,37.296,-121.815,3,06085,06085
California,San Francisco,767968,767968,870518.0,-0.0260121,City,788478,16445,46.7,37.7272,-123.032,4,06041,06041
California,Fresno,547720,547720,542710.0,0.00183275,City,546718,4729,115.818,36.7827,-119.793,5,06019,06019
California,Sacramento,526954,526954,525528.0,0.000541136,City,526669,5342,98.646,38.5677,-121.468,6,06067,06067
California,Long Beach,438723,438723,465585.0,-0.0120965,City,444095,8658,50.672,33.7808,-118.168,7,06037,06037
California,Oakland,433544,433544,440943.0,-0.00340211,City,435024,7747,55.963,37.7698,-122.226,8,06075,06075
California,Bakersfield,418781,418781,405280.0,0.00648912,City,416081,2787,150.273,35.3532,-119.038,9,06029,06029
California,Anaheim,336414,336414,346658.0,-0.00605384,City,338463,6690,50.283,33.8555,-117.759,10,06059,06059
California,Riverside,321385,321385,315067.0,0.00394851,City,320121,3960,81.149,33.9381,-117.393,11,06065,06065
California,Irvine,318761,318761,308411.0,0.00653634,City,316691,4858,65.613,33.6784,-117.771,12,06059,06059
California,Stockton,318587,318587,320976.0,-0.00149813,City,319065,5049,63.095,37.9772,-121.309,13,06077,06077
California,Santa Ana,310069,310069,311244.0,-0.000757321,City,310304,11326,27.376,33.7363,-117.883,14,06059,06059
California,Chula Vista,273349,273349,275809.0,-0.00179666,City,273841,5507,49.638,32.6277,-117.015,15,06073,06073
California,San Bernardino,224820,224820,222090.0,0.00243452,City,224274,3620,62.1,34.1411,-117.295,16,06071,06071
California,Fremont,223393,223393,230430.0,-0.0062589,City,224800,2860,78.103,37.4945,-121.941,17,06085,06085
California,Fontana,219657,219657,209177.0,0.00963408,City,217561,5075,43.278,34.1097,-117.463,18,06065,06065
California,Modesto,219064,219064,218691.0,0.000342482,City,218989,5052,43.358,37.6375,-121.003,19,06099,06099
California,Santa Clarita,218442,218442,232406.0,-0.0126246,City,221235,2967,73.614,34.4165,-118.501,20,06037,06037
California,Moreno Valley,214741,214741,208868.0,0.00550181,City,213566,4185,51.31,33.9233,-117.206,21,06065,06065
California,Oxnard,196206,196206,201911.0,-0.00578169,City,197347,7391,26.545,34.1994,-119.208,22,06111,06111
California,Huntington Beach,187945,187945,198405.0,-0.0110084,City,190037,6966,26.982,33.698,-118.004,23,06059,06059
California,Ontario,186953,186953,175712.0,0.0121708,City,184705,3740,49.984,34.0376,-117.604,24,06065,06065
California,Glendale,181127,181127,195934.0,-0.0160847,City,184088,5943,30.479,34.1814,-118.246,25,06037,06037
California,Elk Grove,179694,179694,176569.0,0.00349027,City,179069,4218,42.601,38.4146,-121.385,26,06067,06067
California,Santa Rosa,174435,174435,177959.0,-0.00402535,City,175140,4101,42.536,38.4458,-122.706,27,06097,06097
California,Rancho Cucamonga,174219,174219,174683.0,-0.000533526,City,174312,3746,46.51,34.1303,-117.566,28,06065,06065
California,Oceanside,167390,167390,173965.0,-0.00779467,City,168705,4056,41.268,33.2246,-117.306,29,06073,06073
California,Roseville,166214,166214,148516.0,0.0217613,City,162674,3770,44.087,38.7703,-121.32,30,06067,06067
California,Garden Grove,165814,165814,171863.0,-0.00724447,City,167024,9236,17.953,33.7788,-117.96,31,06059,06059
California,Corona,162084,162084,157468.0,0.00572719,City,161161,4063,39.892,33.862,-117.565,32,06065,06065
California,Lancaster,161664,161664,173094.0,-0.0139433,City,163950,1715,94.282,34.6936,-118.175,33,06037,06037
California,Salinas,156916,156916,163391.0,-0.00818527,City,158211,6673,23.515,36.6902,-121.634,34,06053,06053
California,Palmdale,156410,156410,168895.0,-0.0157136,City,158907,1475,106.064,34.591,-118.105,35,06037,06037
California,Hayward,151014,151014,162666.0,-0.0151946,City,153344,3296,45.818,37.6268,-122.104,36,06001,06001
California,Sunnyvale,149778,149778,155250.0,-0.00725118,City,150872,6790,22.06,37.3858,-122.026,37,06085,06085
California,Visalia,147149,147149,141771.0,0.00736618,City,146073,3855,38.171,36.328,-119.329,38,06107,06107
California,Escondido,146194,146194,151014.0,-0.00655078,City,147158,3914,37.348,33.1331,-117.074,39,06073,06073
California,Pomona,141847,141847,150984.0,-0.0127163,City,143674,6172,22.984,34.0585,-117.761,40,06059,06059
California,Victorville,141689,141689,134638.0,0.0100514,City,140279,1922,73.71,34.5277,-117.354,41,06071,06071
California,Orange,137594,137594,139451.0,-0.00268909,City,137965,5361,25.667,33.787,-117.861,42,06059,06059
California,Fullerton,136572,136572,143267.0,-0.00970916,City,137911,6092,22.42,33.8857,-117.928,43,06059,06059
California,Torrance,134412,134412,146442.0,-0.0175854,City,136818,6552,20.516,33.8305,-118.357,44,06037,06037
California,Santa Clara,132711,132711,128588.0,0.0062554,City,131886,7261,18.277,37.3646,-121.968,45,06085,06085
California,Pasadena,130292,130292,138462.0,-0.0123857,City,131926,5675,22.96,34.1606,-118.138,46,06037,06037
California,Clovis,129196,129196,120770.0,0.0132145,City,127511,4998,25.852,36.829,-119.685,47,06019,06019
California,Simi Valley,124293,124293,126343.0,-0.00328781,City,124703,2992,41.542,34.2669,-118.748,48,06111,06111
California,Fairfield,121391,121391,119833.0,0.00257683,City,121079,2919,41.586,38.2621,-122.032,49,06095,06095
California,Thousand Oaks,121222,121222,126824.0,-0.00915466,City,122342,2194,55.257,34.1933,-118.874,50,06111,06111
California,Vallejo,120749,120749,125894.0,-0.0084498,City,121778,3967,30.435,38.1069,-122.262,51,06055,06055
California,Concord,120334,120334,125286.0,-0.00815997,City,121324,3937,30.568,37.9722,-122.002,52,06013,06013
California,Menifee,120236,120236,103228.0,0.0291182,City,116834,2588,46.464,33.6899,-117.184,53,06065,06065
California,Antioch,118240,118240,115379.0,0.00486113,City,117668,4053,29.171,37.9783,-121.796,54,06013,06013
California,Berkeley,115466,115466,124205.0,-0.0149129,City,117214,11068,10.432,37.8657,-122.299,55,06075,06075
California,East Los Angeles,114904,114904,120504.0,-0.00667381,CDP,115676,15417,7.453,34.0315,-118.169,56,06037,06037
California,Richmond,112712,112712,116196.0,-0.0061459,City,113409,3752,30.042,37.9523,-122.361,57,06075,06075
California,Carlsbad,112542,112542,114924.0,-0.00421172,City,113018,2976,37.812,33.1293,-117.284,58,06073,06073
California,Murrieta,112366,112366,111146.0,0.0021762,City,112122,3351,33.536,33.5721,-117.19,59,06065,06065
California,Temecula,111074,111074,110094.0,0.00176771,City,110878,2988,37.177,33.4931,-117.132,60,06065,06065
California,Santa Maria,110123,110123,109782.0,0.000617872,City,110055,4828,22.81,34.9331,-120.444,61,06079,06079
California,Jurupa Valley,108631,108631,105356.0,0.00606616,City,107976,2530,42.94,34.0026,-117.468,62,06065,06065
California,San Buenaventura (Ventura),108016,108016,110620.0,-0.00480021,City,108537,4938,21.873,34.2678,-119.254,63,06111,06111
California,Costa Mesa,106069,106069,111781.0,-0.0106519,City,107211,6711,15.806,33.6659,-117.912,64,06059,06059
California,Downey,105384,105384,113964.0,-0.0160224,City,107100,8493,12.409,33.9382,-118.131,65,06037,06037
California,West Covina,103259,103259,109153.0,-0.011289,City,104438,6439,16.036,34.0559,-117.91,66,06037,06037
California,Rialto,102933,102933,104077.0,-0.00221981,City,103162,4272,24.092,34.1174,-117.389,67,06071,06071
California,Vacaville,102815,102815,102092.0,0.00141229,City,102670,3442,29.87,38.3586,-121.969,68,06095,06095
California,Hesperia,101065,101065,99984.0,0.00214181,City,100849,1391,72.681,34.397,-117.315,69,06071,06071
California,Tracy,100936,100936,93620.0,0.0147075,City,99473,3832,26.337,37.7274,-121.452,70,06077,06077
California,El Cajon,100935,100935,106075.0,-0.0100821,City,101963,6956,14.51,32.8017,-116.96,71,06073,06073
California,Chico,100331,100331,102755.0,-0.00481074,City,100816,2906,34.521,39.7589,-121.818,72,06007,06007
California,El Monte,100265,100265,109087.0,-0.0172892,City,102029,10491,9.557,34.0746,-118.029,73,06037,06037
California,Burbank,99921,99921,107005.0,-0.0139829,City,101338,5770,17.316,34.1901,-118.326,74,06037,06037
California,Inglewood,99846,99846,107393.0,-0.0148883,City,101355,11012,9.067,33.9561,-118.344,75,06037,06037
California,San Mateo,98441,98441,105656.0,-0.0144468,City,99884,8113,12.134,37.5603,-122.311,76,06081,06081
California,Vista,98234,98234,98508.0,-0.000559574,City,98289,5240,18.746,33.1897,-117.239,77,06073,06073
California,Merced,98224,98224,86893.0,0.0236145,City,95958,4224,23.254,37.3057,-120.478,78,06047,06047
California,Arden-Arcade,97049,97049,93719.0,0.00336008,CDP,96724,6106,15.895,38.6006,-121.385,79,06067,06067
California,Daly City,96483,96483,104858.0,-0.0170643,City,98158,12632,7.638,37.6862,-122.469,80,06075,06075
California,Manteca,95759,95759,84009.0,0.0251582,City,93409,4471,21.42,37.7928,-121.226,81,06077,06077
California,Indio,95548,95548,89320.0,0.0132129,City,94302,2879,33.183,33.7316,-116.236,82,06071,06071
California,Norwalk,95193,95193,102405.0,-0.0149221,City,96635,9807,9.707,33.9076,-118.083,83,06037,06037
California,Chino,94498,94498,91038.0,0.00737693,City,93806,3195,29.574,33.978,-117.658,84,06065,06065
California,Hemet,94026,94026,89881.0,0.00889514,City,93197,3213,29.262,33.7341,-116.997,85,06065,06065
California,San Marcos,93747,93747,94849.0,-0.00234125,City,93967,3815,24.571,33.1326,-117.17,86,06073,06073
California,Redding,92205,92205,93510.0,-0.00282266,City,92466,1550,59.469,40.5703,-122.367,87,06089,06089
California,Mission Viejo,88735,88735,93457.0,-0.0105264,City,89679,5025,17.66,33.6093,-117.656,88,06059,06059
California,South Gate,88343,88343,92660.0,-0.00967424,City,89206,12207,7.237,33.9442,-118.193,89,06037,06037
California,Carson,88306,88306,95388.0,-0.0157821,City,89722,4714,18.731,33.8404,-118.25,90,06037,06037
California,Compton,88047,88047,95394.0,-0.0164105,City,89516,8781,10.027,33.894,-118.227,91,06037,06037
California,Santa Monica,87928,87928,92913.0,-0.0112117,City,88925,10456,8.409,34.0109,-118.498,92,06037,06037
California,Folsom,87434,87434,80804.0,0.0153993,City,86108,3136,27.881,38.6666,-121.142,93,06061,06061
California,Westminster,87301,87301,90871.0,-0.00811225,City,88015,8696,10.039,33.7523,-117.994,94,06059,06059
California,Lake Forest,85782,85782,85927.0,-0.000337952,City,85811,5132,16.714,33.6549,-117.676,95,06059,06059
California,Citrus Heights,85369,85369,87544.0,-0.00506969,City,85804,6005,14.216,38.6948,-121.288,96,06067,06067
California,Santa Barbara,84990,84990,88762.0,-0.00879362,City,85744,4361,19.489,34.4036,-119.714,97,06083,06083
California,Rancho Cordova,84589,84589,79628.0,0.0118665,City,83597,2447,34.569,38.5771,-121.236,98,06067,06067
California,San Ramon,83963,83963,86377.0,-0.00571963,City,84446,4186,20.059,37.7653,-121.932,99,06001,06001
California,San Leandro,82490,82490,90724.0,-0.0195752,City,84137,6192,13.323,37.7034,-122.163,100,06081,06081
California,Carmichael,82240,82240,75642.0,0.0168905,CDP,80874,5363,15.334,38.6308,-121.326,101,06067,06067
California,Whittier,82184,82184,87081.0,-0.0117721,City,83163,5610,14.649,33.9668,-118.02,102,06037,06037
California,Perris,81784,81784,78831.0,0.00727895,City,81193,2591,31.563,33.7898,-117.222,103,06065,06065
California,Mountain View,81131,81131,82766.0,-0.00401434,City,81458,6785,11.958,37.3997,-122.079,104,06085,06085
California,Newport Beach,80952,80952,85164.0,-0.0102942,City,81794,3402,23.797,33.5973,-117.89,105,06059,06059
California,Buena Park,80690,80690,83859.0,-0.00779598,City,81324,7665,10.527,33.8574,-118.007,106,06059,06059
California,Hawthorne,80417,80417,87784.0,-0.0179875,City,81890,13211,6.087,33.9148,-118.348,107,06037,06037
California,Livermore,79596,79596,87875.0,-0.020381,City,81252,2996,26.57,37.687,-121.76,108,06001,06001
California,Redwood City,79068,79068,83887.0,-0.0120452,City,80032,4089,19.336,37.5153,-122.214,109,06081,06081
California,Upland,78467,78467,79046.0,-0.00147615,City,78583,5035,15.584,34.1161,-117.66,110,06065,06065
California,Alhambra,77858,77858,82652.0,-0.0121674,City,78817,10203,7.631,34.0836,-118.136,111,06037,06037
California,Chino Hills,76382,76382,78456.0,-0.00540386,City,76797,1711,44.65,33.943,-117.726,112,06059,06059
California,Napa,76264,76264,79334.0,-0.00798668,City,76878,4226,18.048,38.2979,-122.301,113,06055,06055
California,Tustin,76238,76238,79902.0,-0.00952307,City,76971,6854,11.123,33.7309,-117.811,114,06059,06059
California,Milpitas,75673,75673,79792.0,-0.0107717,City,76497,5613,13.481,37.4331,-121.891,115,06085,06085
California,Pittsburg,75435,75435,76354.0,-0.00243325,City,75619,4268,17.676,38.0168,-121.897,116,06013,06013
California,Lakewood,75409,75409,82224.0,-0.0177539,City,76772,8027,9.394,33.8471,-118.122,117,06037,06037
California,Lake Elsinore,74671,74671,70563.0,0.0111308,City,73849,1951,38.269,33.686,-117.335,118,06065,06065
California,Rocklin,74605,74605,71772.0,0.00765823,City,74038,3766,19.81,38.8069,-121.25,119,06061,06061
California,Apple Valley,74488,74488,75858.0,-0.00366496,Town,74762,967,77.006,34.5334,-117.21,120,06071,06071
California,Alameda,73515,73515,78109.0,-0.0123465,City,74434,7069,10.399,37.7419,-122.26,121,06075,06075
California,Bellflower,72560,72560,78965.0,-0.0173481,City,73841,11862,6.117,33.8878,-118.127,122,06037,06037
California,Tulare,72264,72264,69333.0,0.00817545,City,71678,3495,20.678,36.1994,-119.342,123,06107,06107
