state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Colorado,Denver,715891,715891,717606.0,-0.000478893,City,716234,4677,153.074,39.7618,-104.881,1,08031,08031
Colorado,Colorado Springs,494219,494219,480331.0,0.00565276,City,491441,2448,201.868,38.8673,-104.761,2,08041,08041
Colorado,Aurora,400571,400571,386773.0,0.00693797,City,397811,2457,163.009,39.7036,-104.72,3,08031,08031
Colorado,Fort Collins,170638,170638,169982.0,0.000768296,City,170507,2981,57.234,40.5482,-105.065,4,08123,08123
Colorado,Lakewood,155770,155770,156247.0,-0.000609501,City,155865,3584,43.458,39.6989,-105.118,5,08031,08031
Colorado,Thornton,146746,146746,142185.0,0.00625368,City,145834,4020,36.504,39.9204,-104.941,6,08014,08014
Colorado,Arvada,119461,119461,124343.0,-0.00810382,City,120437,3065,38.974,39.8337,-105.15,7,08014,08014
Colorado,Greeley,114833,114833,109272.0,0.00977832,City,113721,2323,49.434,40.414,-104.771,8,08123,08123
Colorado,Westminster,113729,113729,116594.0,-0.00501304,City,114302,3597,31.618,39.8801,-105.062,9,08014,08014
Colorado,Pueblo,110529,110529,111899.0,-0.00247286,City,110803,1957,56.489,38.2692,-104.611,10,08101,08101
Colorado,Centennial,106007,106007,108196.0,-0.0041148,City,106445,3515,30.156,39.5909,-104.864,11,08031,08031
Colorado,Boulder,104414,104414,108123.0,-0.00705618,City,105156,3882,26.894,40.0244,-105.251,12,08014,08014
Colorado,Highlands Ranch,102714,102714,107017.0,0.00390953,CDP,102314,4232,24.268,39.5408,-104.971,13,08035,08035
Colorado,Longmont,98258,98258,99188.0,-0.0018894,City,98444,3384,29.038,40.1699,-105.102,14,08014,08014
Colorado,Castle Rock,86434,86434,73886.0,0.029908,Town,83924,2488,34.742,39.3762,-104.853,15,08035,08035
Colorado,Loveland,81342,81342,76366.0,0.0123838,City,80347,2296,35.423,40.4169,-105.063,16,08123,08123
Colorado,Broomfield,78440,78440,74490.0,0.0101739,City,77650,2379,32.968,39.9536,-105.051,17,08014,08014
Colorado,Commerce City,71887,71887,62782.0,0.0259898,City,70066,1968,36.531,39.8828,-104.795,18,08031,08031
Colorado,Grand Junction,71870,71870,65725.0,0.0173978,City,70641,1769,40.619,39.0891,-108.567,19,08077,08077
Colorado,Parker,65319,65319,58879.0,0.0201153,Town,64031,2910,22.447,39.5059,-104.776,20,08035,08035
Colorado,Windsor,45095,45095,33230.0,0.0555452,Town,42722,1730,26.062,40.4783,-104.915,21,08123,08123
Colorado,Brighton,43933,43933,40293.0,0.0168499,City,43205,2050,21.434,39.9657,-104.794,22,08014,08014
Colorado,Littleton,43688,43688,45595.0,-0.00864553,City,44069,3462,12.619,39.5904,-105.02,23,08031,08031
Colorado,Security-Widefield,40717,40717,38645.0,0.0129867,CDP,40195,3169,12.85,38.7511,-104.716,24,08041,08041
Colorado,Erie,38503,38503,30417.0,0.0438378,Town,36886,1857,20.738,40.0403,-105.038,25,08014,08014
Colorado,Northglenn,38249,38249,38036.0,0.00112548,City,38206,5197,7.36,39.9116,-104.982,26,08014,08014
Colorado,Pueblo West,35512,35512,32842.0,0.0111617,CDP,35120,716,49.611,38.3158,-104.785,27,08101,08101
Colorado,Dakota Ridge,34791,34791,34655.0,0.00534589,CDP,34606,3705,9.39,39.6192,-105.135,28,08059,08059
Colorado,Englewood,34709,34709,33623.0,0.00629131,City,34492,5290,6.561,39.647,-104.994,29,08031,08031
Colorado,Ken Caryl,33772,33772,33815.0,0.00264228,CDP,33683,3435,9.833,39.5767,-105.114,30,08059,08059
Colorado,Wheat Ridge,31420,31420,32379.0,-0.00607364,City,31612,3363,9.344,39.7727,-105.105,31,08031,08031
Colorado,Lafayette,30443,30443,30433.0,6.57e-05,City,30441,3298,9.231,39.9948,-105.1,32,08014,08014
Colorado,Fountain,27552,27552,29894.0,-0.0167024,City,28020,1233,22.342,38.689,-104.681,33,08041,08041
Colorado,Four Square Mile,26775,26775,21993.0,0.0714286,CDP,24990,9909,2.702,39.6807,-104.888,34,08031,08031
Colorado,Columbine,26355,26355,25892.0,0.00526376,CDP,26217,3973,6.634,39.5886,-105.069,35,08031,08031
Colorado,Evans,22353,22353,22285.0,0.000626706,City,22339,2129,10.501,40.3502,-104.748,36,08123,08123
Colorado,Montrose,21969,21969,20378.0,0.0146875,City,21651,1163,18.891,38.4688,-107.859,37,08085,08085
Colorado,Johnstown,20939,20939,17369.0,0.0353028,Town,20225,1356,15.437,40.3072,-104.911,38,08123,08123
Colorado,Golden,20140,20140,20394.0,-0.00252588,City,20191,2091,9.634,39.7425,-105.211,39,08059,08059
Colorado,Firestone,19873,19873,16663.0,0.0333836,Town,19231,1430,13.899,40.1557,-104.949,40,08014,08014
Colorado,Louisville,19867,19867,21174.0,-0.012967,City,20128,2492,7.971,39.9696,-105.143,41,08014,08014
Colorado,Durango,19820,19820,19105.0,0.00726737,City,19677,1344,14.744,37.2654,-107.878,42,08067,08067
Colorado,Cimarron Hills,19758,19758,18981.0,0.0122445,CDP,19519,3354,5.891,38.8593,-104.7,43,08041,08041
Colorado,Frederick,19644,19644,14724.0,0.0527331,Town,18660,1292,15.208,40.1059,-104.974,44,08014,08014
Colorado,Sherrelwood,19496,19496,19082.0,0.00417203,CDP,19415,7948,2.453,39.8382,-105.002,45,08031,08031
Colorado,Clifton,19331,19331,20783.0,-0.0019619,CDP,19369,3230,5.985,39.0767,-108.46,46,08077,08077
Colorado,Fort Carson,19178,19178,16243.0,0.0190223,CDP,18820,686,27.969,38.6874,-104.749,47,08041,08041
Colorado,Cañon City,17438,17438,16945.0,0.00570967,City,17339,1405,12.413,38.4419,-105.221,48,08043,08043
Colorado,Castle Pines,17101,17101,11215.0,0.0739136,City,15924,1783,9.593,39.4625,-104.871,49,08035,08035
Colorado,Welby,16647,16647,15372.0,0.00726085,CDP,16527,4494,3.704,39.8402,-104.965,50,08031,08031
Colorado,Berthoud,14988,14988,10613.0,0.0619996,Town,14113,1153,12.996,40.2847,-104.966,51,08123,08123
Colorado,Greenwood Village,14909,14909,15649.0,-0.00982932,City,15057,1804,8.264,39.6159,-104.912,52,08031,08031
Colorado,Black Forest,14767,14767,13103.0,0.00750495,CDP,14657,147,100.64,39.0636,-104.68,53,08041,08041
Colorado,Fruita,14077,14077,13424.0,0.00939337,City,13946,1758,8.009,39.1556,-108.73,54,08077,08077
Colorado,Lone Tree,13918,13918,14280.0,-0.00514653,City,13990,1419,9.81,39.5308,-104.871,55,08035,08035
Colorado,Steamboat Springs,13700,13700,13219.0,0.00705675,City,13604,1385,9.891,40.4756,-106.823,56,08107,08107
Colorado,Federal Heights,13642,13642,14394.0,-0.0108759,City,13792,7686,1.775,39.865,-105.015,57,08014,08014
Colorado,Superior,13531,13531,13106.0,0.00632158,Town,13446,3440,3.933,39.9312,-105.159,58,08014,08014
