state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Connecticut,Bridgeport,148235,148235,147717,0.000702081,City,148131,9228,16.064,41.1874,-73.1958,1,09001,09001
Connecticut,New Haven,139027,139027,129757,0.0135158,City,137173,7439,18.69,41.3108,-72.9249,2,09009,09009
Connecticut,Stamford,136735,136735,135462,0.00186841,City,136480,3634,37.628,41.0796,-73.5461,3,09001,09001
Connecticut,Hartford,119583,119583,119798,-0.000359453,City,119626,6881,17.379,41.7659,-72.6816,4,09003,09003
Connecticut,Waterbury,115730,115730,113880,0.00320735,City,115360,4053,28.557,41.5585,-73.0367,5,09005,09005
Connecticut,Norwalk,93502,93502,90891,0.00561411,City,92980,4086,22.886,41.0927,-73.4198,6,09001,09001
Connecticut,Danbury,86385,86385,85732,0.00151877,City,86254,2055,42.029,41.3987,-73.4781,7,09001,09001
Connecticut,New Britain,74963,74963,72755,0.00593121,City,74521,5596,13.396,41.6766,-72.7862,8,09003,09003
Connecticut,Fairfield,64139,64139,61485,0.00553413,Township,63786,2145,29.903,41.1759,-73.272,9,09001,09001
Connecticut,West Hartford,64129,64129,63599,0.00124904,Township,64049,2937,21.838,41.7666,-72.7549,10,09003,09003
Connecticut,Greenwich,63488,63488,63344,-0.000676834,Township,63531,1330,47.721,41.0454,-73.634,11,09001,09001
Connecticut,Bristol,62183,62183,60727,0.00470174,City,61892,2356,26.399,41.6816,-72.9408,12,09003,09003
Connecticut,Meriden,59773,59773,60617,-0.00281939,City,59942,2519,23.732,41.5368,-72.7945,13,09009,09009
Connecticut,Hamden,59482,59482,60332,-0.00445203,Township,59748,1823,32.631,41.3973,-72.9222,14,09009,09009
Connecticut,Manchester,59426,59426,59497,0.000151471,Township,59417,2167,27.422,41.7752,-72.5244,15,09003,09003
Connecticut,West Haven,54403,54403,55370,-0.00353506,City,54596,5061,10.75,41.2721,-72.9675,16,09009,09009
Connecticut,Stratford,52420,52420,52223,-0.000324198,Township,52437,2999,17.481,41.2057,-73.128,17,09009,09009
Connecticut,East Hartford,50588,50588,50864,-0.000651903,Township,50621,2809,18.007,41.7607,-72.6076,18,09003,09003
Connecticut,Middletown,48663,48663,46965,0.00703599,City,48323,1186,41.018,41.5486,-72.6568,19,09007,09007
Connecticut,Southington,43821,43821,43427,0.000890777,Township,43782,1222,35.874,41.6072,-72.8788,20,09003,09003
Connecticut,Wallingford,43449,43449,44222,-0.00316608,Township,43587,1109,39.164,41.4587,-72.8045,21,09009,09009
Connecticut,Shelton,43065,43065,40762,0.0108206,City,42604,1406,30.631,41.3046,-73.1392,22,09009,09009
Connecticut,Enfield,39912,39912,41199,-0.010904,Township,40352,1198,33.318,41.984,-72.5555,23,09003,09003
Connecticut,Norwich,39783,39783,40028,-0.00123017,City,39832,1418,28.062,41.548,-72.0895,24,09011,09011
Connecticut,Trumbull,37707,37707,36607,0.00584187,Township,37488,1623,23.239,41.2729,-73.2119,25,09001,09001
Connecticut,Groton,37702,37702,38343,-0.00232866,Township,37790,1212,31.11,41.3477,-72.0313,26,09011,09011
Connecticut,Torrington,35673,35673,35365,0.00174104,City,35611,897,39.762,41.8342,-73.1315,27,09005,09005
