state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Delaware,Wilmington,72233,72233,70837,0.00387748,City,71954,6630,10.895,39.7356,-75.5321,1,10003,10003
Delaware,Dover,40276,40276,39320,0.00476487,City,40085,1691,23.817,39.1606,-75.5217,2,10001,10001
Delaware,Newark,29882,29882,30599,-0.0047627,City,30025,3154,9.474,39.6777,-75.7575,3,10003,10003
Delaware,Middletown,26112,26112,23386,0.0213165,Town,25567,2060,12.678,39.4434,-75.7175,4,10003,10003
Delaware,Bear,23995,23995,21397,0.0130457,CDP,23686,4149,5.784,39.6189,-75.6808,5,10003,10003
Delaware,Glasgow,15681,15681,15399,0.0059016,CDP,15589,1580,9.925,39.6015,-75.7473,6,10003,10003
Delaware,Milford,14608,14608,11310,0.0473186,City,13948,1482,9.857,38.9098,-75.4223,7,10005,10005
Delaware,Brookside,14325,14325,13741,-0.000139596,CDP,14327,3690,3.882,39.6662,-75.7066,8,10003,10003
Delaware,Hockessin,13966,13966,14172,0.0021527,CDP,13936,1391,10.041,39.7839,-75.6807,9,10003,10003
Delaware,Smyrna,13491,13491,12956,0.00799462,Town,13384,2105,6.41,39.2953,-75.6087,10,10001,10001
Delaware,Pike Creek Valley,11511,11511,11346,0.00174049,CDP,11491,4009,2.871,39.7293,-75.6979,11,10003,10003
Delaware,Claymont,10676,10676,9343,0.015408,CDP,10514,4963,2.151,39.8032,-75.4605,12,10003,10003
Delaware,Seaford,9231,9231,7991,0.0276077,City,8983,1809,5.104,38.6573,-75.6134,13,10005,10005
Delaware,North Star,8468,8468,7546,0.00391227,CDP,8435,1245,6.802,39.7525,-75.7349,14,10003,10003
Delaware,Wilmington Manor,8353,8353,8335,0.00372507,CDP,8322,5112,1.634,39.6858,-75.5849,15,10003,10003
Delaware,Georgetown,8332,8332,7184,0.0283881,Town,8102,1659,5.022,38.6894,-75.3872,16,10005,10005
Delaware,Millsboro,8099,8099,6943,0.0293594,Town,7868,1585,5.11,38.5887,-75.3096,17,10005,10005
Delaware,Pike Creek,6744,6744,6987,-0.0112887,CDP,6821,2508,2.689,39.7487,-75.695,18,10003,10003
Delaware,Edgemoor,6687,6687,6483,0.0101208,CDP,6620,3486,1.918,39.7539,-75.5055,19,10003,10003
Delaware,Elsmere,6112,6112,6224,-0.00358657,Town,6134,6193,0.987,39.7384,-75.5946,20,10003,10003
Delaware,New Castle,5555,5555,5540,0.000540345,City,5552,1597,3.478,39.67,-75.5665,21,10003,10003
Delaware,Clayton,4671,4671,3990,0.029989,Town,4535,2398,1.948,39.2741,-75.6315,22,10001,10001
Delaware,Laurel,4529,4529,3894,0.0288505,Town,4402,1635,2.77,38.5715,-75.5711,23,10005,10005
Delaware,Camden,4495,4495,3727,0.0354757,Town,4341,1200,3.746,39.0992,-75.5569,24,10001,10001
Delaware,Rising Sun-Lebanon,4227,4227,4170,0.0131831,CDP,4172,1183,3.574,39.0999,-75.5063,25,10001,10001
