state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Florida,Jacksonville,1008485,1008485,951880.0,0.0113532,City,997164,1350,747.261,30.3369,-81.6616,1,12031,12031
Florida,Miami,464655,464655,442827.0,0.00948535,City,460289,12909,35.996,25.7752,-80.2086,2,12086,12086
Florida,Tampa,413657,413657,387924.0,0.0125994,City,408510,3640,113.638,27.9663,-82.4776,3,12057,12057
Florida,Orlando,329347,329347,307834.0,0.0132382,City,325044,2961,111.236,28.4086,-81.2548,4,12095,12095
Florida,Port St. Lucie,270491,270491,206815.0,0.0494072,City,257756,2269,119.216,27.2806,-80.3883,5,12099,12099
Florida,St. Petersburg,266411,266411,259266.0,0.00539282,City,264982,4311,61.804,27.7627,-82.6441,6,12103,12103
Florida,Cape Coral,243810,243810,195422.0,0.0413357,City,234132,2297,106.123,26.6432,-81.9974,7,12071,12071
Florida,Hialeah,220561,220561,222408.0,-0.00167021,City,220930,10220,21.581,25.8699,-80.3029,8,12011,12011
Florida,Tallahassee,205079,205079,197933.0,0.00701694,City,203650,2002,102.428,30.4535,-84.2523,9,12031,12031
Florida,Fort Lauderdale,185163,185163,182892.0,0.00245792,City,184709,5354,34.582,26.1412,-80.1467,10,12011,12011
Florida,Pembroke Pines,171149,171149,171073.0,8.765e-05,City,171134,5237,32.681,26.0147,-80.3402,11,12011,12011
Florida,Hollywood,154563,154563,152802.0,0.00228259,City,154211,5672,27.251,26.031,-80.1646,12,12011,12011
Florida,Gainesville,148190,148190,142245.0,0.00808838,City,147001,2316,63.986,29.6795,-82.3468,13,12031,12031
Florida,Palm Bay,145834,145834,120163.0,0.036489,City,140700,1682,86.679,27.9649,-80.6583,14,12009,12009
Florida,Miramar,140854,140854,134516.0,0.009084,City,139586,4882,28.853,25.9725,-80.3386,15,12011,12011
Florida,Coral Springs,135398,135398,134168.0,0.00182017,City,135152,5922,22.864,26.2707,-80.2593,16,12011,12011
Florida,Lehigh Acres,133854,133854,124523.0,0.0240062,CDP,130716,1444,92.694,26.6127,-81.6388,17,12071,12071
Florida,West Palm Beach,128545,128545,117507.0,0.0174771,City,126337,2386,53.872,26.7451,-80.127,18,12099,12099
Florida,Lakeland,127848,127848,113888.0,0.022326,City,125056,1921,66.561,28.0555,-81.9548,19,12105,12105
