state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Georgia,Atlanta,518107,518107,499896.0,0.0070792,City,514465,3831,135.253,33.7629,-84.4227,1,13121,13121
Georgia,Augusta,200140,200140,201999.0,-0.00185525,Township,200512,662,302.282,33.3655,-82.0734,2,13245,13245
Georgia,Columbus,198457,198457,207006.0,-0.00854287,City,200167,917,216.5,32.5102,-84.8749,3,13063,13063
Georgia,Macon-Bibb County,156163,156163,157035.0,-0.00111298,Township,156337,626,249.383,32.8088,-83.6942,4,13151,13151
Georgia,Savannah,147942,147942,147456.0,0.000656092,City,147845,1359,108.888,32.018,-81.1965,5,13051,13051
Georgia,Athens,129550,129550,127245.0,0.00357118,Township,129089,1113,116.437,33.9496,-83.3701,6,13139,13139
Georgia,South Fulton,112726,112726,108211.0,0.00807526,City,111823,1213,92.954,33.6357,-84.5834,7,13121,13121
Georgia,Sandy Springs,104210,104210,108167.0,-0.00753326,City,105001,2767,37.663,33.9315,-84.3689,8,13121,13121
Georgia,Roswell,90880,90880,92944.0,-0.0045239,City,91293,2232,40.714,34.0395,-84.3509,9,13057,13057
Georgia,Warner Robins,87170,87170,80587.0,0.0153402,City,85853,2283,38.178,32.5971,-83.6539,10,13151,13151
Georgia,Johns Creek,80123,80123,82585.0,-0.00610308,City,80615,2600,30.813,34.0327,-84.2038,11,13135,13135
Georgia,Alpharetta,67784,67784,65964.0,0.00539899,City,67420,2520,26.9,34.0709,-84.2727,12,13057,13057
Georgia,Albany,65395,65395,69100.0,-0.0112042,City,66136,1188,55.064,31.5781,-84.1762,13,13151,13151
Georgia,Marietta,63914,63914,61051.0,0.00904627,City,63341,2719,23.507,33.9536,-84.5425,14,13067,13067
Georgia,Stonecrest,61617,61617,59266.0,0.0076864,City,61147,1647,37.403,33.6807,-84.1452,15,13089,13089
Georgia,Brookhaven,58702,58702,56809.0,0.00649829,City,58323,4785,12.267,33.8612,-84.3385,16,13089,13089
Georgia,Smyrna,56832,56832,56167.0,0.00234572,City,56699,3554,15.993,33.8626,-84.5161,17,13121,13121
Georgia,Valdosta,54766,54766,55413.0,-0.00234994,City,54895,1522,35.986,30.8501,-83.2788,18,13051,13051
Georgia,Dunwoody,51779,51779,51614.0,0.00063773,City,51746,3975,13.026,33.9414,-84.3127,19,13089,13089
Georgia,Gainesville,50393,50393,42573.0,0.0320301,City,48829,1495,33.697,34.2901,-83.8291,20,13139,13139
Georgia,Newnan,46324,46324,42864.0,0.0151648,City,45632,2370,19.55,33.3797,-84.7712,21,13063,13063
Georgia,Mableton,42780,42780,41647.0,0.00891467,CDP,42402,2095,20.417,33.8145,-84.5658,22,13121,13121
Georgia,Peachtree Corners,42067,42067,42239.0,-0.000807581,City,42101,2611,16.114,33.9672,-84.2323,23,13089,13089
Georgia,Douglasville,41888,41888,34790.0,0.0350895,City,40468,1825,22.957,33.7368,-84.7011,24,13067,13067
Georgia,Peachtree City,41409,41409,38369.0,0.0149016,City,40801,1648,25.134,33.3919,-84.5707,25,13063,13063
Georgia,Milton,41376,41376,41393.0,-7.25e-05,City,41379,1075,38.504,34.1443,-84.3142,26,13057,13057
Georgia,Woodstock,40623,40623,35247.0,0.0271822,City,39548,3136,12.953,34.1031,-84.513,27,13057,13057
Georgia,Evans,39567,39567,38443.0,0.0180887,CDP,38864,1566,25.267,33.5676,-82.1406,28,13245,13245
Georgia,Canton,39158,39158,33405.0,0.0302839,City,38007,2105,18.603,34.2472,-84.4907,29,13057,13057
Georgia,Rome,38399,38399,37679.0,0.00376421,City,38255,1208,31.786,34.2661,-85.1861,30,13067,13067
Georgia,East Point,37919,37919,38409.0,-0.00257779,City,38017,2574,14.733,33.6711,-84.4734,31,13121,13121
Georgia,Hinesville,36924,36924,35066.0,0.0101773,City,36552,2017,18.302,31.8267,-81.6158,32,13051,13051
Georgia,Tucker,36855,36855,37155.0,-0.00162535,City,36915,1823,20.218,33.8452,-84.2021,33,13089,13089
Georgia,Kennesaw,35562,35562,33364.0,0.0125278,City,35122,3644,9.758,34.0272,-84.6171,34,13067,13067
Georgia,Stockbridge,35249,35249,35756.0,-0.00285714,City,35350,1847,19.082,33.53,-84.2343,35,13151,13151
Georgia,Statesboro,35103,35103,33475.0,0.00937401,City,34777,2338,15.011,32.4377,-81.7756,36,13051,13051
Georgia,Dalton,34566,34566,34421.0,0.000839679,City,34537,1624,21.282,34.7679,-84.9728,37,13057,13057
