state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Hawaii,Honolulu,337338,337338,348438,-0.00653791,CDP,339558,5565,60.622,21.3243,-157.848,1,15003,15003
Hawaii,East Honolulu,49385,49385,47132,-0.000708215,CDP,49420,2147,23.006,21.2884,-157.718,2,15003,15003
Hawaii,Hilo,48718,48718,45248,0.00752782,CDP,48354,909,53.606,19.6887,-155.083,3,15001,15001
Hawaii,Pearl City,46590,46590,45159,-0.0015858,CDP,46664,5109,9.12,21.4026,-157.957,4,15003,15003
Hawaii,Kailua,40745,40745,37900,0.00347256,CDP,40604,5243,7.772,21.3968,-157.736,5,15003,15003
Hawaii,Waipahu,40287,40287,38276,0.0034372,CDP,40149,15044,2.678,21.3849,-158.011,6,15003,15003
Hawaii,Kaneohe,35717,35717,33540,0.00210426,CDP,35642,5459,6.543,21.4093,-157.79,7,15003,15003
Hawaii,Ewa Gentry,28325,28325,26358,0.0134531,CDP,27949,13304,2.129,21.3344,-158.026,8,15003,15003
Hawaii,Kahului,27457,27457,29993,0.00273903,CDP,27382,1909,14.386,20.8685,-156.466,9,15009,15009
Hawaii,Mililani Town,27371,27371,27459,-0.000657198,CDP,27389,6827,4.009,21.4465,-158.015,10,15003,15003
Hawaii,Kapolei,24580,24580,21541,0.0261334,CDP,23954,5626,4.369,21.3399,-158.068,11,15003,15003
Hawaii,Kailua,23818,23818,22972,0.0343061,CDP,23028,1726,13.797,19.6456,-155.998,12,15001,15001
Hawaii,Kihei,22588,22588,22749,0.00502781,CDP,22475,2412,9.364,20.7661,-156.435,13,15009,15009
Hawaii,Makakilo,21757,21757,19565,0.0108721,CDP,21523,5694,3.821,21.359,-158.081,14,15003,15003
Hawaii,Mililani Mauka,21673,21673,19808,0.00198798,CDP,21630,5426,3.994,21.4756,-157.995,15,15003,15003
Hawaii,Schofield Barracks,18574,18574,18276,0.00797742,CDP,18427,6703,2.771,21.4928,-158.062,16,15003,15003
Hawaii,Ocean Pointe,18126,18126,15688,0.0372532,CDP,17475,8956,2.024,21.3135,-158.027,17,15003,15003
Hawaii,Wahiawa,17295,17295,16442,-0.00201962,CDP,17330,7556,2.289,21.5007,-158.018,18,15003,15003
Hawaii,Wailuku,16909,16909,17523,0.0063084,CDP,16803,3212,5.265,20.8855,-156.504,19,15009,15009
Hawaii,Ewa Beach,15220,15220,13803,0.00118405,CDP,15202,12779,1.191,21.3127,-158.006,20,15003,15003
Hawaii,Kaiminani,14664,14664,11276,0.0714599,CDP,13686,394,37.208,19.7567,-156.001,21,15001,15001
Hawaii,Kaneohe Base,14604,14604,11237,0.07146,CDP,13630,3316,4.404,21.4454,-157.751,22,15003,15003
Hawaii,Halawa,14510,14510,13953,0.00227948,CDP,14477,6074,2.389,21.3753,-157.918,23,15003,15003
Hawaii,Waimalu,13983,13983,13714,0.00121724,CDP,13966,7637,1.831,21.3912,-157.933,24,15003,15003
Hawaii,Waianae,13892,13892,13192,0.00346721,CDP,13844,2575,5.394,21.4518,-158.182,25,15003,15003
