state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Idaho,Boise City,235012,235012,236034,-0.000867287,City,235216,2779,84.553,43.6002,-116.232,1,16001,16001
Idaho,Meridian,145039,145039,119443,0.0365852,City,139920,3935,36.859,43.6115,-116.401,2,16001,16001
Idaho,Nampa,122906,122906,101310,0.0364205,City,118587,3535,34.773,43.5855,-116.566,3,16027,16027
Idaho,Caldwell,73466,73466,60641,0.0361772,City,70901,3124,23.515,43.6459,-116.659,4,16027,16027
Idaho,Idaho Falls,69398,69398,65905,0.0101748,City,68699,2612,26.567,43.4888,-112.036,5,16019,16019
Idaho,Pocatello,59149,59149,56436,0.00926526,City,58606,1762,33.571,42.8727,-112.464,6,16005,16005
Idaho,Coeur,58195,58195,54942,0.0113131,City,57544,3611,16.115,47.7035,-116.794,7,16055,16055
Idaho,Twin Falls,56849,56849,52083,0.0170495,City,55896,2901,19.594,42.5647,-114.461,8,16053,16053
Idaho,Post Falls,48494,48494,39253,0.0396175,City,46646,2615,18.546,47.7256,-116.944,9,16055,16055
Idaho,Rexburg,40344,40344,39421,0.00460669,City,40159,3990,10.112,43.8229,-111.791,10,16065,16065
Idaho,Lewiston,35230,35230,34245,0.00562327,City,35033,2017,17.469,46.3931,-116.993,11,16069,16069
Idaho,Eagle,33285,33285,30870,0.0147247,City,32802,1025,32.462,43.6934,-116.346,12,16001,16001
Idaho,Kuna,30427,30427,24484,0.0406663,City,29238,1185,25.676,43.5248,-116.404,13,16001,16001
Idaho,Moscow,26968,26968,25515,0.0109083,City,26677,3903,6.909,46.7306,-116.999,14,16057,16057
Idaho,Ammon,20778,20778,17875,0.0287666,City,20197,2580,8.055,43.4717,-111.96,15,16019,16019
Idaho,Star,19590,19590,11447,0.0906965,City,17961,2014,9.725,43.7,-116.49,16,16027,16027
Idaho,Mountain Home,17139,17139,16048,0.0128834,City,16921,2433,7.044,43.1318,-115.697,17,16039,16039
Idaho,Hayden,16935,16935,15652,0.0154095,City,16678,1608,10.529,47.7685,-116.801,18,16055,16055
Idaho,Chubbuck,16824,16824,15669,0.0139215,City,16593,2710,6.209,42.9262,-112.463,19,16011,16011
Idaho,Jerome,13641,13641,12376,0.0188975,City,13388,2410,5.659,42.7181,-114.516,20,16053,16053
