state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Indiana,Indianapolis,874037,874037,887177.0,-0.00299772,Township,876665,2421,361.017,39.7767,-86.1459,1,18097,18097
Indiana,Fort Wayne,273736,273736,264380.0,0.00688209,City,271865,2474,110.628,41.0891,-85.1439,2,18003,18003
Indiana,Evansville,113971,113971,117373.0,-0.00593104,City,114651,2407,47.355,37.9877,-87.5347,3,18163,18163
Indiana,Fishers,107169,107169,99481.0,0.0145601,City,105631,2973,36.052,39.9618,-85.9684,4,18057,18057
Indiana,Carmel,103890,103890,99905.0,0.00773088,City,103093,2116,49.086,39.9655,-86.1484,5,18057,18057
Indiana,South Bend,103435,103435,103335.0,0.000193395,City,103415,2469,41.895,41.6766,-86.2688,6,18141,18141
Indiana,Bloomington,78682,78682,79077.0,-0.00100303,City,78761,3384,23.25,39.1637,-86.5243,7,18105,18105
Indiana,Noblesville,76425,76425,70152.0,0.0166955,City,75170,2195,34.819,40.0353,-86.0002,8,18057,18057
Indiana,Hammond,75146,75146,77763.0,-0.00691168,City,75669,3304,22.741,41.6187,-87.4949,9,18089,18089
Indiana,Lafayette,71529,71529,70746.0,0.00219974,City,71372,2435,29.377,40.3994,-86.8628,10,18157,18157
Indiana,Greenwood,67839,67839,63981.0,0.0115109,City,67067,2412,28.121,39.603,-86.1085,11,18081,18081
Indiana,Gary,66747,66747,69009.0,-0.00672629,City,67199,1337,49.932,41.5907,-87.3471,12,18089,18089
Indiana,Muncie,65063,65063,65107.0,-0.000138308,City,65072,2374,27.404,40.1988,-85.3951,13,18095,18095
Indiana,Westfield,64900,64900,47015.0,0.0583305,City,61323,1990,32.608,40.036,-86.1522,14,18057,18057
Indiana,Kokomo,60100,60100,59575.0,0.00175014,City,59995,1639,36.678,40.464,-86.1273,15,18057,18057
Indiana,Terre Haute,58570,58570,58400.0,0.000580839,City,58536,1684,34.773,39.4642,-87.376,16,18105,18105
Indiana,Anderson,55509,55509,54734.0,0.00280016,City,55354,1332,41.673,40.0898,-85.6894,17,18095,18095
Indiana,Elkhart,53228,53228,53867.0,-0.00239898,City,53356,1918,27.752,41.6915,-85.9622,18,18039,18039
Indiana,Jeffersonville,52347,52347,49566.0,0.0107355,City,51791,1536,34.077,38.3324,-85.6961,19,18105,18105
Indiana,Columbus,52203,52203,50500.0,0.00657514,City,51862,1821,28.666,39.2087,-85.9191,20,18081,18081
Indiana,Mishawaka,50708,50708,51042.0,-0.00131955,City,50775,2813,18.029,41.6766,-86.1654,21,18141,18141
Indiana,Lawrence,49164,49164,49341.0,-0.000711396,City,49199,2440,20.148,39.866,-85.9896,22,18097,18097
Indiana,West Lafayette,44981,44981,44601.0,0.00169246,City,44905,3317,13.559,40.4437,-86.9236,23,18157,18157
Indiana,Portage,38882,38882,37959.0,0.00478073,City,38697,1517,25.634,41.5916,-87.1789,24,18127,18127
Indiana,Plainfield,38475,38475,34905.0,0.0189084,Town,37761,1431,26.895,39.6932,-86.372,25,18063,18063
Indiana,New Albany,37016,37016,37798.0,-0.00419671,City,37172,2388,15.5,38.3122,-85.824,26,18105,18105
Indiana,Merrillville,36273,36273,36457.0,-0.001019,Town,36310,1092,33.219,41.4727,-87.3181,27,18089,18089
Indiana,Crown Point,35474,35474,33998.0,0.00838568,City,35179,1866,19.011,41.4091,-87.3469,28,18089,18089
Indiana,Richmond,35243,35243,35697.0,-0.00257542,City,35334,1468,24.005,39.8321,-84.8909,29,18095,18095
Indiana,Valparaiso,34937,34937,34162.0,0.00445633,City,34782,2082,16.779,41.4798,-87.0523,30,18127,18127
Indiana,Brownsburg,34296,34296,29181.0,0.0307456,Town,33273,2017,17.003,39.8344,-86.3857,31,18063,18063
Indiana,Goshen,34261,34261,34496.0,-0.00136994,City,34308,1921,17.835,41.5739,-85.83,32,18039,18039
Indiana,Zionsville,33665,33665,30837.0,0.0171002,Town,33099,501,67.19,39.9915,-86.3217,33,18057,18057
Indiana,Michigan City,31425,31425,32010.0,-0.00370934,City,31542,1540,20.407,41.7088,-86.8669,34,18127,18127
Indiana,Granger,29907,29907,30499.0,-0.00126899,CDP,29945,1216,24.603,41.7377,-86.1344,35,18141,18141
Indiana,Schererville,29654,29654,29661.0,-3.3721e-05,Town,29655,1963,15.109,41.4852,-87.4434,36,18089,18089
Indiana,Hobart,29202,29202,29717.0,-0.00351476,City,29305,1115,26.195,41.5135,-87.2764,37,18089,18089
Indiana,Marion,28007,28007,28251.0,-0.00174651,City,28056,1784,15.703,40.55,-85.6604,38,18095,18095
Indiana,Greenfield,27486,27486,23570.0,0.0293225,City,26703,1958,14.038,39.7933,-85.7725,39,18097,18097
Indiana,Franklin,26264,26264,25374.0,0.00682358,City,26086,1716,15.305,39.4949,-86.0506,40,18081,18081
Indiana,Avon,25928,25928,21685.0,0.033853,Town,25079,1341,19.329,39.7607,-86.3941,41,18063,18063
Indiana,St. John,25729,25729,20516.0,0.0422507,Town,24686,2020,12.739,41.4418,-87.4678,42,18089,18089
Indiana,East Chicago,25488,25488,26342.0,-0.00666433,City,25659,1806,14.11,41.6481,-87.4529,43,18089,18089
Indiana,Munster,23432,23432,23887.0,-0.00386855,Town,23523,3109,7.537,41.5469,-87.5046,44,18089,18089
Indiana,Highland,23233,23233,23962.0,-0.00624492,Town,23379,3355,6.925,41.5466,-87.4576,45,18089,18089
Indiana,La Porte,22534,22534,22413.0,0.00106619,City,22510,1832,12.301,41.6061,-86.7137,46,18127,18127
Indiana,Clarksville,22134,22134,22319.0,-0.00166885,Town,22171,2205,10.04,38.3221,-85.7676,47,18105,18105
Indiana,Seymour,21690,21690,21629.0,0.000553556,City,21678,1788,12.132,38.9475,-85.8913,48,18081,18081
Indiana,Shelbyville,20930,20930,20127.0,0.00775194,City,20769,1528,13.694,39.5453,-85.7795,49,18081,18081
Indiana,Logansport,18159,18159,18343.0,-0.00203341,City,18196,1730,10.494,40.7481,-86.3547,50,18157,18157
Indiana,Lebanon,17610,17610,16715.0,0.0102691,City,17431,1018,17.307,40.0331,-86.4482,51,18063,18063
Indiana,Cedar Lake,17320,17320,14190.0,0.0374985,Town,16694,1882,9.203,41.3723,-87.442,52,18089,18089
Indiana,New Castle,17283,17283,17398.0,-0.00132902,City,17306,2360,7.324,39.9198,-85.3701,53,18095,18095
Indiana,Huntington,16977,16977,17014.0,-0.000412152,City,16984,1798,9.443,40.8808,-85.5055,54,18003,18003
Indiana,Jasper,16831,16831,16706.0,0.00148756,City,16806,1266,13.299,38.3932,-86.9406,55,18163,18163
Indiana,Crawfordsville,16744,16744,16326.0,0.00504202,City,16660,1676,9.989,40.0419,-86.8976,56,18157,18157
Indiana,Vincennes,16480,16480,16750.0,-0.003266,City,16534,2211,7.455,38.6766,-87.51,57,18163,18163
Indiana,Warsaw,16290,16290,15807.0,0.00599024,City,16193,1203,13.545,41.2461,-85.8485,58,18039,18039
Indiana,Dyer,16221,16221,16500.0,-0.00344044,Town,16277,2635,6.156,41.4978,-87.509,59,18089,18089
Indiana,New Haven,16218,16218,15608.0,0.00757952,City,16096,1363,11.901,41.0679,-85.0163,60,18003,18003
Indiana,Frankfort,16215,16215,16700.0,-0.00594654,City,16312,2013,8.055,40.281,-86.5213,61,18157,18157
Indiana,Griffith,16020,16020,16525.0,-0.00626512,Town,16121,2062,7.769,41.5276,-87.4239,62,18089,18089
Indiana,Chesterton,14913,14913,14273.0,0.00865742,Town,14785,1585,9.407,41.5998,-87.055,63,18127,18127
Indiana,Whitestown,14849,14849,10349.0,0.0645208,Town,13949,950,15.631,39.9717,-86.3717,64,18063,18063
Indiana,Speedway,14293,14293,13952.0,0.00478032,Town,14225,2986,4.786,39.7937,-86.2475,65,18097,18097
Indiana,Beech Grove,14246,14246,14685.0,-0.00613925,City,14334,3188,4.469,39.7157,-86.087,66,18097,18097
Indiana,Auburn,14127,14127,13529.0,0.00856714,City,14007,1747,8.086,41.3676,-85.055,67,18003,18003
Indiana,Bedford,13889,13889,13803.0,0.00122549,City,13872,1138,12.21,38.8602,-86.4895,68,18105,18105
Indiana,Connersville,13279,13279,13326.0,-0.000677302,City,13288,1710,7.766,39.658,-85.1417,69,18095,18095
Indiana,Lake Station,12901,12901,13266.0,-0.00562664,City,12974,1556,8.293,41.5767,-87.2529,70,18089,18089
Indiana,McCordsville,12869,12869,8878.0,0.0661089,Town,12071,1552,8.292,39.8973,-85.9174,71,18057,18057
Indiana,Washington,12826,12826,12043.0,0.0123925,City,12669,1923,6.67,38.6582,-87.1604,72,18163,18163
Indiana,Greensburg,12385,12385,12330.0,0.00088896,City,12374,1323,9.362,39.351,-85.5012,73,18081,18081
Indiana,Madison,12122,12122,12336.0,-0.00353473,City,12165,1403,8.64,38.7588,-85.3971,74,18081,18081
Indiana,Danville,12102,12102,10659.0,0.0244646,Town,11813,1203,10.062,39.7588,-86.4953,75,18063,18063
Indiana,Bargersville,11979,11979,9719.0,0.0392123,Town,11527,640,18.709,39.5426,-86.2032,76,18081,18081
Indiana,Martinsville,11960,11960,11925.0,0.000585627,City,11953,1306,9.157,39.4147,-86.4317,77,18105,18105
Indiana,Yorktown,11878,11878,11532.0,0.005843,Town,11809,372,31.93,40.1819,-85.5082,78,18095,18095
Indiana,Lowell,11593,11593,10707.0,0.0155046,Town,11416,1651,7.023,41.2905,-87.4199,79,18089,18089
Indiana,Plymouth,11507,11507,10212.0,0.0230263,City,11248,1520,7.571,41.3488,-86.3193,80,18141,18141
Indiana,Huntertown,11481,11481,11068.0,0.00728198,Town,11398,1639,7.005,41.2173,-85.1614,81,18003,18003
Indiana,Peru,10963,10963,10937.0,0.000456287,City,10958,2168,5.056,40.7587,-86.0706,82,18095,18095
Indiana,Bluffton,10569,10569,10313.0,0.00484883,City,10518,1239,8.528,40.7435,-85.1721,83,18003,18003
Indiana,Sellersburg,10514,10514,9374.0,0.022166,Town,10286,1419,7.411,38.3995,-85.7743,84,18105,18105
Indiana,Columbia City,10244,10244,9949.0,0.00579283,City,10185,1866,5.49,41.1631,-85.4788,85,18003,18003
Indiana,Kendallville,10219,10219,10269.0,-0.000977612,City,10229,1671,6.115,41.4434,-85.2582,86,18003,18003
Indiana,Wabash,10169,10169,10419.0,-0.00489285,City,10219,1054,9.644,40.8028,-85.8292,87,18095,18095
Indiana,Mooresville,10135,10135,9444.0,0.0138041,Town,9997,1511,6.706,39.6025,-86.3687,88,18063,18063
Indiana,Decatur,10084,10084,9923.0,0.00318345,City,10052,1653,6.102,40.8289,-84.9278,89,18003,18003
Indiana,Greencastle,9926,9926,9815.0,0.00222132,City,9904,1904,5.212,39.6418,-86.8463,90,18063,18063
Indiana,Angola,9519,9519,9361.0,0.00337304,City,9487,1443,6.596,41.6411,-85.011,91,18003,18003
Indiana,Charlestown,8886,8886,7821.0,0.024559,City,8673,776,11.448,38.4298,-85.6704,92,18105,18105
Indiana,Winfield,8575,8575,7249.0,0.0318893,Town,8310,692,12.397,41.4121,-87.2624,93,18089,18089
Indiana,Princeton,8460,8460,8312.0,0.00355872,City,8430,1545,5.475,38.3545,-87.5795,94,18163,18163
Indiana,Elwood,8436,8436,8403.0,0.000830466,City,8429,2126,3.968,40.2738,-85.8373,95,18095,18095
Indiana,Brazil,8242,8242,8171.0,0.00170151,City,8228,2235,3.687,39.5224,-87.1245,96,18063,18063
Indiana,Lakes Four Seasons,7728,7728,7081.0,0.00598802,CDP,7682,3392,2.278,41.4037,-87.2214,97,18089,18089
Indiana,South Haven,7726,7726,5017.0,0.0215523,CDP,7563,3401,2.272,41.5387,-87.1404,98,18127,18127
Indiana,Tell City,7474,7474,7501.0,-0.000668538,City,7479,1648,4.534,37.953,-86.7593,99,18163,18163
Indiana,Batesville,7450,7450,7210.0,0.00648473,City,7402,1211,6.152,39.2977,-85.2135,100,18081,18081
Indiana,Scottsburg,7395,7395,7339.0,0.00148971,City,7384,1335,5.54,38.6845,-85.7822,101,18081,18081
Indiana,Dunlap,6940,6940,7273.0,0.00681851,CDP,6893,1414,4.907,41.6347,-85.9226,102,18039,18039
Indiana,Nappanee,6818,6818,6953.0,-0.00394448,City,6845,1383,4.929,41.4461,-85.9968,103,18039,18039
Indiana,Garrett,6739,6739,6544.0,0.0058209,City,6700,1618,4.166,41.3526,-85.1237,104,18003,18003
Indiana,Ellettsville,6721,6721,6653.0,0.00208737,Town,6707,1299,5.175,39.2322,-86.6241,105,18105,18105
Indiana,Cumberland,6709,6709,5983.0,0.0220902,Town,6564,2387,2.811,39.7868,-85.9446,106,18097,18097
Indiana,Boonville,6679,6679,6686.0,-0.0001497,City,6680,1165,5.731,38.0466,-87.291,107,18163,18163
Indiana,Notre Dame,6606,6606,6699.0,0.00655188,CDP,6563,5589,1.182,41.7003,-86.2387,108,18141,18141
Indiana,Huntingburg,6557,6557,6401.0,0.00475023,City,6526,1297,5.054,38.3009,-86.9619,109,18163,18163
Indiana,North Vernon,6540,6540,6604.0,-0.00198382,City,6553,852,7.674,39.0149,-85.6301,110,18081,18081
Indiana,Salem,6365,6365,6545.0,-0.00562412,City,6401,1507,4.223,38.6046,-86.0975,111,18105,18105
Indiana,Mount Vernon,6273,6273,6477.0,-0.00649351,City,6314,2180,2.878,37.937,-87.8959,112,18163,18163
Indiana,Pendleton,6189,6189,4726.0,0.0496947,Town,5896,463,13.358,40.0058,-85.7714,113,18095,18095
Indiana,Rushville,6188,6188,6195.0,-0.000161576,City,6189,1801,3.435,39.6186,-85.4458,114,18095,18095
Indiana,Rochester,6172,6172,6269.0,-0.00306897,City,6191,1350,4.572,41.0604,-86.1983,115,18141,18141
Indiana,Portland,6095,6095,6324.0,-0.00749064,City,6141,1251,4.873,40.4377,-84.9835,116,18003,18003
Indiana,Gas City,6059,6059,6138.0,-0.00263374,City,6075,1205,5.027,40.4887,-85.5943,117,18095,18095
Indiana,Whiteland,5925,5925,4649.0,0.0449735,Town,5670,1083,5.472,39.5551,-86.0743,118,18081,18081
Indiana,New Whiteland,5908,5908,5570.0,0.0116438,Town,5840,4066,1.453,39.5617,-86.0994,119,18081,18081
Indiana,Hartford City,5900,5900,6085.0,-0.0062321,City,5937,1520,3.882,40.4537,-85.3732,120,18095,18095
Indiana,Bright,5899,5899,5801.0,0.00220863,CDP,5886,470,12.541,39.2249,-84.8623,121,18081,18081
Indiana,Highland,5865,5865,5276.0,0.0157603,CDP,5774,2586,2.268,38.0462,-87.5617,122,18163,18163
Indiana,Cicero,5836,5836,5320.0,0.0179662,Town,5733,3583,1.629,40.1219,-86.034,123,18057,18057
Indiana,Floyds Knobs,5719,5719,,0.071375,CDP,5338,892,6.414,38.3333,-85.8848,124,18105,18105
Indiana,Rensselaer,5662,5662,5716.0,-0.00193901,City,5673,842,6.728,40.9396,-87.1687,125,18127,18127
Indiana,Hidden Valley,5603,5603,5075.0,0.00250492,CDP,5589,1321,4.241,39.1683,-84.845,126,18081,18081
Indiana,Monticello,5565,5565,5509.0,0.00198055,City,5554,1606,3.466,40.7452,-86.7673,127,18157,18157
Indiana,Westville,5263,5263,5275.0,-0.000379867,Town,5265,1619,3.251,41.5375,-86.9049,128,18127,18127
Indiana,Lawrenceburg,5232,5232,5137.0,0.00364473,City,5213,990,5.286,39.1074,-84.8758,129,18081,18081
Indiana,Linton,5232,5232,5137.0,0.00364473,City,5213,1598,3.275,39.0355,-87.1571,130,18105,18105
Indiana,Tipton,5214,5214,5291.0,-0.00286862,City,5229,1904,2.738,40.2825,-86.0432,131,18057,18057
Indiana,Porter,5205,5205,5202.0,0.000192159,Town,5204,845,6.161,41.6275,-87.0827,132,18127,18127
Indiana,North Manchester,5193,5193,5273.0,-0.00307161,Town,5209,1464,3.546,41.0043,-85.7756,133,18039,18039
Indiana,Alexandria,5175,5175,5144.0,0.00116077,City,5169,1711,3.025,40.263,-85.6737,134,18095,18095
Indiana,Winona Lake,5125,5125,5059.0,0.00254303,Town,5112,1737,2.95,41.2171,-85.8131,135,18039,18039
Indiana,Fortville,4818,4818,4808.0,0.000415282,Town,4816,1336,3.607,39.9248,-85.8464,136,18057,18057
Indiana,Clinton,4773,4773,4815.0,-0.00167329,City,4781,2119,2.252,39.661,-87.4047,137,18157,18157
Indiana,Winchester,4750,4750,4820.0,-0.00293871,City,4764,1373,3.459,40.1721,-84.9771,138,18095,18095
Indiana,Ligonier,4638,4638,4562.0,0.00324465,City,4623,1656,2.801,41.4619,-85.5959,139,18039,18039
Indiana,Pittsboro,4547,4547,3767.0,0.0355272,Town,4391,1113,4.084,39.8698,-86.4639,140,18063,18063
Indiana,Bremen,4546,4546,4690.0,-0.0063388,Town,4575,1604,2.834,41.4488,-86.1507,141,18141,18141
Indiana,Greendale,4536,4536,4606.0,-0.00307692,City,4550,801,5.663,39.1477,-84.8299,142,18081,18081
Indiana,Simonton Lake,4489,4489,5081.0,-0.0028876,CDP,4502,1333,3.367,41.7542,-85.9705,143,18039,18039
Indiana,North Terre Haute,4485,4485,4371.0,0.00268276,CDP,4473,1252,3.581,39.537,-87.3653,144,18063,18063
Indiana,Whiting,4462,4462,4571.0,-0.00490633,City,4484,2469,1.807,41.673,-87.484,145,18089,18089
Indiana,Edinburgh,4421,4421,4440.0,-0.000903954,Town,4425,1423,3.106,39.3509,-85.9625,146,18081,18081
Indiana,DeMotte,4336,4336,4180.0,0.00720093,Town,4305,1209,3.586,41.1993,-87.1954,147,18127,18127
Indiana,Berne,4257,4257,4182.0,0.00353607,City,4242,1840,2.313,40.6573,-84.9555,148,18003,18003
Indiana,Austin,4229,4229,4056.0,0.00834525,City,4194,1354,3.124,38.74,-85.8106,149,18081,18081
Indiana,Sullivan,4199,4199,4258.0,-0.00284968,City,4211,2239,1.875,39.0973,-87.4073,150,18105,18105
Indiana,New Palestine,4047,4047,2781.0,0.0666842,Town,3794,1990,2.034,39.7294,-85.8943,151,18097,18097
Indiana,Chandler,4015,4015,3685.0,0.0167131,Town,3949,1378,2.914,38.0373,-87.3741,152,18163,18163
Indiana,Mitchell,3954,3954,3923.0,0.00151976,City,3948,1100,3.594,38.7371,-86.4752,153,18105,18105
Indiana,Hanover,3864,3864,3739.0,0.00651211,Town,3839,1740,2.221,38.7075,-85.4672,154,18081,18081
Indiana,Upland,3805,3805,3812.0,-0.000262743,Town,3806,1213,3.138,40.4628,-85.501,155,18095,18095
Indiana,Leo-Cedarville,3775,3775,3637.0,0.00747264,Town,3747,1014,3.724,41.2206,-85.0219,156,18003,18003
Indiana,Georgetown,3760,3760,3812.0,-0.00265252,Town,3770,1728,2.176,38.2988,-85.9631,157,18105,18105
Indiana,Hebron,3725,3725,3749.0,-0.00134048,Town,3730,1863,2.0,41.3251,-87.2019,158,18127,18127
Indiana,Middlebury,3674,3674,3679.0,-0.000272108,Town,3675,802,4.581,41.6706,-85.7087,159,18039,18039
Indiana,Paoli,3563,3563,3655.0,-0.00502653,Town,3581,953,3.739,38.5567,-86.4704,160,18105,18105
Indiana,Knox,3556,3556,3663.0,-0.00587084,City,3577,899,3.956,41.291,-86.6212,161,18141,18141
Indiana,Sheridan,3527,3527,3111.0,0.0240999,Town,3444,1400,2.519,40.1309,-86.2185,162,18057,18057
Indiana,Aurora,3525,3525,3482.0,0.00255973,City,3516,1071,3.292,39.0698,-84.9047,163,18081,18081
Indiana,Newburgh,3470,3470,3334.0,0.007842,Town,3443,2326,1.492,37.9493,-87.4055,164,18163,18163
Indiana,Ossian,3413,3413,3335.0,0.00471004,Town,3397,1906,1.791,40.8769,-85.1687,165,18003,18003
Indiana,Union City,3409,3409,3444.0,-0.00204918,City,3416,1510,2.257,40.1993,-84.8206,166,18095,18095
Indiana,Melody Hill,3403,3403,3481.0,-0.00438853,CDP,3418,2488,1.368,38.0245,-87.5135,167,18163,18163
Indiana,Attica,3352,3352,3047.0,0.0185354,City,3291,1858,1.804,40.2874,-87.2452,168,18157,18157
Indiana,Shorewood Forest,3342,3342,2931.0,0.0127273,CDP,3300,1760,1.899,41.46,-87.1482,169,18127,18127
Indiana,Syracuse,3204,3204,3236.0,-0.00186916,Town,3210,1448,2.213,41.4219,-85.7498,170,18039,18039
Indiana,Corydon,3171,3171,3163.0,0.000631113,Town,3169,1919,1.652,38.2129,-86.1256,171,18105,18105
Indiana,Smithville-Sanders,3078,3078,3411.0,-0.00226904,CDP,3085,287,10.719,39.0597,-86.5108,172,18105,18105
Indiana,Delphi,3017,3017,2967.0,0.00332557,City,3007,1111,2.715,40.5834,-86.6668,173,18157,18157
Indiana,Bicknell,3006,3006,3031.0,-0.00166058,City,3011,2222,1.353,38.7743,-87.3078,174,18163,18163
Indiana,Brownstown,3005,3005,3025.0,-0.00132935,Town,3009,1856,1.619,38.8791,-86.0477,175,18105,18105
Indiana,Fort Branch,2906,2906,2968.0,-0.0041124,Town,2918,2671,1.088,38.2458,-87.5732,176,18163,18163
