state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Iowa,Des Moines,208084,208084,213826.0,-0.00548673,City,209232,2360,88.162,41.5726,-93.6102,1,19153,19153
Iowa,Cedar Rapids,134758,134758,137758.0,-0.00443269,City,135358,1817,74.162,41.9659,-91.6789,2,19113,19113
Iowa,Davenport,99489,99489,101651.0,-0.00432341,City,99921,1556,63.923,41.5568,-90.604,3,19163,19163
Iowa,Sioux City,85694,85694,85776.0,-0.000186676,City,85710,1455,58.878,42.4953,-96.3899,4,19193,19193
Iowa,Ankeny,78412,78412,68527.0,0.0258651,City,76435,2474,31.692,41.7302,-93.6025,5,19153,19153
Iowa,Iowa City,76186,76186,74916.0,0.0033451,City,75932,2957,25.763,41.6557,-91.5309,6,19103,19103
Iowa,West Des Moines,74395,74395,68919.0,0.0149386,City,73300,1573,47.293,41.5499,-93.7813,7,19153,19153
Iowa,Waterloo,66160,66160,67275.0,-0.00335929,City,66383,1074,61.595,42.4923,-92.3519,8,19013,19013
Iowa,Ames,65152,65152,66487.0,-0.00408138,City,65419,2310,28.204,42.0263,-93.6213,9,19169,19169
Iowa,Council Bluffs,62138,62138,62790.0,-0.00208775,City,62268,1446,42.963,41.236,-95.8532,10,19155,19155
Iowa,Dubuque,58359,58359,59654.0,-0.00441844,City,58618,1869,31.233,42.4989,-90.7073,11,19061,19061
Iowa,Urbandale,47495,47495,45579.0,0.00812956,City,47112,2106,22.548,41.6368,-93.7798,12,19153,19153
Iowa,Marion,42622,42622,41599.0,0.00483297,City,42417,2386,17.867,42.0454,-91.5862,13,19113,19113
Iowa,Cedar Falls,40760,40760,40702.0,0.000294492,City,40748,1385,29.433,42.5191,-92.454,14,19013,19013
Iowa,Bettendorf,40346,40346,39125.0,0.00608448,City,40102,1894,21.302,41.5668,-90.4769,15,19163,19163
Iowa,Waukee,36488,36488,24380.0,0.0710973,City,34066,1675,21.788,41.5905,-93.8828,16,19049,19049
Iowa,Marshalltown,27577,27577,27569.0,7.2529e-05,City,27575,1436,19.198,42.0343,-92.9063,17,19169,19169
Iowa,Mason City,26664,26664,27269.0,-0.00451745,City,26785,957,27.856,43.1486,-93.1998,18,19013,19013
Iowa,Ottumwa,25116,25116,25455.0,-0.00270013,City,25184,1563,16.064,41.0223,-92.4233,19,19103,19103
Iowa,Johnston,24992,24992,24111.0,0.0070922,City,24816,1282,19.49,41.692,-93.7245,20,19153,19153
Iowa,Coralville,24438,24438,22333.0,0.0175292,City,24017,1929,12.668,41.6988,-91.5968,21,19103,19103
Iowa,Fort Dodge,24409,24409,24864.0,-0.00371429,City,24500,1525,16.008,42.5099,-94.1757,22,19049,19049
Iowa,Clinton,24102,24102,24444.0,-0.0028134,City,24170,677,35.6,41.8424,-90.2428,23,19045,19045
Iowa,Burlington,23320,23320,23932.0,-0.00520433,City,23442,1619,14.408,40.8071,-91.1237,24,19103,19103
Iowa,Muscatine,23071,23071,23745.0,-0.00581746,City,23206,1268,18.196,41.4191,-91.0679,25,19163,19163
Iowa,Altoona,23047,23047,19674.0,0.0301716,City,22372,1942,11.867,41.6464,-93.4786,26,19153,19153
Iowa,North Liberty,21908,21908,20500.0,0.0130399,City,21626,2299,9.528,41.7436,-91.6112,27,19103,19103
Iowa,Clive,19239,19239,18654.0,0.00611861,City,19122,2514,7.654,41.6132,-93.7979,28,19153,19153
Iowa,Grimes,16869,16869,15601.0,0.0152874,City,16615,1405,12.007,41.6778,-93.8023,29,19153,19153
Iowa,Norwalk,16175,16175,12919.0,0.0419351,City,15524,1389,11.649,41.4837,-93.6955,30,19181,19181
Iowa,Indianola,16164,16164,15861.0,0.00378811,City,16103,1414,11.435,41.363,-93.5655,31,19181,19181
Iowa,Newton,15576,15576,15748.0,-0.00217809,City,15610,1384,11.255,41.6963,-93.0405,32,19169,19169
Iowa,Pleasant Hill,12567,12567,10192.0,0.0392822,City,12092,1162,10.813,41.5991,-93.5051,33,19153,19153
Iowa,Boone,12392,12392,12452.0,-0.000967429,City,12404,1356,9.141,42.0493,-93.8725,34,19169,19169
Iowa,Storm Lake,11552,11552,11257.0,0.00513356,City,11493,2129,5.427,42.643,-95.1965,35,19155,19155
Iowa,Spencer,11549,11549,11303.0,0.00426087,City,11500,1055,10.948,43.147,-95.1527,36,19193,19193
Iowa,Oskaloosa,11388,11388,11537.0,-0.00262743,City,11418,1415,8.05,41.2922,-92.6409,37,19181,19181
Iowa,Pella,11055,11055,10467.0,0.0107891,City,10937,1183,9.343,41.4047,-92.9174,38,19181,19181
Iowa,Waverly,10661,10661,10411.0,0.00471209,City,10611,947,11.26,42.722,-92.4695,39,19013,19013
Iowa,Le Mars,10629,10629,10601.0,0.000564812,City,10623,1245,8.537,42.7815,-96.1733,40,19193,19193
Iowa,Carroll,10071,10071,10300.0,-0.0045468,City,10117,1688,5.965,42.0703,-94.8643,41,19049,19049
Iowa,Bondurant,9972,9972,7439.0,0.0535658,City,9465,1052,9.476,41.698,-93.4577,42,19153,19153
Iowa,Fort Madison,9872,9872,10324.0,-0.00903433,City,9962,1023,9.652,40.6208,-91.3495,43,19103,19103
Iowa,Grinnell,9429,9429,9538.0,-0.0023278,City,9451,1657,5.689,41.7352,-92.7249,44,19169,19169
Iowa,Keokuk,9265,9265,9885.0,-0.0132069,City,9389,1018,9.099,40.4095,-91.4025,45,19103,19103
Iowa,Fairfield,9200,9200,9449.0,-0.00540541,City,9250,1391,6.614,41.0064,-91.9666,46,19103,19103
Iowa,Sioux Center,8739,8739,8249.0,0.0113413,City,8641,1385,6.311,43.0748,-96.1704,47,19193,19193
Iowa,Mount Pleasant,8131,8131,9255.0,-0.0269268,City,8356,942,8.628,40.9622,-91.5472,48,19103,19103
Iowa,Perry,8058,8058,7872.0,0.00461289,City,8021,1391,5.794,41.8379,-94.0933,49,19049,19049
Iowa,Denison,7956,7956,8351.0,-0.00983199,City,8035,1215,6.547,42.0164,-95.3529,50,19155,19155
Iowa,Webster City,7645,7645,7815.0,-0.00442766,City,7679,831,9.203,42.4624,-93.8182,51,19169,19169
Iowa,Decorah,7578,7578,7578.0,0.0,City,7578,1046,7.243,43.3016,-91.7848,52,19013,19013
Iowa,Clear Lake,7505,7505,7660.0,-0.00411359,City,7536,696,10.779,43.1351,-93.3736,53,19169,19169
