state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Kansas,Wichita,394849,394849,398024.0,-0.00160563,City,395484,2423,162.941,37.6906,-97.3458,1,20173,20173
Kansas,Overland Park,196659,196659,197734.0,-0.00109207,City,196874,2615,75.218,38.889,-94.6906,2,20091,20091
Kansas,Olathe,151377,151377,141586.0,0.0131041,City,149419,2424,62.453,38.882,-94.8201,3,20091,20091
Kansas,Kansas City,150689,150689,156298.0,-0.00739077,City,151811,1208,124.737,39.1225,-94.7418,4,20209,20209
Kansas,Topeka,124833,124833,126437.0,-0.00256484,City,125154,2025,61.661,39.0347,-95.6948,5,20177,20177
Kansas,Lawrence,97057,97057,94931.0,0.00439813,City,96632,2834,34.252,38.96,-95.2629,6,20045,20045
Kansas,Shawnee,70731,70731,67446.0,0.0093758,City,70074,1685,41.975,39.0175,-94.8058,7,20209,20209
Kansas,Lenexa,59194,59194,57548.0,0.00558906,City,58865,1737,34.072,38.9653,-94.8039,8,20091,20091
Kansas,Manhattan,53364,53364,54158.0,-0.00297069,City,53523,2659,20.069,39.1883,-96.6059,9,20161,20161
Kansas,Salina,45090,45090,46844.0,-0.0077243,City,45441,1723,26.169,38.8131,-97.6145,10,20169,20169
Kansas,Hutchinson,39431,39431,40008.0,-0.002908,City,39546,1604,24.579,38.0673,-97.9095,11,20155,20155
Kansas,Leavenworth,36842,36842,37322.0,-0.00259895,City,36938,1513,24.355,39.3227,-94.925,12,20103,20103
Kansas,Leawood,34040,34040,33890.0,0.000882093,City,34010,2253,15.106,38.9073,-94.6252,13,20091,20091
Kansas,Dodge City,27366,27366,27735.0,-0.00269679,City,27440,1856,14.741,37.7607,-100.018,14,20057,20057
Kansas,Garden City,26934,26934,28026.0,-0.00802887,City,27152,2447,11.009,37.975,-100.851,15,20055,20055
Kansas,Gardner,26685,26685,23417.0,0.0251239,City,26031,2184,12.216,38.8115,-94.9292,16,20091,20091
Kansas,Derby,26580,26580,25712.0,0.00658941,City,26406,2553,10.412,37.5596,-97.2558,17,20173,20173
Kansas,Emporia,24113,24113,24093.0,0.000165913,City,24109,1958,12.315,38.4029,-96.1929,18,20111,20111
Kansas,Prairie Village,22856,22856,22966.0,-0.000961622,City,22878,3680,6.211,38.9868,-94.6362,19,20209,20209
Kansas,Junction City,21128,21128,22947.0,-0.0169365,City,21492,1830,11.545,39.0272,-96.8523,20,20061,20061
Kansas,Hays,20982,20982,21126.0,-0.00138023,City,21011,2428,8.643,38.8822,-99.3222,21,20051,20051
Kansas,Pittsburg,20424,20424,20623.0,-0.00195465,City,20464,1556,13.128,37.4126,-94.6983,22,20037,20037
Kansas,Liberal,18507,18507,19737.0,-0.0131179,City,18753,1540,12.019,37.0461,-100.928,23,20175,20175
Kansas,Newton,18040,18040,18567.0,-0.00578672,City,18145,1218,14.806,38.0377,-97.345,24,20079,20079
Kansas,Andover,16380,16380,14965.0,0.0175809,City,16097,1573,10.415,37.6872,-97.1308,25,20015,20015
Kansas,Great Bend,14154,14154,14699.0,-0.00764215,City,14263,1344,10.53,38.3598,-98.7995,26,20009,20009
Kansas,McPherson,13802,13802,14061.0,-0.00375343,City,13854,1686,8.188,38.3699,-97.6645,27,20113,20113
Kansas,El Dorado,12962,12962,12854.0,0.00170015,City,12940,1354,9.576,37.8216,-96.8622,28,20015,20015
Kansas,Ottawa,12718,12718,12638.0,0.00125964,City,12702,1232,10.321,38.6001,-95.2628,29,20059,20059
Kansas,Arkansas City,11632,11632,11964.0,-0.00564199,City,11698,1248,9.317,37.0725,-97.0384,30,20035,20035
Kansas,Winfield,11601,11601,11770.0,-0.00292222,City,11635,1041,11.144,37.2428,-96.9797,31,20035,20035
Kansas,Haysville,11262,11262,11277.0,-0.000266311,City,11265,2401,4.69,37.5661,-97.3535,32,20173,20173
Kansas,Lansing,11211,11211,11236.0,-0.000445791,City,11216,912,12.298,39.2426,-94.8963,33,20103,20103
Kansas,Spring Hill,10744,10744,8106.0,0.0516836,City,10216,1149,9.35,38.7567,-94.821,34,20091,20091
