state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Kentucky,Louisville,617027,617027,631912,-0.00480158,Township,620004,2346,263.065,38.1654,-85.6474,1,21111,21111
Kentucky,Lexington,318505,318505,322627,-0.00258041,Urban County,319329,1122,283.855,38.0407,-84.4583,2,21067,21067
Kentucky,Bowling Green,78706,78706,72470,0.0160988,City,77459,1896,41.502,36.9757,-86.436,3,21227,21227
Kentucky,Owensboro,60052,60052,60272,-0.000732161,City,60096,2879,20.858,37.7571,-87.1167,4,21059,21059
Kentucky,Covington,40996,40996,40936,0.000292797,City,40984,3114,13.165,39.0351,-84.5196,5,21117,21117
Kentucky,Georgetown,40579,40579,37786,0.013968,City,40020,2312,17.552,38.2602,-84.5349,6,21067,21067
Kentucky,Richmond,38854,38854,34733,0.0216671,City,38030,1783,21.786,37.7291,-84.2994,7,21151,21151
Kentucky,Elizabethtown,34024,34024,31408,0.0156115,City,33501,1218,27.939,37.704,-85.8789,8,21093,21093
Kentucky,Florence,33488,33488,32060,0.00861394,City,33202,2996,11.176,38.9934,-84.6482,9,21015,21015
Kentucky,Nicholasville,33283,33283,31137,0.0130578,City,32854,2219,15.0,37.89,-84.5668,10,21067,21067
Kentucky,Hopkinsville,30572,30572,31174,-0.00390981,City,30692,932,32.811,36.8393,-87.4735,11,21059,21059
Kentucky,Independence,29983,29983,28783,0.00806913,City,29743,1690,17.738,38.9574,-84.5474,12,21117,21117
Kentucky,Jeffersontown,28406,28406,29180,-0.00542698,City,28561,2670,10.638,38.2055,-85.5697,13,21111,21111
Kentucky,Frankfort,28067,28067,28611,-0.00386854,City,28176,1900,14.77,38.195,-84.8659,14,21067,21067
Kentucky,Henderson,27462,27462,28141,-0.00492789,City,27598,1625,16.902,37.8384,-87.581,15,21059,21059
Kentucky,Paducah,26497,26497,27127,-0.00473275,City,26623,1302,20.347,37.0709,-88.6445,16,21059,21059
Kentucky,Radcliff,22565,22565,23025,-0.00406055,City,22657,1690,13.356,37.8201,-85.9364,17,21093,21093
Kentucky,Ashland,20864,20864,21589,-0.0069018,City,21009,1944,10.735,38.4595,-82.6451,18,21151,21151
Kentucky,Erlanger,19875,19875,19629,0.0024715,City,19826,2369,8.391,39.0394,-84.6001,19,21117,21117
Kentucky,Winchester,19312,19312,19167,0.00150391,City,19283,2093,9.229,38.0024,-84.1906,20,21067,21067
Kentucky,Madisonville,19233,19233,19538,-0.0031616,City,19294,1076,17.867,37.341,-87.5035,21,21059,21059
Kentucky,Mount Washington,18978,18978,18125,0.00909236,City,18807,1983,9.572,38.0426,-85.556,22,21111,21111
Kentucky,Burlington,18848,18848,18203,0.0103999,CDP,18654,2139,8.813,39.0223,-84.7216,23,21015,21015
Kentucky,Murray,18293,18293,17775,0.00571774,City,18189,1568,11.665,36.6142,-88.3221,24,21059,21059
Kentucky,Shelbyville,18109,18109,17346,0.00852083,City,17956,1960,9.24,38.2068,-85.2306,25,21111,21111
Kentucky,Danville,17426,17426,17318,0.00126408,City,17404,963,18.096,37.6393,-84.776,26,21151,21151
Kentucky,St. Matthews,17221,17221,17558,-0.00387552,City,17288,3907,4.408,38.2493,-85.6378,27,21111,21111
Kentucky,Fort Thomas,16673,16673,17423,-0.00891636,City,16823,2938,5.674,39.0824,-84.4571,28,21037,21037
Kentucky,Berea,16260,16260,15605,0.00812202,City,16129,985,16.511,37.5893,-84.2945,29,21151,21151
Kentucky,Glasgow,15511,15511,15016,0.00642357,City,15412,963,16.114,37.0048,-85.9259,30,21227,21227
Kentucky,Shively,15331,15331,15641,-0.0040278,City,15393,3353,4.572,38.1988,-85.8139,31,21111,21111
Kentucky,Shepherdsville,14988,14988,14245,0.0100411,City,14839,921,16.27,37.9814,-85.702,32,21111,21111
Kentucky,Bardstown,14000,14000,13579,0.00603622,City,13916,1156,12.107,37.8177,-85.4553,33,21111,21111
Kentucky,Newport,13588,13588,14147,-0.00817518,City,13700,4927,2.758,39.0861,-84.4869,34,21037,21037
Kentucky,Somerset,12463,12463,11973,0.0079256,City,12365,847,14.712,37.0865,-84.6053,35,21199,21199
Kentucky,Lawrenceburg,12365,12365,11732,0.0103775,City,12238,2053,6.022,38.0339,-84.9047,36,21067,21067
Kentucky,Campbellsville,11793,11793,11442,0.00597117,City,11723,1559,7.565,37.3439,-85.3522,37,21093,21093
Kentucky,Fort Campbell North,11596,11596,14363,-0.0119291,CDP,11736,1359,8.532,36.6632,-87.4765,38,21227,21227
Kentucky,Alexandria,10878,10878,10365,0.00955916,City,10775,1571,6.923,38.9678,-84.3846,39,21037,21037
Kentucky,Lyndon,10844,10844,11006,-0.00294226,City,10876,3011,3.601,38.263,-85.5879,40,21111,21111
Kentucky,La Grange,10651,10651,10066,0.0111069,City,10534,1476,7.217,38.3973,-85.3768,41,21111,21111
Kentucky,Franklin,10641,10641,10208,0.00824332,City,10554,714,14.896,36.718,-86.5576,42,21227,21227
Kentucky,Versailles,10577,10577,10362,0.00408202,City,10534,1668,6.341,38.0491,-84.725,43,21067,21067
Kentucky,Francisville,10569,10569,9520,0.0168366,CDP,10394,1246,8.482,39.1068,-84.7277,44,21015,21015
Kentucky,Oakbrook,10297,10297,9539,0.00822481,CDP,10213,3220,3.198,38.9967,-84.6804,45,21015,21015
Kentucky,Paris,10023,10023,10187,-0.00328162,City,10056,1261,7.947,38.2002,-84.2727,46,21067,21067
