state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Louisiana,New Orleans,351399,351399,383241,-0.0177993,City,357767,2073,169.5,30.0534,-89.9345,1,22071,22071
Louisiana,Baton Rouge,215112,215112,226264,-0.0102603,City,217342,2474,86.943,30.4404,-91.1332,2,22033,22033
Louisiana,Shreveport,172033,172033,186848,-0.0169318,City,174996,1591,108.145,32.4669,-93.7922,3,22017,22017
Louisiana,Metairie,140437,140437,138511,0.000926539,CDP,140307,6064,23.159,29.9978,-90.1778,4,22071,22071
Louisiana,Lafayette,121475,121475,121455,3.2929e-05,City,121471,2169,56.015,30.2056,-92.0281,5,22055,22055
Louisiana,Lake Charles,76135,76135,84879,-0.0224565,City,77884,1604,47.469,30.199,-93.2108,6,22019,22019
Louisiana,Bossier City,62760,62760,62704,0.000175301,City,62749,1418,44.258,32.5237,-93.6554,7,22015,22015
Louisiana,Kenner,61359,61359,66293,-0.015831,City,62346,4121,14.889,30.0102,-90.2548,8,22071,22071
Louisiana,Monroe,45954,45954,47609,-0.00715134,City,46285,1546,29.732,32.519,-92.0772,9,22073,22073
Louisiana,Alexandria,42374,42374,45104,-0.0127213,City,42920,1488,28.477,31.2934,-92.4702,10,22079,22079
Louisiana,Prairieville,36045,36045,33228,0.0172146,CDP,35435,1639,21.998,30.3135,-90.9581,11,22005,22005
Louisiana,Marrero,31719,31719,31751,-0.00295477,CDP,31813,4405,7.2,29.8857,-90.1132,12,22071,22071
Louisiana,Houma,30660,30660,33342,-0.0171817,City,31196,2119,14.467,29.5787,-90.708,13,22051,22051
Louisiana,Central,29929,29929,29559,0.00247865,City,29855,481,62.257,30.5593,-91.0355,14,22033,22033
Louisiana,Laplace,28727,28727,29232,-0.00263861,CDP,28803,1375,20.895,30.0722,-90.477,15,22071,22071
Louisiana,Slidell,28387,28387,28694,-0.00214426,City,28448,1859,15.274,30.2889,-89.7829,16,22103,22103
Louisiana,Terrytown,26802,26802,26044,0.00876962,CDP,26569,7315,3.664,29.9025,-90.0281,17,22071,22071
Louisiana,New Iberia,26198,26198,28402,-0.0165547,City,26639,2351,11.141,30.0055,-91.8203,18,22055,22055
Louisiana,Hammond,24411,24411,19700,0.0401381,City,23469,1712,14.256,30.5056,-90.4565,19,22105,22105
Louisiana,Chalmette,23552,23552,23111,0.0196112,CDP,23099,3283,7.174,29.944,-89.966,20,22071,22071
Louisiana,Ruston,22285,22285,22155,0.00116807,City,22259,1052,21.188,32.533,-92.6353,21,22073,22073
Louisiana,Harvey,21769,21769,20992,0.00438313,CDP,21674,3356,6.487,29.8888,-90.0664,22,22071,22071
Louisiana,Bayou Cane,21589,21589,20307,0.00694963,CDP,21440,2836,7.613,29.6244,-90.751,23,22005,22005
Louisiana,Zachary,20308,20308,19457,0.00844175,City,20138,756,26.859,30.6644,-91.1658,24,22033,22033
Louisiana,Sulphur,19457,19457,21814,-0.0236351,City,19928,1732,11.235,30.2298,-93.3563,25,22019,22019
