state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Maine,Portland,70590,70590,68493,0.0106375,City,69847,3277,21.54,43.6332,-70.1853,1,23005,23005
Maine,Lewiston,38188,38188,37110,-0.00282014,City,38296,1118,34.146,44.0895,-70.1721,2,23001,23001
Maine,Bangor,31662,31662,31720,0.000537209,City,31645,924,34.259,44.8296,-68.7888,3,23009,23009
Maine,South Portland,26482,26482,26575,-0.00671393,City,26661,2199,12.044,43.6314,-70.286,4,23005,23005
Maine,Auburn,25641,25641,24074,0.0168141,City,25217,432,59.339,44.0845,-70.2496,5,23001,23001
Maine,Scarborough,24530,24530,22243,0.018138,Town,24093,514,47.748,43.5712,-70.3342,6,23005,23005
Maine,Brunswick,22352,22352,21765,-0.00183093,Town,22393,478,46.776,43.8964,-69.9735,7,23001,23001
Maine,Sanford,22267,22267,21972,0.000359405,City,22259,466,47.79,43.4241,-70.7579,8,23031,23031
Maine,Biddeford,22175,22175,22539,-0.00431054,City,22271,737,30.085,43.4387,-70.3929,9,23031,23031
Maine,Saco,21114,21114,20418,0.00366022,City,21037,547,38.585,43.528,-70.4196,10,23031,23031
Maine,Westbrook,20430,20430,20434,-0.00326877,City,20497,1189,17.189,43.7079,-70.3526,11,23005,23005
Maine,Windham,19988,19988,18492,0.00832366,Town,19823,429,46.578,43.7947,-70.4053,12,23005,23005
Maine,Augusta,19206,19206,18917,0.00271484,City,19154,348,55.142,44.3349,-69.7342,13,23011,23011
Maine,Gorham,18458,18458,18369,0.00304315,Town,18402,365,50.588,43.7014,-70.463,14,23005,23005
Maine,Waterville,16875,16875,16693,0.00154312,City,16849,1247,13.532,44.5453,-69.6614,15,23011,23011
Maine,York,14368,14368,13731,0.00877624,Town,14243,263,54.699,43.1655,-70.591,16,23031,23031
Maine,Falmouth,12898,12898,12469,0.00116433,Town,12883,439,29.4,43.7405,-70.2772,17,23005,23005
Maine,Orono,12259,12259,11167,0.000244778,Town,12256,674,18.188,44.8817,-68.7386,18,23009,23009
Maine,Wells,12099,12099,11353,0.0101862,Town,11977,210,57.655,43.3112,-70.6326,19,23031,23031
Maine,Kennebunk,12013,12013,11549,0.00409562,Town,11964,342,35.114,43.3804,-70.554,20,23031,23031
Maine,Kittery,11876,11876,10082,0.0481906,Town,11330,667,17.809,43.0049,-70.6044,21,23031,23031
Maine,Standish,10822,10822,10240,9.2412e-05,Town,10821,183,59.064,43.7755,-70.582,22,23005,23005
Maine,Topsham,9781,9781,9565,0.00153594,Town,9766,304,32.178,43.965,-69.9556,23,23001,23001
Maine,Lisbon,9711,9711,9722,-0.000925925,Town,9720,425,22.836,44.0195,-70.0789,24,23001,23001
Maine,Cape Elizabeth,9620,9620,9539,0.00145742,Town,9606,648,14.853,43.5673,-70.2035,25,23005,23005
Maine,Brewer,9598,9598,9667,-0.00249428,City,9622,630,15.238,44.7845,-68.7346,26,23009,23009
Maine,Old Orchard Beach,9501,9501,8979,0.00699523,Town,9435,1278,7.434,43.5338,-70.3568,27,23005,23005
Maine,Cumberland,9064,9064,8486,0.0173981,Town,8909,397,22.856,43.7871,-70.2512,28,23005,23005
Maine,Bath,8942,8942,8764,0.00550995,City,8893,980,9.12,43.9325,-69.8472,29,23001,23001
Maine,Yarmouth,8904,8904,8996,-0.00680424,Town,8965,664,13.405,43.7881,-70.1565,30,23005,23005
Maine,Freeport,8771,8771,8739,-0.000569735,Town,8776,252,34.742,43.8448,-70.09,31,23005,23005
Maine,Ellsworth,8719,8719,8417,0.000458978,City,8715,110,79.287,44.5829,-68.4801,32,23009,23009
Maine,Skowhegan,8668,8668,8613,-0.000576501,Town,8673,147,58.845,44.7682,-69.6776,33,23011,23011
Maine,Presque Isle,8655,8655,8783,-0.00126933,City,8666,114,75.778,46.689,-67.9919,34,23003,23003
Maine,Buxton,8598,8598,8381,0.0035014,Town,8568,212,40.53,43.6363,-70.5388,35,23031,23031
Maine,Farmington,8589,8589,7588,0.00963912,Town,8507,154,55.676,44.6769,-70.1415,36,23011,23011
Maine,Berwick,8408,8408,7979,0.00851625,Town,8337,224,37.518,43.2993,-70.8421,37,23031,23031
Maine,Gray,8333,8333,8281,-0.00370636,Town,8364,192,43.293,43.9049,-70.3677,38,23005,23005
