state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Maryland,Baltimore,553293,553293,583157.0,-0.0106801,City,559266,6835,80.946,39.3,-76.6105,1,24510,24510
Maryland,Columbia,108346,108346,105412.0,0.00540069,CDP,107764,3393,31.934,39.2011,-76.859,2,24027,24027
Maryland,Germantown,91164,91164,89529.0,0.00350043,CDP,90846,5352,17.033,39.1743,-77.2638,3,24031,24031
Maryland,Frederick,90748,90748,78360.0,0.028073,City,88270,3787,23.961,39.4341,-77.4145,4,24021,24021
Maryland,Waldorf,84408,84408,77711.0,0.0133257,CDP,83298,2329,36.236,38.6092,-76.9198,5,24017,24017
Maryland,Silver Spring,84397,84397,81069.0,0.0103311,CDP,83534,10706,7.883,39.0024,-77.0208,6,24031,24031
Maryland,Ellicott City,75528,75528,73272.0,0.00862691,CDP,74882,2517,30.007,39.2767,-76.834,7,24027,24027
Maryland,Glen Burnie,72374,72374,69649.0,0.00438536,CDP,72058,4180,17.313,39.1563,-76.607,8,24510,24510
Maryland,Gaithersburg,69615,69615,69484.0,0.000373622,City,69589,6745,10.321,39.1486,-77.1951,9,24031,24031
Maryland,Bethesda,67680,67680,65092.0,0.00675334,CDP,67226,5103,13.262,38.9873,-77.1186,10,24031,24031
Maryland,Rockville,67272,67272,67334.0,-0.000178348,City,67284,4959,13.567,39.0837,-77.1556,11,24031,24031
Maryland,Dundalk,67002,67002,63826.0,0.00339948,CDP,66775,5119,13.088,39.2668,-76.4965,12,24510,24510
Maryland,Severn,59490,59490,53374.0,0.01741,CDP,58472,3244,18.339,39.1355,-76.6956,13,24510,24510
Maryland,Bel Air South,59459,59459,55024.0,0.0133445,CDP,58676,2795,21.275,39.5081,-76.3094,14,24025,24025
Maryland,Towson,58222,58222,57542.0,0.00348156,CDP,58020,4114,14.153,39.3942,-76.6178,15,24005,24005
Maryland,Bowie,56595,56595,58242.0,-0.00577964,City,56924,2770,20.434,38.9547,-76.7388,16,24033,24033
