state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Massachusetts,Boston,655013,655013,675466,0.000901557,City,654423,13550,48.34,42.3386,-71.0182,1,25025,25025
Massachusetts,Worcester,211511,211511,205056,0.00928108,City,209566,5661,37.36,42.2695,-71.8078,2,25027,25027
Massachusetts,Springfield,153002,153002,155280,-0.00218473,City,153337,4801,31.87,42.1155,-72.54,3,25013,25013
Massachusetts,Cambridge,119802,119802,118218,0.00667182,City,119008,18728,6.397,42.376,-71.1187,4,25025,25025
Massachusetts,Lowell,114506,114506,115462,0.000917824,City,114401,8413,13.61,42.639,-71.321,5,25017,25017
Massachusetts,Brockton,104888,104888,105511,-9.533e-06,City,104889,4917,21.333,42.0825,-71.0246,6,25021,25021
Massachusetts,Lynn,101965,101965,101103,0.00356289,City,101603,9495,10.739,42.4748,-70.962,7,25025,25025
Massachusetts,Quincy,101163,101163,101482,-0.00214046,City,101380,6104,16.573,42.261,-71.009,8,25025,25025
Massachusetts,New Bedford,100819,100819,100993,0.000615341,City,100757,5041,20.001,41.6613,-70.9379,9,25005,25005
Massachusetts,Fall River,94248,94248,93940,0.0021692,City,94044,2845,33.123,41.7253,-71.0942,10,25005,25005
Massachusetts,Newton,89541,89541,88863,0.00632741,City,88978,5022,17.828,42.3318,-71.2084,11,25025,25025
Massachusetts,Lawrence,88624,88624,88877,0.00255662,City,88398,12788,6.93,42.7003,-71.1614,12,25009,25009
Massachusetts,Somerville,80865,80865,80879,0.00283992,City,80636,19613,4.123,42.3904,-71.101,13,25025,25025
Massachusetts,Framingham,72113,72113,72197,0.00165292,City,71994,2879,25.044,42.3079,-71.4362,14,25017,25017
Massachusetts,Haverhill,67947,67947,67672,0.0039302,City,67681,2057,33.036,42.7829,-71.0874,15,25009,25009
Massachusetts,Plymouth,67669,67669,61026,0.0170131,Town,66537,702,96.426,41.8941,-70.6186,16,25023,25023
Massachusetts,Malden,65261,65261,66076,0.00098164,City,65197,12936,5.045,42.4294,-71.0587,17,25025,25025
Massachusetts,Waltham,64685,64685,65091,0.00161038,City,64581,5075,12.745,42.3889,-71.2423,18,25017,25017
Massachusetts,Brookline,63784,63784,63036,0.00648541,Town,63373,9436,6.76,42.3239,-71.142,19,25025,25025
Massachusetts,Weymouth Town,62424,62424,57466,0.0272343,City,60769,3723,16.765,42.2073,-70.9437,20,25025,25025
Massachusetts,Taunton,61470,61470,59467,0.00868053,City,60941,1316,46.708,41.9033,-71.095,21,25005,25005
Massachusetts,Medford,58850,58850,59496,0.000901406,City,58797,7267,8.098,42.4238,-71.1092,22,25025,25025
Massachusetts,Revere,56910,56910,61876,-0.00908901,City,57432,9977,5.704,42.421,-70.9904,23,25025,25025
Massachusetts,Chicopee,54636,54636,55448,-0.00184519,City,54737,2385,22.906,42.1776,-72.5702,24,25013,25013
Massachusetts,Peabody,54382,54382,54391,0.00300633,City,54219,3349,16.237,42.5343,-70.9694,25,25009,25009
Massachusetts,Methuen Town,53895,53895,52993,0.00409874,City,53675,2426,22.212,42.7426,-71.1786,26,25009,25009
