state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Michigan,Detroit,629830,629830,638300,-0.0026824,City,631524,4540,138.735,42.383,-83.1022,1,26163,26163
Michigan,Grand Rapids,195208,195208,198707,-0.0035731,City,195908,4360,44.776,42.9612,-85.6556,2,26081,26081
Michigan,Warren,135010,135010,139122,-0.00605159,City,135832,3927,34.377,42.4929,-83.025,3,26099,26099
Michigan,Sterling Heights,132804,132804,134059,-0.00188644,City,133055,3644,36.447,42.5812,-83.0303,4,26099,26099
Michigan,Ann Arbor,116561,116561,123611,-0.0119521,City,117971,4114,28.33,42.2761,-83.7309,5,26161,26161
Michigan,Lansing,111814,111814,112566,-0.00133972,City,111964,2853,39.185,42.7143,-84.5609,6,26065,26065
Michigan,Dearborn,103271,103271,109620,-0.0121483,City,104541,4259,24.247,42.3131,-83.2115,7,26163,26163
Michigan,Clinton charter,99191,99191,100347,-0.000936706,Township,99284,3539,28.026,42.5903,-82.917,8,26099,26099
Michigan,Canton charter,98075,98075,98636,0.000173366,Township,98058,2715,36.125,42.3075,-83.4858,9,26163,26163
Michigan,Macomb,93707,93707,91745,0.00514872,Township,93227,2585,36.252,42.674,-82.9168,10,26099,26099
Michigan,Livonia,90148,90148,95240,-0.0111664,City,91166,2526,35.695,42.3972,-83.3723,11,26163,26163
Michigan,Troy,87503,87503,87093,0.000937989,City,87421,2616,33.447,42.5839,-83.1455,12,26125,26125
Michigan,Farmington Hills,81694,81694,83778,-0.00507849,City,82111,2456,33.268,42.4856,-83.376,13,26125,26125
Michigan,Westland,80844,80844,85169,-0.0105863,City,81709,3957,20.432,42.3192,-83.3808,14,26163,26163
Michigan,Shelby charter,80504,80504,79558,0.00390318,Township,80191,2340,34.407,42.6731,-83.0366,15,26099,26099
Michigan,Flint,78693,78693,81113,-0.00611289,City,79177,2353,33.44,43.0244,-83.692,16,26049,26049
Michigan,Wyoming,77912,77912,76759,0.0029737,City,77681,3149,24.741,42.8903,-85.7067,17,26081,26081
Michigan,Rochester Hills,75918,75918,76128,-0.000552922,City,75960,2314,32.804,42.6635,-83.1592,18,26125,26125
Michigan,Southfield,75217,75217,76391,-0.00311456,City,75452,2865,26.253,42.4746,-83.2595,19,26163,26163
Michigan,Kalamazoo,72868,72868,73513,-0.00176719,City,72997,2951,24.693,42.2752,-85.5885,20,26077,26077
Michigan,Waterford charter,68798,68798,70386,-0.00431284,Township,69096,2246,30.635,42.662,-83.3879,21,26125,26125
Michigan,Novi,66416,66416,66160,0.000768477,City,66365,2196,30.244,42.4785,-83.4868,22,26125,26125
Michigan,West Bloomfield charter,64753,64753,65822,-0.00284887,Township,64938,2404,26.934,42.5667,-83.3871,23,26125,26125
Michigan,Pontiac,61597,61597,61827,-0.000746232,City,61643,3098,19.885,42.6492,-83.2874,24,26125,26125
Michigan,Taylor,59936,59936,63198,-0.0107612,City,60588,2538,23.616,42.2253,-83.2677,25,26163,26163
Michigan,Dearborn Heights,59389,59389,63096,-0.0123233,City,60130,5060,11.737,42.3357,-83.2888,26,26163,26163
Michigan,Royal Oak,57060,57060,58040,-0.00342322,City,57256,4839,11.792,42.5078,-83.1539,27,26163,26163
Michigan,St. Clair Shores,56755,56755,58737,-0.00692901,City,57151,4859,11.681,42.493,-82.8909,28,26099,26099
Michigan,Georgetown charter,55573,55573,54213,0.00386568,Township,55359,1676,33.163,42.9054,-85.8446,29,26139,26139
Michigan,Ypsilanti charter,53955,53955,55584,-0.00580431,Township,54270,1800,29.968,42.2137,-83.5992,30,26161,26161
Michigan,Kentwood,53793,53793,54277,-0.00179996,City,53890,2572,20.915,42.8848,-85.5925,31,26081,26081
Michigan,Battle Creek,51855,51855,52655,-0.00307604,City,52015,1217,42.611,42.2992,-85.2293,32,26077,26077
Michigan,Portage,49528,49528,48963,0.00228676,City,49415,1534,32.293,42.197,-85.5914,33,26077,26077
Michigan,East Lansing,49088,49088,47688,0.00573676,City,48808,3655,13.431,42.7489,-84.4824,34,26065,26065
Michigan,Redford charter,46617,46617,49348,-0.0107169,Township,47122,4145,11.246,42.3948,-83.294,35,26163,26163
Michigan,Roseville,46042,46042,47602,-0.00673081,City,46354,4681,9.836,42.5076,-82.9366,36,26099,26099
Michigan,Chesterfield,45565,45565,45352,-0.000307158,Township,45579,1651,27.596,42.6795,-82.8063,37,26099,26099
Michigan,Meridian charter,44174,44174,43857,0.0031338,Township,44036,1446,30.556,42.7253,-84.4197,38,26065,26065
Michigan,Commerce charter,43706,43706,43043,0.00376648,Township,43542,1589,27.498,42.5739,-83.4957,39,26125,26125
Michigan,Bloomfield charter,43496,43496,44161,-0.00288845,Township,43622,1769,24.587,42.5779,-83.2745,40,26125,26125
Michigan,Midland,42761,42761,42516,0.00114722,City,42712,1240,34.489,43.6248,-84.232,41,26145,26145
Michigan,Saginaw,42567,42567,44112,-0.00720683,City,42876,2490,17.096,43.4199,-83.9502,42,26145,26145
Michigan,Saginaw charter,40702,40702,41622,-0.00428114,Township,40877,1662,24.496,43.4495,-84.0223,43,26145,26145
Michigan,Holland charter,40367,40367,38383,0.00460405,Township,40182,1496,26.981,42.8207,-86.0764,44,26139,26139
Michigan,Grand Blanc charter,40070,40070,39873,0.00240156,Township,39974,1226,32.693,42.9147,-83.6336,45,26049,26049
Michigan,Pittsfield charter,39258,39258,39156,0.000458715,Township,39240,1448,27.121,42.2084,-83.7156,46,26161,26161
Michigan,Orion charter,38731,38731,38171,0.00261455,Township,38630,1168,33.163,42.7569,-83.2619,47,26125,26125
Michigan,Lincoln Park,37668,37668,40112,-0.0128155,City,38157,6454,5.836,42.2433,-83.1813,48,26163,26163
Michigan,Independence charter,37589,37589,36629,0.00855916,Township,37270,1073,35.037,42.7474,-83.3918,49,26125,26125
Michigan,Muskegon,37165,37165,37210,-0.000242104,City,37174,2628,14.143,43.2265,-86.2572,50,26139,26139
Michigan,Holland,34665,34665,34352,0.0018207,City,34602,2078,16.683,42.7681,-86.0986,51,26139,26139
Michigan,Plainfield charter,34415,34415,33570,0.00484686,Township,34249,983,35.018,43.0738,-85.6107,52,26081,26081
Michigan,Eastpointe,33304,33304,34234,-0.0055539,City,33490,6457,5.158,42.4661,-82.9463,53,26099,26099
Michigan,Delta charter,33269,33269,33126,0.00307534,Township,33167,1026,32.411,42.728,-84.6614,54,26065,26065
Michigan,Brownstown charter,32031,32031,33134,-0.00897249,Township,32321,1458,21.976,42.1094,-83.2292,55,26163,26163
Michigan,Bay City,31729,31729,32611,-0.00551638,City,31905,3121,10.166,43.5901,-83.8884,56,26145,26145
Michigan,Bedford,31707,31707,31868,-0.00166876,Township,31760,809,39.203,41.773,-83.5965,57,26161,26161
Michigan,White Lake charter,31293,31293,30963,0.00217774,Township,31225,934,33.511,42.6544,-83.5064,58,26125,26125
Michigan,Flint charter,30724,30724,31392,-0.00301781,Township,30817,1331,23.091,43.0044,-83.7656,59,26049,26049
Michigan,Northville,30713,30713,31703,-0.00582656,Township,30893,1897,16.189,42.4158,-83.4872,60,26163,26163
Michigan,Jackson,30550,30550,31309,-0.00495082,City,30702,2819,10.839,42.2422,-84.402,61,26065,26065
Michigan,Gaines charter,30088,30088,28850,0.00878428,Township,29826,843,35.705,42.8046,-85.6048,62,26081,26081
Michigan,Van Buren charter,29447,29447,30317,-0.00547131,Township,29609,866,34.007,42.2207,-83.4843,63,26163,26163
Michigan,Washington charter,29444,29444,28218,0.0111264,Township,29120,828,35.577,42.7655,-83.0467,64,26099,26099
Michigan,Burton,29183,29183,29665,-0.0032788,City,29279,1249,23.357,43.0007,-83.6181,65,26049,26049
Michigan,Oak Park,28689,28689,29523,-0.00578736,City,28856,5574,5.147,42.4649,-83.1824,66,26163,26163
Michigan,Southgate,28390,28390,29920,-0.0106635,City,28696,4129,6.875,42.2047,-83.2057,67,26163,26163
Michigan,Byron,28209,28209,27028,0.00685298,Township,28017,784,35.999,42.8117,-85.7238,68,26081,26081
Michigan,Madison Heights,28137,28137,28389,-0.00177387,City,28187,3971,7.086,42.5073,-83.1033,69,26163,26163
Michigan,Port Huron,28019,28019,28928,-0.00645367,City,28201,3458,8.102,42.9938,-82.4337,70,26099,26099
Michigan,Delhi charter,27869,27869,27763,0.00114955,Township,27837,975,28.593,42.6258,-84.5331,71,26065,26065
Michigan,Allendale charter,27097,27097,26632,0.00754815,Township,26894,870,31.138,42.9776,-85.9586,72,26139,26139
Michigan,Allen Park,26842,26842,28557,-0.0126173,City,27185,3837,6.995,42.2595,-83.2104,73,26163,26163
Michigan,Hamtramck,26672,26672,28339,-0.012331,City,27005,12762,2.09,42.3954,-83.0559,74,26163,26163
Michigan,Plymouth charter,26659,26659,27866,-0.00785262,Township,26870,1673,15.931,42.3741,-83.4955,75,26163,26163
Michigan,Lyon charter,26509,26509,23318,0.0219746,Township,25939,856,30.957,42.4836,-83.6027,76,26125,26125
Michigan,Auburn Hills,26411,26411,24376,0.0156514,City,26004,1587,16.639,42.6747,-83.2436,77,26125,26125
Michigan,Garden City,25676,25676,27298,-0.0124615,City,26000,4379,5.863,42.3244,-83.3412,78,26163,26163
Michigan,Walker,25325,25325,25234,0.000711265,City,25307,1030,24.578,42.9966,-85.7564,79,26081,26081
Michigan,Norton Shores,24996,24996,25018,-0.00016,City,25000,1075,23.243,43.1695,-86.2354,80,26139,26139
Michigan,Blackman charter,24881,24881,25654,-0.011089,Township,25160,784,31.734,42.2965,-84.4249,81,26065,26065
Michigan,Inkster,24431,24431,25993,-0.0126096,City,24743,3907,6.253,42.2939,-83.3203,82,26163,26163
Michigan,Romulus,24428,24428,25112,-0.00557704,City,24565,686,35.608,42.2236,-83.366,83,26163,26163
Michigan,Oshtemo charter,23964,23964,23775,0.00372775,Township,23875,671,35.689,42.2879,-85.7053,84,26077,26077
Michigan,Harrison charter,23698,23698,24271,-0.0031129,Township,23772,1663,14.248,42.5871,-82.8172,85,26099,26099
Michigan,Wyandotte,23485,23485,24915,-0.0120315,City,23771,4438,5.292,42.2107,-83.1572,86,26163,26163
Michigan,Oxford charter,22760,22760,22387,0.00467909,Township,22654,673,33.828,42.845,-83.2931,87,26125,26125
Michigan,Summit,22652,22652,22873,-0.00141069,Township,22684,777,29.142,42.1988,-84.4295,88,26065,26065
Michigan,Kalamazoo charter,22501,22501,22758,0.0,Township,22501,1933,11.641,42.3139,-85.619,89,26077,26077
Michigan,Frenchtown,21708,21708,21616,0.000368663,Township,21700,520,41.744,41.961,-83.3581,90,26163,26163
Michigan,Marquette,21395,21395,20604,0.00743984,City,21237,1887,11.337,46.5507,-87.3958,91,26139,26139
Michigan,Birmingham,21216,21216,21761,-0.00511137,City,21325,4426,4.793,42.5448,-83.2166,92,26125,26125
Michigan,Hamburg,20828,20828,21260,-0.00819048,Township,21000,646,32.242,42.4746,-83.8479,93,26161,26161
Michigan,Brighton,20380,20380,19143,0.0189491,Township,20001,618,32.974,42.5588,-83.7276,94,26161,26161
Michigan,Davison,20318,20318,20442,-0.00147435,Township,20348,610,33.308,42.999,-83.5158,95,26049,26049
Michigan,Oakland charter,20307,20307,20047,0.0016277,Township,20274,560,36.267,42.753,-83.1544,96,26125,26125
Michigan,Genoa,20295,20295,20662,-0.00685099,Township,20435,600,33.843,42.5507,-83.8595,97,26161,26161
Michigan,Mount Pleasant,20279,20279,21729,-0.0140989,City,20569,2626,7.722,43.5967,-84.776,98,26145,26145
Michigan,Genesee charter,20227,20227,20544,-0.00143167,Township,20256,696,29.058,43.0955,-83.6302,99,26049,26049
Michigan,Grand Haven charter,20125,20125,18112,0.0220924,Township,19690,701,28.7,42.9979,-86.1889,100,26139,26139
Michigan,Green Oak,20103,20103,19528,0.00314371,Township,20040,588,34.202,42.4702,-83.7294,101,26161,26161
Michigan,Cascade charter,20006,20006,19689,0.00446854,Township,19917,591,33.872,42.8983,-85.4911,102,26081,26081
Michigan,Adrian,19985,19985,20617,-0.00626523,City,20111,2496,8.007,41.8988,-84.0448,103,26161,26161
Michigan,Garfield charter,19930,19930,19625,-0.00255242,Township,19981,750,26.587,44.7256,-85.6335,104,26081,26081
Michigan,Monroe,19847,19847,20451,-0.0060597,City,19968,2194,9.046,41.9166,-83.3843,105,26163,26163
Michigan,Mount Morris,19482,19482,19978,-0.0033763,Township,19548,618,31.548,43.0924,-83.7596,106,26049,26049
Michigan,Park,19319,19319,18663,0.00745724,Township,19176,1006,19.202,42.819,-86.1734,107,26139,26139
Michigan,Grand Rapids charter,19177,19177,18931,0.00397885,Township,19101,1251,15.332,42.9922,-85.5801,108,26081,26081
Michigan,Highland charter,19040,19040,19122,-0.000682307,Township,19053,559,34.072,42.6558,-83.6214,109,26125,26125
Michigan,Ferndale,18997,18997,19211,-0.0022584,City,19040,4900,3.877,42.4592,-83.1314,110,26163,26163
Michigan,Texas charter,18665,18665,17717,0.00990153,Township,18482,538,34.712,42.208,-85.7049,111,26077,26077
Michigan,Ypsilanti,18585,18585,20605,-0.0212755,City,18989,4329,4.293,42.2444,-83.6212,112,26161,26161
Michigan,Muskegon charter,17856,17856,17604,0.00354072,Township,17793,761,23.474,43.2611,-86.1989,113,26139,26139
Michigan,Scio,17624,17624,17553,0.00147744,Township,17598,550,32.019,42.2962,-83.8449,114,26161,26161
Michigan,Trenton,17495,17495,18484,-0.0111909,City,17693,2415,7.244,42.1401,-83.1929,115,26163,26163
Michigan,Fenton charter,17304,17304,16886,0.00505314,Township,17217,727,23.816,42.8303,-83.7517,116,26049,26049
Michigan,Wixom,17105,17105,17177,-0.000817804,City,17119,1872,9.138,42.5228,-83.5302,117,26125,26125
Michigan,Grandville,17095,17095,16062,0.0122572,City,16888,2359,7.247,42.9005,-85.7521,118,26081,26081
Michigan,Milford charter,17002,17002,17063,0.00017648,Township,16999,515,33.039,42.5677,-83.6109,119,26125,26125
Michigan,Caledonia,16997,16997,15917,0.00866417,Township,16851,487,34.932,42.7963,-85.4958,120,26081,26081
Michigan,Wayne,16694,16694,17653,-0.0113704,City,16886,2773,6.02,42.2769,-83.3881,121,26163,26163
Michigan,Huron charter,16628,16628,16931,-0.00269897,Township,16673,470,35.363,42.1437,-83.3581,122,26163,26163
Michigan,Fruitport charter,16291,16291,14615,0.0311412,Township,15799,544,29.972,43.1504,-86.1386,123,26139,26139
Michigan,Traverse City,15728,15728,15675,0.000699879,City,15717,1900,8.276,44.7543,-85.603,124,26081,26081
Michigan,Spring Lake,15708,15708,15328,0.00364194,Township,15651,952,16.506,43.0695,-86.2062,125,26139,26139
Michigan,Mundy,15506,15506,15291,0.00525121,Township,15425,430,36.03,42.9082,-83.7561,126,26049,26049
Michigan,Grosse Pointe Woods,15466,15466,16435,-0.0123882,City,15660,4772,3.241,42.4393,-82.899,127,26099,26099
Michigan,DeWitt charter,15376,15376,15106,0.000846188,Township,15363,547,28.119,42.8153,-84.54,128,26065,26065
Michigan,Brandon charter,15335,15335,15359,0.00045668,Township,15328,437,35.12,42.8429,-83.3971,129,26125,26125
Michigan,Hartland,15315,15315,15316,-0.00493795,Township,15391,427,35.867,42.6493,-83.7407,130,26125,26125
Michigan,Comstock charter,15204,15204,15253,0.0020431,Township,15173,456,33.31,42.2887,-85.4699,131,26077,26077
Michigan,Mount Clemens,15186,15186,15665,-0.0062819,City,15282,3710,4.093,42.5981,-82.8815,132,26099,26099
Michigan,Superior charter,14998,14998,14865,0.000400213,Township,14992,426,35.217,42.3039,-83.6005,133,26161,26161
Michigan,Lincoln charter,14852,14852,14920,-0.000874537,Township,14865,829,17.911,42.0154,-86.5062,134,26077,26077
Michigan,Coldwater,14849,14849,13824,0.0139989,City,14644,1539,9.651,41.946,-84.9993,135,26077,26077
Michigan,Springfield charter,14846,14846,14691,0.00344711,Township,14795,420,35.376,42.7469,-83.5012,136,26125,26125
Michigan,Berkley,14782,14782,15161,-0.00511509,City,14858,5653,2.615,42.4986,-83.1853,137,26163,26163
Michigan,Hazel Park,14717,14717,14944,-0.00304837,City,14762,5222,2.818,42.4619,-83.0977,138,26163,26163
Michigan,Oceola,14698,14698,14672,-0.00149457,Township,14720,407,36.126,42.6517,-83.8611,139,26161,26161
Michigan,Ada,14624,14624,14402,0.0043956,Township,14560,406,36.061,42.9825,-85.4854,140,26081,26081
Michigan,Harper Woods,14530,14530,15442,-0.0123709,City,14712,5527,2.629,42.439,-82.9293,141,26099,26099
Michigan,Owosso,14505,14505,14695,-0.00261294,City,14543,2764,5.248,42.9953,-84.1758,142,26065,26065
Michigan,Southfield,14503,14503,14852,-0.00377799,Township,14558,1800,8.057,42.5204,-83.2648,143,26125,26125
Michigan,Cannon,14445,14445,14393,0.000831427,Township,14433,406,35.579,43.0745,-85.4886,144,26081,26081
Michigan,Monroe charter,14333,14333,14383,-0.000975813,Township,14347,849,16.877,41.8931,-83.4244,145,26163,26163
Michigan,Fraser,14264,14264,14688,-0.00592376,City,14349,3445,4.141,42.5376,-82.9467,146,26099,26099
Michigan,Niles,14160,14160,14405,-0.00358877,Township,14211,380,37.309,41.8533,-86.2832,147,26077,26077
Michigan,Benton charter,13973,13973,14368,-0.00526803,Township,14047,431,32.422,42.1141,-86.3956,148,26077,26077
Michigan,Alpine,13891,13891,14073,-0.00215502,Township,13921,385,36.034,43.0795,-85.7374,149,26081,26081
Michigan,Bangor charter,13790,13790,14029,-0.00180963,Township,13815,977,14.112,43.6515,-83.8947,150,26145,26145
Michigan,Antwerp,13765,13765,13429,0.00459787,Township,13702,397,34.683,42.2043,-85.8137,151,26077,26077
Michigan,Leoni,13718,13718,13822,-0.00109226,Township,13733,282,48.63,42.2734,-84.3015,152,26065,26065
Michigan,Bath charter,13488,13488,13303,0.00215469,Township,13459,409,32.946,42.8193,-84.4167,153,26065,26065
Michigan,Sault Ste. Marie,13299,13299,13351,-0.000751371,City,13309,901,14.757,46.4762,-84.3705,154,26145,26145
Michigan,Vienna charter,13023,13023,13288,-0.00176299,Township,13046,372,34.991,43.1803,-83.7611,155,26049,26049
Michigan,Lenox,12917,12917,12140,0.00929833,Township,12798,333,38.745,42.7606,-82.7984,156,26099,26099
Michigan,Rochester,12631,12631,13000,-0.00582448,City,12705,3297,3.831,42.6866,-83.1197,157,26099,26099
Michigan,Woodhaven,12330,12330,12902,-0.00916104,City,12444,1930,6.388,42.1345,-83.2351,158,26163,26163
Michigan,Holly,12315,12315,12007,0.00113812,Township,12301,357,34.455,42.8336,-83.6284,159,26049,26049
Michigan,Marion,12304,12304,11271,0.0165235,Township,12104,353,34.894,42.5532,-83.9729,160,26161,26161
Michigan,Escanaba,12299,12299,12408,-0.00178557,City,12321,965,12.745,45.7463,-87.0836,161,26139,26139
Michigan,Algoma,12293,12293,12073,0.00138481,Township,12276,357,34.403,43.1635,-85.6163,162,26081,26081
Michigan,Zeeland charter,12264,12264,12029,0.00409366,Township,12214,357,34.381,42.8128,-85.9581,163,26139,26139
Michigan,Melvindale,12126,12126,12816,-0.0112524,City,12264,4447,2.727,42.2786,-83.1823,164,26163,26163
Michigan,South Lyon,12077,12077,11737,0.00566242,City,12009,3228,3.741,42.461,-83.6532,165,26161,26161
Michigan,New Baltimore,11929,11929,12086,-0.00259197,City,11960,2593,4.601,42.6853,-82.7376,166,26099,26099
Michigan,Tyrone,11902,11902,11987,-0.00368324,Township,11946,336,35.462,42.7381,-83.7429,167,26049,26049
Michigan,Thomas,11897,11897,11914,0.00117815,Township,11883,386,30.84,43.4374,-84.1167,168,26145,26145
Michigan,Emmett charter,11839,11839,11736,0.00415606,Township,11790,369,32.047,42.2809,-85.1103,169,26077,26077
Michigan,Fenton,11751,11751,12030,-0.00474295,City,11807,1767,6.651,42.8006,-83.7177,170,26049,26049
Michigan,East Bay,11732,11732,11610,0.00162213,Township,11713,293,39.976,44.6958,-85.5115,171,26081,26081
Michigan,Union charter,11678,11678,11730,-0.00375363,Township,11722,415,28.172,43.5754,-84.8171,172,26145,26145
Michigan,Riverview,11658,11658,12452,-0.0134552,City,11817,2549,4.574,42.1735,-83.1984,173,26163,26163
Michigan,Ionia,11503,11503,13368,-0.0314079,City,11876,2126,5.411,42.9768,-85.0746,174,26081,26081
Michigan,Niles,11464,11464,11966,-0.00864753,City,11564,1979,5.794,41.8345,-86.2478,175,26077,26077
Michigan,East Grand Rapids,11453,11453,11392,0.00104886,City,11441,3912,2.928,42.9466,-85.6068,176,26081,26081
Michigan,Egelston,11433,11433,11128,0.00527565,Township,11373,344,33.193,43.2568,-86.0825,177,26139,26139
Michigan,Fort Gratiot charter,11343,11343,11225,-0.00281319,Township,11375,711,15.957,43.0464,-82.4852,178,26099,26099
Michigan,Farmington,11275,11275,11564,-0.0051178,City,11333,4234,2.663,42.4614,-83.3784,179,26125,26125
Michigan,Tittabawassee,11064,11064,10610,0.00921281,Township,10963,315,35.164,43.5201,-84.0989,180,26145,26145
Michigan,Clawson,11051,11051,11363,-0.00557905,City,11113,5023,2.2,42.5367,-83.1504,181,26125,26125
Michigan,Grand Haven,10992,10992,11016,-0.000454669,City,10997,1920,5.724,43.055,-86.2194,182,26139,26139
Michigan,Sturgis,10932,10932,11132,-0.00364564,City,10972,1609,6.796,41.7991,-85.4184,183,26077,26077
Michigan,Grosse Pointe Park,10833,10833,11560,-0.0132082,City,10978,5001,2.166,42.3739,-82.9234,184,26099,26099
Michigan,Port Huron charter,10749,10749,10793,-0.000650799,Township,10756,838,12.83,42.9777,-82.4793,185,26099,26099
Michigan,Jamestown charter,10697,10697,9699,0.0238323,Township,10448,302,35.418,42.8056,-85.8362,186,26139,26139
Michigan,Monitor charter,10654,10654,10683,0.00169237,Township,10636,290,36.782,43.6086,-83.9898,187,26145,26145
Michigan,Flushing charter,10516,10516,10678,-0.00142437,Township,10531,335,31.385,43.0962,-83.8746,188,26049,26049
Michigan,Cooper charter,10514,10514,10445,0.00200133,Township,10493,289,36.334,42.3795,-85.5862,189,26077,26077
Michigan,Cadillac,10470,10470,10369,0.00191387,City,10450,1479,7.08,44.2513,-85.414,190,26081,26081
Michigan,Beverly Hills,10272,10272,10566,-0.00571097,Village,10331,2551,4.026,42.5225,-83.2403,191,26125,26125
Michigan,Grosse Ile,10221,10221,10757,-0.00911294,Township,10315,1138,8.983,42.1299,-83.1508,192,26163,26163
Michigan,Flat Rock,10141,10141,10510,-0.00724425,City,10215,1544,6.568,42.0979,-83.2698,193,26163,26163
Michigan,Alpena,10085,10085,10197,-0.00217671,City,10107,1234,8.172,45.0745,-83.4436,194,26145,26145
Michigan,Long Lake,10065,10065,9950,0.00179158,Township,10047,337,29.898,44.7144,-85.7486,195,26081,26081
Michigan,Howell,9961,9961,10078,-0.00230369,City,9984,1996,4.991,42.6081,-83.9343,196,26161,26161
Michigan,Bruce,9931,9931,9330,0.00914541,Township,9841,270,36.735,42.8454,-83.0394,197,26099,26099
