state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Minnesota,Minneapolis,421385,421385,430710,-0.00440638,City,423250,7803,54.0,44.9633,-93.2683,1,27053,27053
Minnesota,St. Paul,298940,298940,311140,-0.00809609,City,301380,5752,51.973,44.9489,-93.1041,2,27123,27123
Minnesota,Rochester,122971,122971,121575,0.00227399,City,122692,2177,56.486,44.0143,-92.4786,3,27109,27109
Minnesota,Duluth,88318,88318,86722,0.00362504,City,87999,1232,71.658,46.7745,-92.1341,4,27137,27137
Minnesota,Bloomington,85763,85763,89850,-0.00943636,City,86580,2472,34.699,44.8297,-93.3152,5,27053,27053
Minnesota,Woodbury,82244,82244,75478,0.0167262,City,80891,2357,34.894,44.9063,-92.9237,6,27163,27163
Minnesota,Lakeville,80385,80385,70030,0.0264448,City,78314,2178,36.915,44.6761,-93.2517,7,27037,27037
Minnesota,Brooklyn Park,79221,79221,86211,-0.0173408,City,80619,3038,26.076,45.1109,-93.3491,8,27003,27003
Minnesota,Blaine,75978,75978,70467,0.0147177,City,74876,2309,32.905,45.1705,-93.2061,9,27003,27003
Minnesota,Plymouth,75444,75444,80953,-0.0143966,City,76546,2306,32.711,45.0223,-93.4629,10,27053,27053
Minnesota,St. Cloud,71957,71957,69597,0.00660278,City,71485,1789,40.222,45.5267,-94.171,11,27145,27145
Minnesota,Maple Grove,71949,71949,70296,0.00462174,City,71618,2209,32.573,45.1128,-93.463,12,27003,27003
Minnesota,Eagan,66500,66500,68740,-0.00669176,City,66948,2133,31.18,44.8152,-93.1628,13,27123,27123
Minnesota,Burnsville,64942,64942,64517,0.00131058,City,64857,2604,24.937,44.7644,-93.2794,14,27053,27053
Minnesota,Coon Rapids,63235,63235,63589,-0.00112154,City,63306,2798,22.6,45.1764,-93.3115,15,27003,27003
Minnesota,Eden Prairie,60826,60826,64176,-0.010895,City,61496,1872,32.496,44.8496,-93.4587,16,27053,27053
Minnesota,Apple Valley,54712,54712,56271,-0.00567025,City,55024,3243,16.871,44.7453,-93.1994,17,27037,27037
Minnesota,Edina,53336,53336,53366,-0.000112481,City,53342,3451,15.456,44.8911,-93.3597,18,27053,27053
Minnesota,Minnetonka,51383,51383,54082,-0.0104,City,51923,1909,26.912,44.9326,-93.4567,19,27053,27053
Minnesota,St. Louis Park,49477,49477,50027,-0.00221832,City,49587,4657,10.624,44.9487,-93.365,20,27053,27053
Minnesota,Shakopee,49222,49222,44062,0.0214152,City,48190,1690,29.132,44.7719,-93.4757,21,27053,27053
Minnesota,Mankato,46518,46518,44577,0.00841101,City,46130,2339,19.892,44.1711,-93.9764,22,27013,27013
Minnesota,Moorhead,45642,45642,44542,0.00484347,City,45422,2048,22.283,46.8647,-96.7446,23,27145,27145
Minnesota,Cottage Grove,44101,44101,38988,0.0237476,City,43078,1311,33.64,44.8133,-92.9143,24,27163,27163
Minnesota,Maplewood,38582,38582,42022,-0.0175197,City,39270,2264,17.042,45.019,-93.0311,25,27123,27123
Minnesota,Inver Grove Heights,36307,36307,35824,0.00267882,City,36210,1303,27.854,44.829,-93.0601,26,27123,27123
Minnesota,Richfield,36124,36124,36926,-0.00440966,City,36284,5330,6.778,44.8744,-93.2824,27,27053,27053
Minnesota,Roseville,34941,34941,36215,-0.00724514,City,35196,2684,13.02,45.0156,-93.1538,28,27123,27123
Minnesota,Andover,33378,33378,32655,0.00436313,City,33233,985,33.872,45.2524,-93.3374,29,27003,27003
Minnesota,Savage,33277,33277,32582,0.00419458,City,33138,2133,15.603,44.7591,-93.3642,30,27053,27053
Minnesota,Fridley,30542,30542,29576,0.00635935,City,30349,3005,10.164,45.0842,-93.26,31,27003,27003
Minnesota,Brooklyn Center,30376,30376,33656,-0.0211395,City,31032,3796,8.003,45.068,-93.3178,32,27003,27003
Minnesota,Chaska,29804,29804,27879,0.0130868,City,29419,1739,17.141,44.8164,-93.61,33,27019,27019
Minnesota,Ramsey,29056,29056,27816,0.00860872,City,28808,1007,28.856,45.26,-93.4522,34,27003,27003
Minnesota,Rosemount,28792,28792,25786,0.0213189,City,28191,866,33.254,44.7458,-93.0689,35,27037,27037
Minnesota,Prior Lake,28293,28293,27628,0.00472301,City,28160,1737,16.293,44.7256,-93.4409,36,27053,27053
Minnesota,Elk River,28276,28276,25941,0.0167931,City,27809,668,42.325,45.3322,-93.5665,37,27003,27003
Minnesota,Oakdale,28198,28198,28268,-0.000496242,City,28212,2573,10.96,44.9875,-92.9636,38,27163,27163
Minnesota,Owatonna,26611,26611,26418,0.00146771,City,26572,1755,15.166,44.0919,-93.2317,39,27037,27037
Minnesota,Austin,26149,26149,26204,-0.000420489,City,26160,1968,13.287,43.6721,-92.9779,40,27109,27109
Minnesota,Winona,26061,26061,25981,0.000614321,City,26045,1369,19.034,44.0513,-91.6681,41,27109,27109
Minnesota,Shoreview,26010,26010,26920,-0.00694869,City,26192,2416,10.767,45.083,-93.1405,42,27123,27123
Minnesota,Chanhassen,25907,25907,25982,-0.000578659,City,25922,1272,20.361,44.8543,-93.5624,43,27053,27053
Minnesota,Otsego,25285,25285,20174,0.0421217,City,24263,854,29.609,45.2643,-93.6207,44,27003,27003
Minnesota,Faribault,24773,24773,24445,0.00267131,City,24707,1598,15.507,44.2997,-93.2789,45,27037,27037
Minnesota,Farmington,24078,24078,23655,0.0035427,City,23993,1552,15.513,44.6592,-93.1687,46,27037,27037
Minnesota,Lino Lakes,22977,22977,21474,0.0132739,City,22676,814,28.217,45.1555,-93.1069,47,27123,27123
Minnesota,St. Michael,22865,22865,18287,0.0417331,City,21949,700,32.669,45.1992,-93.6895,48,27171,27171
Minnesota,Columbia Heights,22500,22500,21944,0.00495779,City,22389,6602,3.408,45.0491,-93.2467,49,27123,27123
Minnesota,West St. Paul,22498,22498,20558,0.0175486,City,22110,4584,4.908,44.9024,-93.0853,50,27123,27123
Minnesota,White Bear Lake,22416,22416,24783,-0.0206649,City,22889,2786,8.045,45.0652,-93.0129,51,27123,27123
Minnesota,Champlin,22190,22190,23855,-0.0147849,City,22523,2722,8.151,45.1729,-93.3868,52,27003,27003
Minnesota,Hastings,22097,22097,22156,-0.000542765,City,22109,2134,10.353,44.7318,-92.8545,53,27163,27163
Minnesota,Willmar,21537,21537,21032,0.0047117,City,21436,1513,14.23,45.121,-95.0587,54,27145,27145
Minnesota,New Brighton,21404,21404,23463,-0.0188852,City,21816,3295,6.495,45.0672,-93.2058,55,27123,27123
Minnesota,Northfield,21177,21177,20784,0.00374443,City,21098,2499,8.475,44.4556,-93.1703,56,27037,27037
Minnesota,Crystal,21013,21013,23245,-0.0207838,City,21459,3632,5.786,45.0373,-93.3595,57,27053,27053
Minnesota,Forest Lake,20674,20674,20701,-0.000241791,City,20679,677,30.539,45.2508,-92.9669,58,27123,27123
Minnesota,South St. Paul,20632,20632,20712,-0.000774893,City,20648,3668,5.625,44.888,-93.0405,59,27123,27123
Minnesota,Golden Valley,20368,20368,22475,-0.0202511,City,20789,1996,10.202,44.9902,-93.3587,60,27053,27053
Minnesota,Sartell,19961,19961,19373,0.00594668,City,19843,1960,10.185,45.6181,-94.2122,61,27145,27145
Minnesota,New Hope,19902,19902,21909,-0.0197508,City,20303,3935,5.058,45.0359,-93.3869,62,27053,27053
Minnesota,Stillwater,19129,19129,19406,-0.00286697,City,19184,2377,8.046,45.0586,-92.8304,63,27163,27163
Minnesota,Hopkins,18309,18309,19008,-0.00758849,City,18449,4505,4.064,44.9251,-93.4045,64,27053,27053
Minnesota,Albert Lea,18117,18117,18496,-0.00417743,City,18193,1364,13.285,43.6543,-93.3642,65,27013,27013
Minnesota,Anoka,18048,18048,17917,0.00144268,City,18022,2707,6.668,45.2144,-93.3916,66,27003,27003
Minnesota,Hugo,16964,16964,15806,0.0138656,City,16732,507,33.461,45.1642,-92.9601,67,27123,27123
Minnesota,Red Wing,16880,16880,16569,0.00368653,City,16818,485,34.831,44.5813,-92.605,68,27163,27163
Minnesota,Ham Lake,16872,16872,16506,0.0043455,City,16799,490,34.415,45.2539,-93.1948,69,27003,27003
