state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Mississippi,Jackson,137517,137517,152997,-0.0220179,City,140613,1231,111.685,32.3158,-90.2129,1,28049,28049
Mississippi,Gulfport,72791,72791,72871,-0.000219759,City,72807,1309,55.623,30.4195,-89.069,2,28047,28047
Mississippi,Southaven,58189,58189,54843,0.0116307,City,57520,1408,41.334,34.951,-89.9777,3,28033,28033
Mississippi,Hattiesburg,48199,48199,48736,-0.00221505,City,48306,902,53.441,31.3073,-89.3174,4,28073,28073
Mississippi,Biloxi,47445,47445,49420,-0.00825669,City,47840,1105,42.936,30.4267,-88.9358,5,28047,28047
Mississippi,Olive Branch,47324,47324,46586,0.00313719,City,47176,848,55.838,34.9558,-89.8412,6,28033,28033
Mississippi,Tupelo,37511,37511,37921,-0.00218126,City,37593,583,64.383,34.2706,-88.7325,7,28081,28081
Mississippi,Meridian,32673,32673,34867,-0.013258,City,33112,608,53.741,32.3842,-88.6894,8,28121,28121
Mississippi,Pearl,28773,28773,27133,0.011531,City,28445,1129,25.486,32.2725,-90.0918,9,28121,28121
Mississippi,Madison,28140,28140,27757,0.00274383,City,28063,1114,25.249,32.4739,-90.1309,10,28089,28089
Mississippi,Oxford,28011,28011,25503,0.0182486,City,27509,1052,26.617,34.3513,-89.537,11,28071,28071
Mississippi,Greenville,26411,26411,29493,-0.022792,City,27027,982,26.895,33.3835,-91.0523,12,28089,28089
Mississippi,Horn Lake,26285,26285,26742,-0.00345011,City,26376,1640,16.025,34.9521,-90.0492,13,28033,28033
Mississippi,Brandon,26086,26086,25168,0.0071037,City,25902,1016,25.663,32.2781,-89.9907,14,28121,28121
Mississippi,Clinton,25845,25845,27977,-0.0162156,City,26271,617,41.868,32.3544,-90.3419,15,28049,28049
Mississippi,Starkville,25241,25241,25748,-0.00398548,City,25342,909,27.76,33.4633,-88.8278,16,28081,28081
Mississippi,Ridgeland,24354,24354,24616,-0.00213062,City,24406,927,26.26,32.4237,-90.1618,17,28049,28049
