state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Missouri,Kansas City,512360,512360,508220.0,0.00161867,City,511532,1628,314.68,39.1224,-94.5551,1,29047,29047
Missouri,St. Louis,269259,269259,300496.0,-0.0226746,City,275506,4363,61.72,38.6357,-90.2446,2,29510,29510
Missouri,Springfield,170862,170862,169177.0,0.00197625,City,170525,2053,83.206,37.1942,-93.2926,3,29077,29077
Missouri,Columbia,131345,131345,126307.0,0.0077338,City,130337,1951,67.31,38.9473,-92.3264,4,29019,29019
Missouri,Independence,119604,119604,122899.0,-0.00547966,City,120263,1534,77.989,39.0855,-94.3521,5,29095,29095
Missouri,Lee's Summit,105892,105892,101621.0,0.00813039,City,105038,1657,63.894,38.9216,-94.3848,6,29095,29095
Missouri,O'Fallon,95709,95709,91621.0,0.00862042,City,94891,3135,30.525,38.7847,-90.7207,7,29183,29183
Missouri,St. Charles,72480,72480,70780.0,0.00471306,City,72140,2876,25.201,38.7957,-90.5154,8,29183,29183
Missouri,St. Joseph,69627,69627,72144.0,-0.00717239,City,70130,1581,44.036,39.7595,-94.8211,9,29021,29021
Missouri,Blue Springs,61629,61629,58903.0,0.00892214,City,61084,2717,22.68,39.012,-94.2676,10,29095,29095
Missouri,St. Peters,60549,60549,57708.0,0.00946966,City,59981,2694,22.479,38.7816,-90.6042,11,29183,29183
Missouri,Joplin,53956,53956,51803.0,0.00805231,City,53525,1417,38.081,37.0752,-94.5013,12,29077,29077
Missouri,Florissant,50247,50247,52449.0,-0.00868073,City,50687,4003,12.552,38.7997,-90.3271,13,29510,29510
Missouri,Wentzville,49187,49187,44962.0,0.0174796,City,48342,2303,21.358,38.8165,-90.8708,14,29183,29183
Missouri,Chesterfield,48642,48642,49952.0,-0.00535743,City,48904,1528,31.835,38.6581,-90.576,15,29183,29183
Missouri,Jefferson City,42570,42570,42524.0,0.000211461,City,42561,1181,36.06,38.5675,-92.1753,16,29051,29051
Missouri,Cape Girardeau,40992,40992,39781.0,0.00593865,City,40750,1401,29.265,37.3094,-89.5584,17,29031,29031
Missouri,Oakville,35229,35229,36117.0,-0.00172853,CDP,35290,2219,15.878,38.4498,-90.3184,18,29510,29510
Missouri,Wildwood,34492,34492,35389.0,-0.00516282,City,34671,517,66.681,38.5771,-90.6678,19,29183,29183
Missouri,University City,33492,33492,35002.0,-0.0089365,City,33794,5694,5.882,38.6657,-90.3316,20,29510,29510
Missouri,Liberty,31172,31172,30227.0,0.00610012,City,30983,1051,29.656,39.2413,-94.4194,21,29047,29047
Missouri,Ballwin,29924,29924,31139.0,-0.00805516,City,30167,3332,8.981,38.5951,-90.55,22,29189,29189
Missouri,Mehlville,29266,29266,28824.0,0.00202006,CDP,29207,3914,7.477,38.5023,-90.3145,23,29510,29510
Missouri,Kirkwood,28988,28988,29452.0,-0.00319796,City,29081,3157,9.182,38.5794,-90.4209,24,29189,29189
Missouri,Raytown,28525,28525,29955.0,-0.00992676,City,28811,2872,9.931,38.9943,-94.4615,25,29095,29095
