state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Montana,Billings,123290,123290,117224.0,0.00993635,City,122077,2705,45.572,45.7885,-108.552,1,30111,30111
Montana,Missoula,79996,79996,74398.0,0.0141995,City,78876,2298,34.814,46.8744,-114.026,2,30063,30063
Montana,Great Falls,60406,60406,60446.0,-0.000132419,City,60414,2611,23.132,47.5025,-111.3,3,30013,30013
Montana,Bozeman,59614,59614,53841.0,0.0197574,City,58459,2789,21.377,45.6832,-111.054,4,30031,30031
Montana,Butte-Silver Bow,36453,36453,34573.0,0.0104222,Township,36077,51,715.763,45.8962,-112.66,5,30093,30093
Montana,Helena,35944,35944,32244.0,0.0210203,City,35204,2128,16.892,46.5955,-112.019,6,30049,30049
Montana,Kalispell,33194,33194,24924.0,0.0524413,City,31540,2617,12.685,48.2162,-114.328,7,30029,30029
Montana,Belgrade,13721,13721,10691.0,0.0462066,City,13115,2820,4.865,45.7787,-111.177,8,30031,30031
Montana,Whitefish,10035,10035,7855.0,0.0454214,City,9599,1398,7.18,48.438,-114.348,9,30029,30029
Montana,Anaconda-Deer Lodge County,9841,9841,9420.0,0.0086092,Township,9757,13,736.683,46.0947,-113.142,10,30039,30039
Montana,Helena Valley Southeast,9661,9661,8546.0,0.0100366,CDP,9565,450,21.47,46.6226,-111.901,11,30049,30049
Montana,Havre,9326,9326,9336.0,-0.000214408,City,9328,2514,3.709,48.5419,-109.678,12,30041,30041
Montana,Livingston,9196,9196,8476.0,0.0159081,City,9052,1533,5.998,45.6655,-110.556,13,30067,30067
Montana,Evergreen,8739,8739,8416.0,0.00865651,CDP,8664,1022,8.553,48.2289,-114.272,14,30029,30029
Montana,Miles City,8490,8490,8360.0,0.00307183,City,8464,2525,3.362,46.4058,-105.839,15,30017,30017
Montana,Helena Valley West Central,8287,8287,8042.0,0.00326877,CDP,8260,314,26.395,46.6603,-112.059,16,30049,30049
Montana,Lockwood,7542,7542,8206.0,0.00667378,CDP,7492,587,12.855,45.8305,-108.397,17,30111,30111
Montana,Laurel,7177,7177,7217.0,-0.00111343,City,7185,2755,2.605,45.674,-108.777,18,30111,30111
Montana,Lewistown,6267,6267,5971.0,0.00950386,City,6208,1095,5.722,47.0514,-109.452,19,30027,30027
