state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Nevada,Las Vegas,670352,670352,646794.0,0.0070789,City,665640,4725,141.862,36.2335,-115.264,1,32003,32003
Nevada,Henderson,349460,349460,319072.0,0.0177004,City,343382,2900,120.523,36.009,-115.027,2,32003,32003
Nevada,North Las Vegas,300475,300475,261214.0,0.0268332,City,292623,2853,105.319,36.2899,-115.089,3,32003,32003
Nevada,Reno,281537,281537,264981.0,0.0119004,City,278226,2583,108.993,39.5491,-119.85,4,32510,32510
Nevada,Enterprise,254706,254706,214591.0,0.0397946,CDP,244958,3859,65.999,36.0091,-115.228,5,32003,32003
Nevada,Spring Valley,230544,230544,218697.0,0.0153127,CDP,227067,6493,35.505,36.0952,-115.264,6,32003,32003
Nevada,Sunrise Manor,200563,200563,198187.0,0.00373342,CDP,199817,5949,33.713,36.1783,-115.049,7,32003,32003
Nevada,Paradise,181375,181375,193150.0,-0.0151281,CDP,184161,4277,42.404,36.0871,-115.136,8,32003,32003
Nevada,Sparks,111279,111279,108889.0,0.00431404,City,110801,3049,36.493,39.5743,-119.715,9,32510,32510
Nevada,Carson City,57602,57602,58686.0,-0.00375309,Township,57819,399,144.534,39.1531,-119.747,10,32510,32510
Nevada,Pahrump,46778,46778,38390.0,0.0149493,CDP,46089,142,328.801,36.224,-115.997,11,32003,32003
Nevada,Whitney,46254,46254,44488.0,0.0111932,CDP,45742,6792,6.81,36.1008,-115.038,12,32003,32003
Nevada,Winchester,39919,39919,36302.0,0.0203461,CDP,39123,8051,4.958,36.1365,-115.137,13,32003,32003
Nevada,Summerlin South,31134,31134,28716.0,0.0153274,CDP,30664,3215,9.685,36.1242,-115.332,14,32003,32003
Nevada,Fernley,25888,25888,23028.0,0.0225944,City,25316,211,122.723,39.5648,-119.189,15,32019,32019
Nevada,Mesquite,24232,24232,20616.0,0.0307542,City,23509,763,31.764,36.8111,-114.126,16,32003,32003
Nevada,Sun Valley,23644,23644,21179.0,0.0124176,CDP,23354,1622,14.574,39.6103,-119.777,17,32510,32510
Nevada,Elko,20935,20935,20559.0,0.0035954,City,20860,1173,17.846,40.8381,-115.768,18,32007,32007
Nevada,Dayton,17028,17028,14258.0,0.0326258,CDP,16490,488,34.9,39.2716,-119.545,19,32510,32510
Nevada,Spanish Springs,16756,16756,15820.0,0.00672915,CDP,16644,302,55.563,39.655,-119.669,20,32510,32510
Nevada,Spring Creek,15737,15737,14510.0,0.0145049,CDP,15512,293,53.666,40.7441,-115.598,21,32007,32007
Nevada,Boulder City,14771,14771,14913.0,-0.00189202,City,14799,71,208.265,35.8438,-114.912,22,32003,32003
Nevada,Gardnerville Ranchos,12243,12243,11432.0,0.00508989,CDP,12181,1186,10.325,38.8957,-119.749,23,32005,32005
Nevada,Cold Springs,11650,11650,10704.0,0.0180897,CDP,11443,1330,8.759,39.6926,-119.977,24,32510,32510
Nevada,Fallon,9741,9741,9331.0,0.00848949,City,9659,2625,3.711,39.4737,-118.778,25,32019,32019
Nevada,Incline Village,9259,9259,9160.0,0.00346808,CDP,9227,430,21.511,39.2657,-119.946,26,32510,32510
Nevada,Laughlin,8399,8399,7997.0,0.00852546,CDP,8328,514,16.345,35.1404,-114.617,27,32003,32003
Nevada,Winnemucca,8167,8167,8402.0,-0.00572194,City,8214,836,9.769,40.9644,-117.725,28,32031,32031
Nevada,Moapa Valley,7199,7199,6708.0,0.00250661,CDP,7181,165,43.656,36.604,-114.449,29,32003,32003
Nevada,Johnson Lane,6501,6501,6043.0,0.000153846,CDP,6500,297,21.872,39.0642,-119.72,30,32510,32510
Nevada,Gardnerville,6270,6270,6013.0,0.00658211,CDP,6229,1306,4.8,38.939,-119.737,31,32005,32005
Nevada,Indian Hills,6037,6037,6173.0,0.00449251,CDP,6010,413,14.605,39.0916,-119.798,32,32510,32510
Nevada,Lemmon Valley,5266,5266,5183.0,0.0028566,CDP,5251,330,15.943,39.6874,-119.833,33,32510,32510
Nevada,Silver Springs,5072,5072,4910.0,-0.00294869,CDP,5087,71,71.625,39.3835,-119.215,34,32019,32019
Nevada,Nellis AFB,4551,4551,3770.0,0.0204036,CDP,4460,1661,2.74,36.2466,-115.057,35,32003,32003
Nevada,West Wendover,4488,4488,4515.0,-0.00111284,City,4493,600,7.478,40.7403,-114.079,36,32007,32007
Nevada,Battle Mountain,4325,4325,3908.0,0.0107502,CDP,4279,708,6.113,40.6284,-116.949,37,32007,32007
Nevada,Ely,3889,3889,3933.0,-0.00230888,City,3898,510,7.626,39.2649,-114.871,38,32007,32007
Nevada,Washoe Valley,3289,3289,2724.0,0.0055029,CDP,3271,653,5.04,39.2923,-119.777,39,32510,32510
Nevada,Yerington,3253,3253,3105.0,0.0093081,City,3223,110,29.496,38.9555,-119.11,40,32019,32019
Nevada,Minden,3175,3175,3409.0,0.00379387,CDP,3163,858,3.701,38.9646,-119.767,41,32005,32005
Nevada,Hawthorne,2607,2607,2734.0,-0.0165975,CDP,2651,1482,1.759,38.5253,-118.626,42,32019,32019
Nevada,Carlin,1981,1981,2003.0,-0.00201511,City,1985,190,10.442,40.719,-116.108,43,32007,32007
Nevada,Stagecoach,1912,1912,2436.0,0.0015715,CDP,1909,229,8.345,39.3656,-119.383,44,32019,32019
Nevada,Sandy Valley,1880,1880,1678.0,-0.00581703,CDP,1891,34,55.997,35.8421,-115.631,45,32003,32003
Nevada,Kingsbury,1862,1862,2041.0,-0.010101,CDP,1881,85,21.81,38.9909,-119.884,46,32510,32510
Nevada,Lovelock,1793,1793,1808.0,-0.00167038,City,1796,2082,0.861,40.1787,-118.477,47,32031,32031
Nevada,Ruhenstroth,1791,1791,1373.0,0.0193512,CDP,1757,632,2.833,38.8913,-119.683,48,32005,32005
Nevada,Topaz Ranch Estates,1744,1744,1622.0,0.00984366,CDP,1727,121,14.39,38.7357,-119.501,49,32005,32005
Nevada,Amargosa Valley,1694,1694,1232.0,0.0714737,CDP,1581,17,98.66,36.5434,-116.484,50,32023,32023
Nevada,Smith Valley,1657,1657,1711.0,0.00241984,CDP,1653,16,101.96,38.7869,-119.369,51,32005,32005
Nevada,Tonopah,1602,1602,2192.0,-0.0349398,CDP,1660,173,9.259,38.0822,-117.225,52,32023,32023
Nevada,Mogul,1321,1321,1308.0,0.0015163,CDP,1319,909,1.454,39.5162,-119.923,53,32510,32510
Nevada,East Valley,1249,1249,1610.0,-0.0118671,CDP,1264,127,9.836,38.9421,-119.693,54,32005,32005
Nevada,Wells,1245,1245,1242.0,0.000803858,City,1244,180,6.904,41.1132,-114.954,55,32007,32007
Nevada,Jackpot,1220,1220,1101.0,0.00164204,CDP,1218,313,3.895,41.9795,-114.665,56,32007,32007
Nevada,Grass Valley,1197,1197,967.0,0.00167364,CDP,1195,35,34.511,40.7971,-117.76,57,32031,32031
Nevada,Pioche,1138,1138,1435.0,0.00797166,CDP,1129,185,6.154,37.952,-114.443,58,32003,32003
Nevada,Osino,1136,1136,628.0,0.0252708,CDP,1108,441,2.577,40.9409,-115.661,59,32007,32007
Nevada,Golden Valley,1091,1091,1085.0,-0.0276292,CDP,1122,302,3.614,39.6177,-119.823,60,32510,32510
Nevada,Verdi,1064,1064,1161.0,-0.0211592,CDP,1087,321,3.314,39.5214,-119.984,61,32510,32510
Nevada,Panaca,1058,1058,1057.0,0.00570342,CDP,1052,344,3.08,37.7881,-114.401,62,32003,32003
Nevada,Genoa,1032,1032,786.0,0.00682927,CDP,1025,112,9.187,39.0256,-119.831,63,32510,32510
Nevada,Owyhee,1027,1027,912.0,0.00489237,CDP,1022,5,224.386,41.928,-116.212,64,32007,32007
Nevada,Alamo,1004,1004,1142.0,-0.0049554,CDP,1009,158,6.35,37.377,-115.168,65,32003,32003
Nevada,Fallon Station,996,996,621.0,0.0194473,CDP,977,350,2.843,39.415,-118.717,66,32019,32019
Nevada,Round Hill Village,980,980,873.0,0.0144928,CDP,966,169,5.794,38.9965,-119.917,67,32510,32510
Nevada,Caliente,962,962,984.0,-0.00414079,City,966,18,53.024,37.6458,-114.493,68,32003,32003
Nevada,Stateline,962,962,932.0,0.00838574,CDP,954,1338,0.719,38.9687,-119.945,69,32510,32510
Nevada,Schurz,956,956,962.0,0.0213675,CDP,936,85,11.237,38.9794,-118.833,70,32019,32019
Nevada,Bunkerville,934,934,1430.0,-0.0260688,CDP,959,90,10.328,36.7568,-114.132,71,32003,32003
Nevada,Virginia City,916,916,661.0,0.00438596,CDP,912,1057,0.867,39.3075,-119.648,72,32510,32510
Nevada,McGill,812,812,847.0,-0.0263789,CDP,834,671,1.21,39.402,-114.778,73,32007,32007
Nevada,Indian Springs,798,798,832.0,-0.0160296,CDP,811,44,18.04,36.5718,-115.72,74,32003,32003
Nevada,Moapa Town,712,712,714.0,-0.0286494,CDP,733,40,17.853,36.6925,-114.636,75,32003,32003
Nevada,Wadsworth,686,686,787.0,-0.0143678,CDP,696,185,3.711,39.6322,-119.289,76,32019,32019
