state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
New Hampshire,Manchester,114888,114888,115508,-0.00254382,City,115181,3474,33.069,42.9849,-71.4441,1,33011,33011
New Hampshire,Nashua,90343,90343,91199,-0.00363945,City,90673,2930,30.834,42.7491,-71.4905,2,33011,33011
New Hampshire,Concord,44909,44909,44040,0.00312716,City,44769,702,63.963,43.2325,-71.5612,3,33013,33013
New Hampshire,Rochester,34305,34305,32517,0.0115888,City,33912,762,45.021,43.2985,-70.977,4,33017,33017
New Hampshire,Derry,33908,33908,34307,-0.00498855,Town,34078,956,35.474,42.8876,-71.282,5,33015,33015
New Hampshire,Dover,33705,33705,32776,0.0032743,City,33595,1261,26.729,43.1864,-70.8836,6,33017,33017
New Hampshire,Salem,33283,33283,30281,0.0267461,Town,32416,1340,24.84,42.7883,-71.2217,7,33015,33015
New Hampshire,Merrimack,29580,29580,26835,0.0113512,Town,29248,908,32.592,42.852,-71.5199,8,33011,33011
New Hampshire,Londonderry,27004,27004,25870,0.00551087,Town,26856,643,41.997,42.8798,-71.3923,9,33011,33011
New Hampshire,Hudson,25639,25639,25366,0.000858804,Town,25617,907,28.282,42.7605,-71.4094,10,33011,33011
New Hampshire,Bedford,23660,23660,23383,-0.00219298,Town,23712,722,32.78,42.9356,-71.5369,11,33011,33011
New Hampshire,Keene,22893,22893,23051,-0.000523903,City,22905,617,37.092,42.9538,-72.3069,12,33005,33005
New Hampshire,Portsmouth,22827,22827,21992,0.00206321,City,22780,1458,15.661,43.0606,-70.7803,13,33017,33017
New Hampshire,Goffstown,18477,18477,18564,-0.00140518,Town,18503,499,37.008,43.0192,-71.5554,14,33011,33011
New Hampshire,Laconia,17290,17290,16883,0.00429833,City,17216,872,19.838,43.5765,-71.4823,15,33001,33001
New Hampshire,Milford,16508,16508,16133,0.0026725,Town,16464,650,25.411,42.8186,-71.6734,16,33011,33011
New Hampshire,Hampton,16298,16298,16234,-0.00385062,Town,16361,1262,12.911,42.9391,-70.8343,17,33015,33015
New Hampshire,Exeter,16098,16098,16043,-0.00229315,Town,16135,821,19.603,42.9885,-70.9615,18,33015,33015
New Hampshire,Windham,16086,16086,15836,0.0,Town,16086,601,26.744,42.8111,-71.3027,19,33015,33015
New Hampshire,Lebanon,15988,15988,14298,0.0206192,City,15665,397,40.305,43.6354,-72.2538,20,33009,33009
New Hampshire,Hooksett,15434,15434,14917,0.00396799,Town,15373,428,36.056,43.0812,-71.4466,21,33013,33013
New Hampshire,Durham,14917,14917,15554,-0.000134057,Town,14919,666,22.413,43.1171,-70.9188,22,33017,33017
New Hampshire,Pelham,14577,14577,14237,0.00220007,Town,14545,553,26.343,42.731,-71.3371,23,33015,33015
New Hampshire,Claremont,13041,13041,12950,-0.00267666,City,13076,302,43.153,43.3865,-72.3345,24,33005,33005
New Hampshire,Somersworth,12286,12286,11929,0.00384018,City,12239,1254,9.801,43.2535,-70.8879,25,33017,33017
New Hampshire,Hanover,12083,12083,11886,-0.00518689,Town,12146,246,49.028,43.721,-72.1852,26,33009,33009
New Hampshire,Amherst,11843,11843,11752,-0.00151758,Town,11861,349,33.906,42.8748,-71.6005,27,33011,33011
New Hampshire,Raymond,10942,10942,10702,-0.00136899,Town,10957,380,28.818,43.0326,-71.2031,28,33015,33015
New Hampshire,Conway,10391,10391,9848,0.0049323,Town,10340,150,69.482,44.0058,-71.0652,29,33003,33003
New Hampshire,Barrington,9654,9654,9320,0.00520616,Town,9604,207,46.653,43.2156,-71.039,30,33017,33017
New Hampshire,Newmarket,9571,9571,9424,0.0048294,Town,9525,760,12.593,43.0709,-70.9469,31,33015,33015
New Hampshire,Berlin,9317,9317,9406,-0.00756285,City,9388,152,61.349,44.4843,-71.2771,32,33007,33007
New Hampshire,Weare,9189,9189,9083,-0.000435113,Town,9193,156,59.067,43.0783,-71.7035,33,33011,33011
New Hampshire,Hampstead,9113,9113,9004,-0.000877096,Town,9121,679,13.42,42.8811,-71.1719,34,33015,33015
New Hampshire,Hollis,8783,8783,8364,0.0034274,Town,8753,277,31.729,42.7496,-71.5854,35,33011,33011
New Hampshire,Franklin,8770,8770,8745,-0.00113895,City,8780,320,27.433,43.4539,-71.6699,36,33013,33013
New Hampshire,Litchfield,8480,8480,8473,-0.00141309,Town,8492,568,14.924,42.8461,-71.4683,37,33011,33011
New Hampshire,Bow,8401,8401,8247,0.000714711,Town,8395,298,28.171,43.1332,-71.5372,38,33013,33013
New Hampshire,Seabrook,8355,8355,8407,-0.00345897,Town,8384,931,8.977,42.8831,-70.8608,39,33015,33015
New Hampshire,Gilford,7921,7921,7711,0.00291213,Town,7898,204,38.786,43.5195,-71.3758,40,33001,33001
New Hampshire,Epping,7783,7783,7151,0.0147327,Town,7670,299,26.027,43.051,-71.0883,41,33015,33015
New Hampshire,Plaistow,7764,7764,7833,-0.00436009,Town,7798,733,10.591,42.8456,-71.0933,42,33015,33015
