state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
New Jersey,Newark,305776,305776,310645,0.00133609,City,305368,12665,24.144,40.7242,-74.1726,1,34017,34017
New Jersey,Jersey City,295427,295427,291949,0.00642157,City,293542,20032,14.748,40.7114,-74.0648,2,34017,34017
New Jersey,Paterson,156416,156416,159323,-0.000115064,City,156434,18592,8.413,40.9148,-74.1628,3,34003,34003
New Jersey,Lakewood,140912,140912,135389,0.00372536,Township,140389,5709,24.681,40.0771,-74.1985,4,34029,34029
New Jersey,Elizabeth,137397,137397,136677,0.00573884,City,136613,11153,12.319,40.6664,-74.1935,5,34039,34039
New Jersey,Edison,106512,106512,107066,-0.00151864,Township,106674,3541,30.08,40.5044,-74.3488,6,34023,34023
New Jersey,Woodbridge,103168,103168,103656,-0.000125992,Township,103181,4436,23.258,40.5613,-74.2924,7,34039,34039
New Jersey,Toms River,100505,100505,95652,0.00708431,Township,99798,2479,40.545,39.9943,-74.1662,8,34029,34029
New Jersey,Hamilton,92050,92050,92057,0.00223202,Township,91845,2333,39.448,40.2063,-74.6753,9,34023,34023
New Jersey,Trenton,89790,89790,90592,0.00094755,City,89705,11805,7.606,40.2238,-74.7636,10,34023,34023
New Jersey,Clifton,88091,88091,90019,-0.0020957,City,88276,7813,11.275,40.8621,-74.1604,11,34013,34013
New Jersey,Cherry Hill,78543,78543,74606,0.00786603,Township,77930,3263,24.072,39.9046,-74.997,12,34007,34007
New Jersey,Brick,76665,76665,73751,0.00421781,Township,76343,2996,25.587,40.0618,-74.1096,13,34029,34029
New Jersey,Bayonne,71908,71908,71601,0.0113074,City,71104,12353,5.821,40.6625,-74.1102,14,34017,34017
New Jersey,Camden,71654,71654,71738,0.0038808,City,71377,8034,8.919,39.9368,-75.1066,15,34007,34007
New Jersey,East Orange,70796,70796,69375,0.00883493,City,70176,18023,3.928,40.7651,-74.2117,16,34013,34013
New Jersey,Old Bridge,68947,68947,66744,0.00570337,Township,68556,1806,38.181,40.4046,-74.3085,17,34023,34023
New Jersey,Passaic,68541,68541,70304,-0.0026338,City,68722,21877,3.133,40.8576,-74.1291,18,34003,34003
New Jersey,Franklin,67729,67729,68312,-0.00370692,Township,67981,1467,46.168,40.4769,-74.5504,19,34023,34023
New Jersey,Gloucester,66765,66765,65937,0.00395477,Township,66502,2909,22.954,39.7922,-75.0361,20,34007,34007
New Jersey,Middletown,65936,65936,66994,-0.00409322,Township,66207,1610,40.95,40.4048,-74.0714,21,34025,34025
New Jersey,Union City,63916,63916,68138,-0.00425307,City,64189,49663,1.287,40.7674,-74.0323,22,34017,34017
New Jersey,Piscataway,61744,61744,60742,0.00652061,Township,61344,3285,18.794,40.5455,-74.4607,23,34023,34023
New Jersey,Vineland,61455,61455,60644,0.00538233,City,61126,898,68.403,39.465,-74.9971,24,34007,34007
New Jersey,Union,60934,60934,59826,0.00212154,Township,60805,6732,9.051,40.6953,-74.2691,25,34039,34039
New Jersey,Jackson,60579,60579,58646,0.00251543,Township,60427,611,99.174,40.0909,-74.3613,26,34029,34029
New Jersey,Irvington,59745,59745,60915,-0.00150414,Township,59835,20503,2.914,40.7239,-74.2325,27,34013,34013
New Jersey,North Bergen,58874,58874,62916,-0.00439679,Township,59134,11474,5.131,40.7936,-74.025,28,34017,34017
New Jersey,Hoboken,56656,56656,59909,-0.00311439,City,56833,45325,1.25,40.7453,-74.0279,29,34017,34017
New Jersey,Parsippany-Troy Hills,56607,56607,56024,0.00281675,Township,56448,2395,23.632,40.8596,-74.4233,30,34027,34027
New Jersey,New Brunswick,55848,55848,55288,1.7906e-05,City,55847,10672,5.233,40.4867,-74.4444,31,34023,34023
New Jersey,Perth Amboy,55331,55331,55383,0.000741544,City,55290,11869,4.662,40.5202,-74.2713,32,34039,34039
New Jersey,Bloomfield,55146,55146,52871,0.0132662,Township,54424,10333,5.337,40.8091,-74.1871,33,34013,34013
New Jersey,Plainfield,55008,55008,54340,0.00308175,City,54839,9231,5.959,40.6154,-74.4158,34,34039,34039
New Jersey,Howell,54076,54076,53487,0.00198262,Township,53969,897,60.271,40.1781,-74.2062,35,34025,34025
New Jersey,Wayne,52506,52506,54639,-0.00245084,Township,52635,2213,23.722,40.9459,-74.2451,36,34031,34031
New Jersey,West New York,50798,50798,52542,0.000433275,Town,50776,51105,0.994,40.786,-74.0095,37,34017,34017
New Jersey,East Brunswick,49995,49995,49559,0.00551075,Township,49721,2295,21.784,40.4263,-74.4182,38,34023,34023
New Jersey,Washington,49698,49698,48720,0.00322984,Township,49538,2328,21.346,39.7484,-75.0691,39,34007,34007
New Jersey,Monroe,49138,49138,48493,0.00583383,Township,48853,1172,41.938,40.3195,-74.4288,40,34023,34023
New Jersey,Evesham,48837,48837,46778,0.00407081,Township,48639,1675,29.156,39.8567,-74.9008,41,34007,34007
New Jersey,Egg Harbor,47795,47795,47769,-0.000689972,Township,47828,713,67.047,39.3804,-74.6123,42,34029,34029
New Jersey,West Orange,47681,47681,48697,-0.00198845,Township,47776,3972,12.003,40.7858,-74.2651,43,34013,34013
New Jersey,Mount Laurel,47345,47345,44722,0.0100482,Township,46874,2179,21.724,39.949,-74.9002,44,34007,34007
New Jersey,South Brunswick,46621,46621,46896,0.000600948,Township,46593,1148,40.614,40.3847,-74.5228,45,34023,34023
New Jersey,Sayreville,46210,46210,45225,0.00778575,Borough,45853,2919,15.83,40.4669,-74.3202,46,34023,34023
