state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
New Mexico,Albuquerque,557198,557198,564888.0,-0.00275264,City,558736,2975,187.266,35.1048,-106.647,1,35001,35001
New Mexico,Las Cruces,117021,117021,111698.0,0.00918452,City,115956,1521,76.933,32.3264,-106.79,2,35013,35013
New Mexico,Rio Rancho,114811,114811,104433.0,0.0184149,City,112735,1111,103.361,35.2851,-106.699,3,35001,35001
New Mexico,Santa Fe,90125,90125,87729.0,0.00534324,City,89646,1725,52.233,35.662,-105.982,4,35049,35049
New Mexico,Roswell,46229,46229,48429.0,-0.0094281,City,46669,1556,29.716,33.3734,-104.529,5,35005,35005
New Mexico,Farmington,46061,46061,46500.0,-0.00190687,City,46149,1337,34.461,36.7538,-108.181,6,35045,35045
New Mexico,Hobbs,38538,38538,40657.0,-0.0108824,City,38962,1460,26.404,32.7291,-103.161,7,35025,35025
New Mexico,Clovis,37011,37011,38513.0,-0.00804052,City,37311,1567,23.625,34.4386,-103.194,8,35009,35009
New Mexico,South Valley,36757,36757,39150.0,-0.0075868,CDP,37038,1267,29.019,35.0086,-106.682,9,35001,35001
New Mexico,Alamogordo,31516,31516,30936.0,0.00369427,City,31400,1461,21.572,32.8836,-105.964,10,35035,35035
New Mexico,Carlsbad,30977,30977,32282.0,-0.00835521,City,31238,979,31.652,32.4008,-104.241,11,35015,35015
New Mexico,Los Lunas,20256,20256,17313.0,0.0299486,Village,19667,995,20.361,34.8009,-106.789,12,35061,35061
New Mexico,Gallup,19548,19548,21805.0,-0.0225511,City,19999,968,20.19,35.5138,-108.744,13,35031,35031
New Mexico,Sunland Park,18283,18283,16798.0,0.0165128,City,17986,1241,14.735,31.8236,-106.6,14,35013,35013
New Mexico,Chaparral,15455,15455,13744.0,0.00357143,CDP,15400,262,59.064,32.0443,-106.406,15,35013,35013
New Mexico,Deming,14481,14481,14786.0,-0.00419475,City,14542,866,16.715,32.2631,-107.752,16,35029,35029
New Mexico,Los Alamos,13820,13820,12978.0,0.00875912,CDP,13700,1244,11.108,35.894,-106.29,17,35028,35028
New Mexico,Las Vegas,12723,12723,13177.0,-0.00710161,City,12814,1476,8.622,35.6048,-105.217,18,35047,35047
New Mexico,Artesia,11964,11964,12868.0,-0.0149033,City,12145,1056,11.331,32.8522,-104.425,19,35015,35015
New Mexico,Portales,11681,11681,12125.0,-0.0075616,City,11770,1455,8.026,34.1773,-103.355,20,35041,35041
New Mexico,North Valley,11237,11237,13331.0,-0.000533665,CDP,11243,1618,6.946,35.1731,-106.623,21,35001,35001
New Mexico,Lovington,10937,10937,11687.0,-0.0135294,City,11087,976,11.209,32.9445,-103.349,22,35025,35025
New Mexico,Española,10367,10367,10526.0,-0.00307722,City,10399,1261,8.222,36.004,-106.07,23,35028,35028
New Mexico,Bernalillo,9172,9172,9026.0,0.00317183,Town,9143,1744,5.258,35.3124,-106.554,24,35001,35001
New Mexico,Silver City,9153,9153,9712.0,-0.0120885,Town,9265,905,10.119,32.7786,-108.269,25,35017,35017
New Mexico,Grants,8908,8908,9127.0,-0.0049151,City,8952,600,14.858,35.1542,-107.832,26,35006,35006
New Mexico,Anthony,8739,8739,8706.0,0.000801649,City,8732,3238,2.699,32.0131,-106.598,27,35013,35013
New Mexico,Corrales,8688,8688,8507.0,0.00416089,Village,8652,805,10.789,35.2396,-106.627,28,35001,35001
New Mexico,Shiprock,8270,8270,8588.0,-0.000241779,CDP,8272,612,13.511,36.7907,-108.696,29,35045,35045
New Mexico,Socorro,8149,8149,8679.0,-0.0128407,City,8255,564,14.454,34.0545,-106.906,30,35053,35053
New Mexico,Ruidoso,7636,7636,7703.0,-0.00169957,Village,7649,473,16.132,33.3495,-105.669,31,35027,35027
New Mexico,Belen,7541,7541,7373.0,0.00452911,City,7507,397,19.011,34.7666,-106.809,32,35061,35061
New Mexico,Bloomfield,7311,7311,7405.0,-0.00259209,City,7330,394,18.548,36.7433,-107.974,33,35045,35045
New Mexico,Santa Teresa,6931,6931,6553.0,0.0265107,CDP,6752,783,8.85,31.8714,-106.673,34,35013,35013
New Mexico,Zuni Pueblo,6911,6911,6822.0,0.00596798,CDP,6870,547,12.623,35.0694,-108.856,35,35031,35031
New Mexico,Taos,6385,6385,6490.0,-0.00327818,Town,6406,1057,6.039,36.3871,-105.58,36,35055,35055
New Mexico,Edgewood,6095,6095,6182.0,-0.00278141,Town,6112,107,56.796,35.1313,-106.22,37,35057,35057
New Mexico,Aztec,6087,6087,6194.0,-0.00343811,City,6108,357,17.062,36.8159,-107.97,38,35045,35045
New Mexico,Crouch Mesa,6042,6042,4626.0,0.0712766,CDP,5640,292,20.674,36.748,-108.085,39,35045,35045
New Mexico,North Hobbs,5981,5981,5860.0,0.00656345,CDP,5942,230,26.041,32.7733,-103.123,40,35025,35025
New Mexico,Truth Consequences,5970,5970,6045.0,-0.00250626,City,5985,213,27.996,33.2376,-107.276,41,35051,35051
New Mexico,Raton,5943,5943,6030.0,-0.00285235,City,5960,747,7.961,36.885,-104.44,42,35007,35007
New Mexico,Los Ranchos Albuquerque,5790,5790,5885.0,-0.00327079,Village,5809,1301,4.452,35.162,-106.646,43,35001,35001
New Mexico,White Rock,5559,5559,5845.0,-0.00197487,CDP,5570,787,7.066,35.8086,-106.208,44,35028,35028
New Mexico,Eldorado Santa Fe,5306,5306,5510.0,-0.0102593,CDP,5361,255,20.781,35.5272,-105.934,45,35049,35049
New Mexico,El Cerro Mission,5084,5084,4808.0,0.00553797,CDP,5056,864,5.883,34.7687,-106.645,46,35061,35061
New Mexico,Tucumcari,5031,5031,5260.0,-0.00906047,City,5077,529,9.507,35.1703,-103.705,47,35037,35037
New Mexico,Rio Communities,4890,4890,4932.0,-0.00163332,City,4898,636,7.694,34.6452,-106.716,48,35061,35061
New Mexico,Kirtland AFB,4796,4796,4279.0,0.0714924,CDP,4476,880,5.448,35.0477,-106.561,49,35001,35001
New Mexico,Meadow Lake,4754,4754,4266.0,0.000631446,CDP,4751,412,11.541,34.8031,-106.57,50,35061,35061
New Mexico,Los Chaves,4688,4688,4965.0,-0.0107618,CDP,4739,410,11.436,34.7335,-106.761,51,35061,35061
New Mexico,Lee Acres,4608,4608,5318.0,-0.0176935,CDP,4691,446,10.323,36.7048,-108.062,52,35045,35045
New Mexico,Paradise Hills,4487,4487,4918.0,0.0033542,CDP,4472,4386,1.023,35.1981,-106.702,53,35001,35001
New Mexico,Holloman AFB,4464,4464,3943.0,0.0215103,CDP,4370,356,12.553,32.846,-106.096,54,35035,35035
New Mexico,Bosque Farms,4111,4111,4023.0,0.00439775,Village,4093,1045,3.935,34.8536,-106.701,55,35061,35061
New Mexico,La Cienega,3980,3980,3728.0,0.00251889,CDP,3970,341,11.661,35.5794,-106.113,56,35049,35049
New Mexico,Placitas,3838,3838,4506.0,-0.0194175,CDP,3914,130,29.44,35.3226,-106.443,57,35001,35001
New Mexico,Peralta,3476,3476,3356.0,0.00695249,Town,3452,782,4.443,34.8283,-106.686,58,35061,35061
New Mexico,Vado,3434,3434,3189.0,0.0046811,CDP,3418,1153,2.978,32.1279,-106.657,59,35013,35013
New Mexico,El Cerro,3317,3317,3138.0,0.00759417,CDP,3292,781,4.246,34.7805,-106.696,60,35061,35061
New Mexico,Center Point,3220,3220,2726.0,0.0715474,CDP,3005,350,9.193,36.871,-107.955,61,35045,35045
New Mexico,Sandia Heights,3208,3208,3111.0,0.000311817,CDP,3207,1739,1.845,35.1743,-106.488,62,35001,35001
New Mexico,Crownpoint,2959,2959,3018.0,0.0154427,CDP,2914,44,67.506,35.7343,-108.155,63,35031,35031
New Mexico,Chimayo,2900,2900,2779.0,-0.00616861,CDP,2918,375,7.736,35.9986,-105.945,64,35049,35049
New Mexico,Eunice,2862,2862,3067.0,-0.0141233,City,2903,699,4.094,32.4361,-103.149,65,35025,35025
New Mexico,Cannon AFB,2791,2791,2527.0,0.0130671,CDP,2755,476,5.863,34.3821,-103.317,66,35009,35009
New Mexico,Santa Rosa,2715,2715,2850.0,-0.00984683,City,2742,543,4.999,34.9361,-104.675,67,35019,35019
New Mexico,San Rafael,2669,2669,1757.0,0.0450274,CDP,2554,169,15.804,35.0982,-107.905,68,35006,35006
New Mexico,La Mesilla,2627,2627,2656.0,0.022179,CDP,2570,590,4.454,35.9419,-106.064,69,35028,35028
New Mexico,Tularosa,2627,2627,2556.0,0.00535783,Village,2613,932,2.819,33.075,-106.017,70,35035,35035
New Mexico,Ruidoso Downs,2537,2537,2641.0,-0.00820954,City,2558,669,3.79,33.3312,-105.597,71,35027,35027
New Mexico,Clayton,2536,2536,2648.0,-0.00860047,Town,2558,325,7.808,36.446,-103.149,72,35059,35059
New Mexico,Thoreau,2485,2485,2068.0,0.0167758,CDP,2444,63,39.472,35.4235,-108.2,73,35031,35031
New Mexico,Tres Arroyos,2475,2475,2159.0,0.0714286,CDP,2310,268,9.233,35.6798,-106.04,74,35049,35049
New Mexico,Milan,2455,2455,2459.0,-0.000407166,Village,2456,557,4.41,35.1968,-107.892,75,35006,35006
New Mexico,Agua Fria,2454,2454,2997.0,-0.00928542,CDP,2477,1012,2.424,35.6616,-106.015,76,35049,35049
New Mexico,Pojoaque,2443,2443,2094.0,0.0145349,CDP,2408,559,4.368,35.8962,-106.01,77,35049,35049
New Mexico,La Plata,2426,2426,2078.0,0.0524946,CDP,2305,109,22.162,36.8964,-108.201,78,35045,35045
New Mexico,Flora Vista,2385,2385,2187.0,0.00548061,CDP,2372,482,4.952,36.8031,-108.09,79,35045,35045
New Mexico,University Park,2382,2382,2917.0,-0.048342,CDP,2503,1552,1.535,32.2767,-106.746,80,35013,35013
New Mexico,Angustura,2355,2355,2050.0,0.0714286,CDP,2198,494,4.771,36.7128,-107.917,81,35045,35045
New Mexico,West Hammond,2315,2315,2738.0,-0.0136344,CDP,2347,254,9.106,36.682,-108.044,82,35045,35045
