state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
New York,New York City,7936530,7936530,8740292,-0.0198526,City,8097282,26415,300.457,40.6627,-73.9387,1,36047,36047
New York,Hempstead,781032,781032,790387,-0.00296545,Town,783355,6590,118.514,40.634,-73.6091,2,36059,36059
New York,Brookhaven,485982,485982,484578,-0.0024181,Town,487160,1872,259.645,40.8574,-72.9598,3,36103,36103
New York,Islip,333694,333694,339077,-0.00466506,Town,335258,3234,103.199,40.715,-73.1952,4,36059,36059
New York,Oyster Bay,296528,296528,300272,-0.00211001,Town,297155,2862,103.61,40.8005,-73.5106,5,36059,36059
New York,Buffalo,272762,272762,277551,-0.00349993,City,273720,6755,40.379,42.8925,-78.8597,6,36029,36029
New York,North Hempstead,234933,234933,236815,-0.00180152,Town,235357,4388,53.543,40.8034,-73.6784,7,36059,36059
New York,Babylon,215046,215046,217663,-0.00462864,Town,216046,4114,52.277,40.6409,-73.3167,8,36059,36059
New York,Yonkers,205432,205432,210994,-0.00538384,City,206544,11409,18.006,40.9459,-73.8674,9,36005,36005
New York,Rochester,204882,204882,210862,-0.00580363,City,206078,5729,35.761,43.1699,-77.6169,10,36055,36055
New York,Huntington,201618,201618,203585,-0.00319385,Town,202264,2144,94.039,40.8841,-73.3768,11,36059,36059
New York,Ramapo,154849,154849,148703,0.00651951,Town,153846,2531,61.187,41.1408,-74.105,12,36119,36119
New York,Syracuse,144782,144782,146726,-0.0026796,City,145171,5778,25.059,43.041,-76.1436,13,36055,36055
New York,Amherst,131495,131495,129353,0.00164535,Town,131279,2472,53.203,43.0116,-78.7571,14,36029,36029
New York,Smithtown,114524,114524,115897,-0.00406985,Town,114992,2131,53.75,40.9188,-73.1773,15,36103,36103
New York,Albany,102925,102925,98682,0.00831733,City,102076,4809,21.404,42.6657,-73.7984,16,36119,36119
New York,Greece,93265,93265,96562,-0.0070586,Town,93928,1963,47.513,43.2503,-77.7005,17,36055,36055
New York,Greenburgh,91302,91302,95019,-0.00705811,Town,91951,3010,30.33,41.0295,-73.8427,18,36119,36119
New York,Cheektowaga,87425,87425,89742,-0.00533597,Town,87894,2968,29.451,42.91,-78.7418,19,36029,36029
New York,New Rochelle,86108,86108,80192,0.0139299,City,84925,8371,10.286,40.9232,-73.7793,20,36005,36005
New York,Colonie,85889,85889,85383,0.00173781,Town,85740,1535,55.956,42.7407,-73.7869,21,36119,36119
New York,Clarkstown,85645,85645,86521,-0.00340943,Town,85938,2227,38.465,41.1342,-73.9657,22,36119,36119
New York,Tonawanda,70540,70540,72447,-0.00545631,Town,70927,3765,18.735,42.9834,-78.8757,23,36029,36029
New York,Southampton,70022,70022,68842,0.00233327,Town,69859,504,138.842,40.8816,-72.4618,24,36103,36103
New York,Mount Vernon,69576,69576,73556,-0.0113113,City,70372,15842,4.392,40.9131,-73.8293,25,36005,36005
New York,Schenectady,68673,68673,68350,0.000947411,City,68608,6354,10.808,42.8026,-73.9272,26,36119,36119
New York,Utica,62571,62571,65160,-0.00821062,City,63089,3742,16.722,43.0964,-75.226,27,36055,36055
New York,White Plains,62518,62518,59443,0.0099349,City,61903,6421,9.737,41.0238,-73.751,28,36119,36119
New York,Hamburg,59772,59772,60059,-0.00178694,Town,59879,1446,41.322,42.7391,-78.8571,29,36029,36029
New York,Clay,59122,59122,60437,-0.00392553,Town,59355,1230,48.065,43.1786,-76.1918,30,36055,36055
New York,Hempstead,57797,57797,58867,-0.00368895,Village,58011,15659,3.691,40.7044,-73.6194,31,36059,36059
New York,Union,53257,53257,55944,-0.0104792,Town,53821,1503,35.435,42.126,-76.0322,32,36055,36055
New York,Henrietta,51084,51084,46249,0.0233583,Town,49918,1446,35.323,43.0543,-77.6401,33,36055,36055
New York,Troy,50133,50133,51318,-0.00470518,City,50370,4840,10.357,42.7358,-73.6753,34,36119,36119
New York,Irondequoit,49019,49019,50934,-0.00721013,Town,49375,3264,15.016,43.2098,-77.5721,35,36055,36055
New York,Orangetown,48001,48001,48437,-0.00222416,Town,48108,1995,24.055,41.0537,-73.9481,36,36119,36119
New York,Palm Tree,47517,47517,33499,0.0633294,Town,44687,32501,1.462,41.3407,-74.1673,37,36119,36119
New York,Kiryas Joel,47429,47429,33499,0.0624062,Village,44643,32441,1.462,41.3407,-74.1673,38,36119,36119
