state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
North Carolina,Charlotte,935017,935017,875752.0,0.0128395,City,923164,3009,310.759,35.209,-80.831,1,37119,37119
North Carolina,Raleigh,493589,493589,465354.0,0.0115731,City,487942,3303,149.447,35.8319,-78.641,2,37183,37183
North Carolina,Greensboro,306263,306263,296345.0,0.00652033,City,304279,2288,133.861,36.0948,-79.8236,3,37081,37081
North Carolina,Durham,304014,304014,284444.0,0.0130423,City,300100,2604,116.754,35.9781,-78.8995,4,37063,37063
North Carolina,Winston-Salem,255089,255089,249804.0,0.00416089,City,254032,1910,133.584,36.1029,-80.2608,5,37067,37067
North Carolina,Fayetteville,210135,210135,209170.0,0.000919301,City,209942,1417,148.266,35.0828,-78.9735,6,37051,37051
North Carolina,Cary,183498,183498,174778.0,0.00959539,Town,181754,3052,60.128,35.7813,-78.8234,7,37183,37183
North Carolina,Wilmington,127316,127316,115770.0,0.018471,City,125007,2476,51.414,34.2092,-77.8858,8,37129,37129
North Carolina,High Point,118312,118312,114846.0,0.00589191,City,117619,2064,57.327,35.9908,-79.9927,9,37081,37081
North Carolina,Concord,113608,113608,104885.0,0.0155994,City,111863,1774,64.033,35.3921,-80.6355,10,37025,37025
North Carolina,Asheville,95376,95376,94575.0,0.00168039,City,95216,2098,45.465,35.571,-82.5527,11,37021,37021
North Carolina,Greenville,91660,91660,87642.0,0.00884917,City,90856,2448,37.44,35.5964,-77.3753,12,37183,37183
North Carolina,Gastonia,86218,86218,80528.0,0.0133756,City,85080,1625,53.067,35.249,-81.1848,13,37119,37119
North Carolina,Apex,76974,76974,65101.0,0.0318369,Town,74599,2994,25.706,35.7246,-78.8787,14,37183,37183
North Carolina,Jacksonville,71517,71517,74922.0,-0.00943239,City,72198,1465,48.802,34.7297,-77.3937,15,37129,37129
North Carolina,Huntersville,66742,66742,61606.0,0.0156281,Town,65715,1603,41.637,35.4068,-80.8687,16,37119,37119
North Carolina,Chapel Hill,65486,65486,56878.0,0.0270058,Town,63764,3024,21.656,35.9283,-79.0414,17,37063,37063
North Carolina,Kannapolis,62000,62000,55302.0,0.0220903,City,60660,1793,34.57,35.4799,-80.6475,18,37025,37025
North Carolina,Burlington,61722,61722,57496.0,0.0138804,City,60877,2020,30.551,36.0761,-79.4683,19,37081,37081
North Carolina,Wake Forest,57240,57240,49982.0,0.0260271,Town,55788,2915,19.636,35.9644,-78.5133,20,37183,37183
North Carolina,Mooresville,55837,55837,50547.0,0.019314,Town,54779,2050,27.236,35.5837,-80.8278,21,37025,37025
North Carolina,Rocky Mount,54200,54200,54312.0,-0.000405739,City,54222,1213,44.683,35.9693,-77.8038,22,37183,37183
North Carolina,Fuquay-Varina,49997,49997,34547.0,0.065875,Town,46907,2620,19.086,35.5951,-78.7766,23,37183,37183
North Carolina,Holly Springs,49401,49401,41576.0,0.0327159,Town,47836,2606,18.955,35.6533,-78.8408,24,37183,37183
North Carolina,Wilson,47815,47815,47859.0,-0.00018819,City,47824,1523,31.386,35.7315,-77.9307,25,37183,37183
North Carolina,Hickory,44942,44942,43624.0,0.00590895,City,44678,1409,31.893,35.7401,-81.3218,26,37119,37119
North Carolina,Indian Trail,44556,44556,40300.0,0.0194715,Town,43705,1954,22.798,35.0686,-80.6512,27,37179,37179
North Carolina,Monroe,39877,39877,34676.0,0.0267786,City,38837,1273,31.326,35.0016,-80.5613,28,37179,37179
