state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
North Dakota,Fargo,137989,137989,125986.0,0.0177081,City,135588,2715,50.834,46.8647,-96.8291,1,38017,38017
North Dakota,Bismarck,75990,75990,73745.0,0.00594379,City,75541,2191,34.685,46.8146,-100.77,2,38015,38015
North Dakota,Grand Forks,58773,58773,59142.0,-0.0012575,City,58847,2023,29.05,47.9196,-97.0873,3,38035,38035
North Dakota,Minot,46699,46699,48384.0,-0.00716472,City,47036,1686,27.696,48.2361,-101.278,4,38101,38101
North Dakota,West Fargo,41403,41403,38895.0,0.0122735,City,40901,2560,16.175,46.8564,-96.9048,5,38017,38017
North Dakota,Williston,26632,26632,29317.0,-0.0197652,City,27169,1035,25.734,48.1895,-103.649,6,38105,38105
North Dakota,Mandan,24834,24834,24214.0,0.00501821,City,24710,1837,13.517,46.8295,-100.887,7,38059,38059
North Dakota,Dickinson,24677,24677,25809.0,-0.00907521,City,24903,1869,13.2,46.8928,-102.796,8,38089,38089
North Dakota,Jamestown,15611,15611,15811.0,-0.00255575,City,15651,1174,13.296,46.9058,-98.6936,9,38093,38093
North Dakota,Wahpeton,7989,7989,8016.0,-0.000625469,City,7994,1492,5.355,46.2721,-96.6122,10,38077,38077
North Dakota,Horace,7239,7239,3249.0,0.123894,City,6441,572,12.666,46.757,-96.9113,11,38017,38017
North Dakota,Devils Lake,7115,7115,7164.0,-0.00140351,City,7125,1022,6.959,48.1126,-98.8748,12,38071,38071
North Dakota,Valley City,6530,6530,6582.0,-0.00152905,City,6540,1520,4.296,46.9226,-98.0041,13,38003,38003
North Dakota,Watford City,5866,5866,6250.0,-0.0129564,City,5943,653,8.977,47.8015,-103.267,14,38053,38053
North Dakota,Minot AFB,4798,4798,5974.0,-0.0101093,CDP,4847,660,7.269,48.419,-101.337,15,38101,38101
North Dakota,Lincoln,4529,4529,4271.0,0.0116149,City,4477,2920,1.551,46.7689,-100.698,16,38015,38015
North Dakota,Grafton,3993,3993,4157.0,-0.00819672,City,4026,1209,3.303,48.4139,-97.4062,17,38099,38099
North Dakota,Beulah,3019,3019,3056.0,-0.00231328,City,3026,1236,2.442,47.2668,-101.771,18,38057,38057
North Dakota,New Town,2694,2694,2771.0,-0.0055371,City,2709,933,2.888,47.9891,-102.488,19,38061,38061
North Dakota,Casselton,2468,2468,2478.0,-0.000809716,City,2470,1142,2.162,46.8964,-97.2126,20,38017,38017
North Dakota,Rugby,2409,2409,2501.0,-0.00741656,City,2427,1054,2.285,48.3654,-99.9902,21,38069,38069
North Dakota,Hazen,2274,2274,2278.0,-0.00043956,City,2275,1615,1.408,47.2984,-101.625,22,38057,38057
North Dakota,Bottineau,2156,2156,2193.0,-0.00323624,City,2163,1638,1.316,48.8248,-100.443,23,38009,38009
North Dakota,Lisbon,2155,2155,2199.0,-0.00415896,City,2164,940,2.293,46.439,-97.6844,24,38073,38073
North Dakota,Stanley,2075,2075,2347.0,-0.025364,City,2129,460,4.507,48.3138,-102.397,25,38061,38061
North Dakota,Grand Forks AFB,2050,2050,2785.0,-0.01014,CDP,2071,273,7.5,47.9557,-97.3913,26,38035,38035
North Dakota,Tioga,2016,2016,2218.0,-0.0194553,City,2056,596,3.38,48.3946,-102.943,27,38013,38013
North Dakota,Carrington,1963,1963,2077.0,-0.0115811,City,1986,828,2.371,47.4529,-99.131,28,38031,38031
North Dakota,Langdon,1813,1813,1897.0,-0.00928962,City,1830,1172,1.547,48.7622,-98.3753,29,38019,38019
North Dakota,Mayville,1777,1777,1846.0,-0.00781686,City,1791,943,1.884,47.4982,-97.3264,30,38097,38097
North Dakota,Oakes,1749,1749,1786.0,-0.00398633,City,1756,1118,1.564,46.1397,-98.0871,31,38021,38021
North Dakota,Belcourt,1696,1696,2132.0,-0.0145264,CDP,1721,292,5.81,48.8425,-99.7442,32,38079,38079
North Dakota,Hillsboro,1636,1636,1648.0,-0.001221,City,1638,1471,1.112,47.403,-97.0635,33,38097,38097
North Dakota,Harvey,1572,1572,1641.0,-0.00882724,City,1586,875,1.796,47.7782,-99.9307,34,38103,38103
North Dakota,Mapleton,1505,1505,1330.0,0.0238095,City,1470,385,3.911,46.8915,-97.0533,35,38017,38017
North Dakota,Garrison,1462,1462,1466.0,-0.000683526,City,1463,1045,1.399,47.6532,-101.422,36,38055,38055
North Dakota,Surrey,1457,1457,1357.0,0.0139179,City,1437,690,2.112,48.243,-101.128,37,38101,38101
North Dakota,Bowman,1376,1376,1463.0,-0.0122039,City,1393,738,1.864,46.1843,-103.403,38,38011,38011
North Dakota,Park River,1363,1363,1418.0,-0.00800582,City,1374,526,2.59,48.3911,-97.7427,39,38099,38099
North Dakota,Burlington,1318,1318,1287.0,0.00457317,City,1312,692,1.906,48.2572,-101.415,40,38101,38101
North Dakota,New Rockford,1283,1283,1350.0,-0.0100309,City,1296,747,1.718,47.6796,-99.1377,41,38027,38027
North Dakota,Washburn,1275,1275,1295.0,-0.00312744,City,1279,757,1.685,47.294,-101.028,42,38065,38065
