state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Ohio,Columbus,917679,917679,906418,0.00246005,City,915427,4158,220.725,39.9839,-82.9849,1,39049,39049
Ohio,Cleveland,356556,356556,371806,-0.0084815,City,359606,4587,77.735,41.4785,-81.6794,2,39035,39035
Ohio,Cincinnati,312094,312094,309601,0.00160144,City,311595,4006,77.914,39.1402,-84.5058,3,39061,39061
Ohio,Toledo,261989,261989,270276,-0.00628494,City,263646,3255,80.488,41.6641,-83.5819,4,39095,39095
Ohio,Akron,187737,187737,190146,-0.00256085,City,188219,3031,61.933,41.0805,-81.5214,5,39153,39153
Ohio,Dayton,134189,134189,137496,-0.00490174,City,134850,2404,55.812,39.7847,-84.1996,6,39113,39113
Ohio,Parma,77611,77611,80960,-0.00855891,City,78281,3876,20.023,41.3836,-81.7286,7,39035,39035
Ohio,Canton,68239,68239,70634,-0.00697052,City,68718,2574,26.506,40.8077,-81.3672,8,39151,39151
Ohio,Lorain,65411,65411,65226,0.000565974,City,65374,2771,23.607,41.4388,-82.1797,9,39093,39093
Ohio,Hamilton,62722,62722,63409,-0.00217948,City,62859,2924,21.45,39.3934,-84.5658,10,39017,39017
Ohio,Youngstown,58586,58586,59890,-0.00443523,City,58847,1727,33.929,41.0991,-80.6459,11,39099,39099
Ohio,Springfield,57738,57738,58598,-0.00297013,City,57910,2167,26.641,39.9289,-83.7942,12,39113,39113
Ohio,Kettering,56240,56240,57829,-0.00562255,City,56558,3005,18.715,39.696,-84.1504,13,39113,39113
Ohio,Elyria,53406,53406,52683,0.00272244,City,53261,2599,20.548,41.3728,-82.108,14,39093,39093
Ohio,Middletown,51780,51780,51025,0.00292471,City,51629,1978,26.181,39.503,-84.3649,15,39017,39017
Ohio,Newark,51732,51732,50017,0.00667458,City,51389,2467,20.972,40.0715,-82.4242,16,39049,39049
Ohio,Cuyahoga Falls,50535,50535,51052,-0.00203405,City,50638,1959,25.796,41.1829,-81.553,17,39153,39153
Ohio,Dublin,48643,48643,49343,-0.00286985,City,48783,1971,24.681,40.1133,-83.1458,18,39049,39049
Ohio,Lakewood,48345,48345,50825,-0.0101554,City,48841,8722,5.543,41.4833,-81.8011,19,39035,39035
Ohio,Mansfield,47828,47828,47535,0.00123511,City,47769,1549,30.874,40.7667,-82.5308,20,39093,39093
Ohio,Beavercreek,47582,47582,46609,0.00411505,City,47387,1789,26.594,39.7332,-84.0596,21,39113,39113
Ohio,Delaware,47455,47455,41712,0.0248132,City,46306,2345,20.24,40.2865,-83.0749,22,39049,39049
Ohio,Euclid,47300,47300,49580,-0.00954854,City,47756,4439,10.655,41.5922,-81.5197,23,39035,39035
Ohio,Mentor,46599,46599,47424,-0.00352835,City,46764,1676,27.797,41.6902,-81.3359,24,39085,39085
Ohio,Strongsville,44902,44902,46424,-0.00672477,City,45206,1824,24.622,41.313,-81.8317,25,39035,39035
Ohio,Fairfield,44141,44141,44905,-0.00345419,City,44294,2119,20.834,39.3314,-84.5427,26,39017,39017
Ohio,Grove City,43762,43762,41312,0.0113237,City,43272,2343,18.679,39.8858,-83.097,27,39049,39049
Ohio,Huber Heights,43225,43225,43444,-0.00101689,City,43269,1947,22.201,39.8589,-84.1129,28,39113,39113
