state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Oklahoma,Oklahoma City,715893,715893,683078.0,0.00925239,City,709330,1180,606.479,35.4671,-97.5137,1,40109,40109
Oklahoma,Tulsa,410722,410722,413651.0,-0.00142472,City,411308,2077,197.765,36.1279,-95.9023,2,40143,40143
Oklahoma,Norman,131302,131302,128161.0,0.00480585,City,130674,735,178.647,35.2406,-97.3453,3,40027,40027
Oklahoma,Broken Arrow,122704,122704,113928.0,0.0145102,City,120949,1949,62.961,36.0365,-95.781,4,40143,40143
Oklahoma,Edmond,100339,100339,94748.0,0.0112678,City,99221,1188,84.444,35.6738,-97.4131,5,40083,40083
Oklahoma,Lawton,90169,90169,90359.0,-0.000421253,City,90207,1107,81.435,34.6192,-98.4211,6,40031,40031
Oklahoma,Moore,63747,63747,63054.0,0.00218526,City,63608,2886,22.091,35.3285,-97.4748,7,40109,40109
Oklahoma,Midwest City,57834,57834,58464.0,-0.00217391,City,57960,2370,24.398,35.4588,-97.3746,8,40109,40109
Oklahoma,Stillwater,50282,50282,48389.0,0.00759473,City,49903,1688,29.79,36.1315,-97.0745,9,40119,40119
Oklahoma,Enid,50181,50181,51170.0,-0.00393021,City,50379,679,73.936,36.4067,-97.8699,10,40047,40047
Oklahoma,Owasso,43007,43007,38394.0,0.0219323,City,42084,2527,17.02,36.2872,-95.8354,11,40143,40143
Oklahoma,Bartlesville,38601,38601,37383.0,0.00636129,City,38357,1712,22.551,36.7377,-95.9485,12,40147,40147
Oklahoma,Muskogee,36923,36923,36798.0,0.000677543,City,36898,859,42.96,35.7438,-95.3564,13,40101,40101
Oklahoma,Shawnee,32125,32125,31319.0,0.00503692,City,31964,832,38.606,35.3694,-96.9564,14,40081,40081
Oklahoma,Bixby,32002,32002,28742.0,0.0207974,City,31350,1245,25.705,35.9456,-95.8783,15,40143,40143
