state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Pennsylvania,Philadelphia,1517114,1517114,1600684,-0.0108969,City,1533828,11292,134.356,40.0094,-75.1333,1,42101,42101
Pennsylvania,Pittsburgh,303572,303572,302779,0.000524038,City,303413,5482,55.378,40.4399,-79.9757,2,42003,42003
Pennsylvania,Allentown,124315,124315,125727,-0.0022633,City,124597,7078,17.564,40.5936,-75.4784,3,42077,42077
Pennsylvania,Reading,94853,94853,94977,-0.000263496,City,94878,9637,9.843,40.3392,-75.9263,4,42011,42011
Pennsylvania,Erie,91786,91786,94713,-0.00633316,City,92371,4798,19.132,42.1166,-80.0735,5,42003,42003
Pennsylvania,Upper Darby,84895,84895,85573,1.1779e-05,Township,84894,10849,7.825,39.949,-75.2891,6,42045,42045
Pennsylvania,Bethlehem,80034,80034,75699,0.0109515,City,79167,4187,19.115,40.6264,-75.3679,7,42077,42077
Pennsylvania,Scranton,75559,75559,76174,-0.00162522,City,75682,2986,25.308,41.4042,-75.6659,8,42077,42077
Pennsylvania,Lower Merion,64073,64073,63763,-0.000655072,Township,64115,2714,23.611,40.0299,-75.279,9,42101,42101
Pennsylvania,Bensalem,63062,63062,62672,0.00208164,Township,62931,3175,19.864,40.1062,-74.9437,10,42101,42101
Pennsylvania,Abington,58337,58337,58517,-0.000976127,Township,58394,3760,15.517,40.1136,-75.1142,11,42101,42101
Pennsylvania,Lancaster,56622,56622,57949,-0.00465836,City,56887,7835,7.227,40.0421,-76.301,12,42071,42071
Pennsylvania,Lower Paxton,55079,55079,53722,0.00247529,Township,54943,1956,28.159,40.3172,-76.8021,13,42133,42133
Pennsylvania,Bristol,53651,53651,54239,-0.00228735,Township,53774,3387,15.842,40.1236,-74.8674,14,42017,42017
Pennsylvania,Millcreek,52509,52509,54006,-0.00560553,Township,52805,1637,32.073,42.0852,-80.1183,15,42003,42003
Pennsylvania,Haverford,50519,50519,50383,0.000158381,Township,50511,5080,9.945,39.9867,-75.3164,16,42045,42045
Pennsylvania,Harrisburg,49956,49956,50095,-0.000560179,City,49984,6153,8.119,40.2759,-76.885,17,42133,42133
Pennsylvania,Middletown,45520,45520,45990,-0.00125063,Township,45577,2410,18.891,40.1795,-74.9069,18,42017,42017
Pennsylvania,York,44919,44919,44788,0.000579154,City,44893,8488,5.292,39.9648,-76.7318,19,42133,42133
Pennsylvania,Manheim,44483,44483,43968,0.00245639,Township,44374,1864,23.865,40.0911,-76.2975,20,42071,42071
Pennsylvania,Wilkes-Barre,44254,44254,44253,0.0,City,44254,6462,6.848,41.2466,-75.8757,21,42077,42077
Pennsylvania,Altoona,42048,42048,43898,-0.00872271,City,42418,4295,9.791,40.5081,-78.4011,22,42003,42003
Pennsylvania,Hempfield,41203,41203,41518,-0.00495073,Township,41408,537,76.736,40.282,-79.5847,23,42003,42003
Pennsylvania,State College,40871,40871,40410,0.00225606,Borough,40779,8928,4.578,40.791,-77.8568,24,42133,42133
Pennsylvania,Northampton,40030,40030,39852,0.00197742,Township,39951,1559,25.682,40.2103,-75.0003,25,42017,42017
Pennsylvania,Penn Hills,38721,38721,40992,-0.0117656,Township,39182,2023,19.138,40.4782,-79.8291,26,42003,42003
Pennsylvania,Cheltenham,38668,38668,37418,0.00269681,Township,38564,4284,9.027,40.0781,-75.1382,27,42101,42101
Pennsylvania,Upper Merion,37568,37568,33613,0.0256634,Township,36628,2213,16.974,40.0897,-75.3808,28,42091,42091
Pennsylvania,Hampden,36955,36955,33032,0.0282987,Township,35938,2141,17.262,40.26,-76.981,29,42133,42133
Pennsylvania,Norristown,35759,35759,35783,-0.000139805,Borough,35764,10173,3.515,40.1221,-75.3399,30,42091,42091
Pennsylvania,Cranberry,35680,35680,33192,0.0165821,Township,35098,1559,22.891,40.71,-80.1056,31,42003,42003
Pennsylvania,Chester,34271,34271,32580,0.00996081,City,33933,7091,4.833,39.8456,-75.3719,32,42045,42045
Pennsylvania,Falls,34161,34161,34697,-0.00277324,Township,34256,1601,21.333,40.1727,-74.7897,33,42017,42017
Pennsylvania,Radnor,33798,33798,33210,0.000977343,Township,33765,2454,13.772,40.0229,-75.3734,34,42045,42045
Pennsylvania,Lower Makefield,33450,33450,33170,0.00161696,Township,33396,1872,17.872,40.2316,-74.8556,35,42017,42017
Pennsylvania,Warminster,33142,33142,33562,-0.00216776,Township,33214,3262,10.16,40.2027,-75.089,36,42017,42017
Pennsylvania,Lower Macungie,32510,32510,32413,-0.000215272,Township,32517,1453,22.38,40.5329,-75.5675,37,42077,42077
Pennsylvania,Mount Lebanon,32404,32404,34020,-0.00817239,Township,32671,5331,6.078,40.3767,-80.0489,38,42003,42003
Pennsylvania,North Huntingdon,31786,31786,31869,-3.1459e-05,Township,31787,1164,27.296,40.3292,-79.7332,39,42003,42003
