state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Rhode Island,Providence,190823,190823,190745,8.3854e-05,City,190807,10367,18.406,41.8231,-71.4188,1,44007,44007
Rhode Island,Warwick,83095,83095,82855,0.000577985,City,83047,2374,35.001,41.7031,-71.4203,2,44007,44007
Rhode Island,Cranston,82509,82509,82823,-0.00076297,City,82572,2911,28.345,41.7697,-71.485,3,44007,44007
Rhode Island,Pawtucket,75213,75213,75482,-0.000717445,City,75267,8678,8.667,41.8748,-71.3733,4,44007,44007
Rhode Island,East Providence,46800,46800,47050,-0.00106724,City,46850,3523,13.284,41.8004,-71.3593,5,44007,44007
Rhode Island,Woonsocket,43119,43119,43159,-0.000185498,City,43127,5567,7.746,42.0017,-71.4999,6,44007,44007
Rhode Island,Cumberland,36989,36989,36379,0.00540908,Town,36790,1396,26.487,41.9675,-71.4206,7,44007,44007
Rhode Island,Coventry,35747,35747,35728,-0.00100606,Town,35783,605,59.062,41.6983,-71.6627,8,44003,44003
Rhode Island,North Providence,34002,34002,34072,0.00147267,Town,33952,6033,5.636,41.8616,-71.4569,9,44007,44007
Rhode Island,South Kingstown,31935,31935,31930,-0.00140713,Town,31980,567,56.37,41.4108,-71.5475,10,44009,44009
Rhode Island,West Warwick,31263,31263,30987,0.00179447,Town,31207,3992,7.832,41.6796,-71.5211,11,44003,44003
Rhode Island,Johnston,30021,30021,29543,0.00572864,Town,29850,1279,23.477,41.8274,-71.5199,12,44007,44007
Rhode Island,North Kingstown,27735,27735,27702,-0.000648578,Town,27753,642,43.17,41.5715,-71.4499,13,44003,44003
Rhode Island,Newport,24453,24453,25113,-0.00536913,City,24585,3194,7.656,41.4767,-71.3196,14,44005,44005
Rhode Island,Lincoln,23334,23334,22500,0.0105673,Town,23090,1291,18.074,41.9155,-71.4498,15,44007,44007
Rhode Island,Westerly,23085,23085,23322,-0.00298005,Town,23154,783,29.469,41.3234,-71.8025,16,44009,44009
Rhode Island,Central Falls,22540,22540,22547,-4.4363e-05,City,22541,18878,1.194,41.8901,-71.3935,17,44007,44007
Rhode Island,Smithfield,22276,22276,22113,0.0041924,Town,22183,849,26.231,41.9009,-71.5289,18,44007,44007
Rhode Island,Bristol,21991,21991,22486,-0.00177031,Town,22030,2247,9.789,41.6757,-71.2733,19,44001,44001
Rhode Island,Portsmouth,17081,17081,17839,-0.0106001,Town,17264,742,23.025,41.5921,-71.2836,20,44005,44005
Rhode Island,Barrington,17001,17001,17154,-0.00176149,Town,17031,2077,8.185,41.733,-71.3197,21,44001,44001
Rhode Island,Burrillville,16565,16565,16134,0.00521876,Town,16479,302,54.915,41.9703,-71.6987,22,44007,44007
Rhode Island,Middletown,16184,16184,17062,-0.0123276,Town,16386,1274,12.7,41.5202,-71.2802,23,44005,44005
Rhode Island,Tiverton,15747,15747,16340,-0.00906173,Town,15891,542,29.056,41.607,-71.1826,24,44001,44001
Rhode Island,East Greenwich,14746,14746,14304,0.00408552,Town,14686,900,16.376,41.6373,-71.5015,25,44003,44003
Rhode Island,Narragansett,14239,14239,14511,-0.0059341,Town,14324,1027,13.865,41.398,-71.4863,26,44009,44009
Rhode Island,North Smithfield,12683,12683,12585,0.00324316,Town,12642,531,23.9,41.9752,-71.5441,27,44007,44007
Rhode Island,Warren,11159,11159,11144,0.00152576,Town,11142,1812,6.158,41.7251,-71.2588,28,44001,44001
Rhode Island,Scituate,10668,10668,10378,0.00822228,Town,10581,222,48.134,41.8115,-71.6328,29,44003,44003
Rhode Island,Glocester,10380,10380,9984,0.00874635,Town,10290,191,54.233,41.8943,-71.6869,30,44003,44003
Rhode Island,Hopkinton,8378,8378,8398,-0.00131124,Town,8389,195,43.006,41.4791,-71.7579,31,44009,44009
Rhode Island,Richmond,8113,8113,8056,-0.00123107,Town,8123,201,40.322,41.4947,-71.6693,32,44009,44009
Rhode Island,Charlestown,8030,8030,7992,-0.000373459,Town,8033,220,36.541,41.3714,-71.6803,33,44009,44009
Rhode Island,West Greenwich,6715,6715,6532,0.00238842,Town,6699,134,50.297,41.6286,-71.6589,34,44003,44003
Rhode Island,Exeter,6523,6523,6462,-0.00442613,Town,6552,114,57.454,41.5694,-71.6279,35,44003,44003
Rhode Island,Jamestown,5410,5410,5548,-0.00715728,Town,5449,573,9.448,41.5197,-71.3711,36,44005,44005
Rhode Island,Foster,4545,4545,4469,0.00575349,Town,4519,90,50.752,41.7888,-71.7349,37,44003,44003
Rhode Island,Little Compton,3505,3505,3613,-0.00736335,Town,3531,171,20.546,41.5029,-71.1658,38,44005,44005
Rhode Island,New Shoreham,1396,1396,1403,-0.00285714,Town,1400,154,9.082,41.1946,-71.5724,39,44009,44009
