state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
South Dakota,Sioux Falls,215058,215058,193437.0,0.0205188,City,210734,2601,82.671,43.5407,-96.732,1,46099,46099
South Dakota,Rapid City,82388,82388,74928.0,0.0184434,City,80896,1496,55.067,44.0711,-103.218,2,46033,46033
South Dakota,Aberdeen,27895,27895,28432.0,-0.00382116,City,28002,1689,16.517,45.4647,-98.4681,3,46013,46013
South Dakota,Brookings,24947,24947,23359.0,0.0129116,City,24629,1788,13.956,44.3034,-96.7873,4,46011,46011
South Dakota,Watertown,23597,23597,22679.0,0.00785888,City,23413,1280,18.439,44.9092,-97.1557,5,46029,46029
South Dakota,Yankton,15765,15765,15427.0,0.00433204,City,15697,1812,8.698,42.8898,-97.3927,6,46135,46135
South Dakota,Mitchell,15593,15593,15663.0,-0.000897033,City,15607,1353,11.525,43.7271,-98.0422,7,46035,46035
South Dakota,Box Elder,15156,15156,11935.0,0.0443771,City,14512,1027,14.753,44.1109,-103.081,8,46103,46103
South Dakota,Huron,14856,14856,14260.0,0.00807491,City,14737,1529,9.719,44.3623,-98.2096,9,46005,46005
South Dakota,Spearfish,13988,13988,12222.0,0.0258893,City,13635,812,17.236,44.4921,-103.82,10,46081,46081
South Dakota,Pierre,13762,13762,14057.0,-0.00426887,City,13821,1056,13.027,44.3752,-100.32,11,46117,46117
South Dakota,Vermillion,12205,12205,11720.0,0.00801123,City,12108,2619,4.661,42.7814,-96.9254,12,46027,46027
South Dakota,Harrisburg,11160,11160,6847.0,0.0838108,City,10297,2340,4.769,43.4343,-96.7124,13,46083,46083
South Dakota,Brandon,10910,10910,11029.0,-0.00219499,City,10934,1907,5.722,43.5929,-96.5838,14,46099,46099
South Dakota,Tea,8515,8515,5680.0,0.0713387,City,7948,2248,3.787,43.4556,-96.824,15,46099,46099
South Dakota,Rapid Valley,7090,7090,8553.0,-0.0108817,CDP,7168,1096,6.468,44.0675,-103.122,16,46103,46103
South Dakota,Sturgis,7045,7045,7100.0,-0.00155896,City,7056,1097,6.42,44.412,-103.501,17,46081,46081
South Dakota,Madison,6045,6045,6159.0,-0.00379038,City,6068,1310,4.616,44.0062,-97.1085,18,46079,46079
South Dakota,Belle Fourche,6031,6031,5635.0,0.0132728,City,5952,681,8.854,44.6638,-103.859,19,46081,46081
South Dakota,Dakota Dunes,4996,4996,3231.0,0.0714133,CDP,4663,2023,2.469,42.4903,-96.484,20,46127,46127
South Dakota,Dell Rapids,3783,3783,3995.0,-0.0109804,City,3825,1678,2.254,43.8248,-96.7146,21,46101,46101
South Dakota,Hartford,3779,3779,3366.0,0.0224567,City,3696,1239,3.051,43.6195,-96.937,22,46099,46099
South Dakota,Hot Springs,3755,3755,3390.0,0.0198262,City,3682,865,4.34,43.4195,-103.465,23,46047,46047
South Dakota,Milbank,3500,3500,3530.0,-0.00171135,City,3506,1262,2.774,45.2194,-96.6337,24,46051,46051
South Dakota,Mobridge,3210,3210,3245.0,-0.00217594,City,3217,1638,1.96,45.541,-100.435,25,46021,46021
South Dakota,Lead,3071,3071,2980.0,0.00589584,City,3053,1492,2.058,44.3528,-103.767,26,46081,46081
South Dakota,North Sioux City,3050,3050,3044.0,0.000327976,City,3049,1138,2.681,42.5309,-96.4995,27,46127,46127
South Dakota,Summerset,3014,3014,2978.0,0.0023279,City,3007,1107,2.723,44.1933,-103.342,28,46081,46081
South Dakota,Canton,2948,2948,3080.0,-0.00874243,City,2974,902,3.27,43.3031,-96.5856,29,46083,46083
South Dakota,Blackhawk,2939,2939,3029.0,0.0010218,CDP,2936,620,4.738,44.1514,-103.334,30,46033,46033
South Dakota,Winner,2916,2916,2906.0,0.000686341,City,2914,1272,2.292,43.3776,-99.8551,31,46123,46123
South Dakota,Pine Ridge,2824,2824,2984.0,-0.0112045,CDP,2856,999,2.827,43.0269,-102.552,32,46102,46102
South Dakota,Lennox,2541,2541,2421.0,0.00953516,City,2517,1455,1.746,43.3495,-96.8937,33,46083,46083
South Dakota,Chamberlain,2502,2502,2474.0,0.00240385,City,2496,559,4.479,43.7987,-99.3296,34,46017,46017
South Dakota,Volga,2492,2492,2111.0,0.031457,City,2416,2178,1.144,44.3218,-96.9222,35,46011,46011
South Dakota,Sisseton,2382,2382,2471.0,-0.0075,City,2400,1497,1.591,45.6625,-97.0453,36,46109,46109
South Dakota,Flandreau,2348,2348,2373.0,-0.00212495,City,2353,1263,1.859,44.0455,-96.6018,37,46101,46101
South Dakota,Colonial Pine Hills,2309,2309,2720.0,-0.00559862,CDP,2322,151,15.293,44.0137,-103.315,38,46033,46033
South Dakota,Rosebud,2297,2297,2073.0,0.0208889,CDP,2250,177,12.964,43.2387,-100.815,39,46121,46121
South Dakota,Fort Pierre,2214,2214,2116.0,0.00911577,City,2194,710,3.119,44.3666,-100.382,40,46117,46117
South Dakota,Redfield,2077,2077,2211.0,-0.0128327,City,2104,1077,1.928,44.8733,-98.5192,41,46115,46115
South Dakota,Beresford,2053,2053,2178.0,-0.0120308,City,2078,1151,1.784,43.0796,-96.7802,42,46083,46083
South Dakota,Elk Point,2031,2031,2140.0,-0.010716,City,2053,1311,1.549,42.6812,-96.6805,43,46127,46127
South Dakota,Springfield,1915,1915,1909.0,0.000522466,City,1914,1857,1.031,42.8624,-97.8965,44,46009,46009
