state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Tennessee,Nashville,686513,686513,689700,-0.000927017,Township,687150,1444,475.566,36.1718,-86.785,1,47037,47037
Tennessee,Memphis,607581,607581,635225,-0.00901796,City,613110,2051,296.202,35.109,-89.9675,2,47157,47157
Tennessee,Knoxville,202639,202639,191446,0.0111727,City,200400,2052,98.732,35.9707,-83.9493,3,47093,47093
Tennessee,Chattanooga,190671,190671,181568,0.00964257,City,188850,1339,142.352,35.066,-85.2484,4,47065,47065
Tennessee,Clarksville,189520,189520,167509,0.0237794,City,185118,1900,99.746,36.5664,-87.3452,5,47125,47125
Tennessee,Murfreesboro,173212,173212,153757,0.02298,City,169321,2695,64.277,35.8539,-86.4212,6,47149,47149
Tennessee,Franklin,91494,91494,84154,0.0163064,City,90026,2055,44.527,35.914,-86.8522,7,47187,47187
Tennessee,Johnson City,74814,74814,71121,0.00997637,City,74075,1719,43.51,36.3423,-82.3809,8,47155,47155
Tennessee,Jackson,68307,68307,68199,0.000322179,City,68285,1163,58.736,35.6541,-88.835,9,47157,47157
Tennessee,Hendersonville,64617,64617,62119,0.00779824,City,64117,2040,31.681,36.3073,-86.5989,10,47165,47165
Tennessee,Spring Hill,61859,61859,51304,0.0353317,City,59748,2126,29.094,35.7466,-86.9168,11,47187,47187
Tennessee,Smyrna,60033,60033,53495,0.0222733,Town,58725,1771,33.905,35.969,-86.5286,12,47149,47149
Tennessee,Kingsport,57558,57558,55422,0.00747405,City,57131,1087,52.967,36.5194,-82.5434,13,47155,47155
Tennessee,Bartlett,54936,54936,57670,-0.00985887,City,55483,1701,32.295,35.2342,-89.8203,14,47157,47157
Tennessee,Lebanon,54259,54259,38891,0.0600567,City,51185,1334,40.664,36.1994,-86.3446,15,47189,47189
Tennessee,Gallatin,54040,54040,44827,0.0353085,City,52197,1549,34.888,36.3815,-86.467,16,47165,47165
Tennessee,Collierville,51306,51306,51333,-9.7444e-05,Town,51311,1398,36.702,35.0489,-89.6971,17,47157,47157
Tennessee,Columbia,51008,51008,42100,0.0362004,City,49226,1429,35.701,35.6238,-87.0425,18,47187,47187
Tennessee,Cleveland,49864,49864,47918,0.00786256,City,49475,1603,31.11,35.18,-84.8713,19,47065,47065
Tennessee,Brentwood,45149,45149,45439,-0.00128299,City,45207,1072,42.116,35.9939,-86.7708,20,47187,47187
Tennessee,Mount Juliet,45062,45062,39686,0.024439,City,43987,1746,25.816,36.1992,-86.5095,21,47189,47189
Tennessee,La Vergne,40187,40187,38711,0.00739497,City,39892,1626,24.715,36.0222,-86.5594,22,47149,47149
Tennessee,Germantown,39599,39599,41269,-0.00836401,City,39933,1981,19.986,35.082,-89.7826,23,47157,47157
Tennessee,Cookeville,37802,37802,34939,0.0153912,City,37229,1057,35.77,36.1469,-85.5126,24,47189,47189
Tennessee,Oak Ridge,34691,34691,31455,0.0190048,City,34044,407,85.25,35.9665,-84.2906,25,47093,47093
Tennessee,Morristown,33178,33178,30480,0.0165451,City,32638,1191,27.868,36.2043,-83.3,26,47155,47155
Tennessee,Maryville,32724,32724,32003,0.00441989,City,32580,1849,17.698,35.748,-83.98,27,47009,47009
Tennessee,Bristol,28301,28301,27183,0.00797806,City,28077,865,32.708,36.5585,-82.217,28,47155,47155
Tennessee,Farragut,26912,26912,23579,0.0254144,Town,26245,1684,15.978,35.8762,-84.18,29,47093,47093
Tennessee,Shelbyville,26135,26135,23627,0.0195841,City,25633,1357,19.257,35.5013,-86.4517,30,47149,47149
Tennessee,East Ridge,21809,21809,22188,-0.0034727,City,21885,2633,8.282,34.9973,-85.2285,31,47065,47065
Tennessee,Tullahoma,21407,21407,20392,0.00957367,City,21204,913,23.44,35.3733,-86.2183,32,47149,47149
Tennessee,Springfield,19953,19953,18805,0.0116615,City,19723,1461,13.654,36.4936,-86.8722,33,47037,47037
Tennessee,Sevierville,18062,18062,18162,-0.00110607,City,18082,742,24.331,35.8897,-83.5799,34,47155,47155
Tennessee,Powell,17489,17489,13458,0.0714329,CDP,16323,2048,8.541,36.0359,-84.0297,35,47093,47093
Tennessee,Seymour,17372,17372,15444,0.0254412,CDP,16941,1084,16.019,35.8827,-83.7616,36,47093,47093
Tennessee,Dickson,17202,17202,16056,0.013492,City,16973,842,20.426,36.0633,-87.3688,37,47125,47125
Tennessee,Goodlettsville,17184,17184,17796,-0.00704958,City,17306,1193,14.409,36.333,-86.7042,38,47037,47037
Tennessee,White House,16846,16846,13081,0.0467905,City,16093,1431,11.769,36.4649,-86.6685,39,47165,47165
Tennessee,Nolensville,16360,16360,14052,0.0290603,Town,15898,1566,10.444,35.9571,-86.6719,40,47187,47187
Tennessee,Greeneville,15952,15952,15512,0.00554715,Town,15864,939,16.997,36.168,-82.8197,41,47155,47155
Tennessee,Dyersburg,15865,15865,16122,-0.00320432,City,15916,916,17.319,36.0468,-89.378,42,47157,47157
Tennessee,Arlington,15565,15565,14914,0.00842242,Town,15435,654,23.804,35.2525,-89.6611,43,47157,47157
Tennessee,Athens,15152,15152,14099,0.0141222,City,14941,974,15.562,35.4568,-84.6045,44,47009,47009
Tennessee,Alcoa,14936,14936,10968,0.0561448,City,14142,1022,14.612,35.807,-83.973,45,47009,47009
Tennessee,Lakeland,14226,14226,14028,0.00281968,City,14186,605,23.511,35.2628,-89.725,46,47157,47157
Tennessee,Elizabethton,14150,14150,14530,-0.00534233,City,14226,1481,9.552,36.3396,-82.2378,47,47155,47155
Tennessee,Manchester,13943,13943,12265,0.0246932,City,13607,909,15.338,35.4641,-86.0729,48,47149,47149
Tennessee,Portland,13824,13824,13209,0.00897745,City,13701,913,15.142,36.5975,-86.5266,49,47165,47165
Tennessee,McMinnville,13784,13784,13798,-0.000217596,City,13787,1246,11.061,35.6863,-85.7812,50,47149,47149
Tennessee,Lewisburg,13655,13655,12355,0.0194102,City,13395,960,14.221,35.4516,-86.7907,51,47187,47187
Tennessee,Soddy-Daisy,13327,13327,13094,0.00353916,City,13280,575,23.175,35.2616,-85.1721,52,47065,47065
Tennessee,Crossville,13021,13021,12098,0.0144126,City,12836,637,20.445,35.9534,-85.0303,53,47065,47065
Tennessee,Lenoir City,12834,12834,10134,0.0439239,City,12294,1488,8.626,35.8158,-84.283,54,47009,47009
Tennessee,Hartsville-Trousdale County,12695,12695,11635,0.0169831,Township,12483,111,114.342,36.393,-86.1567,55,47189,47189
Tennessee,Halls,12444,12444,9135,0.0714655,CDP,11614,1410,8.828,36.0817,-83.9344,56,47093,47093
Tennessee,Lawrenceburg,12224,12224,11638,0.00966383,City,12107,965,12.665,35.2497,-87.3325,57,47187,47187
Tennessee,Red Bank,12161,12161,11921,0.00396268,City,12113,1854,6.558,35.1117,-85.2962,58,47065,47065
Tennessee,Millington,12058,12058,10580,0.0251658,City,11762,538,22.405,35.3337,-89.8995,59,47157,47157
Tennessee,Collegedale,11715,11715,11117,0.0103493,City,11595,939,12.477,35.0535,-85.048,60,47065,47065
Tennessee,Oakland,11462,11462,9027,0.0443736,Town,10975,1095,10.467,35.2261,-89.5382,61,47157,47157
Tennessee,Middle Valley,11353,11353,12100,-0.00777836,CDP,11442,1163,9.763,35.1907,-85.1975,62,47065,47065
Tennessee,Martin,11116,11116,10825,0.00524507,City,11058,896,12.405,36.3379,-88.8514,63,47125,47125
Tennessee,Atoka,10949,10949,10059,0.0165259,Town,10771,902,12.132,35.4259,-89.7844,64,47157,47157
Tennessee,Union City,10817,10817,11159,-0.00624713,City,10885,893,12.108,36.4271,-89.0477,65,47157,47157
Tennessee,Fairview,10728,10728,9508,0.0232736,City,10484,597,17.977,35.9824,-87.127,66,47187,47187
Tennessee,Clinton,10518,10518,10065,0.00872734,City,10427,905,11.627,36.0973,-84.1289,67,47093,47093
Tennessee,Paris,10377,10377,10291,0.00164093,City,10360,804,12.909,36.2927,-88.3081,68,47125,47125
Tennessee,Winchester,10359,10359,9406,0.0187844,City,10168,966,10.725,35.1891,-86.1049,69,47149,47149
Tennessee,Fairfield Glade,9824,9824,9364,0.019616,CDP,9635,427,22.999,36.0038,-84.8727,70,47093,47093
Tennessee,Thompson's Station,9271,9271,7543,0.0387675,Town,8925,402,23.086,35.8126,-86.9101,71,47187,47187
Tennessee,Brownsville,9136,9136,9761,-0.0134975,City,9261,927,9.859,35.589,-89.2579,72,47157,47157
Tennessee,Jefferson City,8983,8983,8428,0.0125113,City,8872,1281,7.012,36.1208,-83.4833,73,47155,47155
Tennessee,Signal Mountain,8954,8954,8858,0.00212647,Town,8935,1070,8.37,35.1439,-85.3415,74,47065,47065
Tennessee,Bloomingdale,8710,8710,9428,-0.00898851,CDP,8789,882,9.88,36.5823,-82.5068,75,47155,47155
Tennessee,Covington,8506,8506,8661,-0.00363125,City,8537,744,11.436,35.5659,-89.6485,76,47157,47157
Tennessee,Harrison,8449,8449,8485,0.00535459,CDP,8404,1253,6.742,35.125,-85.1471,77,47065,47065
Tennessee,Milan,8369,8369,8176,0.00468187,City,8330,935,8.953,35.912,-88.754,78,47157,47157
Tennessee,Pulaski,8208,8208,8377,-0.00412521,City,8242,1083,7.58,35.193,-87.0347,79,47187,47187
Tennessee,Lexington,8011,8011,7953,0.00150019,City,7999,681,11.763,35.6421,-88.3753,80,47125,47125
Tennessee,Humboldt,7816,7816,7876,-0.00153296,City,7828,753,10.376,35.8274,-88.9045,81,47157,47157
Tennessee,Dayton,7560,7560,7064,0.013269,City,7461,889,8.504,35.4954,-85.0087,82,47065,47065
Tennessee,Ripley,7522,7522,7782,-0.00686559,City,7574,584,12.871,35.7461,-89.5341,83,47157,47157
Tennessee,Church Hill,7385,7385,7002,0.0105364,City,7308,783,9.435,36.5196,-82.7141,84,47155,47155
Tennessee,Savannah,7376,7376,7213,0.00449408,City,7343,1081,6.821,35.2209,-88.2351,85,47187,47187
Tennessee,South Cleveland,7257,7257,7792,0.00317943,CDP,7234,516,14.066,35.1093,-84.9097,86,47065,47065
Tennessee,La Follette,7128,7128,7412,-0.00793319,City,7185,1451,4.914,36.3717,-84.1256,87,47093,47093
Tennessee,Loudon,7070,7070,6025,0.030462,City,6861,559,12.646,35.7372,-84.3621,88,47009,47009
Tennessee,Newport,7046,7046,6863,0.00527893,City,7009,1273,5.533,35.9616,-83.1976,89,47155,47155
Tennessee,Munford,7038,7038,6320,0.0208877,City,6894,743,9.478,35.4429,-89.8159,90,47157,47157
Tennessee,Fayetteville,7037,7037,7062,-0.000710025,City,7042,774,9.087,35.1502,-86.5623,91,47149,47149
Tennessee,Greenbrier,6947,6947,6957,-0.000287811,Town,6949,957,7.261,36.4216,-86.7902,92,47037,47037
Tennessee,"Lynchburg, Moore County",6933,6933,6470,0.0135965,Metropolitan Government,6840,54,129.223,35.2889,-86.3587,93,47149,47149
Tennessee,Jonesborough,6858,6858,5913,0.0283401,Town,6669,1288,5.324,36.296,-82.4763,94,47155,47155
Tennessee,Green Hill,6812,6812,7308,0.00191204,CDP,6799,1960,3.475,36.2321,-86.5732,95,47037,47037
Tennessee,Sweetwater,6761,6761,6428,0.010009,City,6694,753,8.975,35.6026,-84.4734,96,47009,47009
