state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Texas,Houston,2324082,2324082,2299269.0,0.00214004,City,2319119,3628,640.606,29.7857,-95.3888,1,48201,48201
Texas,San Antonio,1532653,1532653,1439257.0,0.0123377,City,1513974,3072,498.922,29.4628,-98.5246,2,48029,48029
Texas,Dallas,1302638,1302638,1303212.0,-8.8274e-05,City,1302753,3835,339.676,32.7933,-96.7665,3,48113,48113
Texas,Fort Worth,1015045,1015045,923602.0,0.0183485,City,996756,2898,350.27,32.782,-97.3486,4,48439,48439
Texas,Austin,989252,989252,965827.0,0.00475844,City,984567,3031,326.365,30.2986,-97.7541,5,48453,48453
Texas,El Paso,678760,678760,679255.0,-0.000145832,City,678859,2623,258.788,31.8478,-106.431,6,48141,48141
Texas,Arlington,401219,401219,394248.0,0.00348653,City,399825,4186,95.842,32.7007,-97.1247,7,48439,48439
Texas,Corpus Christi,315615,315615,318065.0,-0.00155012,City,316105,1945,162.282,27.7543,-97.1734,8,48355,48355
Texas,Plano,292711,292711,286408.0,0.00432664,City,291450,4082,71.699,33.0508,-96.7479,9,48085,48085
Texas,Lubbock,272788,272788,258013.0,0.0109512,City,269833,1922,141.961,33.5619,-101.889,10,48303,48303
Texas,Laredo,259010,259010,255489.0,0.00272545,City,258306,2425,106.824,27.5604,-99.4892,11,48479,48479
Texas,Irving,252750,252750,256807.0,-0.00319844,City,253561,3774,66.979,32.8577,-96.97,12,48113,48113
Texas,Garland,241576,241576,246311.0,-0.00390478,City,242523,4249,56.857,32.9098,-96.6303,13,48397,48397
Texas,Frisco,239842,239842,202754.0,0.0319158,City,232424,3497,68.587,33.1554,-96.8226,14,48085,48085
Texas,McKinney,224183,224183,197497.0,0.024387,City,218846,3348,66.963,33.2011,-96.6642,15,48085,48085
Texas,Grand Prairie,206053,206053,196255.0,0.00960346,City,204093,2842,72.512,32.6861,-97.0208,16,48113,48113
Texas,Amarillo,203662,203662,200526.0,0.00308814,City,203035,1966,103.615,35.1981,-101.833,17,48375,48375
Texas,Brownsville,192260,192260,187004.0,0.0054966,City,191209,1459,131.796,25.9957,-97.4509,18,48061,48061
Texas,Denton,169843,169843,141107.0,0.0350222,City,164096,1752,96.922,33.2174,-97.1413,19,48121,48121
Texas,Killeen,163581,163581,153735.0,0.0121835,City,161612,2994,54.628,31.0777,-97.7319,20,48027,48027
Texas,McAllen,149385,149385,142404.0,0.00943313,City,147989,2397,62.333,26.225,-98.2461,21,48215,48215
Texas,Waco,147666,147666,140541.0,0.00974419,City,146241,1623,91.005,31.558,-97.1898,22,48309,48309
Texas,Mesquite,145777,145777,149627.0,-0.00525429,City,146547,2969,49.102,32.7595,-96.5842,23,48397,48397
Texas,Pasadena,143614,143614,151368.0,-0.0106844,City,145165,3287,43.69,29.655,-95.1511,24,48201,48201
Texas,Midland,142068,142068,132890.0,0.0130926,City,140232,1870,75.982,32.0246,-102.113,25,48329,48329
Texas,Lewisville,138307,138307,126422.0,0.0174869,City,135930,3402,40.657,33.0507,-96.9746,26,48121,48121
Texas,Round Rock,136977,136977,120549.0,0.0245791,City,133691,3612,37.918,30.5268,-97.6601,27,48491,48491
Texas,Carrollton,132495,132495,133552.0,-0.00158998,City,132706,3615,36.654,32.9894,-96.8999,28,48113,48113
Texas,Abilene,131460,131460,125417.0,0.00928208,City,130251,1232,106.669,32.4545,-99.7381,29,48441,48441
Texas,Pearland,128896,128896,125996.0,0.00452009,City,128316,2645,48.724,29.5557,-95.323,30,48201,48201
Texas,College Station,128139,128139,120771.0,0.011637,City,126665,2505,51.16,30.5852,-96.2964,31,48041,48041
Texas,The Woodlands,124541,124541,114532.0,0.016711,CDP,122494,2878,43.273,30.1726,-95.5098,32,48339,48339
Texas,New Braunfels,123834,123834,91643.0,0.05484,City,117396,2750,45.035,29.6993,-98.1151,33,48091,48091
Texas,Conroe,119576,119576,91255.0,0.0497226,City,113912,1578,75.796,30.3287,-95.4846,34,48339,48339
Texas,League City,117428,117428,114657.0,0.00474015,City,116874,2286,51.362,29.4901,-95.1091,35,48167,48167
Texas,Odessa,116287,116287,114926.0,0.00234452,City,116015,2241,51.889,31.8805,-102.345,36,48135,48135
Texas,Richardson,116192,116192,119299.0,-0.00531619,City,116813,4068,28.562,32.9723,-96.7081,37,48113,48113
Texas,Allen,115668,115668,105548.0,0.01781,City,113644,4381,26.402,33.1097,-96.673,38,48085,48085
Texas,Georgetown,114687,114687,68749.0,0.0870909,City,105499,1972,58.146,30.6681,-97.6987,39,48491,48491
Texas,Tyler,113030,113030,106272.0,0.0121062,City,111678,1956,57.79,32.3173,-95.3059,40,48423,48423
Texas,Beaumont,110417,110417,114857.0,-0.00797808,City,111305,1344,82.139,30.0849,-94.1453,41,48245,48245
Texas,Edinburg,109191,109191,100711.0,0.0157775,City,107495,2441,44.723,26.3211,-98.1628,42,48215,48215
Texas,Sugar Land,106975,106975,110824.0,-0.0071465,City,107745,2643,40.468,29.5928,-95.6338,43,48157,48157
Texas,Wichita Falls,102831,102831,102480.0,0.000681192,City,102761,1424,72.233,33.9067,-98.5258,44,48485,48485
Texas,Temple,100057,100057,82652.0,0.0360442,City,96576,1372,72.94,31.1035,-97.3911,45,48027,48027
Texas,San Angelo,98726,98726,100066.0,-0.00270723,City,98994,1644,60.061,31.4411,-100.451,46,48451,48451
Texas,Atascocita,94940,94940,81860.0,0.0208602,CDP,93000,3975,23.887,29.9779,-95.1946,47,48201,48201
Texas,Bryan,93135,93135,84334.0,0.0192613,City,91375,1699,54.822,30.666,-96.3811,48,48041,48041
Texas,Leander,92871,92871,60860.0,0.0740381,City,86469,2401,38.686,30.5743,-97.8617,49,48491,48491
Texas,Mission,88251,88251,85853.0,0.00546878,City,87771,2429,36.332,26.2041,-98.3252,50,48215,48215
Texas,Longview,84290,84290,81654.0,0.00629156,City,83763,1510,55.827,32.5193,-94.7646,51,48183,48183
Texas,Baytown,83199,83199,85369.0,-0.00518934,City,83633,2054,40.501,29.7648,-94.9675,52,48201,48201
Texas,Mansfield,82394,82394,72763.0,0.023935,City,80468,2240,36.791,32.5692,-97.1205,53,48251,48251
Texas,Flower Mound,81415,81415,76490.0,0.0122467,Town,80430,1941,41.941,33.0379,-97.1134,54,48121,48121
Texas,Pharr,80794,80794,79833.0,0.00238207,City,80602,3404,23.736,26.1678,-98.1902,55,48215,48215
Texas,Missouri City,78332,78332,74434.0,0.0100578,City,77552,2700,29.016,29.5629,-95.536,56,48157,48157
Texas,Cedar Park,77175,77175,78027.0,-0.00219794,City,77345,3015,25.6,30.5102,-97.8186,57,48491,48491
Texas,San Marcos,73803,73803,68217.0,0.0153675,City,72686,1899,38.871,29.8724,-97.936,58,48209,48209
Texas,Kyle,73274,73274,46458.0,0.078971,City,67911,2258,32.453,29.9941,-97.8833,59,48209,48209
Texas,Harlingen,71264,71264,71879.0,-0.001723,City,71387,1777,40.114,26.1912,-97.6974,60,48061,48061
Texas,North Richland Hills,70901,70901,70293.0,0.00172368,City,70779,3904,18.163,32.8606,-97.2191,61,48439,48439
Texas,Rowlett,69511,69511,62766.0,0.0197911,City,68162,3350,20.748,32.9159,-96.5486,62,48397,48397
Texas,Spring,66338,66338,61514.0,0.012253,CDP,65535,2950,22.49,30.0622,-95.384,63,48339,48339
Texas,Little Elm,66026,66026,47201.0,0.0604712,City,62261,3566,18.518,33.1925,-96.92,64,48121,48121
Texas,Victoria,65983,65983,65525.0,0.00139624,City,65891,1775,37.179,28.8285,-96.986,65,48469,48469
Texas,Pflugerville,65176,65176,65488.0,-0.000950366,City,65238,2524,25.825,30.4478,-97.6021,66,48491,48491
Texas,Wylie,63210,63210,57879.0,0.0171537,City,62144,2861,22.094,33.0358,-96.5202,67,48397,48397
Texas,Celina,60323,60323,17808.0,0.164087,City,51820,1264,47.725,33.3262,-96.7949,68,48085,48085
Texas,Burleson,60031,60031,48003.0,0.0417527,City,57625,2057,29.181,32.5165,-97.3274,69,48251,48251
Texas,Texas City,59490,59490,52287.0,0.0248239,City,58049,898,66.265,29.4337,-94.8927,70,48167,48167
Texas,Fulshear,59321,59321,17558.0,0.163887,City,50968,4609,12.871,29.6924,-95.8867,71,48157,48157
Texas,Euless,58759,58759,61076.0,-0.00781804,City,59222,3648,16.106,32.8494,-97.0786,72,48439,48439
Texas,Rockwall,56366,56366,47745.0,0.0315508,City,54642,1905,29.586,32.9181,-96.438,73,48397,48397
Texas,DeSoto,55525,55525,56062.0,-0.00192335,City,55632,2566,21.637,32.5993,-96.8629,74,48113,48113
Texas,Port Arthur,55243,55243,56002.0,-0.00274393,City,55395,731,75.551,29.9,-93.8944,75,48245,48245
Texas,Galveston,52961,52961,53650.0,-0.00259892,City,53099,1291,41.036,29.1863,-94.9658,76,48167,48167
Texas,Grapevine,51035,51035,50767.0,0.00105922,City,50981,1587,32.162,32.935,-97.0759,77,48121,48121
Texas,Waxahachie,50919,50919,41623.0,0.0378924,City,49060,1029,49.501,32.4025,-96.8445,78,48139,48139
Texas,Huntsville,50275,50275,45967.0,0.0174448,City,49413,1181,42.587,30.7005,-95.5549,79,48471,48471
Texas,Sherman,49813,49813,43963.0,0.0240528,City,48643,1072,46.446,33.6286,-96.6267,80,48181,48181
Texas,Prosper,48889,48889,30816.0,0.0798471,Town,45274,1940,25.198,33.2413,-96.8124,81,48085,48085
Texas,Cedar Hill,47947,47947,49106.0,-0.00481537,City,48179,1340,35.788,32.5843,-96.9589,82,48113,48113
Texas,Bedford,47412,47412,49807.0,-0.0100019,City,47891,4727,10.03,32.8458,-97.1351,83,48439,48439
Texas,Keller,46717,46717,45714.0,0.00432109,City,46516,2545,18.355,32.9329,-97.2245,84,48439,48439
Texas,The Colony,45939,45939,44768.0,0.00511979,City,45705,3280,14.006,33.0896,-96.9034,85,48121,48121
Texas,Hutto,45887,45887,28081.0,0.0841327,City,42326,3292,13.938,30.5416,-97.5443,86,48491,48491
Texas,Midlothian,45228,45228,35538.0,0.0447678,City,43290,712,63.559,32.4694,-96.9907,87,48139,48139
Texas,Haltom City,44824,44824,45989.0,-0.00517123,City,45057,3631,12.346,32.8177,-97.2711,88,48439,48439
Texas,Weslaco,44675,44675,40619.0,0.018489,City,43864,2645,16.889,26.1605,-97.9877,89,48215,48215
Texas,Channelview,44433,44433,43378.0,0.00931331,CDP,44023,3083,14.41,29.793,-95.1145,90,48201,48201
Texas,Schertz,43970,43970,42142.0,0.00839373,City,43604,1327,33.132,29.5633,-98.2509,91,48091,48091
Texas,Forney,43196,43196,23880.0,0.0982127,City,39333,2733,15.804,32.7426,-96.4529,92,48397,48397
Texas,Rosenberg,42882,42882,38436.0,0.0211702,City,41993,1139,37.637,29.5499,-95.8214,93,48157,48157
Texas,Weatherford,42752,42752,31144.0,0.0574326,City,40430,1559,27.425,32.7532,-97.7719,94,48367,48367
Texas,Friendswood,40698,40698,41017.0,-0.00157009,City,40762,1974,20.612,29.5077,-95.2006,95,48201,48201
Texas,Socorro,40635,40635,34642.0,0.0304037,City,39436,1843,22.045,31.6385,-106.257,96,48141,48141
Texas,Coppell,40446,40446,42840.0,-0.0117043,City,40925,2804,14.424,32.9633,-96.9906,97,48113,48113
Texas,Seguin,40375,40375,29470.0,0.0571032,City,38194,1009,40.026,29.5902,-97.9686,98,48187,48187
Texas,Copperas Cove,40014,40014,36719.0,0.016745,City,39355,2220,18.028,31.1196,-97.9144,99,48027,48027
Texas,Lancaster,39521,39521,41255.0,-0.00870372,City,39868,1195,33.065,32.5962,-96.7738,100,48113,48113
Texas,Timberwood Park,39455,39455,25003.0,0.0459691,CDP,37721,1936,20.376,29.7007,-98.4832,101,48029,48029
Texas,Cleburne,39375,39375,31460.0,0.0418872,City,37792,1186,33.19,32.355,-97.4116,102,48251,48251
Texas,Cibolo,38736,38736,32830.0,0.0314472,City,37555,1845,20.996,29.5701,-98.2178,103,48091,48091
Texas,Hurst,38631,38631,40313.0,-0.00862268,City,38967,3877,9.964,32.8366,-97.1806,104,48439,48439
Texas,Mission Bend,38191,38191,38693.0,0.00296759,CDP,38078,8013,4.766,29.6937,-95.6663,105,48157,48157
Texas,La Porte,38117,38117,35301.0,0.0149917,City,37554,2049,18.604,29.6674,-95.0491,106,48201,48201
Texas,Duncanville,37787,37787,40526.0,-0.014295,City,38335,3373,11.202,32.646,-96.9139,107,48113,48113
Texas,Farmers Branch,37383,37383,36218.0,0.00627187,City,37150,3146,11.881,32.9278,-96.8785,108,48113,48113
Texas,San Juan,37173,37173,35360.0,0.00986145,City,36810,3113,11.943,26.1898,-98.1518,109,48215,48215
Texas,Sachse,35766,35766,27086.0,0.0510138,City,34030,3675,9.733,32.969,-96.5795,110,48397,48397
Texas,Greenville,35669,35669,28288.0,0.0431667,City,34193,1105,32.287,33.1119,-96.1103,111,48231,48231
Texas,Texarkana,35419,35419,36224.0,-0.00452501,City,35580,1128,31.41,33.4511,-94.0901,112,48037,48037
Texas,Harker Heights,35250,35250,33242.0,0.0115358,City,34848,2256,15.624,31.0567,-97.6442,113,48027,48027
Texas,Princeton,35020,35020,17537.0,0.110935,City,31523,3468,10.098,33.2015,-96.518,114,48085,48085
Texas,Canyon Lake,34728,34728,26338.0,0.0265445,CDP,33830,243,142.712,29.8758,-98.2612,115,48091,48091
Texas,Del Rio,34490,34490,34700.0,-0.00121626,City,34532,1686,20.46,29.373,-100.882,116,48265,48265
Texas,Anna,34255,34255,17370.0,0.109366,City,30878,1922,17.825,33.3482,-96.5535,117,48085,48085
Texas,Lufkin,34254,34254,34071.0,0.00108133,City,34217,1001,34.207,31.3229,-94.729,118,48005,48005
Texas,West Odessa,32953,32953,26117.0,0.0211652,CDP,32270,530,62.14,31.8382,-102.5,119,48135,48135
Texas,Deer Park,32388,32388,34357.0,-0.0120188,City,32782,3083,10.506,29.6873,-95.1159,120,48201,48201
Texas,Nacogdoches,32198,32198,32092.0,0.00065264,City,32177,1166,27.609,31.6124,-94.652,121,48347,48347
Texas,Converse,31961,31961,27860.0,0.0263318,City,31141,3384,9.444,29.5125,-98.3046,122,48029,48029
Texas,Royse City,31084,31084,13719.0,0.125783,City,27611,1618,19.206,32.9797,-96.3164,123,48397,48397
Texas,Southlake,31053,31053,31263.0,-0.0013507,City,31095,1422,21.834,32.9545,-97.1489,124,48121,48121
