state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Utah,Salt Lake City,215548,215548,200660.0,0.0140095,City,212570,1944,110.891,40.7769,-111.931,1,49035,49035
Utah,West Valley City,130801,130801,139973.0,-0.0138274,City,132635,3651,35.827,40.6885,-112.012,2,49035,49035
Utah,West Jordan,113492,113492,117032.0,-0.00619965,City,114200,3483,32.586,40.6027,-112.001,3,49035,49035
Utah,Provo,112169,112169,115103.0,-0.00520593,City,112756,2690,41.702,40.2453,-111.645,4,49049,49049
Utah,St. George,110270,110270,96039.0,0.0264931,City,107424,1429,77.148,37.077,-113.577,5,49053,49053
Utah,Lehi,99142,99142,76854.0,0.0470829,City,94684,3267,30.342,40.4171,-111.871,6,49049,49049
Utah,Orem,93577,93577,98432.0,-0.0102699,City,94548,5026,18.617,40.2981,-111.699,7,49049,49049
Utah,South Jordan,88910,88910,77954.0,0.0252655,City,86719,4004,22.205,40.5569,-111.979,8,49035,49035
Utah,Sandy,88621,88621,96925.0,-0.0183979,City,90282,3659,24.222,40.5717,-111.85,9,49035,49035
Utah,Ogden,87247,87247,87297.0,-0.000114603,City,87257,3167,27.549,41.2284,-111.968,10,49057,49057
Utah,Layton,84496,84496,82046.0,0.00583292,City,84006,3745,22.56,41.0774,-111.961,11,49011,49011
Utah,Eagle Mountain,65142,65142,44616.0,0.0672543,City,61037,1277,51.013,40.3143,-112.012,12,49049,49049
Utah,Herriman,62607,62607,56212.0,0.0208551,City,61328,2709,23.109,40.4917,-112.02,13,49045,49045
Utah,Saratoga Springs,62024,62024,38294.0,0.082859,City,57278,2657,23.341,40.3446,-111.916,14,49049,49049
Utah,Millcreek,61228,61228,63670.0,-0.00790719,City,61716,4748,12.895,40.689,-111.83,15,49035,49035
Utah,Logan,56860,56860,52835.0,0.0143609,City,56055,3150,18.052,41.7403,-111.842,16,49005,49005
Utah,Taylorsville,54916,54916,60371.0,-0.0194797,City,56007,5063,10.846,40.6569,-111.949,17,49035,49035
Utah,Murray,48911,48911,50515.0,-0.00652015,City,49232,3978,12.296,40.6507,-111.887,18,49035,49035
Utah,Draper,48652,48652,51027.0,-0.00966882,City,49127,1716,28.348,40.4972,-111.865,19,49049,49049
Utah,Spanish Fork,47428,47428,42750.0,0.0201325,City,46492,2826,16.784,40.1104,-111.641,20,49049,49049
Utah,Riverton,44564,44564,45289.0,-0.00324319,City,44709,3535,12.605,40.5176,-111.964,21,49035,49035
Utah,Bountiful,43056,43056,45776.0,-0.0124771,City,43600,3263,13.196,40.8725,-111.861,22,49011,49011
Utah,Cedar City,42923,42923,35470.0,0.0359867,City,41432,1188,36.132,37.6838,-113.095,23,49021,49021
Utah,American Fork,41881,41881,33550.0,0.0414273,City,40215,3690,11.35,40.3779,-111.795,24,49049,49049
Utah,Tooele,41412,41412,36039.0,0.0266505,City,40337,1717,24.114,40.5394,-112.308,25,49045,49045
Utah,Syracuse,40112,40112,32386.0,0.0400602,City,38567,3936,10.19,41.0858,-112.069,26,49011,49011
Utah,Kearns,38455,38455,36734.0,0.00902626,Township,38111,8302,4.632,40.6519,-112.009,27,49035,49035
Utah,Roy,38107,38107,39319.0,-0.00631046,City,38349,4676,8.149,41.1715,-112.048,28,49057,49057
Utah,Washington,37371,37371,28636.0,0.04904,City,35624,1034,36.125,37.1267,-113.488,29,49053,49053
Utah,Pleasant Grove,36998,36998,37738.0,-0.00398428,City,37146,4026,9.189,40.3715,-111.741,30,49049,49049
Utah,Clearfield,36174,36174,31913.0,0.0241209,City,35322,4700,7.696,41.097,-112.018,31,49011,49011
Utah,Springville,35562,35562,35334.0,0.00129519,City,35516,2474,14.375,40.1643,-111.62,32,49049,49049
Utah,Midvale,35191,35191,36116.0,-0.00522953,City,35376,5970,5.895,40.6147,-111.893,33,49035,49035
Utah,Kaysville,32887,32887,33022.0,-0.000820319,City,32914,3130,10.508,41.0293,-111.945,34,49011,49011
Utah,Cottonwood Heights,31328,31328,33518.0,-0.0137883,City,31766,3397,9.222,40.6137,-111.815,35,49035,49035
Utah,Magna,30637,30637,29261.0,0.00905737,Township,30362,1539,19.912,40.7595,-112.183,36,49045,49045
Utah,Holladay,29253,29253,31865.0,-0.0175315,City,29775,3439,8.506,40.6599,-111.823,37,49035,49035
Utah,West Haven,28562,28562,17192.0,0.0865033,City,26288,2649,10.781,41.2091,-112.054,38,49057,49057
Utah,Farmington,26567,26567,24577.0,0.0152088,City,26169,2670,9.951,40.9847,-111.906,39,49011,49011
Utah,Hurricane,26460,26460,20207.0,0.0496251,City,25209,502,52.744,37.1485,-113.359,40,49053,49053
Utah,Payson,25885,25885,21307.0,0.0366855,City,24969,1967,13.161,40.0359,-111.739,41,49049,49049
Utah,South Salt Lake,25728,25728,26713.0,-0.00759884,City,25925,3707,6.941,40.7057,-111.899,42,49035,49035
Utah,North Salt Lake,23874,23874,23088.0,0.00661972,City,23717,2764,8.637,40.8471,-111.919,43,49035,49035
Utah,Clinton,23670,23670,23465.0,0.00173516,City,23629,3990,5.932,41.1387,-112.066,44,49057,49057
Utah,North Ogden,23027,23027,21042.0,0.0175431,City,22630,3037,7.581,41.3146,-111.96,45,49057,49057
Utah,Highland,20775,20775,19380.0,0.0136124,City,20496,2392,8.684,40.4276,-111.796,46,49049,49049
Utah,Bluffdale,20240,20240,17364.0,0.0292398,City,19665,1821,11.112,40.4746,-111.94,47,49035,49035
Utah,Brigham City,20158,20158,19687.0,0.00468501,City,20064,820,24.579,41.5059,-112.051,48,49003,49003
Utah,Santaquin,19952,19952,13901.0,0.0645609,City,18742,1892,10.548,39.9699,-111.794,49,49049,49049
Utah,Heber,19568,19568,16980.0,0.0271916,City,19050,824,23.745,40.5417,-111.387,50,49051,49051
Utah,South Ogden,17800,17800,17495.0,0.00343875,City,17739,4564,3.9,41.1722,-111.958,51,49057,49057
Utah,Grantsville,16951,16951,12741.0,0.0522689,City,16109,425,39.881,40.6113,-112.469,52,49045,49045
Utah,Centerville,16274,16274,16881.0,-0.0073803,City,16395,2746,5.926,40.9263,-111.883,53,49011,49011
Utah,Vineyard,15561,15561,12908.0,0.0353293,Town,15030,3220,4.832,40.3051,-111.755,54,49049,49049
Utah,Smithfield,15424,15424,13678.0,0.0231509,City,15075,2568,6.007,41.8355,-111.828,55,49005,49005
Utah,Mapleton,15242,15242,11466.0,0.0521157,City,14487,1142,13.342,40.1188,-111.574,56,49049,49049
Utah,Tremonton,14039,14039,9968.0,0.0615501,City,13225,1687,8.324,41.7184,-112.188,57,49003,49003
Utah,West Point,13422,13422,11064.0,0.0364479,City,12950,1887,7.114,41.1217,-112.098,58,49011,49011
Utah,North Logan,12190,12190,10992.0,0.0200837,City,11950,1713,7.118,41.7755,-111.807,59,49005,49005
Utah,Lindon,11900,11900,11485.0,0.00702378,City,11817,1425,8.352,40.342,-111.717,60,49049,49049
Utah,Stansbury Park,11854,11854,9271.0,0.0392776,CDP,11406,4350,2.725,40.634,-112.306,61,49045,49045
Utah,Hyrum,11792,11792,9434.0,0.0416961,City,11320,1894,6.226,41.6328,-111.846,62,49005,49005
Utah,Salem,11617,11617,9386.0,0.0399248,City,11171,961,12.094,40.0553,-111.667,63,49049,49049
Utah,Woods Cross,11482,11482,11477.0,8.71e-05,City,11481,3000,3.827,40.8732,-111.918,64,49011,49011
Utah,Pleasant View,11385,11385,11085.0,0.00529801,City,11325,1631,6.979,41.3249,-112.001,65,49057,49057
Utah,Ivins,10886,10886,9081.0,0.0342993,City,10525,1152,9.45,37.1738,-113.681,66,49053,49053
Utah,Vernal,10868,10868,10090.0,0.0145631,City,10712,2351,4.623,40.4517,-109.538,67,49047,49047
Utah,Alpine,10318,10318,10268.0,0.00097012,City,10308,1298,7.949,40.463,-111.772,68,49049,49049
Utah,Providence,9922,9922,8284.0,0.034188,City,9594,2399,4.136,41.7036,-111.813,69,49005,49005
Utah,Cedar Hills,9664,9664,10003.0,-0.00698726,City,9732,3545,2.726,40.412,-111.754,70,49049,49049
Utah,Hooper,9541,9541,9111.0,0.00909572,City,9455,202,47.324,41.1626,-112.342,71,49003,49003
Utah,Santa Clara,9090,9090,7594.0,0.0340121,City,8791,1499,6.063,37.1314,-113.657,72,49053,49053
Utah,Riverdale,9012,9012,9381.0,-0.0081444,City,9086,1959,4.601,41.1731,-112.002,73,49057,49057
Utah,Plain City,8959,8959,7888.0,0.0244711,City,8745,741,12.084,41.3067,-112.094,74,49057,49057
Utah,Washington Terrace,8945,8945,9257.0,-0.00688354,City,9007,4413,2.027,41.1683,-111.978,75,49057,49057
Utah,Summit Park,8941,8941,8177.0,0.00868682,CDP,8864,662,13.513,40.7423,-111.587,76,49035,49035
Utah,Enoch,8905,8905,7482.0,0.0330626,City,8620,1112,8.005,37.7666,-113.045,77,49021,49021
Utah,Nibley,8893,8893,7338.0,0.0362386,City,8582,1969,4.516,41.673,-111.847,78,49005,49005
Utah,Richfield,8342,8342,8156.0,0.00445515,City,8305,1364,6.117,38.7613,-112.093,79,49041,49041
Utah,Price,8279,8279,8233.0,0.00108827,City,8270,1645,5.034,39.604,-110.8,80,49007,49007
Utah,South Weber,8195,8195,7970.0,0.00552147,City,8150,1759,4.658,41.1342,-111.939,81,49057,49057
Utah,Farr West,8193,8193,7762.0,0.0106081,City,8107,1384,5.92,41.3015,-112.032,82,49057,49057
Utah,Park City,8146,8146,8416.0,-0.00658537,City,8200,366,22.262,40.6573,-111.494,83,49051,49051
Utah,Nephi,7554,7554,6473.0,0.0294358,City,7338,1380,5.475,39.7047,-111.833,84,49023,49023
Utah,Roosevelt,7505,7505,6802.0,0.0191472,City,7364,1066,7.038,40.2877,-109.988,85,49013,49013
Utah,Harrisville,6645,6645,7037.0,-0.011602,City,6723,2217,2.997,41.2853,-111.986,86,49057,49057
Utah,Ephraim,6431,6431,5623.0,0.0258414,City,6269,1435,4.482,39.3562,-111.585,87,49039,49039
Utah,Perry,6167,6167,5589.0,0.0191704,City,6051,772,7.991,41.4645,-112.041,88,49003,49003
Utah,Midway,6094,6094,6048.0,0.00147905,City,6085,988,6.167,40.5202,-111.476,89,49051,49051
Utah,Hyde Park,5962,5962,5249.0,0.0245747,City,5819,1245,4.788,41.8011,-111.81,90,49005,49005
Utah,Fruit Heights,5848,5848,6102.0,-0.00864553,City,5899,2555,2.289,41.0289,-111.905,91,49011,49011
Utah,West Bountiful,5797,5797,5946.0,-0.00514845,City,5827,1751,3.311,40.9013,-111.908,92,49011,49011
Utah,White City,5777,5777,5524.0,0.00890674,Township,5726,6610,0.874,40.5687,-111.863,93,49035,49035
Utah,Snyderville,5759,5759,5995.0,0.00156522,CDP,5750,530,10.867,40.7041,-111.543,94,49051,49051
Utah,Kanab,5598,5598,4703.0,0.0330319,City,5419,380,14.741,37.0347,-112.53,95,49025,49025
Utah,Sunset,5283,5283,5470.0,-0.00695489,City,5320,3616,1.461,41.1381,-112.028,96,49057,49057
Utah,Moab,5127,5127,5361.0,-0.00908388,City,5174,1068,4.801,38.5701,-109.548,97,49019,49019
Utah,Elk Ridge,5053,5053,4732.0,0.0128282,City,4989,1728,2.924,40.0104,-111.678,98,49049,49049
Utah,Morgan,4824,4824,4104.0,0.0307692,City,4680,1626,2.966,41.0414,-111.68,99,49029,49029
Utah,La Verkin,4618,4618,4347.0,0.0118317,City,4564,338,13.644,37.2315,-113.251,100,49053,49053
Utah,East Basin,4558,4558,3486.0,0.0714622,CDP,4254,507,8.999,40.7368,-111.469,101,49051,49051
Utah,Erda,4347,4347,3071.0,0.514107,City,2871,108,40.12,40.6181,-112.309,102,49045,49045
Utah,Erda,4347,4347,3592.0,0.514107,City,2871,108,40.12,40.6181,-112.309,103,49045,49045
Utah,Erda,4347,4347,3071.0,0.0359867,City,4196,108,40.12,40.6181,-112.309,104,49045,49045
Utah,Erda,4347,4347,3592.0,0.0359867,City,4196,108,40.12,40.6181,-112.309,105,49045,49045
Utah,Wellsville,4260,4260,4094.0,0.00780695,City,4227,583,7.307,41.6234,-111.942,106,49005,49005
Utah,Maeser,4257,4257,4064.0,0.0102041,CDP,4214,658,6.466,40.4718,-109.579,107,49047,49047
Utah,Mount Pleasant,4008,4008,3665.0,0.0175171,City,3939,1370,2.926,39.5407,-111.456,108,49039,49039
Utah,Mountain Green,3980,3980,3694.0,0.0286896,CDP,3869,735,5.412,41.1477,-111.788,109,49057,49057
Utah,Delta,3786,3786,3640.0,0.00771892,City,3757,440,8.603,39.3633,-112.544,110,49023,49023
Utah,Manti,3777,3777,3446.0,0.017785,City,3711,1173,3.221,39.2665,-111.635,111,49039,49039
Utah,Beaver,3724,3724,3603.0,0.00648649,City,3700,553,6.735,38.2759,-112.638,112,49001,49001
Utah,Gunnison,3689,3689,3519.0,0.00930232,City,3655,770,4.79,39.1569,-111.814,113,49039,49039
Utah,Parowan,3289,3289,3018.0,0.0166924,City,3235,478,6.879,37.8326,-112.83,114,49021,49021
Utah,Richmond,3094,3094,2939.0,0.0101208,City,3063,888,3.484,41.9231,-111.808,115,49005,49005
Utah,Blanding,3056,3056,3388.0,-0.0211403,City,3122,232,13.175,37.6231,-109.513,116,49037,49037
Utah,Lake Point,2836,2836,2333.0,0.0369287,City,2735,620,4.574,40.6834,-112.266,117,49045,49045
Utah,Monroe,2797,2797,2516.0,0.0204305,City,2741,783,3.571,38.623,-112.12,118,49031,49031
Utah,Erda,2744,2744,3071.0,-0.0442355,City,2871,68,40.12,40.6181,-112.309,119,49045,49045
Utah,Erda,2744,2744,3592.0,-0.0442355,City,2871,68,40.12,40.6181,-112.309,120,49045,49045
Utah,Erda,2744,2744,3071.0,-0.346044,City,4196,68,40.12,40.6181,-112.309,121,49045,49045
Utah,Erda,2744,2744,3592.0,-0.346044,City,4196,68,40.12,40.6181,-112.309,122,49045,49045
Utah,Garland,2720,2720,2590.0,0.00965108,City,2694,1473,1.847,41.7363,-112.163,123,49003,49003
Utah,Fillmore,2709,2709,2614.0,0.0070632,City,2690,379,7.142,38.9642,-112.339,124,49041,49041
Utah,Salina,2672,2672,2472.0,0.0151976,City,2632,456,5.854,38.9388,-111.865,125,49041,49041
Utah,Naples,2586,2586,2286.0,0.023753,City,2526,392,6.601,40.4317,-109.491,126,49047,49047
Utah,Millville,2545,2545,2352.0,0.0155626,City,2506,999,2.548,41.6852,-111.821,127,49005,49005
Utah,Willard,2476,2476,1993.0,0.0407734,City,2379,445,5.568,41.4032,-112.043,128,49057,49057
Utah,Enterprise,2445,2445,2055.0,0.0329531,City,2367,279,8.75,37.5716,-113.743,129,49053,49053
Utah,Marriott-Slaterville,2273,2273,2147.0,0.011121,City,2248,308,7.388,41.2611,-112.036,130,49057,49057
Utah,River Heights,2193,2193,2160.0,0.0032022,City,2186,3323,0.66,41.7221,-111.819,131,49005,49005
Utah,Kamas,2167,2167,2112.0,0.00510204,City,2156,555,3.901,40.65,-111.273,132,49051,49051
Utah,Helper,2126,2126,2126.0,0.0,City,2126,1175,1.809,39.6896,-110.86,133,49007,49007
Utah,Mona,2057,2057,1751.0,0.0305611,City,1996,772,2.665,39.8118,-111.842,134,49023,49023
Utah,Toquerville,2026,2026,1885.0,0.014014,City,1998,91,22.19,37.2665,-113.295,135,49053,49053
Utah,Huntington,2022,2022,1921.0,0.00999001,City,2002,895,2.26,39.3301,-110.963,136,49015,49015
Utah,Lewiston,1972,1972,1937.0,0.00356234,City,1965,77,25.753,41.9685,-111.886,137,49005,49005
Utah,Francis,1947,1947,1601.0,0.0367412,Town,1878,505,3.855,40.6125,-111.282,138,49051,49051
Utah,Benson,1899,1899,1793.0,0.0149653,CDP,1871,63,30.116,41.7529,-111.926,139,49005,49005
Utah,Panguitch,1840,1840,1732.0,0.0121012,City,1818,572,3.219,37.8228,-112.434,140,49001,49001
Utah,Honeyville,1816,1816,1616.0,0.0225225,City,1776,155,11.727,41.6361,-112.086,141,49003,49003
Utah,Wolf Creek,1718,1718,2027.0,0.0147667,CDP,1693,544,3.16,41.3253,-111.829,142,49057,49057
Utah,Moroni,1702,1702,1552.0,0.0179426,City,1672,1598,1.065,39.527,-111.583,143,49039,49039
