state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Vermont,Burlington,44382,44382,44746,-0.00164211,City,44455,4308,10.303,44.4919,-73.2389,1,50007,50007
Vermont,South Burlington,21543,21543,20293,0.0117409,City,21293,1311,16.435,44.4365,-73.1826,2,50007,50007
Vermont,Colchester,17546,17546,17503,-0.00119542,Town,17567,483,36.3,44.5541,-73.2255,3,50007,50007
Vermont,Rutland,15526,15526,15785,-0.00333804,City,15578,2056,7.553,43.6097,-72.9778,4,50021,50021
Vermont,Bennington,15014,15014,15307,-0.00615609,Town,15107,358,41.949,42.8862,-73.2127,5,50003,50003
Vermont,Brattleboro,12084,12084,12166,-0.00107465,Town,12097,377,32.056,42.8602,-72.6331,6,50025,50025
Vermont,Essex,11394,11394,11494,-0.00297515,Town,11428,332,34.341,44.5386,-73.0502,7,50007,50007
Vermont,Essex Junction,10971,10971,10585,0.00706811,City,10894,2401,4.569,44.4903,-73.1141,8,50007,50007
Vermont,Milton,10817,10817,10740,0.00380475,Town,10776,210,51.587,44.6459,-73.1592,9,50007,50007
Vermont,Hartford,10693,10693,10695,-0.00233252,Town,10718,237,45.111,43.6647,-72.3861,10,50027,50027
Vermont,Williston,10044,10044,10156,-0.00238379,Town,10068,330,30.48,44.4292,-73.0963,11,50007,50007
Vermont,Middlebury,9197,9197,9154,0.00152456,Town,9183,234,39.231,44.0019,-73.119,12,50001,50001
Vermont,Springfield,9007,9007,9065,-0.00342996,Town,9038,183,49.212,43.292,-72.4804,13,50027,50027
Vermont,Winooski,8389,8389,8044,0.00829327,City,8320,6075,1.381,44.4956,-73.1849,14,50007,50007
Vermont,Barre,8327,8327,8476,-0.0035898,City,8357,2089,3.987,44.1991,-72.508,15,50023,50023
Vermont,Barre,8081,8081,7923,0.00272987,Town,8059,264,30.573,44.183,-72.4751,16,50023,50023
Vermont,Shelburne,8022,8022,7719,0.00627195,Town,7972,330,24.276,44.3893,-73.2435,17,50007,50007
Vermont,Montpelier,7938,7938,8070,-0.00326469,City,7964,789,10.057,44.2664,-72.5715,18,50023,50023
Vermont,St. Johnsbury,7425,7425,7337,0.00148368,Town,7414,204,36.45,44.4603,-72.0049,19,50019,50019
Vermont,St. Albans,7179,7179,7015,0.00377517,Town,7152,193,37.133,44.8114,-73.1459,20,50011,50011
Vermont,St. Albans,6980,6980,6867,0.00330602,City,6957,3570,1.955,44.8115,-73.0845,21,50011,50011
Vermont,Swanton,6891,6891,6759,0.00276484,Town,6872,143,48.224,44.9096,-73.1239,22,50011,50011
Vermont,Morristown,6255,6255,5440,0.0318377,Town,6062,123,50.78,44.547,-72.6422,23,50023,50023
Vermont,Northfield,5943,5943,5909,0.000673514,Town,5939,133,44.632,44.1476,-72.6912,24,50023,50023
Vermont,Lyndon,5684,5684,5486,0.00406289,Town,5661,144,39.341,44.5515,-72.0129,25,50019,50019
Vermont,Fairfax,5553,5553,5045,0.0205845,Town,5441,140,39.739,44.7024,-72.9977,26,50011,50011
Vermont,Waterbury,5516,5516,5326,0.00528522,Town,5487,115,48.153,44.3882,-72.7396,27,50023,50023
Vermont,Stowe,5199,5199,5228,-0.00592734,Town,5230,72,72.456,44.4918,-72.7126,28,50023,50023
Vermont,Jericho,5071,5071,5095,-0.00177165,Town,5080,143,35.455,44.4645,-72.9632,29,50007,50007
Vermont,Georgia,4952,4952,4856,0.00344478,Town,4935,126,39.348,44.7224,-73.1284,30,50011,50011
Vermont,Randolph,4835,4835,4772,-0.00144568,Town,4842,101,47.969,43.9217,-72.6109,31,50023,50023
Vermont,Rockingham,4777,4777,4833,-0.00188048,Town,4786,115,41.41,43.1705,-72.5066,32,50025,50025
Vermont,Hinesburg,4670,4670,4694,-0.00234992,Town,4681,119,39.298,44.332,-73.0859,33,50007,50007
Vermont,Manchester,4457,4457,4477,-0.00268516,Town,4469,106,41.954,43.1652,-73.063,34,50003,50003
Vermont,Castleton,4436,4436,4446,-0.000675827,Town,4439,114,38.942,43.6528,-73.1612,35,50021,50021
Vermont,Derby,4409,4409,4569,-0.00854509,Town,4447,90,48.983,44.9517,-72.1363,36,50019,50019
Vermont,Newport,4262,4262,4447,-0.00860665,City,4299,728,5.858,44.9367,-72.2096,37,50019,50019
Vermont,Richmond,4107,4107,4158,-0.00242895,Town,4117,127,32.376,44.382,-72.9796,38,50007,50007
Vermont,Brandon,4096,4096,4121,-0.00121921,Town,4101,103,39.735,43.8053,-73.0753,39,50021,50021
Vermont,Rutland,3944,3944,3917,0.00228717,Town,3935,207,19.055,43.6446,-72.953,40,50021,50021
Vermont,Charlotte,3859,3859,3912,-0.00361477,Town,3873,94,41.252,44.3057,-73.2355,41,50007,50007
Vermont,Bristol,3772,3772,3776,0.000795967,Town,3769,93,40.548,44.0982,-73.0492,42,50001,50001
Vermont,Norwich,3635,3635,3614,-0.0010992,Town,3639,82,44.494,43.7776,-72.324,43,50027,50027
Vermont,Highgate,3634,3634,3469,0.00972492,Town,3599,71,51.026,44.9632,-73.0599,44,50011,50011
Vermont,Williamstown,3623,3623,3521,0.0030454,Town,3612,90,40.16,44.1109,-72.5415,45,50023,50023
Vermont,Shaftsbury,3616,3616,3594,0.000830334,Town,3613,84,42.991,42.9788,-73.2135,46,50003,50003
Vermont,Cambridge,3577,3577,3815,-0.0173077,Town,3640,57,62.942,44.6265,-72.8154,47,50011,50011
Vermont,Windsor,3526,3526,3550,-0.00339175,Town,3538,182,19.408,43.4754,-72.421,48,50027,50027
Vermont,Hartland,3498,3498,3450,0.00200516,Town,3491,77,45.23,43.5805,-72.4389,49,50027,50027
Vermont,Johnson,3302,3302,3490,-0.0146225,Town,3351,73,45.32,44.6481,-72.6888,50,50011,50011
Vermont,Pownal,3242,3242,3258,-0.00276838,Town,3251,69,46.775,42.7893,-73.2145,51,50003,50003
Vermont,Underhill,3061,3061,3146,-0.00842242,Town,3087,60,51.215,44.5424,-72.8832,52,50007,50007
Vermont,Woodstock,3020,3020,3007,-0.00198282,Town,3026,69,44.052,43.5944,-72.5483,53,50027,50027
Vermont,Poultney,3015,3015,3023,-0.000331564,Town,3016,71,42.558,43.5399,-73.1892,54,50021,50021
Vermont,Westminster,3014,3014,3002,0.000996346,Town,3011,67,45.025,43.0747,-72.5081,55,50025,50025
