state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Virginia,Virginia Beach,449625,449625,459684.0,-0.00445491,City,451637,1837,244.719,36.7795,-76.0291,1,51810,51810
Virginia,Chesapeake,256622,256622,249781.0,0.00535937,City,255254,758,338.456,36.6794,-76.3018,2,51710,51710
Virginia,Arlington,242900,242900,236434.0,0.00977767,CDP,240548,9343,25.997,38.8783,-77.1007,3,51013,51013
Virginia,Richmond,230787,230787,226936.0,0.00334758,City,230017,3851,59.925,37.5314,-77.476,4,51760,51760
Virginia,Norfolk,226357,226357,237789.0,-0.00999812,City,228643,4249,53.275,36.923,-76.2446,5,51710,51710
Virginia,Newport News,181165,181165,186047.0,-0.00535849,City,182141,2626,68.996,37.0761,-76.522,6,51700,51700
Virginia,Alexandria,152624,152624,159139.0,-0.00846505,City,153927,10219,14.935,38.8193,-77.0837,7,51510,51510
Virginia,Hampton,136976,136976,137280.0,-0.000445135,City,137037,2662,51.461,37.048,-76.2973,8,51650,51650
Virginia,Suffolk,104598,104598,94750.0,0.0191955,City,102628,262,399.167,36.6972,-76.6348,9,51710,51710
Virginia,Portsmouth,96018,96018,97955.0,-0.00401431,City,96405,2883,33.301,36.8593,-76.357,10,51710,51710
Virginia,Roanoke,95357,95357,99891.0,-0.00942201,City,96264,2243,42.521,37.2785,-79.9582,11,51041,51041
Virginia,Lynchburg,79905,79905,78979.0,0.00232062,City,79720,1632,48.976,37.399,-79.1955,12,51041,51041
Virginia,Dale City,75918,75918,72062.0,0.00882345,CDP,75254,5331,14.24,38.6498,-77.3459,13,51153,51153
Virginia,Centreville,73066,73066,74230.0,0.00175491,CDP,72938,6121,11.937,38.8406,-77.4385,14,51153,51153
Virginia,Reston,63323,63323,61418.0,0.00520676,CDP,62995,4127,15.343,38.9498,-77.3462,15,51059,51059
Virginia,Woodbridge,52260,52260,42517.0,0.0655303,CDP,49046,5793,9.022,38.6406,-77.2551,16,51059,51059
Virginia,Harrisonburg,50666,50666,51706.0,-0.00408853,City,50874,2923,17.336,38.4363,-78.8733,17,51107,51107
Virginia,McLean,49955,49955,48566.0,0.00246829,CDP,49832,2015,24.797,38.9435,-77.1929,18,51013,51013
Virginia,Leesburg,49932,49932,48382.0,0.00624723,Town,49622,3968,12.585,39.1064,-77.5592,19,51107,51107
Virginia,Tuckahoe,48814,48814,48517.0,0.00525134,CDP,48559,2388,20.441,37.5873,-77.5882,20,51760,51760
Virginia,Blacksburg,45972,45972,44754.0,0.0053359,Town,45728,2322,19.796,37.2313,-80.4267,21,51041,51041
Virginia,Ashburn,45971,45971,44090.0,0.00358024,CDP,45807,3006,15.295,39.0273,-77.4713,22,51107,51107
Virginia,Lake Ridge,45635,45635,45111.0,0.00672843,CDP,45330,5005,9.117,38.687,-77.3058,23,51059,51059
Virginia,Burke,45021,45021,44077.0,0.00589852,CDP,44757,5230,8.608,38.7777,-77.2626,24,51059,51059
