state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Washington,Seattle,764753,764753,740565.0,0.0063665,City,759915,9104,84.0,47.6193,-122.352,1,53035,53035
Washington,Spokane,229608,229608,229205.0,0.000352899,City,229527,3339,68.76,47.6669,-117.433,2,53063,53063
Washington,Tacoma,225030,225030,219719.0,0.00474175,City,223968,4526,49.714,47.2522,-122.46,3,53053,53053
Washington,Vancouver,199884,199884,191278.0,0.00868477,City,198163,4100,48.748,45.6372,-122.597,4,53011,53011
Washington,Bellevue,151436,151436,151780.0,-0.00045543,City,151505,4525,33.468,47.5978,-122.156,5,53033,53033
Washington,Kent,131235,131235,136592.0,-0.00809487,City,132306,3879,33.833,47.388,-122.213,6,53033,53033
Washington,Everett,111371,111371,110893.0,0.000862727,City,111275,3315,33.601,47.9654,-122.19,7,53061,53061
Washington,Spokane Valley,111371,111371,103531.0,0.0142801,City,109803,2953,37.72,47.6634,-117.233,8,53063,53063
Washington,Renton,103005,103005,106719.0,-0.00716158,City,103748,4376,23.54,47.4792,-122.195,9,53033,53033
Washington,Bellingham,96619,96619,91871.0,0.00993007,City,95669,3426,28.198,48.7534,-122.47,10,53029,53029
Washington,Yakima,96541,96541,97063.0,-0.0010761,City,96645,3465,27.86,46.5909,-120.549,11,53077,53077
Washington,Federal Way,95509,95509,100988.0,-0.0113452,City,96605,4277,22.329,47.3116,-122.338,12,53053,53053
Washington,Kirkland,90164,90164,92739.0,-0.00567937,City,90679,5064,17.806,47.6967,-122.204,13,53033,53033
Washington,Kennewick,85940,85940,83984.0,0.00457048,City,85549,3015,28.504,46.1976,-119.176,14,53005,53005
Washington,Redmond,84897,84897,73354.0,0.0279581,City,82588,5124,16.567,47.6779,-122.115,15,53033,53033
Washington,Auburn,81754,81754,87043.0,-0.0127759,City,82812,2764,29.577,47.3038,-122.21,16,53053,53053
Washington,Pasco,81605,81605,77687.0,0.00970045,City,80821,2094,38.963,46.2661,-119.121,17,53021,53021
Washington,Marysville,74206,74206,70981.0,0.00876823,City,73561,3576,20.753,48.0802,-122.154,18,53061,53061
Washington,South Hill,71686,71686,64104.0,0.0182381,CDP,70402,3857,18.585,47.1207,-122.285,19,53053,53053
Washington,Richland,65656,65656,60908.0,0.0146818,City,64706,1647,39.868,46.2841,-119.294,20,53005,53005
Washington,Sammamish,63564,63564,67444.0,-0.0120609,City,64340,3112,20.427,47.5943,-122.038,21,53033,53033
Washington,Shoreline,63045,63045,58815.0,0.0136015,City,62199,5419,11.635,47.7569,-122.346,22,53035,53035
Washington,Lakewood,61429,61429,63614.0,-0.00706365,City,61866,3601,17.06,47.1641,-122.528,23,53067,53067
Washington,Lacey,59395,59395,56722.0,0.00908936,City,58860,3199,18.565,47.0431,-122.798,24,53067,53067
Washington,Olympia,55816,55816,55608.0,0.000753039,City,55774,3063,18.221,47.0406,-122.895,25,53067,53067
Washington,Bothell,51575,51575,48169.0,0.0133808,City,50894,3783,13.635,47.7735,-122.204,26,53033,53033
Washington,Burien,49890,49890,51989.0,-0.00834824,City,50310,4970,10.039,47.4756,-122.345,27,53035,53035
