state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
West Virginia,Charleston,45636,45636,48641,-0.0129982,City,46237,1454,31.397,38.3487,-81.6323,1,54039,54039
West Virginia,Huntington,44375,44375,46750,-0.0105909,City,44850,2736,16.219,38.4107,-82.4347,2,54011,54011
West Virginia,Morgantown,30590,30590,30187,0.00265495,City,30509,3005,10.179,39.6375,-79.9469,3,54061,54061
West Virginia,Parkersburg,28599,28599,29664,-0.00739275,City,28812,2427,11.782,39.2613,-81.5434,4,54107,54107
West Virginia,Wheeling,25682,25682,26996,-0.0101368,City,25945,1863,13.786,40.0738,-80.696,5,54049,54049
West Virginia,Martinsburg,19042,19042,18774,0.0028439,City,18988,2872,6.631,39.4578,-77.9782,6,54003,54003
West Virginia,Fairmont,17974,17974,18426,-0.00498229,City,18064,2090,8.602,39.4769,-80.1491,7,54049,54049
West Virginia,Weirton,17903,17903,19110,-0.0132826,City,18144,992,18.055,40.4063,-80.5656,8,54061,54061
West Virginia,Beckley,16148,16148,17218,-0.0130791,City,16362,1700,9.498,37.7731,-81.1616,9,54081,54081
West Virginia,Clarksburg,15135,15135,16019,-0.0115596,City,15312,1557,9.719,39.2703,-80.3618,10,54033,54033
West Virginia,South Charleston,12905,12905,13845,-0.0143588,City,13093,1322,9.76,38.3408,-81.7108,11,54039,54039
West Virginia,Vienna,10336,10336,10638,-0.00577145,City,10396,2605,3.968,39.3228,-81.5298,12,54107,54107
West Virginia,St. Albans,10095,10095,10825,-0.0142564,City,10241,2793,3.615,38.3776,-81.8193,13,54079,54079
West Virginia,Bridgeport,9414,9414,9321,0.00202235,City,9395,888,10.599,39.3034,-80.2429,14,54033,54033
West Virginia,Bluefield,9048,9048,9608,-0.0122271,City,9160,1008,8.974,37.2628,-81.2113,15,54055,54055
West Virginia,Charles Town,8436,8436,6526,0.0474298,City,8054,1438,5.866,39.264,-77.8813,16,54003,54003
West Virginia,Oak Hill,7639,7639,8163,-0.0135589,City,7744,784,9.746,37.972,-81.1579,17,54019,54019
West Virginia,Moundsville,7502,7502,8057,-0.0145803,City,7613,2581,2.907,39.9221,-80.7421,18,54049,54049
West Virginia,Dunbar,6971,6971,7450,-0.0135843,City,7067,2488,2.802,38.3695,-81.7361,19,54039,54039
West Virginia,Hurricane,6702,6702,6961,-0.00769914,City,6754,1805,3.714,38.4275,-82.0181,20,54079,54079
West Virginia,Elkins,6643,6643,6923,-0.00835946,City,6699,1829,3.633,38.9238,-79.854,21,54033,54033
West Virginia,Nitro,6291,6291,6628,-0.0105379,City,6358,1177,5.345,38.4116,-81.8078,22,54079,54079
West Virginia,Ranson,5854,5854,5466,0.0135042,Corporation,5776,722,8.103,39.3101,-77.883,23,54003,54003
West Virginia,Princeton,5506,5506,5845,-0.0121995,City,5574,1827,3.014,37.3688,-81.0962,24,54055,54055
West Virginia,New Martinsville,5009,5009,5203,-0.00772583,City,5048,1874,2.673,39.6456,-80.8627,25,54033,54033
West Virginia,Buckhannon,4971,4971,5180,-0.00837822,City,5013,1745,2.849,38.9927,-80.2282,26,54033,54033
West Virginia,Keyser,4834,4834,4856,-0.000826787,City,4838,2449,1.974,39.4394,-78.9821,27,54003,54003
West Virginia,Grafton,4499,4499,4724,-0.00990317,City,4544,1225,3.672,39.3406,-80.0161,28,54049,54049
West Virginia,Barboursville,4299,4299,4439,-0.006471,Village,4327,1071,4.014,38.4064,-82.2953,29,54011,54011
West Virginia,Westover,4091,4091,3970,0.00590116,City,4067,1344,3.045,39.6338,-79.99,30,54061,54061
West Virginia,Point Pleasant,3803,3803,4065,-0.013489,City,3855,1574,2.416,38.8502,-82.132,31,54079,54079
West Virginia,Ravenswood,3793,3793,3857,-0.00341566,City,3806,2088,1.817,38.9563,-81.762,32,54107,54107
West Virginia,Lewisburg,3699,3699,3913,-0.0114912,City,3742,973,3.803,37.8094,-80.4326,33,54019,54019
West Virginia,Weston,3664,3664,3944,-0.0150538,City,3720,1886,1.943,39.0388,-80.4622,34,54033,54033
West Virginia,Pleasant Valley,3468,3468,3505,-0.00201439,City,3475,1073,3.231,39.453,-80.1554,35,54049,54049
West Virginia,Welch,3308,3308,3572,-0.0157691,City,3361,548,6.037,37.4281,-81.5915,36,54055,54055
West Virginia,Summersville,3292,3292,3422,-0.00783604,City,3318,734,4.487,38.287,-80.8415,37,54019,54019
West Virginia,Ripley,3027,3027,3067,-0.00263591,City,3035,939,3.223,38.8216,-81.7093,38,54079,54079
West Virginia,Kingwood,2941,2941,2978,-0.00237449,City,2948,1210,2.43,39.472,-79.6823,39,54061,54061
West Virginia,Williamstown,2931,2931,2991,-0.00407747,City,2943,1966,1.491,39.3983,-81.4546,40,54107,54107
West Virginia,Philippi,2890,2890,2924,-0.00241629,City,2897,1022,2.829,39.1473,-80.0504,41,54033,54033
West Virginia,Kenova,2810,2810,3027,-0.0150719,City,2853,2130,1.319,38.4022,-82.5821,42,54011,54011
West Virginia,Fayetteville,2736,2736,2905,-0.0122744,Town,2770,474,5.774,38.0641,-81.1087,43,54019,54019
West Virginia,Milton,2722,2722,2804,-0.00584368,Town,2738,1382,1.969,38.438,-82.146,44,54011,54011
West Virginia,Williamson,2675,2675,3064,-0.0283327,City,2753,817,3.275,37.6741,-82.2711,45,54011,54011
West Virginia,Madison,2634,2634,2904,-0.0200893,City,2688,376,7.006,38.0642,-81.7949,46,54039,54039
West Virginia,Follansbee,2595,2595,2837,-0.0181612,City,2643,1408,1.843,40.337,-80.5972,47,54049,54049
West Virginia,Bethlehem,2521,2521,2601,-0.00630666,Village,2537,711,3.544,40.0444,-80.6881,48,54049,54049
West Virginia,Moorefield,2473,2473,2508,-0.00282258,Town,2480,928,2.666,39.0674,-78.9624,49,54003,54003
West Virginia,Winfield,2351,2351,2393,-0.00339127,Town,2359,997,2.358,38.5267,-81.8855,50,54079,54079
West Virginia,Paden City,2325,2325,2532,-0.0173288,City,2366,2748,0.846,39.603,-80.9353,51,54033,54033
West Virginia,Petersburg,2249,2249,2296,-0.00398583,City,2258,1392,1.616,38.9957,-79.1277,52,54061,54061
West Virginia,Shinnston,2244,2244,2323,-0.00707965,City,2260,1342,1.672,39.3923,-80.299,53,54033,54033
West Virginia,Wellsburg,2209,2209,2441,-0.0203991,City,2255,2277,0.97,40.2809,-80.6106,54,54049,54049
West Virginia,White Sulphur Springs,2166,2166,2218,-0.00459559,City,2176,1156,1.873,37.7993,-80.3009,55,54019,54019
West Virginia,Hinton,2076,2076,2240,-0.0156472,City,2109,930,2.233,37.6746,-80.8811,56,54081,54081
West Virginia,Chester,2055,2055,2200,-0.0139155,City,2084,2057,0.999,40.6129,-80.5627,57,54061,54061
West Virginia,Spencer,1948,1948,2032,-0.0086514,City,1965,1560,1.249,38.8,-81.3534,58,54107,54107
West Virginia,Mannington,1893,1893,1950,-0.00577731,City,1904,1732,1.093,39.5287,-80.3405,59,54049,54049
West Virginia,Star City,1791,1791,1758,0.00392377,Town,1784,3663,0.489,39.6592,-79.9866,60,54061,54061
West Virginia,Belington,1779,1779,1804,-0.00280269,Town,1784,863,2.061,39.0151,-79.9409,61,54033,54033
West Virginia,Romney,1745,1745,1764,-0.00228702,City,1749,1651,1.057,39.3445,-78.7558,62,54003,54003
West Virginia,Stonewood,1728,1728,1805,-0.00860585,City,1743,2031,0.851,39.2501,-80.3054,63,54033,54033
West Virginia,St. Marys,1715,1715,1832,-0.0132336,City,1738,1675,1.024,39.3944,-81.2037,64,54107,54107
