state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Wisconsin,Milwaukee,550837,550837,577207,-0.00948372,City,556111,5728,96.173,43.0633,-87.9667,1,55079,55079
Wisconsin,Madison,283705,283705,275204,0.00602826,City,282005,3415,83.088,43.0878,-89.4299,2,55025,55025
Wisconsin,Green Bay,104726,104726,107271,-0.00483679,City,105235,2303,45.479,44.5215,-87.9866,3,55009,55009
Wisconsin,Kenosha,97079,97079,99909,-0.00579651,City,97645,3389,28.643,42.5875,-87.88,4,55059,55059
Wisconsin,Racine,75875,75875,77692,-0.0047614,City,76238,4904,15.472,42.7256,-87.8142,5,55101,55101
Wisconsin,Appleton,74061,74061,75705,-0.00442264,City,74390,2924,25.329,44.2789,-88.3883,6,55087,55087
Wisconsin,Eau Claire,71230,71230,69510,0.00485286,City,70886,2075,34.327,44.8183,-91.4948,7,55035,55035
Wisconsin,Waukesha,69954,69954,71183,-0.00350427,City,70200,2741,25.523,43.0091,-88.2451,8,55133,55133
Wisconsin,Janesville,66390,66390,65670,0.00217372,City,66246,1929,34.424,42.6847,-89.0132,9,55105,55105
Wisconsin,Oshkosh,65790,65790,66774,-0.00298544,City,65987,2430,27.071,44.0232,-88.5623,10,55139,55139
Wisconsin,West Allis,57952,57952,60257,-0.00789208,City,58413,5092,11.381,43.0072,-88.029,11,55079,55079
Wisconsin,La Crosse,50429,50429,52673,-0.00882503,City,50878,2323,21.711,43.8247,-91.2246,12,55063,55063
Wisconsin,Sheboygan,49532,49532,49916,-0.00155214,City,49609,3099,15.984,43.7387,-87.7315,13,55117,55117
Wisconsin,Wauwatosa,46177,46177,48329,-0.00922608,City,46607,3491,13.227,43.0632,-88.0356,14,55079,55079
Wisconsin,Fond Lac,44026,44026,44711,-0.00310214,City,44163,2289,19.237,43.7722,-88.4403,15,55139,55139
Wisconsin,Brookfield,42151,42151,41483,0.00318918,City,42017,1543,27.322,43.0643,-88.1178,16,55133,55133
Wisconsin,Menomonee Falls,40438,40438,38593,0.00920911,Village,40069,1229,32.895,43.1594,-88.1216,17,55133,55133
Wisconsin,New Berlin,40112,40112,40482,-0.00184144,City,40186,1101,36.426,42.972,-88.1292,18,55133,55133
Wisconsin,Wausau,39928,39928,40027,-0.00050065,City,39948,2077,19.228,44.9618,-89.6465,19,55073,55073
Wisconsin,Sun Prairie,39101,39101,36073,0.0157423,City,38495,2986,13.094,43.1826,-89.2378,20,55025,55025
Wisconsin,Oak Creek,37593,37593,36500,0.00585969,City,37374,1322,28.447,42.8787,-87.8987,21,55079,55079
Wisconsin,Greenfield,36360,36360,37749,-0.00758775,City,36638,3153,11.532,42.9606,-88.0057,22,55079,55079
Wisconsin,Beloit,36118,36118,36677,-0.00309136,City,36230,2083,17.339,42.5235,-89.0177,23,55105,55105
Wisconsin,Franklin,35045,35045,36144,-0.00623848,City,35265,1014,34.575,42.8839,-88.0116,24,55079,55079
Wisconsin,Manitowoc,34524,34524,34633,-0.000636832,City,34546,1923,17.949,44.098,-87.6789,25,55117,55117
Wisconsin,Fitchburg,33142,33142,30996,0.0131141,City,32713,941,35.212,42.9858,-89.4253,26,55025,55025
Wisconsin,West Bend,32006,32006,31706,0.00187817,City,31946,2055,15.574,43.4175,-88.1817,27,55133,55133
Wisconsin,Mount Pleasant,27735,27735,27714,0.000144242,Village,27731,819,33.884,42.7088,-87.8849,28,55101,55101
Wisconsin,Neenah,27506,27506,27373,0.000982568,City,27479,2892,9.512,44.1649,-88.4796,29,55087,55087
Wisconsin,Superior,26193,26193,26767,-0.00437129,City,26308,715,36.622,46.6921,-92.0804,30,55035,55035
Wisconsin,Stevens Point,25789,25789,25696,0.000737291,City,25770,1491,17.302,44.5253,-89.5504,31,55073,55073
Wisconsin,Mequon,25681,25681,25201,0.0037522,City,25585,555,46.283,43.2114,-88.0142,32,55079,55079
Wisconsin,Muskego,25464,25464,25084,0.00299354,City,25388,806,31.601,42.8714,-88.1343,33,55133,55133
Wisconsin,Caledonia,25320,25320,25335,-0.000118469,Village,25323,560,45.198,42.7974,-87.8774,34,55101,55101
Wisconsin,De Pere,25290,25290,25435,-0.00114538,City,25319,2115,11.956,44.431,-88.0799,35,55009,55009
Wisconsin,Middleton,23705,23705,21859,0.0158125,City,23336,2521,9.402,43.107,-89.5063,36,55025,55025
Wisconsin,Watertown,22530,22530,22935,-0.00358233,City,22611,1868,12.064,43.1894,-88.7289,37,55133,55133
Wisconsin,Pleasant Prairie,22138,22138,21338,0.00728001,Village,21978,663,33.376,42.5267,-87.8883,38,55059,55059
Wisconsin,Howard,21287,21287,20006,0.0121725,Village,21031,1154,18.449,44.5686,-88.0717,39,55009,55009
Wisconsin,Germantown,21112,21112,20882,0.00218361,Village,21066,614,34.381,43.2345,-88.125,40,55133,55133
Wisconsin,South Milwaukee,19835,19835,20775,-0.0093892,City,20023,4110,4.826,42.9126,-87.8623,41,55079,55079
Wisconsin,Onalaska,19118,19118,18868,0.00262219,City,19068,1802,10.612,43.8897,-91.2044,42,55063,55063
Wisconsin,Oconomowoc,18973,18973,18245,0.00775482,City,18827,1613,11.762,43.1004,-88.4927,43,55133,55133
Wisconsin,Fox Crossing,18905,18905,19010,-0.00110958,Village,18926,1496,12.641,44.2236,-88.4791,44,55087,55087
Wisconsin,Marshfield,18600,18600,18940,-0.0036426,City,18668,1348,13.801,44.6633,-90.1717,45,55073,55073
Wisconsin,Wisconsin Rapids,18532,18532,18877,-0.00370948,City,18601,1334,13.894,44.3929,-89.8268,46,55073,55073
Wisconsin,Menasha,17943,17943,18257,-0.00349883,City,18006,2969,6.044,44.2123,-88.4274,47,55087,55087
Wisconsin,Kaukauna,17746,17746,17113,0.00720813,City,17619,2215,8.01,44.2768,-88.2639,48,55087,55087
Wisconsin,Cudahy,17390,17390,18180,-0.00900387,City,17548,3643,4.774,42.9467,-87.864,49,55079,55079
