state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
Wyoming,Cheyenne,65114,65114,65249.0,-0.000414485,City,65141,1792,36.336,41.1273,-104.79,1,56021,56021
Wyoming,Casper,58327,58327,59309.0,-0.00334911,City,58523,2180,26.753,42.8421,-106.321,2,56025,56025
Wyoming,Gillette,33506,33506,33481.0,0.000149249,City,33501,1445,23.189,44.2726,-105.499,3,56005,56005
Wyoming,Laramie,32638,32638,31423.0,0.00750116,City,32395,1774,18.399,41.306,-105.609,4,56001,56001
Wyoming,Rock Springs,22595,22595,23492.0,-0.00785984,City,22774,1144,19.753,41.5947,-109.221,5,56037,56037
Wyoming,Sheridan,20060,20060,18767.0,0.0130801,City,19801,1582,12.684,44.7962,-106.964,6,56033,56033
Wyoming,Evanston,11837,11837,11761.0,0.00126882,City,11822,1154,10.259,41.2601,-110.964,7,56041,56041
Wyoming,Green River,11289,11289,11806.0,-0.00904143,City,11392,818,13.808,41.5129,-109.471,8,56037,56037
Wyoming,Riverton,11085,11085,10680.0,0.00736096,City,11004,1072,10.34,43.0263,-108.381,9,56013,56013
Wyoming,Jackson,10543,10543,10783.0,-0.00453215,Town,10591,3561,2.961,43.4719,-110.775,10,56039,56039
Wyoming,Cody,10370,10370,10045.0,0.00630762,City,10305,1012,10.244,44.5212,-109.057,11,56029,56029
Wyoming,Rawlins,7904,7904,8223.0,-0.00803213,City,7968,958,8.248,41.7851,-107.225,12,56007,56007
Wyoming,Lander,7665,7665,7539.0,0.00327225,City,7640,817,9.382,42.8313,-108.76,13,56013,56013
Wyoming,Powell,6530,6530,6424.0,0.0032263,City,6509,1523,4.288,44.7618,-108.758,14,56003,56003
Wyoming,Douglas,6493,6493,6382.0,0.00339978,City,6471,984,6.598,42.7548,-105.398,15,56009,56009
Wyoming,Torrington,6268,6268,6128.0,0.00448718,City,6240,1655,3.788,42.065,-104.174,16,56015,56015
Wyoming,Ranchettes,5714,5714,6384.0,-0.00104895,CDP,5720,117,48.781,41.2188,-104.773,17,56021,56021
Wyoming,Worland,4806,4806,4753.0,0.00229406,City,4795,1048,4.588,44.0204,-107.962,18,56043,56043
Wyoming,Buffalo,4749,4749,4428.0,0.0136606,City,4685,1046,4.54,44.3385,-106.715,19,56019,56019
Wyoming,Mills,4711,4711,4226.0,0.021023,Town,4614,925,5.093,42.8499,-106.391,20,56025,56025
Wyoming,Fox Farm-College,4371,4371,4105.0,0.0113373,CDP,4322,1451,3.013,41.1106,-104.787,21,56021,56021
Wyoming,South Greeley,3679,3679,4473.0,-0.00969044,CDP,3715,2204,1.669,41.0931,-104.807,22,56021,56021
Wyoming,Wheatland,3453,3453,3593.0,-0.00804367,Town,3481,840,4.111,42.0517,-104.959,23,56031,56031
Wyoming,Newcastle,3305,3305,3357.0,-0.00301659,City,3315,1291,2.561,43.8503,-104.196,24,56045,56045
Wyoming,Bar Nunn,2997,2997,3006.0,-0.000666888,Town,2999,1428,2.099,42.922,-106.347,25,56025,56025
Wyoming,Warren AFB,2777,2777,2997.0,-0.00715052,CDP,2797,593,4.683,41.1471,-104.862,26,56021,56021
Wyoming,Evansville,2774,2774,2783.0,-0.000720461,Town,2776,706,3.927,42.876,-106.268,27,56025,56025
Wyoming,Thermopolis,2755,2755,2722.0,0.00254731,Town,2748,1154,2.387,43.6476,-108.215,28,56017,56017
Wyoming,North Rock Springs,2610,2610,2727.0,0.010453,CDP,2583,177,14.757,41.6691,-109.288,29,56037,56037
Wyoming,Lovell,2423,2423,2240.0,0.0155071,Town,2386,2199,1.102,44.8358,-108.392,30,56003,56003
Wyoming,Glenrock,2422,2422,2419.0,0.000413052,Town,2421,1051,2.304,42.8565,-105.862,31,56009,56009
Wyoming,Kemmerer,2379,2379,2413.0,-0.00293378,City,2386,305,7.801,41.7785,-110.553,32,56023,56023
Wyoming,Afton,2334,2334,2173.0,0.013901,Town,2302,526,4.439,42.7263,-110.932,33,56023,56023
Wyoming,Lyman,2221,2221,2140.0,0.00725623,Town,2205,1413,1.572,41.3275,-110.297,34,56041,56041
Wyoming,Star Valley Ranch,2155,2155,1872.0,0.0271687,Town,2098,794,2.715,42.9797,-110.964,35,56023,56023
Wyoming,Pinedale,2052,2052,2006.0,0.00440529,Town,2043,948,2.164,42.8676,-109.871,36,56035,56035
Wyoming,Hoback,2048,2048,2103.0,0.0291457,CDP,1990,47,43.455,43.3076,-110.745,37,56039,56039
Wyoming,South Park,1941,1941,1999.0,0.00726518,CDP,1927,170,11.45,43.4255,-110.799,38,56039,56039
Wyoming,Saratoga,1789,1789,1696.0,0.0107345,Town,1770,526,3.398,41.4524,-106.812,39,56007,56007
Wyoming,Greybull,1753,1753,1643.0,0.0127094,Town,1731,792,2.214,44.4865,-108.056,40,56003,56003
Wyoming,Wright,1655,1655,1649.0,0.000604594,Town,1654,545,3.039,43.7492,-105.495,41,56005,56005
Wyoming,Arapahoe,1581,1581,1701.0,-0.00315258,CDP,1586,57,27.639,42.9926,-108.453,42,56013,56013
Wyoming,Grover,1562,1562,875.0,0.0640327,CDP,1468,331,4.72,42.802,-110.941,43,56023,56023
Wyoming,Ethete,1451,1451,1644.0,-0.00411805,CDP,1457,45,32.509,43.0008,-108.723,44,56013,56013
Wyoming,Fort Washakie,1411,1411,1732.0,-0.0167247,CDP,1435,68,20.889,43.0069,-108.92,45,56013,56013
