"slug","city","population","pop2025","pop2020","growth","type","pop2024","densityMi","areaMi","lat","lng","rank"
"illinois/chicago","Chicago",2611867,2611867,2743329,-0.00996604,"City",2638159,11468,227.748,41.837,-87.6849,1
"illinois/aurora","Aurora",175795,175795,180215,-0.00500342,"City",176679,3902,45.051,41.7635,-88.2901,2
"illinois/naperville","Naperville",150795,150795,149419,0.001827,"City",150520,3851,39.157,41.7492,-88.162,3
"illinois/joliet","Joliet",150647,150647,150251,0.000524679,"City",150568,2278,66.123,41.5177,-88.1488,4
"illinois/rockford","Rockford",144420,144420,148670,-0.00585117,"City",145270,2219,65.084,42.2588,-89.0646,5
"illinois/elgin","Elgin",112438,112438,114617,-0.00386271,"City",112874,2948,38.143,42.039,-88.3257,6
"illinois/springfield","Springfield",111374,111374,114298,-0.00522513,"City",111959,1818,61.261,39.7911,-89.6446,7
"illinois/peoria","Peoria",108870,108870,112845,-0.00724935,"City",109665,2262,48.125,40.7516,-89.6172,8
"illinois/champaign","Champaign",89736,89736,88368,0.00306275,"City",89462,3897,23.026,40.1141,-88.2746,9
"illinois/waukegan","Waukegan",86657,86657,89119,-0.0056455,"City",87149,3578,24.217,42.3694,-87.8709,10
"illinois/bloomington","Bloomington",78521,78521,78685,-0.000420093,"City",78554,2896,27.112,40.4758,-88.9699,11
"illinois/cicero","Cicero",78409,78409,84896,-0.0162723,"Town",79706,13369,5.865,41.8445,-87.7593,12
"illinois/bolingbrook","Bolingbrook",74265,74265,73822,0.00119985,"Village",74176,2983,24.897,41.6881,-88.101,13
"illinois/schaumburg","Schaumburg",73970,73970,78419,-0.0118889,"Village",74860,3824,19.346,42.0289,-88.0838,14
"illinois/evanston","Evanston",73240,73240,77814,-0.012339,"City",74155,9415,7.779,42.0464,-87.6944,15
"illinois/arlington-heights","Arlington Heights",72545,72545,77420,-0.0132617,"Village",73520,4367,16.613,42.0974,-87.9817,16
"illinois/decatur","Decatur",67165,67165,70927,-0.0110723,"City",67917,1545,43.476,39.856,-88.9337,17
"illinois/skokie","Skokie",63105,63105,67685,-0.0143078,"Village",64021,6270,10.064,42.036,-87.74,18
"illinois/palatine","Palatine",62996,62996,67678,-0.0146406,"Village",63932,4463,14.116,42.1165,-88.0444,19
"illinois/des-plaines","Des Plaines",56380,56380,60455,-0.0142495,"City",57195,3960,14.238,42.0344,-87.9011,20
"illinois/orland-park","Orland Park",56094,56094,58543,-0.00865969,"Village",56584,2546,22.028,41.6081,-87.8593,21
"illinois/oak-lawn","Oak Lawn",54125,54125,58147,-0.0146371,"Village",54929,6315,8.571,41.7139,-87.7528,22
"illinois/mount-prospect","Mount Prospect",52701,52701,56693,-0.0149162,"Village",53499,4917,10.719,42.0642,-87.9374,23
"illinois/berwyn","Berwyn",52694,52694,56993,-0.0160586,"City",53554,13497,3.904,41.8433,-87.7909,24
"illinois/tinley-park","Tinley Park",52594,52594,55824,-0.0121337,"Village",53240,3253,16.166,41.5686,-87.8042,25
"illinois/normal","Normal",52528,52528,52752,-0.000855952,"Town",52573,2847,18.451,40.5197,-88.9907,26
"illinois/wheaton","Wheaton",52354,52354,53814,-0.00554648,"City",52646,4626,11.318,41.8568,-88.1081,27
"illinois/oak-park","Oak Park",50510,50510,54372,-0.015054,"Village",51282,10747,4.7,41.8872,-87.7899,28
"illinois/downers-grove","Downers Grove",49425,49425,50127,-0.00282457,"Village",49565,3373,14.652,41.795,-88.0211,29
"illinois/plainfield","Plainfield",49111,49111,44953,0.0172332,"Village",48279,1928,25.476,41.6303,-88.2453,30
"illinois/hoffman-estates","Hoffman Estates",48711,48711,52380,-0.0148448,"Village",49445,2363,20.613,42.0652,-88.153,31
"illinois/glenview","Glenview",45811,45811,48543,-0.0117782,"Village",46357,3166,14.469,42.0852,-87.8274,32
"illinois/elmhurst","Elmhurst",45074,45074,45728,-0.00289791,"City",45205,4411,10.218,41.897,-87.9437,33
"illinois/lombard","Lombard",43369,43369,44393,-0.00470464,"Village",43574,4269,10.16,41.8738,-88.0155,34
"illinois/buffalo-grove","Buffalo Grove",42080,42080,43085,-0.00475391,"Village",42281,4402,9.559,42.166,-87.9618,35
"illinois/moline","Moline",41343,41343,42897,-0.00746627,"City",41654,2468,16.753,41.4823,-90.4934,36
"illinois/crystal-lake","Crystal Lake",41282,41282,40229,0.00513744,"City",41071,2174,18.985,42.2332,-88.3344,37
"illinois/romeoville","Romeoville",41055,41055,40805,0.00121936,"Village",41005,2125,19.318,41.6279,-88.1012,38
"illinois/dekalb","DeKalb",40205,40205,40219,-0.000074612,"City",40208,2320,17.33,41.9289,-88.7464,39
"illinois/belleville","Belleville",39699,39699,42266,-0.0127574,"City",40212,1709,23.233,38.516,-89.9898,40
"illinois/bartlett","Bartlett",39308,39308,41018,-0.00862547,"Village",39650,2491,15.777,41.9606,-88.1777,41
"illinois/oswego","Oswego",38640,38640,34724,0.0206831,"Village",37857,2542,15.198,41.6832,-88.3389,42
"illinois/carol-stream","Carol Stream",38433,38433,39765,-0.00687356,"Village",38699,4212,9.124,41.9203,-88.1332,43
"illinois/quincy","Quincy",38398,38398,39410,-0.00523316,"City",38600,2435,15.767,39.9337,-91.3793,44
"illinois/urbana","Urbana",38196,38196,38228,-0.000157059,"City",38202,3226,11.841,40.1101,-88.1973,45
"illinois/park-ridge","Park Ridge",36830,36830,39497,-0.0142654,"City",37363,5196,7.088,42.0118,-87.8434,46
"illinois/wheeling","Wheeling",36751,36751,39185,-0.013078,"Village",37238,4238,8.672,42.1296,-87.9215,47
"illinois/streamwood","Streamwood",36678,36678,39432,-0.0148003,"Village",37229,4697,7.808,42.0206,-88.1778,48
"illinois/carpentersville","Carpentersville",36559,36559,37909,-0.00733118,"Village",36829,4648,7.865,42.1227,-88.2939,49
"illinois/rock-island","Rock Island",35540,35540,37019,-0.00825985,"City",35836,2107,16.871,41.4702,-90.5831,50
"illinois/hanover-park","Hanover Park",35376,35376,37348,-0.0110148,"Village",35770,5509,6.422,41.9825,-88.1429,51
"illinois/addison","Addison",34852,34852,35639,-0.00448456,"Village",35009,3546,9.828,41.9308,-88.009,52
"illinois/calumet-city","Calumet City",33328,33328,35902,-0.0152173,"City",33843,4630,7.199,41.5965,-87.5386,53
"illinois/northbrook","Northbrook",33225,33225,35105,-0.0111901,"Village",33601,2509,13.243,42.1287,-87.8352,54
"illinois/woodridge","Woodridge",33203,33203,34110,-0.00542176,"Village",33384,3447,9.632,41.7374,-88.0441,55
"illinois/st-charles","St. Charles",32400,32400,33034,-0.00390445,"City",32527,2241,14.459,41.9194,-88.3107,56
"illinois/mundelein","Mundelein",31961,31961,31533,0.00269804,"Village",31875,3289,9.718,42.2691,-88.0115,57
"illinois/glendale-heights","Glendale Heights",31946,31946,33103,-0.00717904,"Village",32177,5923,5.394,41.9189,-88.0781,58
"illinois/ofallon","O'Fallon",31742,31742,32307,-0.00354732,"City",31855,2010,15.791,38.6,-89.9154,59
"illinois/pekin","Pekin",30756,30756,31681,-0.00597912,"City",30941,1956,15.72,40.5688,-89.6251,60
"illinois/elk-grove-village","Elk Grove Village",30449,30449,32701,-0.0145636,"Village",30899,2633,11.564,42.005,-87.992,61
"illinois/algonquin","Algonquin",30439,30439,29676,0.00505184,"Village",30286,2428,12.539,42.1595,-88.3219,62
"illinois/highland-park","Highland Park",30350,30350,30155,0.00128666,"City",30311,2481,12.234,42.1824,-87.8108,63
"illinois/north-chicago","North Chicago",30218,30218,30712,-0.00326549,"City",30317,3780,7.995,42.3167,-87.8592,64
"illinois/gurnee","Gurnee",29885,29885,30654,-0.00512667,"Village",30039,2211,13.514,42.3701,-87.9368,65
"illinois/mchenry","McHenry",28858,28858,27340,0.0106465,"City",28554,1946,14.829,42.3362,-88.2916,66
"illinois/niles","Niles",28661,28661,30791,-0.0146457,"Village",29087,4901,5.848,42.0279,-87.81,67
"illinois/huntley","Huntley",28604,28604,27766,0.005908,"Village",28436,1952,14.652,42.1608,-88.4355,68
"illinois/galesburg","Galesburg",28587,28587,29944,-0.00939081,"City",28858,1610,17.76,40.9502,-90.3766,69
"illinois/new-lenox","New Lenox",28573,28573,27258,0.00929,"Village",28310,1813,15.756,41.51,-87.97,70
"illinois/lake-hills","Lake Hills",28483,28483,28927,-0.00311494,"Village",28572,2791,10.205,42.1794,-88.3155,71
"illinois/glen-ellyn","Glen Ellyn",27999,27999,28869,-0.00617613,"Village",28173,4063,6.892,41.8667,-88.0627,72
"illinois/danville","Danville",27590,27590,29130,-0.0110402,"City",27898,1545,17.856,40.1426,-87.6107,73
"illinois/burbank","Burbank",27382,27382,29337,-0.0140784,"City",27773,6566,4.17,41.7444,-87.7685,74
"illinois/lansing","Lansing",26880,26880,28962,-0.0152403,"Village",27296,3602,7.462,41.565,-87.546,75
"illinois/lockport","Lockport",26795,26795,26149,0.00483762,"City",26666,2286,11.721,41.591,-88.0297,76
"illinois/yorkville","Yorkville",26701,26701,21681,0.0390707,"City",25697,1335,19.997,41.6617,-88.4286,77
"illinois/edwardsville","Edwardsville",26628,26628,26803,-0.00131268,"City",26663,1333,19.981,38.7908,-89.9886,78
"illinois/vernon-hills","Vernon Hills",26579,26579,26823,-0.00184017,"Village",26628,3435,7.737,42.2344,-87.9611,79
"illinois/granite-city","Granite City",26502,26502,27516,-0.00760157,"City",26705,1394,19.015,38.7293,-90.1255,80
"illinois/round-lake-beach","Round Lake Beach",26502,26502,27204,-0.00525486,"Village",26642,5254,5.044,42.3824,-88.0807,81
"illinois/wilmette","Wilmette",26326,26326,28075,-0.0131204,"Village",26676,4874,5.401,42.0773,-87.7286,82
"illinois/batavia","Batavia",26181,26181,26316,-0.00103022,"City",26208,2407,10.879,41.8477,-88.3111,83
"illinois/woodstock","Woodstock",25761,25761,25605,0.00120482,"City",25730,1954,13.187,42.3095,-88.4353,84
"illinois/oak-forest","Oak Forest",25424,25424,27361,-0.0149936,"City",25811,4220,6.025,41.6067,-87.7533,85
"illinois/chicago-heights","Chicago Heights",25397,25397,27364,-0.0152385,"City",25790,2470,10.283,41.5107,-87.6347,86
"illinois/belvidere","Belvidere",25306,25306,25283,0.00019762,"City",25301,2022,12.514,42.2654,-88.8878,87
"illinois/west-chicago","West Chicago",24817,24817,25564,-0.00596812,"City",24966,1612,15.392,41.8945,-88.2211,88
"illinois/alton","Alton",24604,24604,25608,-0.0081032,"City",24805,1570,15.671,38.9039,-90.1512,89
"illinois/homer-glen","Homer Glen",24573,24573,24505,0.000570055,"Village",24559,1107,22.207,41.6052,-87.9524,90
"illinois/south-elgin","South Elgin",24560,24560,23852,0.00581538,"Village",24418,3379,7.268,41.9903,-88.3143,91
"illinois/zion","Zion",23926,23926,24626,-0.00581734,"City",24066,2409,9.931,42.4599,-87.8511,92
"illinois/westmont","Westmont",23632,23632,24384,-0.00630729,"Village",23782,4712,5.015,41.7944,-87.9729,93
"illinois/collinsville","Collinsville",23413,23413,24327,-0.00775555,"City",23596,1536,15.241,38.6757,-90.0058,94
"illinois/morton-grove","Morton Grove",23412,23412,25209,-0.0151024,"Village",23771,4601,5.088,42.0423,-87.789,95
"illinois/loves-park","Loves Park",23289,23289,23404,-0.000986616,"City",23312,1427,16.325,42.3378,-88.9986,96
"illinois/kankakee","Kankakee",23168,23168,24005,-0.00715663,"City",23335,1530,15.145,41.1017,-87.8637,97
"illinois/melrose-park","Melrose Park",22968,22968,24713,-0.0149676,"Village",23317,5276,4.353,41.903,-87.8636,98
"illinois/montgomery","Montgomery",22968,22968,20435,0.0225725,"Village",22461,2391,9.605,41.721,-88.3581,99
"illinois/lisle","Lisle",22922,22922,23671,-0.00650139,"Village",23072,3324,6.896,41.7921,-88.0877,100
"illinois/rolling-meadows","Rolling Meadows",22814,22814,24101,-0.0111395,"City",23071,4062,5.616,42.0749,-88.0254,101
"illinois/elmwood-park","Elmwood Park",22666,22666,24423,-0.0152496,"Village",23017,11879,1.908,41.9225,-87.8163,102
"illinois/freeport","Freeport",22629,22629,23896,-0.0110567,"City",22882,1907,11.867,42.289,-89.6343,103
"illinois/maywood","Maywood",22526,22526,23410,-0.00779633,"Village",22703,8291,2.717,41.8798,-87.8442,104
"illinois/machesney-park","Machesney Park",22428,22428,22932,-0.00448311,"Village",22529,1768,12.685,42.3677,-89.0245,105
"illinois/bloomingdale","Bloomingdale",22260,22260,22354,-0.000852821,"Village",22279,3290,6.766,41.9515,-88.0891,106
"illinois/roselle","Roselle",22232,22232,22921,-0.00616898,"Village",22370,4020,5.53,41.9802,-88.0859,107
"illinois/east-peoria","East Peoria",21731,21731,22433,-0.00640117,"City",21871,1051,20.684,40.6734,-89.5418,108
"illinois/darien","Darien",21497,21497,21999,-0.00463027,"City",21597,3485,6.168,41.7457,-87.9815,109
"illinois/villa-park","Villa Park",21407,21407,22206,-0.00741874,"Village",21567,4533,4.722,41.8856,-87.9782,110
"illinois/carbondale","Carbondale",21393,21393,21890,-0.00460637,"City",21492,1224,17.479,37.7221,-89.2237,111
"illinois/frankfort","Frankfort",21301,21301,20315,0.00933472,"Village",21104,1364,15.615,41.507,-87.871,112
"illinois/geneva","Geneva",20981,20981,21350,-0.0035146,"City",21055,2103,9.976,41.8821,-88.3295,113
"illinois/blue-island","Blue Island",20844,20844,22468,-0.0153526,"City",21169,5120,4.071,41.6576,-87.6811,114
"illinois/grayslake","Grayslake",20779,20779,21216,-0.00416946,"Village",20866,1904,10.914,42.3408,-88.0336,115
"illinois/east-moline","East Moline",20462,20462,21322,-0.00833576,"City",20634,1402,14.596,41.5199,-90.3879,116
"illinois/park-forest","Park Forest",20195,20195,21614,-0.0138679,"Village",20479,4071,4.961,41.4817,-87.6868,117
"illinois/libertyville","Libertyville",20181,20181,20558,-0.00370261,"Village",20256,2291,8.808,42.2847,-87.9665,118
"illinois/crest-hill","Crest Hill",19920,19920,20415,-0.0049453,"City",20019,2219,8.976,41.5744,-88.1133,119
"illinois/south-holland","South Holland",19884,19884,21381,-0.0148144,"Village",20183,2748,7.236,41.5984,-87.6027,120
"illinois/dolton","Dolton",19797,19797,21329,-0.0152216,"Village",20103,4331,4.571,41.6303,-87.5968,121
"illinois/mokena","Mokena",19692,19692,19859,-0.001673,"Village",19725,2256,8.73,41.5299,-87.8777,122
"illinois/lake-zurich","Lake Zurich",19623,19623,19755,-0.00132322,"Village",19649,2834,6.923,42.195,-88.0877,123
"illinois/north-aurora","North Aurora",19513,19513,18285,0.0127679,"Village",19267,2575,7.578,41.8087,-88.342,124
"illinois/lake-forest","Lake Forest",19360,19360,19345,0.000154982,"City",19357,1126,17.201,42.2354,-87.8573,125
"illinois/harvey","Harvey",18827,18827,20251,-0.0149121,"City",19112,3034,6.206,41.6076,-87.652,126
"illinois/sycamore","Sycamore",18752,18752,18576,0.00186996,"City",18717,1853,10.122,41.9967,-88.6776,127
"illinois/deerfield","Deerfield",18704,18704,19154,-0.00478876,"Village",18794,3377,5.539,42.1661,-87.8525,128
"illinois/ottawa","Ottawa",18691,18691,18843,-0.00160248,"City",18721,1255,14.895,41.354,-88.8234,129
"illinois/shorewood","Shorewood",18495,18495,18179,0.00341797,"Village",18432,2288,8.085,41.5175,-88.2152,130
"illinois/evergreen-park","Evergreen Park",18441,18441,19863,-0.0151669,"Village",18725,5830,3.163,41.7213,-87.7013,131
"illinois/round-lake","Round Lake",18255,18255,18692,-0.00474321,"Village",18342,3283,5.56,42.3432,-88.1021,132
"illinois/cary","Cary",18092,18092,17804,0.00321615,"Village",18034,2777,6.516,42.2121,-88.2496,133
"illinois/bensenville","Bensenville",18083,18083,18755,-0.00735577,"Village",18217,3269,5.532,41.958,-87.9438,134
"illinois/brookfield","Brookfield",18054,18054,19396,-0.0146272,"Village",18322,5892,3.064,41.8251,-87.8475,135
"illinois/bourbonnais","Bourbonnais",18000,18000,18104,-0.00116531,"Village",18021,1934,9.309,41.183,-87.8785,136
"illinois/homewood","Homewood",17981,17981,19378,-0.0152793,"Village",18260,3447,5.216,41.5594,-87.662,137
"illinois/matteson","Matteson",17810,17810,19017,-0.0133511,"Village",18051,1918,9.288,41.5089,-87.746,138
"illinois/morton","Morton",17711,17711,17106,0.00687891,"Village",17590,1381,12.826,40.6137,-89.4668,139
"illinois/alsip","Alsip",17668,17668,18993,-0.0147772,"Village",17933,2706,6.528,41.6703,-87.7371,140
"illinois/franklin-park","Franklin Park",17519,17519,18399,-0.00994631,"Village",17695,3667,4.777,41.936,-87.8792,141
