state,city,population,pop2025,pop2020,growth,type,pop2024,densityMi,areaMi,lat,lng,rank,fips_code,geo_id
South Carolina,Charleston,158367,158367,150872.0,0.0095558,City,156868,1376,115.053,32.828,-79.9729,1,45019,45019
South Carolina,Columbia,146563,146563,136195.0,0.014354,City,144489,1060,138.264,34.0405,-80.9061,2,45079,45079
South Carolina,North Charleston,125414,125414,115551.0,0.0159833,City,123441,1615,77.632,32.9179,-80.065,3,45019,45019
South Carolina,Mount Pleasant,97903,97903,91225.0,0.013835,Town,96567,1972,49.65,32.8084,-79.865,4,45019,45019
South Carolina,Rock Hill,76289,76289,74701.0,0.00418581,City,75971,1721,44.329,34.9382,-81.0192,5,45091,45091
South Carolina,Greenville,73964,73964,71114.0,0.0077663,City,73394,2459,30.078,34.8369,-82.363,6,45045,45045
South Carolina,Summerville,52406,52406,51101.0,0.00500527,Town,52145,2324,22.547,33.0058,-80.1793,7,45015,45015
South Carolina,Goose Creek,51248,51248,46250.0,0.0199013,City,50248,1207,42.442,32.9943,-80.0066,8,45019,45019
South Carolina,Greer,50113,50113,35797.0,0.0605926,City,47250,2135,23.473,34.9333,-82.2308,9,45045,45045
South Carolina,Sumter,42330,42330,43420.0,-0.00512363,City,42548,1282,33.029,33.9408,-80.3955,10,45079,45079
South Carolina,Myrtle Beach,42179,42179,35973.0,0.0303141,City,40938,1802,23.413,33.7104,-78.886,11,45051,45051
South Carolina,Florence,40950,40950,40097.0,0.00419333,City,40779,1672,24.489,34.1789,-79.7922,12,45051,45051
South Carolina,Bluffton,39846,39846,28338.0,0.0613147,Town,37544,764,52.129,32.2145,-80.9295,13,45013,45013
South Carolina,Spartanburg,39328,39328,38608.0,0.00367497,City,39184,1942,20.253,34.9456,-81.9259,14,45083,45083
South Carolina,Fort Mill,39251,39251,25188.0,0.0771996,Town,36438,1991,19.711,35.006,-80.94,15,45091,45091
South Carolina,Hilton Head Island,38437,38437,37587.0,0.00444247,Town,38267,929,41.353,32.1903,-80.7384,16,45013,45013
South Carolina,Aiken,33485,33485,32139.0,0.00809851,City,33216,1547,21.648,33.5316,-81.7251,17,45063,45063
South Carolina,Carolina Forest,31029,31029,23426.0,0.0714434,CDP,28960,1845,16.815,33.7664,-78.9135,18,45051,45051
South Carolina,Anderson,30316,30316,29476.0,0.00557251,City,30148,1894,16.007,34.5215,-82.6435,19,45007,45007
South Carolina,Mauldin,30166,30166,24776.0,0.03706,City,29088,2435,12.389,34.781,-82.3042,20,45045,45045
South Carolina,Simpsonville,30109,30109,23601.0,0.0451973,City,28807,3181,9.466,34.729,-82.2575,21,45045,45045
South Carolina,Conway,29891,29891,25125.0,0.0329325,City,28938,1211,24.692,33.8419,-79.0457,22,45051,45051
South Carolina,Easley,28620,28620,23035.0,0.0406138,City,27503,2176,13.153,34.8198,-82.5822,23,45045,45045
South Carolina,North Augusta,26827,26827,24487.0,0.0177548,City,26359,1260,21.287,33.5233,-81.9566,24,45063,45063
South Carolina,Lexington,25766,25766,23653.0,0.016691,Town,25343,2153,11.97,33.9929,-81.2218,25,45063,45063
South Carolina,Socastee,25592,25592,25846.0,0.0149112,CDP,25216,1915,13.366,33.6874,-79.0089,26,45051,45051
South Carolina,Taylors,23352,23352,23107.0,0.00499225,CDP,23236,2211,10.561,34.9143,-82.3139,27,45045,45045
South Carolina,Hanahan,22578,22578,20622.0,0.0176229,City,22187,2136,10.572,32.9306,-80.0036,28,45019,45019
