zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL,Detail URL,Search Page URL,fips_code,geo_id
450092857,FOR_RENT,Apartment for rent,,1649.0,300.0,5.0,,,,,,,1.0,"Mobile - Daphne, 29838 Frederick Blvd, Daphne, AL 36526",29838 Frederick Blvd #8072,Daphne,AL,36526,30.660942,-87.86137,,False,,,https://photos.zillowstatic.com/fp/5eaad151c115522462d0a9908cc9af85-p_e.jpg,https://www.zillow.com/apartments/daphne-al/mobile-daphne/CmBNsM/,https://www.zillow.com/al/rentals/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A30.68285333060101%2C%22south%22%3A30.203352240553674%2C%22east%22%3A-87.5006975559175%2C%22west%22%3A-88.30407280005812%7D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22usersSearchTerm%22%3A%22AL%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A4%2C%22regionType%22%3A2%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A11%7D,,
2060756847,FOR_RENT,Apartment for rent,,1206.0,866.0,1.0,,,1227.0,,,1.0,1.0,"Timber Ridge Apartments, 6700 Wall St #2R, Mobile, AL 36695",6700 Wall St #2R,Mobile,AL,36695,30.669733,-88.1971,,False,,,https://photos.zillowstatic.com/fp/cf56e2d391d562218728c7ad11ac867f-p_e.jpg,https://www.zillow.com/apartments/mobile-al/timber-ridge-apartments/5XjwhC/,https://www.zillow.com/al/rentals/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A30.68285333060101%2C%22south%22%3A30.203352240553674%2C%22east%22%3A-87.5006975559175%2C%22west%22%3A-88.30407280005812%7D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22usersSearchTerm%22%3A%22AL%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A4%2C%22regionType%22%3A2%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A11%7D,,
452749817,FOR_RENT,Apartment for rent,,2150.0,1437.0,1.0,,,,,,3.0,2.0,"Gulf Stream Townhomes, 24802 Gulf Stream Cir, Orange Beach, AL 36561",24802 Gulf Stream Cir #9452BB046,Orange Beach,AL,36561,30.287745,-87.60085,,False,,,https://photos.zillowstatic.com/fp/8f6ea7f95755b23e5d81eb1b83326e67-p_e.jpg,https://www.zillow.com/apartments/orange-beach-al/gulf-stream-townhomes/CkB9dP/,https://www.zillow.com/al/rentals/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A30.68285333060101%2C%22south%22%3A30.203352240553674%2C%22east%22%3A-87.5006975559175%2C%22west%22%3A-88.30407280005812%7D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22usersSearchTerm%22%3A%22AL%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A4%2C%22regionType%22%3A2%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A11%7D,,
448460765,FOR_RENT,Apartment for rent,,875.0,815.0,1.0,,,,,,2.0,1.0,"The Retreat at Pleasant Valley, 2904 Pleasant Valley Rd, Mobile, AL 36606",2904 Pleasant Valley Rd #A185F0ED0,Mobile,AL,36606,30.661812,-88.11223,,False,,,https://photos.zillowstatic.com/fp/994b5062e75d9dbb7fba0e5165a8344d-p_e.jpg,https://www.zillow.com/apartments/mobile-al/the-retreat-at-pleasant-valley/5Xr4SY/,https://www.zillow.com/al/rentals/2_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A30.68285333060101%2C%22south%22%3A30.203352240553674%2C%22east%22%3A-87.5006975559175%2C%22west%22%3A-88.30407280005812%7D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22usersSearchTerm%22%3A%22AL%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A4%2C%22regionType%22%3A2%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22mapZoom%22%3A11%7D,,
448375774,FOR_RENT,Apartment for rent,,775.0,578.0,1.0,,,,,,1.0,1.0,"Bird's Nest Apartments, 2901 Pleasant Valley Rd, Mobile, AL 36606",2901 Pleasant Valley Rd #39EAEA791,Mobile,AL,36606,30.661032,-88.11213,,False,,,https://photos.zillowstatic.com/fp/c6645226a6f481daabaf16c97a319808-p_e.jpg,https://www.zillow.com/apartments/mobile-al/bird's-nest-apartments/CjjCN5/,https://www.zillow.com/al/rentals/2_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A30.68285333060101%2C%22south%22%3A30.203352240553674%2C%22east%22%3A-87.5006975559175%2C%22west%22%3A-88.30407280005812%7D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22usersSearchTerm%22%3A%22AL%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A4%2C%22regionType%22%3A2%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22mapZoom%22%3A11%7D,,
452681626,FOR_RENT,Apartment for rent,,1559.0,300.0,5.0,,,,,,,1.0,"Mobile - I-65, 1350 W Interstate Highway 65 Service Rd S, Mobile, AL 36609",1350 W Interstate Highway 65 Service Rd S #8002,Mobile,AL,36609,30.66299,-88.12763,,False,,,https://photos.zillowstatic.com/fp/28398e8b794a59115da0a93b29a8277e-p_e.jpg,https://www.zillow.com/apartments/mobile-al/mobile-i-65/9hdjwN/,https://www.zillow.com/al/rentals/2_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A30.68285333060101%2C%22south%22%3A30.203352240553674%2C%22east%22%3A-87.5006975559175%2C%22west%22%3A-88.30407280005812%7D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22usersSearchTerm%22%3A%22AL%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A4%2C%22regionType%22%3A2%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22mapZoom%22%3A11%7D,,
2094585048,FOR_RENT,Apartment for rent,,895.0,1150.0,1.0,,,1000.0,,,2.0,2.0,"Rondo Apartments, 3993 Cottage Hill Rd, Mobile, AL 36609",3993 Cottage Hill Rd #809908674,Mobile,AL,36609,30.651598,-88.142494,,False,,,https://photos.zillowstatic.com/fp/465c70222bfd5c4fd0ad065c3dbff4ec-p_e.jpg,https://www.zillow.com/apartments/mobile-al/rondo-apartments/5XrCy2/,https://www.zillow.com/al/rentals/2_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A30.68285333060101%2C%22south%22%3A30.203352240553674%2C%22east%22%3A-87.5006975559175%2C%22west%22%3A-88.30407280005812%7D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22usersSearchTerm%22%3A%22AL%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A4%2C%22regionType%22%3A2%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22mapZoom%22%3A11%7D,,
2067449654,FOR_RENT,Apartment for rent,,800.0,800.0,1.0,,,776.0,,,1.0,1.0,"2219 Dauphin Island Pkwy, 2219 Dauphin Island Pkwy #211, Mobile, AL 36605",2219 Dauphin Island Pkwy #211,Mobile,AL,36605,30.626019,-88.08761,,False,,,https://photos.zillowstatic.com/fp/9e209e43db881c277a147d4d23c03e10-p_e.jpg,https://www.zillow.com/apartments/mobile-al/2219-dauphin-island-pkwy/CgxCmy/,https://www.zillow.com/al/rentals/2_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A30.68285333060101%2C%22south%22%3A30.203352240553674%2C%22east%22%3A-87.5006975559175%2C%22west%22%3A-88.30407280005812%7D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22usersSearchTerm%22%3A%22AL%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A4%2C%22regionType%22%3A2%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22mapZoom%22%3A11%7D,,
72780450,FOR_RENT,Apartment for rent,,2400.0,520.0,5.0,,,1213.0,,,,1.0,"613 Gulf Shores Pkwy, Gulf Shores, AL 36542",613 Gulf Shores Pkwy,Gulf Shores,AL,36542,30.253105,-87.68939,,False,,,https://photos.zillowstatic.com/fp/baf5621aa4af66fc552cd8c21bed4366-p_e.jpg,https://www.zillow.com/homedetails/613-Gulf-Shores-Pkwy-Gulf-Shores-AL-36542/72780450_zpid/,https://www.zillow.com/al/rentals/2_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A30.68285333060101%2C%22south%22%3A30.203352240553674%2C%22east%22%3A-87.5006975559175%2C%22west%22%3A-88.30407280005812%7D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22usersSearchTerm%22%3A%22AL%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A4%2C%22regionType%22%3A2%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22mapZoom%22%3A11%7D,,
196141408,FOR_RENT,House for rent,,3500.0,2469.0,1.0,354300.0,143.0,3042.0,,,3.0,2.0,"16974 Hammel Dr, Summerdale, AL 36580",16974 Hammel Dr,Summerdale,AL,36580,30.472475,-87.658195,,False,,,https://photos.zillowstatic.com/fp/a78bbb054b36a71ee0b91c5ad4cb2823-p_e.jpg,https://www.zillow.com/homedetails/16974-Hammel-Dr-Summerdale-AL-36580/196141408_zpid/,https://www.zillow.com/al/rentals/2_p/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A30.68285333060101%2C%22south%22%3A30.203352240553674%2C%22east%22%3A-87.5006975559175%2C%22west%22%3A-88.30407280005812%7D%2C%22filterState%22%3A%7B%22fr%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%2C%22usersSearchTerm%22%3A%22AL%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A4%2C%22regionType%22%3A2%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22mapZoom%22%3A11%7D,,
