address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"8115 N 18th St #0, Phoenix, AZ 85020",85020,Phoenix,AZ,2099,3,2,1317,1.59,https://zillow.com/apartments/phoenix-az/la-esplanada/5XhySK/,33.55654,-112.04279,APARTMENT,,,https://photos.zillowstatic.com/fp/a99ad43899789a86a048dd9f2b8fbf1d-p_e.jpg,,
"500 W Missouri Ave #101, Phoenix, AZ 85013",85013,Phoenix,AZ,2695,2,3,1322,2.04,https://zillow.com/apartments/phoenix-az/boulevard-on-missouri/CZ2gdF/,33.516716,-112.08019,APARTMENT,,2442,https://photos.zillowstatic.com/fp/d9154fa81f6963ec21d390303e3b5bd8-p_e.jpg,,
"137 E Coronado Rd, Phoenix, AZ 85004",85004,Phoenix,AZ,1195,1,1,650,1.84,https://zillow.com/apartments/phoenix-az/coronado-137/5XmN8X/,33.467373,-112.06976,APARTMENT,,,https://photos.zillowstatic.com/fp/fab015ad6a946b08736324ceda9d4fd1-p_e.jpg,,
"1801 W Cholla St, Phoenix, AZ 85029",85029,Phoenix,AZ,1395,2,1,800,1.74,https://zillow.com/apartments/phoenix-az/madison-at-north-mountain/CkBBh7/,33.58906,-112.097694,APARTMENT,,,https://photos.zillowstatic.com/fp/a27fe36b12ebeb7ccfb0841aca55983d-p_e.jpg,,
"6805 N 27th Ave, Phoenix, AZ 85017",85017,Phoenix,AZ,1095,2,1,640,1.71,https://zillow.com/apartments/phoenix-az/stardom-villas/5XkNQs/,33.536892,-112.11608,APARTMENT,,1046,https://photos.zillowstatic.com/fp/b5312ce40a6696abdfdc93eb7f3748d4-p_e.jpg,,
"2323 E Flower St, Phoenix, AZ 85016",85016,Phoenix,AZ,1099,1,1,700,1.57,https://zillow.com/apartments/phoenix-az/portola-biltmore/5XhyM4/,33.48508,-112.03168,APARTMENT,,,https://photos.zillowstatic.com/fp/16269bee0c7f49d1988ec99cace97d20-p_e.jpg,,
"11645 N 25th Pl APT 202, Phoenix, AZ 85028",85028,Phoenix,AZ,1350,2,2,877,1.54,https://zillow.com/apartments/phoenix-az/zen-senior-living/CjrV6D/,33.593067,-112.02638,APARTMENT,,,https://photos.zillowstatic.com/fp/add41c1f00849ba699f3142e4861bd0e-p_e.jpg,,
"2045 W Tuckey Ln, Phoenix, AZ 85015",85015,Phoenix,AZ,1499,2,1,825,1.82,https://zillow.com/apartments/phoenix-az/north-palms/5XhySH/,33.534325,-112.10373,APARTMENT,,,https://photos.zillowstatic.com/fp/0e387cb739aacab18c4df457bf03d135-p_e.jpg,,
"2738 W Augusta Ave #C03, Phoenix, AZ 85051",85051,Phoenix,AZ,897,,1,480,1.87,https://zillow.com/apartments/phoenix-az/cimmaron-springs/5XhyNC/,33.55148,-112.11869,APARTMENT,,,https://photos.zillowstatic.com/fp/8a252f8965b55f7e08ec25d26379a31c-p_e.jpg,,
"1050 S 16th Dr #8-1618, Phoenix, AZ 85007",85007,Phoenix,AZ,1959,1,1,675,2.9,https://zillow.com/apartments/phoenix-az/the-symphony-apartments/5Xt8Qz/,33.43789,-112.09372,APARTMENT,,,https://photos.zillowstatic.com/fp/310cf7b936a1c07430c723e80c55d7da-p_e.jpg,,
