zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
454233026,FOR_RENT,Apartment for rent,,1695.0,1250.0,1.0,,,,,,3.0,2.0,"Yellowstone at The Ranch, 1917 Casey Ct, Barling, AR 72923",1917 Casey Ct #17C56FE01,Barling,AR,72923,35.330494,-94.31828,,False,,,,
448167614,FOR_RENT,Apartment for rent,,1200.0,685.0,2.0,,,,,,1.0,1.0,"South Creekside Apartments, 900 N Leverett Ave #2-113, Fayetteville, AR 72701",900 N Leverett Ave #2-113,Fayetteville,AR,72701,36.07594,-94.170715,,False,,,,
448919747,FOR_RENT,Apartment for rent,,1499.0,1064.0,1.0,,,,,,1.0,1.0,"The Villas at Palecero - 2 Months FREE for Move-ins by 7/31/25 PLUS Spin to Win Epic Prizes!, 693 Morsani Ave #324-A, Springdale, AR 72762",693 Morsani Ave #324-A,Springdale,AR,72762,36.173874,-94.248344,,False,,,,
446871221,FOR_RENT,Apartment for rent,,2200.0,1974.0,1.0,,,,,,4.0,3.0,"The Row at Arkansas, 519 N Wordsworth Ln, Fayetteville, AR 72704",519 N Wordsworth Ln #930DB77F9,Fayetteville,AR,72704,36.071747,-94.218895,,False,,,,
453190003,FOR_RENT,Apartment for rent,,1199.0,720.0,2.0,,,,,,1.0,1.0,"The Reserve at Tontitown - $300 Off Select Unit Move in, 617 Spallone Blvd #4-42, Springdale, AR 72762",617 Spallone Blvd #4-42,Springdale,AR,72762,36.175392,-94.24397,,False,,,,
456136268,FOR_RENT,Apartment for rent,,835.0,865.0,1.0,,,,,,2.0,2.0,"2400 MARKET PLAZA DRIVE, 2400 Market Plaza Dr APT 303, Conway, AR 72032",2400 Market Plaza Dr APT 303,Conway,AR,72032,35.110348,-92.44926,,False,,,,
448557153,FOR_RENT,Apartment for rent,,1270.0,1200.0,1.0,,,,,,3.0,2.0,"Heritage Trace, 300 Story St, Brookland, AR 72417",300 Story St #402276060,Brookland,AR,72417,35.906193,-90.574615,,False,,,,
453772324,FOR_RENT,Apartment for rent,,1590.0,1300.0,1.0,,,,,,2.0,3.0,"15th Place Townhomes, 2428 S 15th Pl, Rogers, AR 72758",2428 S 15th Pl #3B9143AC7,Rogers,AR,72758,36.295967,-94.13891,,False,,,,
452725578,FOR_RENT,Apartment for rent,,1200.0,1200.0,1.0,,,,,,2.0,2.0,"Sunset Place Apartments, 300 Evening Sunset Valley Dr, Redfield, AR 72132",300 Evening Sunset Valley Dr #8CD3444FD,Redfield,AR,72132,34.440353,-92.19471,,False,,,,
443219395,FOR_RENT,Apartment for rent,,1295.0,1290.0,1.0,,,,,,2.0,3.0,"Appleby Townhomes, 307 E Appleby Rd, Fayetteville, AR 72703",307 E Appleby Rd #2B-2BA-1290SQFT,Fayetteville,AR,72703,36.10502,-94.15298,,False,,,,
455340339,FOR_RENT,Apartment for rent,,875.0,,,,,,,,2.0,1.0,"Leverett Trails, 920 N Leverett Ave #829, Fayetteville, AR 72701",920 N Leverett Ave #829,Fayetteville,AR,72701,36.076237,-94.17053,,False,,,,
450132060,FOR_RENT,Apartment for rent,,700.0,624.0,1.0,,,,,,1.0,1.0,"Mill Creek I - Senior Property 62 years old and up, 126 Rhodes Ave, Springdale, AR 72764",126 Rhodes Ave #28550A062,Springdale,AR,72764,36.192215,-94.12834,,False,,,,
453788753,FOR_RENT,Apartment for rent,,795.0,920.0,1.0,,,,,,2.0,2.0,"Southpoint Apartments, 8500 S 28th St #8502-16, Fort Smith, AR 72908",8500 S 28th St #8502-16,Fort Smith,AR,72908,35.304756,-94.40569,,False,,,,
443550757,FOR_RENT,Apartment for rent,,1400.0,1300.0,1.0,,,,,,2.0,2.0,"26 West Residences, 26 Pinnacle Valley Vw, Little Rock, AR 72223",26 Pinnacle Valley Vw #2B-2BA-1300SQFT,Little Rock,AR,72223,34.812668,-92.443504,,False,,,,
2060756205,FOR_RENT,Apartment for rent,,1375.0,1215.0,1.0,,,1408.0,,,3.0,2.0,"Plantation Laura, 109 E Laura St, Rogers, AR 72758",109 E Laura St #278A89D01,Rogers,AR,72758,36.296677,-94.11654,,False,,,,
453572960,FOR_RENT,Apartment for rent,,895.0,785.0,1.0,,,,,,2.0,1.0,"The Deane, 1851 W Deane St, Fayetteville, AR 72703",1851 W Deane St #5390163C7,Fayetteville,AR,72703,36.085697,-94.18559,,False,,,,
448832451,FOR_RENT,Apartment for rent,,1499.0,1900.0,1.0,,,,,,4.0,4.0,"Park Avenue Townhomes, 400 Lincoln Ln, Fort Smith, AR 72903",400 Lincoln Ln #46EB8DA1F,Fort Smith,AR,72903,35.37807,-94.3695,,False,,,,
454952806,FOR_RENT,Apartment for rent,,750.0,,,,,,,,1.0,1.0,"Orleans Square Apartments, 1801 Georgia Ave APT 9, Little Rock, AR 72207",1801 Georgia Ave APT 9,Little Rock,AR,72207,34.769432,-92.35571,,False,,,,
455611372,FOR_RENT,Apartment for rent,,1350.0,1500.0,1.0,,,,,,3.0,3.0,"Meadowlands, 804-938 Meadowlands Dr #918, Centerton, AR 72719",804-938 Meadowlands Dr #918,Centerton,AR,72719,36.355625,-94.27095,,False,,,,
454205116,FOR_RENT,Apartment for rent,,1095.0,1100.0,1.0,,,,,,2.0,3.0,"Apple Valley Townhomes, 211 Apple Valley Dr, Sherwood, AR 72120",211 Apple Valley Dr #E5DB9554E,Sherwood,AR,72120,34.827705,-92.22988,,False,,,,
401770470,FOR_RENT,Apartment for rent,,1075.0,,,,,,,,1.0,1.0,"Tuf Nut Lofts, 423 E 3rd St, Little Rock, AR 72201",423 E 3rd St #1B-1BA,Little Rock,AR,72201,34.745476,-92.266846,,False,,,,
441583246,FOR_RENT,Apartment for rent,,1200.0,,,,,,,,2.0,1.0,"4611 Woodlawn Dr., 4611 Woodlawn Dr, Little Rock, AR 72205",4611 Woodlawn Dr #2B-1BA,Little Rock,AR,72205,34.7562,-92.32465,,False,,,,
402667516,FOR_RENT,Apartment for rent,,950.0,,,,,,,,1.0,1.0,"Mulberry Flats, 315 Main St, Little Rock, AR 72201",315 Main St #1B-1BA,Little Rock,AR,72201,34.7455,-92.270454,,False,,,,
449849471,FOR_RENT,Apartment for rent,,775.0,736.0,1.0,,,,,,2.0,1.0,"Courtyard @ The Corner, 1830 E Johnson Ave APT 107, Jonesboro, AR 72401",1830 E Johnson Ave APT 107,Jonesboro,AR,72401,35.84576,-90.683754,,False,,,,
2053601399,FOR_RENT,Apartment for rent,,1095.0,916.0,1.0,,,953.0,,,2.0,2.0,"Royal Ridge Holdings, 2212 Savannah St #502, Fort Smith, AR 72901",2212 Savannah St #502,Fort Smith,AR,72901,35.33546,-94.411,,False,,,,
351617921,FOR_RENT,Apartment for rent,,730.0,873.0,1.0,,,724.0,,,2.0,1.0,"Treeview Apartments, 1114 E 9th St #53, Russellville, AR 72801",1114 E 9th St #53,Russellville,AR,72801,35.26939,-93.11842,,False,,,,
448902807,FOR_RENT,Apartment for rent,,750.0,750.0,1.0,,,,,,2.0,1.0,"The Nests, 1608 Cherry St #B8, Conway, AR 72032",1608 Cherry St #B8,Conway,AR,72032,35.11089,-92.44544,,False,,,,
455938543,FOR_RENT,Apartment for rent,,995.0,1200.0,1.0,,,,,,2.0,3.0,"Springwood Townhomes, 200 Springwood Rd, Hot Springs National Park, AR 71913",200 Springwood Rd #E2229E140,Hot Springs National Park,AR,71913,34.472973,-93.13909,,False,,,,
