address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"46225 Verba Santa Dr APT 7, Palm Desert, CA 92260",92260,Palm Desert,CA,2195.0,2.0,2.0,1000.0,2.19,https://zillow.com/apartments/palm-desert-ca/atrium-villas/CjrXhX/,33.71246,-116.39316,APARTMENT,,,https://photos.zillowstatic.com/fp/0e8888b8652d4b612c93ce6cc09afd91-p_e.jpg,,
"77120 California Dr #226C, Palm Desert, CA 92211",92211,Palm Desert,CA,1856.0,1.0,1.0,800.0,2.32,https://zillow.com/apartments/palm-desert-ca/villas-on-the-green/5XjQy3/,33.733936,-116.31797,APARTMENT,,,https://photos.zillowstatic.com/fp/ba3461c7b4d9e48120b18314440268ee-p_e.jpg,,
"69155 Dinah Shore Dr, Cathedral City, CA 92234",92234,Cathedral City,CA,2050.0,2.0,2.0,1180.0,1.74,https://zillow.com/apartments/cathedral-city-ca/ocotillo-place-apartments/5XjQCT/,33.800537,-116.455376,APARTMENT,,,https://photos.zillowstatic.com/fp/9ca133ddf1dc8651b8e475b88f46da78-p_e.jpg,,
"1400 E Tahquitz Canyon Way, Palm Springs, CA 92262",92262,Palm Springs,CA,1799.0,,1.0,300.0,6.0,https://zillow.com/apartments/palm-springs-ca/palm-springs-airport/CkqLWT/,33.824028,-116.53089,APARTMENT,,,https://photos.zillowstatic.com/fp/389c2fec5d5029b842119afc2f32b196-p_e.jpg,,
"2201 S Palm Canyon Dr, Palm Springs, CA 92264",92264,Palm Springs,CA,2195.0,2.0,2.0,1015.0,2.16,https://zillow.com/apartments/palm-springs-ca/copa-terraces/5XkQqc/,33.79184,-116.545906,APARTMENT,,,https://photos.zillowstatic.com/fp/cad7d1629bef4ceaf9e1aae61a42322c-p_e.jpg,,
"2580 E Tahquitz Canyon Way, Palm Springs, CA 92262",92262,Palm Springs,CA,1350.0,,1.0,500.0,2.7,https://zillow.com/apartments/palm-springs-ca/palmview/5XnmWj/,33.82371,-116.51868,APARTMENT,,,https://photos.zillowstatic.com/fp/66842ee4798a63f452e4363cdc259c35-p_e.jpg,,
"36700 Pickfair St, Cathedral City, CA 92234",92234,Cathedral City,CA,2095.0,2.0,2.0,1100.0,1.9,https://zillow.com/apartments/cathedral-city-ca/cathedral-towne-villas/5XjVpx/,33.782036,-116.46337,APARTMENT,,2082.0,https://photos.zillowstatic.com/fp/24774b73fa288059fad8543135be278d-p_e.jpg,,
"42575 Cook St, Palm Desert, CA 92211",92211,Palm Desert,CA,1890.0,2.0,2.0,1050.0,1.8,https://zillow.com/apartments/palm-desert-ca/rancho-vista-apartments/Cjhssc/,33.7393,-116.35686,APARTMENT,,,https://photos.zillowstatic.com/fp/d0fa9f9ad4cb20bb438e8c060b498728-p_e.jpg,,
"33255 Date Palm Dr, Cathedral City, CA 92234",92234,Cathedral City,CA,1995.0,2.0,2.0,1050.0,1.9,https://zillow.com/apartments/cathedral-city-ca/date-palm-apartments/5XtNKT/,33.806316,-116.458885,APARTMENT,,,https://photos.zillowstatic.com/fp/2ad9e523d7ee1b75faea86003d30ae65-p_e.jpg,,
"77901 Dudley Dr #915, Palm Desert, CA 92211",92211,Palm Desert,CA,1875.0,2.0,2.0,950.0,1.97,https://zillow.com/apartments/palm-desert-ca/palm-desert-palms/CjdLTj/,33.739494,-116.305244,APARTMENT,,,https://photos.zillowstatic.com/fp/577830bf264c861cb652e06d0400d39a-p_e.jpg,,
"1479 N Palm Canyon Dr, Palm Springs, CA 92262",92262,Palm Springs,CA,903.0,1.0,1.0,630.0,1.43,https://zillow.com/apartments/palm-springs-ca/aloe-palm-canyon/CkckPk/,33.84262,-116.54724,APARTMENT,,,https://photos.zillowstatic.com/fp/8e972a69a0849a472580222fc82f0579-p_e.jpg,,
"44325 Las Vistas Dr, La Quinta, CA 92253",92253,La Quinta,CA,2850.0,3.0,2.0,1606.0,1.77,https://zillow.com/homedetails/44325-Las-Vistas-Dr-La-Quinta-CA-92253/18055332_zpid/,33.726814,-116.29201,SINGLE_FAMILY,530600.0,3171.0,https://photos.zillowstatic.com/fp/3824250efe84b7686793c262128a58f0-p_e.jpg,,
"323 W Palm Vista Dr, Palm Springs, CA 92262",92262,Palm Springs,CA,3250.0,3.0,2.0,1309.0,2.48,https://zillow.com/homedetails/323-W-Palm-Vista-Dr-Palm-Springs-CA-92262/18117339_zpid/,33.865097,-116.548965,SINGLE_FAMILY,665600.0,3441.0,https://photos.zillowstatic.com/fp/c8c4b085313eaf98dbbcaebec2754e47-p_e.jpg,,
"104 The Riv, Palm Springs, CA 92262",92262,Palm Springs,CA,3800.0,2.0,3.0,1501.0,2.53,https://zillow.com/homedetails/104-The-Riv-Palm-Springs-CA-92262/315143758_zpid/,33.847897,-116.545074,APARTMENT,679400.0,3554.0,https://photos.zillowstatic.com/fp/69fe787aea1760e2d8db3d5c5f744ceb-p_e.jpg,,
"2490 E Francis Dr, Palm Springs, CA 92262",92262,Palm Springs,CA,2995.0,3.0,2.0,1429.0,2.1,https://zillow.com/homedetails/2490-E-Francis-Dr-Palm-Springs-CA-92262/18017416_zpid/,33.85605,-116.5201,SINGLE_FAMILY,573000.0,4210.0,https://photos.zillowstatic.com/fp/2e7534d188e4db11e8bcbca80873ca9d-p_e.jpg,,
"2105 Lawrence St, Palm Springs, CA 92264",92264,Palm Springs,CA,2750.0,3.0,2.0,1616.0,1.7,https://zillow.com/homedetails/2105-Lawrence-St-Palm-Springs-CA-92264/18135001_zpid/,33.79894,-116.47743,SINGLE_FAMILY,656400.0,3346.0,https://photos.zillowstatic.com/fp/494b874470c97c1a61d4611d0588e6ba-p_e.jpg,,
"68870 Durango Rd, Cathedral City, CA 92234",92234,Cathedral City,CA,5950.0,6.0,4.0,2939.0,2.02,https://zillow.com/homedetails/68870-Durango-Rd-Cathedral-City-CA-92234/18125272_zpid/,33.831722,-116.46099,SINGLE_FAMILY,780900.0,4085.0,https://photos.zillowstatic.com/fp/24a944f051568ff8a481a87a5b53606c-p_e.jpg,,
"81816 Daniel Dr, La Quinta, CA 92253",92253,La Quinta,CA,3850.0,2.0,2.0,1359.0,2.83,https://zillow.com/homedetails/81816-Daniel-Dr-La-Quinta-CA-92253/63318469_zpid/,33.61249,-116.2358,SINGLE_FAMILY,469100.0,3123.0,https://photos.zillowstatic.com/fp/71ad6553140e270ebd30a554a8c04973-p_e.jpg,,
"70639 Placerville Rd, Rancho Mirage, CA 92270",92270,Rancho Mirage,CA,10000.0,4.0,4.0,3407.0,2.94,https://zillow.com/homedetails/70639-Placerville-Rd-Rancho-Mirage-CA-92270/18143007_zpid/,33.75108,-116.43197,SINGLE_FAMILY,1703600.0,7668.0,https://photos.zillowstatic.com/fp/18a532eb9828b49f3f84f709c02ce60a-p_e.jpg,,
"43715 Riunione Pl, Indio, CA 92203",92203,Indio,CA,5900.0,4.0,2.0,2122.0,2.78,https://zillow.com/homedetails/43715-Riunione-Pl-Indio-CA-92203/79821925_zpid/,33.73163,-116.18889,SINGLE_FAMILY,,3908.0,https://photos.zillowstatic.com/fp/9448df8df2c4be38c2bfaa5bce02e4a8-p_e.jpg,,
"82145 Valencia Ave APT 2, Indio, CA 92201",92201,Indio,CA,1445.0,1.0,1.0,700.0,2.06,https://zillow.com/homedetails/82145-Valencia-Ave-APT-2-Indio-CA-92201/441766223_zpid/,33.72443,-116.231865,APARTMENT,,,https://photos.zillowstatic.com/fp/51bddcf240c3c0d2a4e5afc05fcae0ae-p_e.jpg,,
"82769 Odlum Dr, Indio, CA 92201",92201,Indio,CA,5300.0,4.0,3.0,2005.0,2.64,https://zillow.com/homedetails/82769-Odlum-Dr-Indio-CA-92201/61299859_zpid/,33.69272,-116.2203,SINGLE_FAMILY,565200.0,4470.0,https://photos.zillowstatic.com/fp/96412041ba8bed866d679adc0ab8cb66-p_e.jpg,,
"76941 Coventry Cir, Palm Desert, CA 92211",92211,Palm Desert,CA,5000.0,3.0,3.0,2235.0,2.24,https://zillow.com/homedetails/76941-Coventry-Cir-Palm-Desert-CA-92211/18083679_zpid/,33.76283,-116.32219,SINGLE_FAMILY,710900.0,3583.0,https://photos.zillowstatic.com/fp/438251a09dc4469e0e2c8b917e3c703a-p_e.jpg,,
"84350 Caviano Dr, Indio, CA 92203",92203,Indio,CA,4600.0,4.0,3.0,2563.0,1.79,https://zillow.com/homedetails/84350-Caviano-Dr-Indio-CA-92203/454976567_zpid/,33.740574,-116.193474,SINGLE_FAMILY,696900.0,,https://photos.zillowstatic.com/fp/5bbf0a9fb41d2edb390826e400fc66e2-p_e.jpg,,
"700 Camino Del Norte, Palm Springs, CA 92262",92262,Palm Springs,CA,18000.0,3.0,3.0,3150.0,5.71,https://zillow.com/homedetails/700-Camino-Del-Norte-Palm-Springs-CA-92262/2057496680_zpid/,33.84209,-116.55495,SINGLE_FAMILY,2471900.0,5828.0,https://photos.zillowstatic.com/fp/cfe22bed05661ec028a53e168e75ffc7-p_e.jpg,,
"15203 Avenida Ramada, Desert Hot Springs, CA 92240",92240,Desert Hot Springs,CA,2695.0,3.0,2.0,1519.0,1.77,https://zillow.com/homedetails/15203-Avenida-Ramada-Desert-Hot-Springs-CA-92240/18112642_zpid/,33.93796,-116.49131,SINGLE_FAMILY,401200.0,2465.0,https://photos.zillowstatic.com/fp/a85db99acef22007369a086d55822d74-p_e.jpg,,
"170 Gran Via, Palm Desert, CA 92260",92260,Palm Desert,CA,5100.0,2.0,2.0,1457.0,3.5,https://zillow.com/homedetails/170-Gran-Via-Palm-Desert-CA-92260/18075231_zpid/,33.73847,-116.38796,APARTMENT,428200.0,3235.0,https://photos.zillowstatic.com/fp/081be1909f129c74bce78c61c42293cf-p_e.jpg,,
"66115 Avenida Cadena, Desert Hot Springs, CA 92240",92240,Desert Hot Springs,CA,3200.0,4.0,2.0,1353.0,2.37,https://zillow.com/homedetails/66115-Avenida-Cadena-Desert-Hot-Springs-CA-92240/18097323_zpid/,33.9782,-116.508194,SINGLE_FAMILY,382100.0,2315.0,https://photos.zillowstatic.com/fp/a213f22f91a7c8ba5bc2ab0d66a661a8-p_e.jpg,,
"81143 Palmwood Dr, Indio, CA 92201",92201,Indio,CA,4500.0,4.0,2.0,1516.0,2.97,https://zillow.com/homedetails/81143-Palmwood-Dr-Indio-CA-92201/52473733_zpid/,33.718674,-116.249214,SINGLE_FAMILY,473800.0,4431.0,https://photos.zillowstatic.com/fp/be32f05ada5aaf1ffba10135355bc1e5-p_e.jpg,,
"77324 Sioux Dr, Indian Wells, CA 92210",92210,Indian Wells,CA,7500.0,3.0,3.0,3000.0,2.5,https://zillow.com/homedetails/77324-Sioux-Dr-Indian-Wells-CA-92210/18077166_zpid/,33.71318,-116.31525,SINGLE_FAMILY,1346500.0,7911.0,https://photos.zillowstatic.com/fp/7e5d1a07c45294f45e03b5f477091900-p_e.jpg,,
"48624 Torrito Ct, Palm Desert, CA 92260",92260,Palm Desert,CA,7000.0,2.0,2.0,1745.0,4.01,https://zillow.com/homedetails/48624-Torrito-Ct-Palm-Desert-CA-92260/18111484_zpid/,33.69543,-116.39238,APARTMENT,503600.0,4259.0,https://photos.zillowstatic.com/fp/8d2e79c522ad371b473c45f0e616bbfc-p_e.jpg,,
"55513 Winged Foot, La Quinta, CA 92253",92253,La Quinta,CA,3698.0,2.0,2.0,1288.0,2.87,https://zillow.com/homedetails/55513-Winged-Foot-La-Quinta-CA-92253/18155852_zpid/,33.645657,-116.251686,TOWNHOUSE,408200.0,2744.0,https://photos.zillowstatic.com/fp/399305d20b0039819e495e93ce730994-p_e.jpg,,
"50192 Calle Maria, La Quinta, CA 92253",92253,La Quinta,CA,6500.0,3.0,2.0,2100.0,3.1,https://zillow.com/homedetails/50192-Calle-Maria-La-Quinta-CA-92253/18152264_zpid/,33.683014,-116.30834,SINGLE_FAMILY,645900.0,3293.0,https://photos.zillowstatic.com/fp/6fd48d2a077a9ef09f06a6d7c98462fb-p_e.jpg,,
"79804 Olympia Flds, La Quinta, CA 92253",92253,La Quinta,CA,3099.0,2.0,3.0,1472.0,2.11,https://zillow.com/homedetails/79804-Olympia-Flds-La-Quinta-CA-92253/18154704_zpid/,33.65159,-116.27153,APARTMENT,504600.0,3205.0,https://photos.zillowstatic.com/fp/5c73b709c81c900f6ba3b58c22ea10c5-p_e.jpg,,
"74115 Concho Dr, Indian Wells, CA 92210",92210,Indian Wells,CA,6500.0,3.0,3.0,2399.0,2.71,https://zillow.com/homedetails/74115-Concho-Dr-Indian-Wells-CA-92210/2063063064_zpid/,33.71568,-116.356026,APARTMENT,,5548.0,https://photos.zillowstatic.com/fp/46fb4855fbce0fb72f2cd2b81b0239f2-p_e.jpg,,
"192 S Kavenish Dr, Rancho Mirage, CA 92270",92270,Rancho Mirage,CA,5000.0,3.0,3.0,2500.0,2.0,https://zillow.com/homedetails/192-S-Kavenish-Dr-Rancho-Mirage-CA-92270/18071279_zpid/,33.76651,-116.40458,TOWNHOUSE,668300.0,4754.0,https://photos.zillowstatic.com/fp/bd5a55f0d51ea4f3166376ad7177fd43-p_e.jpg,,
"51605 Avenida Carranza #1, La Quinta, CA 92253",92253,La Quinta,CA,5500.0,3.0,2.0,1534.0,3.59,https://zillow.com/homedetails/51605-Avenida-Carranza-1-La-Quinta-CA-92253/453359246_zpid/,33.67348,-116.312614,APARTMENT,,,https://photos.zillowstatic.com/fp/e695532857de95a47cdfb910d33eda0e-p_e.jpg,,
"57865 Rosewood Ct, La Quinta, CA 92253",92253,La Quinta,CA,6500.0,3.0,4.0,3465.0,1.88,https://zillow.com/homedetails/57865-Rosewood-Ct-La-Quinta-CA-92253/79823596_zpid/,33.628597,-116.25919,SINGLE_FAMILY,1281900.0,7436.0,https://photos.zillowstatic.com/fp/32375fc5a68bd62cb733351f958088b6-p_e.jpg,,
"50020 Monteloma Ct, La Quinta, CA 92253",92253,La Quinta,CA,15000.0,3.0,4.0,2811.0,5.34,https://zillow.com/homedetails/50020-Monteloma-Ct-La-Quinta-CA-92253/61301319_zpid/,33.685005,-116.26258,SINGLE_FAMILY,1098600.0,6580.0,https://photos.zillowstatic.com/fp/ab0e6b8f198ca84caee8040197dad3f1-p_e.jpg,,
"45847 Palm Meadows Dr, Indio, CA 92201",92201,Indio,CA,4000.0,4.0,3.0,1700.0,2.35,https://zillow.com/homedetails/45847-Palm-Meadows-Dr-Indio-CA-92201/18062096_zpid/,33.715763,-116.24464,SINGLE_FAMILY,526700.0,5204.0,https://photos.zillowstatic.com/fp/d4e0498901a04fc0dc9f19cbd05d6485-p_e.jpg,,
"78600 Runaway Bay Dr, Indio, CA 92203",92203,Indio,CA,6200.0,4.0,3.0,2534.0,2.45,https://zillow.com/homedetails/78600-Runaway-Bay-Dr-Indio-CA-92203/18062310_zpid/,33.743057,-116.29341,SINGLE_FAMILY,696200.0,6735.0,https://photos.zillowstatic.com/fp/113a5b0f53fe3205d27a7a0bde489ce1-p_e.jpg,,
