zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
453908434,FOR_RENT,Apartment for rent,,2025.0,750.0,3.0,,,,,,1.0,1.0,"Summit and Birch Hill, 271 Main St #191-A1, Farmington, CT 06032",271 Main St #191-A1,Farmington,CT,6032,41.707466,-72.84019,,False,,,,
455769289,FOR_RENT,Apartment for rent,,2600.0,860.0,3.0,,,,,,1.0,1.0,"The Residences at Quarry Walk, 500 Boulder Pass #326, Oxford, CT 06478",500 Boulder Pass #326,Oxford,CT,6478,41.425503,-73.1068,,False,,,,
402695324,FOR_RENT,Apartment for rent,,1950.0,,,,,,,,1.0,1.0,"Trail Side Crossing, 61 Burban Dr, Branford, CT 06405",61 Burban Dr #1B-1BA,Branford,CT,6405,41.271492,-72.84755,,False,,,,
353756675,FOR_RENT,Apartment for rent,,2675.0,894.0,3.0,,,2664.0,,,1.0,1.0,"Residences at Steele Road, 243 Steele Rd APT 121, West Hartford, CT 06117",243 Steele Rd APT 121,West Hartford,CT,6117,41.781147,-72.72613,,False,,,,
377038357,FOR_RENT,Apartment for rent,,1845.0,720.0,3.0,,,1864.0,,,1.0,1.0,"Fox Hill NCM LLC, 168 Fox Hill Ln #10, Enfield, CT 06082",168 Fox Hill Ln #10,Enfield,CT,6082,41.99841,-72.56739,,False,,,,
453382193,FOR_RENT,Apartment for rent,,2488.0,703.0,4.0,,,,,,1.0,1.0,"Spinnaker Brook, 158 Cherry St, Milford, CT 06460",158 Cherry St #7EA1CA94A,Milford,CT,6460,41.228672,-73.05065,,False,,,,
455927126,FOR_RENT,Apartment for rent,,2395.0,1230.0,2.0,,,,,,3.0,2.0,"Country Glen Apartments, 600 Meridian St #1005, Groton, CT 06340",600 Meridian St #1005,Groton,CT,6340,41.35297,-72.06368,,False,,,,
456110608,FOR_RENT,Apartment for rent,,1900.0,,,,,,,,2.0,1.0,"Sutton Place Apartments, 1-6 Sutton Pl, Groton, CT 06340",1-6 Sutton Pl #80221E590,Groton,CT,6340,41.337307,-72.06813,,False,,,,
448704322,FOR_RENT,Apartment for rent,,1900.0,950.0,2.0,,,,,,2.0,1.0,"High Street Bristol, 48 High St #2A, Bristol, CT 06010",48 High St #2A,Bristol,CT,6010,41.673275,-72.94065,,False,,,,
455923206,FOR_RENT,Apartment for rent,,3500.0,1232.0,3.0,,,,,,2.0,2.0,"Head of the Harbor South, 1 Smith St APT A415, Norwalk, CT 06851",1 Smith St APT A415,Norwalk,CT,6851,41.11814,-73.41061,,False,,,,
