zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
453451807,FOR_RENT,Apartment for rent,,1375.0,850.0,2.0,,,,,,1.0,1.0,"Galloway Court Apartments, 400 S Dupont Hwy, New Castle, DE 19720",400 S Dupont Hwy #BE003F7D3,New Castle,DE,19720,39.646297,-75.62276,,False,,,,
348565254,FOR_RENT,Apartment for rent,,1750.0,982.0,2.0,,,1763.0,,,2.0,2.0,"Cavalier Country Club Apartments, 25 Golf View Dr #26-D5, Newark, DE 19702",25 Golf View Dr #26-D5,Newark,DE,19702,39.68405,-75.6455,,False,,,,
449397842,FOR_RENT,Apartment for rent,,1450.0,975.0,1.0,,,,,,2.0,1.0,"Middleboro Crest Apartments, 37 E Champlain Ave, Wilmington, DE 19804",37 E Champlain Ave #132914A07,Wilmington,DE,19804,39.725105,-75.58757,,False,,,,
456182804,FOR_RENT,Apartment for rent,,1700.0,964.0,2.0,,,,,,2.0,2.0,"Arundel Apartments, 2901 Crossfork Dr, Wilmington, DE 19808",2901 Crossfork Dr #83E47E345,Wilmington,DE,19808,39.736217,-75.67192,,False,,,,
448992759,FOR_RENT,Apartment for rent,,1650.0,976.0,2.0,,,,,,2.0,2.0,"Arbor Pointe Apartments, 4000 Dawnbrook Dr, Wilmington, DE 19804",4000 Dawnbrook Dr #E84844F33,Wilmington,DE,19804,39.711243,-75.645515,,False,,,,
2126178512,FOR_RENT,Apartment for rent,,1410.0,893.0,2.0,,,1435.0,,,2.0,2.0,"BayTree Apartments, 218 Bay Tree Rd, Dover, DE 19901",218 Bay Tree Rd,Dover,DE,19901,39.17429,-75.5085,,False,,,,
456181165,FOR_RENT,Apartment for rent,,1399.0,783.0,2.0,,,,,,1.0,1.0,"Woodmill Apartments, 1300 S Farmview Dr APT A15, Dover, DE 19904",1300 S Farmview Dr APT A15,Dover,DE,19904,39.15675,-75.55426,,False,,,,
450865897,FOR_RENT,Apartment for rent,,1400.0,,,,,,,,2.0,2.0,"Friendship Village Apartments, 100 Friendship Village Dr, Harrington, DE 19952",100 Friendship Village Dr #282DDFE24,Harrington,DE,19952,38.93083,-75.58673,,False,,,,
2078501078,FOR_RENT,Apartment for rent,,1454.0,640.0,2.0,,,1822.0,,,1.0,1.0,"MKT North, 200 W 9th St #604, Wilmington, DE 19801",200 W 9th St #604,Wilmington,DE,19801,39.74511,-75.55001,,False,,,,
453623203,FOR_RENT,Apartment for rent,,1523.0,1000.0,2.0,,,,,,2.0,1.0,"Foster Commons, 22392 Circle Rd, Millsboro, DE 19966",22392 Circle Rd #3623620E1,Millsboro,DE,19966,38.640053,-75.16461,,False,,,,
340069442,FOR_RENT,Apartment for rent,,2795.0,1960.0,1.0,,,2679.0,,,4.0,3.0,"College Park Single Family Homes, 585 W Way, Georgetown, DE 19947",585 W Way #8D4179EF9,Georgetown,DE,19947,38.685368,-75.38095,,False,,,,
2089295545,FOR_RENT,Apartment for rent,,1150.0,800.0,1.0,200900.0,251.0,1459.0,,,1.0,1.0,"48 E 5th St APT 3, New Castle, DE 19720",48 E 5th St APT 3,New Castle,DE,19720,39.6624,-75.56477,,False,,,,
245968453,FOR_RENT,Townhouse for rent,,2990.0,2400.0,1.0,437300.0,182.0,3065.0,,,4.0,3.0,"601 Gordon House Way, Middletown, DE 19709",601 Gordon House Way,Middletown,DE,19709,39.475327,-75.625046,,False,,,,
84423380,FOR_RENT,House for rent,,2550.0,1585.0,2.0,390600.0,246.0,1983.0,,,4.0,2.0,"34132 Clay Rd, Lewes, DE 19958",34132 Clay Rd,Lewes,DE,19958,38.751217,-75.15337,,False,,,,
2107529656,FOR_RENT,Townhouse for rent,,2750.0,2292.0,1.0,523800.0,229.0,3318.0,,,4.0,4.0,"34422 Bronze St #25A, Rehoboth Beach, DE 19971",34422 Bronze St #25A,Rehoboth Beach,DE,19971,38.72418,-75.133224,,False,,,,
72991342,FOR_RENT,Townhouse for rent,,1600.0,900.0,2.0,156900.0,174.0,1693.0,,,2.0,1.0,"54 4th Ave, Claymont, DE 19703",54 4th Ave,Claymont,DE,19703,39.799263,-75.46598,,False,,,,
2075293732,FOR_RENT,Apartment for rent,,2500.0,1600.0,2.0,389900.0,244.0,2929.0,,,3.0,3.0,"33829 Connecticut Ave #15, Frankford, DE 19945",33829 Connecticut Ave #15,Frankford,DE,19945,38.523663,-75.09453,,False,,,,
125895265,FOR_RENT,Apartment for rent,,1300.0,900.0,1.0,406600.0,452.0,1403.0,,,1.0,1.0,"1665 Sandbox Rd, Harrington, DE 19952",1665 Sandbox Rd,Harrington,DE,19952,38.954945,-75.49706,,False,,,,
450531032,FOR_RENT,Apartment for rent,,1850.0,1000.0,2.0,,,,,,2.0,1.0,"(undisclosed Address), Bridgeville, DE 19933",(undisclosed Address),Bridgeville,DE,19933,,,,False,,,,
311550112,FOR_RENT,Apartment for rent,,3950.0,1800.0,2.0,411600.0,229.0,3573.0,,,3.0,2.0,"34687 Refuge Cv UNIT 1004, Rehoboth Beach, DE 19971",34687 Refuge Cv UNIT 1004,Rehoboth Beach,DE,19971,38.729237,-75.14595,,False,,,,
126525269,FOR_RENT,House for rent,,2950.0,1350.0,2.0,587500.0,435.0,2354.0,,,3.0,2.0,"37487 Burton Ct, Rehoboth Beach, DE 19971",37487 Burton Ct,Rehoboth Beach,DE,19971,38.705334,-75.09796,,False,,,,
2083557466,FOR_RENT,Apartment for rent,,1800.0,1000.0,2.0,,,1755.0,,,2.0,1.0,"1313 N Scott St APT 2, Wilmington, DE 19806",1313 N Scott St APT 2,Wilmington,DE,19806,39.756607,-75.56529,,False,,,,
456078362,FOR_RENT,Townhouse for rent,,2000.0,1400.0,1.0,,,,,,2.0,2.0,"907 Cobble Creek Curv #907, Newark, DE 19702",907 Cobble Creek Curv #907,Newark,DE,19702,39.63355,-75.74332,,False,,,,
454492760,FOR_RENT,Townhouse for rent,,2650.0,2000.0,1.0,480400.0,240.0,,,,3.0,3.0,"703 Kalmar Ln, Middletown, DE 19709",703 Kalmar Ln,Middletown,DE,19709,39.53514,-75.68971,,False,,,,
81733097,FOR_RENT,House for rent,,3600.0,3000.0,1.0,580600.0,194.0,3175.0,,,4.0,3.0,"110 Plymouth Pl, Middletown, DE 19709",110 Plymouth Pl,Middletown,DE,19709,39.446327,-75.67722,,False,,,,
455767776,FOR_RENT,Apartment for rent,,2750.0,2067.0,1.0,,,,,,3.0,3.0,"984 Lorewood Grove Rd #237, Middletown, DE 19709",984 Lorewood Grove Rd #237,Middletown,DE,19709,39.53121,-75.68345,,False,,,,
306632823,FOR_RENT,Townhouse for rent,,2850.0,2067.0,1.0,,,3008.0,,,3.0,3.0,"854 Mapleton Ave, Middletown, DE 19709",854 Mapleton Ave,Middletown,DE,19709,39.535606,-75.681816,,False,,,,
84421642,FOR_RENT,House for rent,,2599.0,2929.0,1.0,469100.0,160.0,2881.0,,,3.0,3.0,"16 Creek Dr, Millsboro, DE 19966",16 Creek Dr,Millsboro,DE,19966,38.642048,-75.16216,,False,,,,
157435263,FOR_RENT,Townhouse for rent,,2750.0,2242.0,1.0,340900.0,152.0,2519.0,,,4.0,3.0,"20849 Brunswick Ln, Millsboro, DE 19966",20849 Brunswick Ln,Millsboro,DE,19966,38.589035,-75.31266,,False,,,,
2070278284,FOR_RENT,Apartment for rent,,2450.0,1434.0,2.0,,,2579.0,,,2.0,2.0,"105 Christina Landing Dr APT 908, Wilmington, DE 19801",105 Christina Landing Dr APT 908,Wilmington,DE,19801,39.735336,-75.554565,,False,,,,
119674610,FOR_RENT,Townhouse for rent,,1999.0,1432.0,1.0,290700.0,203.0,1998.0,,,3.0,3.0,"411 Little Eden Way, Dover, DE 19904",411 Little Eden Way,Dover,DE,19904,39.148876,-75.53643,,False,,,,
2055843359,FOR_RENT,Apartment for rent,,1600.0,,,,,1558.0,,,1.0,1.0,"1203 Delaware Ave APT 6, Wilmington, DE 19806",1203 Delaware Ave APT 6,Wilmington,DE,19806,39.753742,-75.557304,,False,,,,
72895065,FOR_RENT,Townhouse for rent,,2800.0,2300.0,1.0,427500.0,186.0,2586.0,,,3.0,4.0,"3 Sycamore Ln, Bear, DE 19701",3 Sycamore Ln,Bear,DE,19701,39.56041,-75.75265,,False,,,,
72932222,FOR_RENT,Townhouse for rent,,2150.0,1650.0,1.0,282900.0,171.0,2191.0,,,3.0,3.0,"15 E Galloway Ct, Newark, DE 19711",15 E Galloway Ct,Newark,DE,19711,39.6763,-75.78467,,False,,,,
72957668,FOR_RENT,Apartment for rent,,1750.0,900.0,2.0,,,1799.0,,,2.0,1.0,"809 N Harrison St, Wilmington, DE 19806",809 N Harrison St,Wilmington,DE,19806,39.74865,-75.56096,,False,,,,
345443452,FOR_RENT,Townhouse for rent,,2800.0,2030.0,1.0,451200.0,222.0,2749.0,,,3.0,3.0,"417 Swede Landing Ln, Middletown, DE 19709",417 Swede Landing Ln,Middletown,DE,19709,39.535313,-75.6922,,False,,,,
455779788,FOR_RENT,Apartment for rent,,1490.0,1000.0,1.0,,,,,,2.0,1.0,"2403 W 2nd St APT A, Wilmington, DE 19805",2403 W 2nd St APT A,Wilmington,DE,19805,39.749783,-75.57883,,False,,,,
72941646,FOR_RENT,Townhouse for rent,,2300.0,1725.0,1.0,356200.0,206.0,2427.0,,,3.0,3.0,"204 Beckington Ct, Middletown, DE 19709",204 Beckington Ct,Middletown,DE,19709,39.439037,-75.711586,,False,,,,
2065469542,FOR_RENT,Apartment for rent,,1500.0,700.0,2.0,,,1391.0,,,2.0,1.0,"2201 N Washington St APT 4, Wilmington, DE 19802",2201 N Washington St APT 4,Wilmington,DE,19802,39.75572,-75.54211,,False,,,,
306632895,FOR_RENT,Townhouse for rent,,2750.0,1866.0,1.0,426700.0,229.0,2605.0,,,3.0,3.0,"1535 Schwinn St, Middletown, DE 19709",1535 Schwinn St,Middletown,DE,19709,39.531975,-75.683365,,False,,,,
72945967,FOR_RENT,House for rent,,1950.0,840.0,2.0,,,1813.0,,,2.0,1.0,"310 Elizabeth St, Middletown, DE 19709",310 Elizabeth St,Middletown,DE,19709,39.454662,-75.71041,,False,,,,
126505251,FOR_RENT,Apartment for rent,,1399.0,1200.0,1.0,,,1551.0,,,2.0,1.0,"(undisclosed Address), Georgetown, DE 19947",(undisclosed Address),Georgetown,DE,19947,,,,False,,,,
2077380592,FOR_RENT,Apartment for rent,,1325.0,,,,,1332.0,,,2.0,1.0,"2104 Grafton Dr #73, Wilmington, DE 19808",2104 Grafton Dr #73,Wilmington,DE,19808,39.73159,-75.637405,,False,,,,
