zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
455216751,FOR_RENT,Apartment for rent,,2529.0,1433.0,2.0,,,,,,3.0,2.0,"The Carlton at Robinson Gateway, 9940 Mahaffey Dr, Palmetto, FL 34221",9940 Mahaffey Dr #07B30B463,Palmetto,FL,34221,27.578691,-82.53994,,False,,,,
454792827,FOR_RENT,Apartment for rent,,2150.0,900.0,2.0,,,,,,2.0,2.0,"Viewmax Apartments, 2101 NW 55th Ave #2111-302, Fort Lauderdale, FL 33313",2101 NW 55th Ave #2111-302,Fort Lauderdale,FL,33313,26.153093,-80.22381,,False,,,,
455785036,FOR_RENT,Apartment for rent,,2150.0,1133.0,2.0,,,,,,3.0,2.0,"The Keys at Wildwood, 12246 N Us Highway 301, Oxford, FL 34484",12246 N Us Highway 301 #CC29B62AE,Oxford,FL,34484,28.93454,-82.03938,,False,,,,
456080274,FOR_RENT,Apartment for rent,,1699.0,750.0,2.0,,,,,,1.0,1.0,"Legacy Oaks Apartment Homes, 805 S Beneva Rd, Sarasota, FL 34232",805 S Beneva Rd #5C485D948,Sarasota,FL,34232,27.3286,-82.497116,,False,,,,
442000188,FOR_RENT,Apartment for rent,,2655.0,1678.0,2.0,,,,,,3.0,3.0,"The Domains, 13900 Tech City Cir #9-13166, Alachua, FL 32615",13900 Tech City Cir #9-13166,Alachua,FL,32615,29.776682,-82.440445,,False,,,,
456143031,FOR_RENT,Apartment for rent,,1515.0,760.0,2.0,,,,,,1.0,1.0,"Executive House Apartments, 1000 N Lockwood Ridge Rd, Sarasota, FL 34237",1000 N Lockwood Ridge Rd #F03D07AC5,Sarasota,FL,34237,27.347357,-82.50463,,False,,,,
455711334,FOR_RENT,Apartment for rent,,2539.0,1569.0,2.0,,,,,,3.0,2.0,"Eleven Oaks, 175 Eleven Oaks Cir #19, Eustis, FL 32726",175 Eleven Oaks Cir #19,Eustis,FL,32726,28.852686,-81.653175,,False,,,,
2080640222,FOR_RENT,Apartment for rent,,1899.0,1056.0,2.0,,,2545.0,,,2.0,2.0,"TGM Bay Isle, 11850 Dr Martin Luther King Jr St N #207, Saint Petersburg, FL 33716",11850 Dr Martin Luther King Jr St N #207,Saint Petersburg,FL,33716,27.880959,-82.65399,,False,,,,
2056217489,FOR_RENT,Apartment for rent,,2360.0,1064.0,2.0,,,2292.0,,,2.0,2.0,"The Lucie at Tradition, 10550 SW Innovation Way #107, Pt Saint Lucie, FL 34987",10550 SW Innovation Way #107,Pt Saint Lucie,FL,34987,27.259792,-80.43288,,False,,,,
384275741,FOR_RENT,Apartment for rent,,1850.0,,,,,,,,2.0,2.0,"Palms at Humphrey, 1500 E Humphrey St, Tampa, FL 33604",1500 E Humphrey St #2B-2BA,Tampa,FL,33604,28.030262,-82.44194,,False,,,,
456076706,FOR_RENT,Apartment for rent,,2385.0,1063.0,2.0,,,,,,2.0,2.0,"Serenity Stuart, 400 SE Central Pkwy #410-1211, Stuart, FL 34994",400 SE Central Pkwy #410-1211,Stuart,FL,34994,27.180296,-80.24608,,False,,,,
446665033,FOR_RENT,Apartment for rent,,1699.0,950.0,2.0,,,,,,2.0,1.0,"2221 NW 58th Ter, 2221 NW 58th Ter, Fort Lauderdale, FL 33313",2221 NW 58th Ter #2B-1BA-950SQFT,Fort Lauderdale,FL,33313,26.154373,-80.22854,,False,,,,
452652271,FOR_RENT,Apartment for rent,,2300.0,709.0,3.0,,,,,,1.0,1.0,"312 Northwood, 312 23rd St UNIT 433, West Palm Beach, FL 33407",312 23rd St UNIT 433,West Palm Beach,FL,33407,26.733982,-80.05225,,False,,,,
449020454,FOR_RENT,Apartment for rent,,1595.0,718.0,2.0,,,,,,1.0,1.0,"Crosswinds Apartments, 1500 Lewis Turner Blvd, Fort Walton Beach, FL 32547",1500 Lewis Turner Blvd #FC02F66B1,Fort Walton Beach,FL,32547,30.459337,-86.634,,False,,,,
2083239040,FOR_RENT,Apartment for rent,,2420.0,1515.0,2.0,,,2339.0,,,3.0,2.0,"Legacy Union Square Apartments, 201 Kenbrook Way #17-302, Davenport, FL 33896",201 Kenbrook Way #17-302,Davenport,FL,33896,28.257301,-81.60421,,False,,,,
