address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"The Bend at Pettit Creek, 111 Lipscomb Cir SE #133, Cartersville, GA 30121",30121,Cartersville,GA,2710.0,3.0,3.0,1853.0,,https://www.zillow.com/apartments/cartersville-ga/the-bend-at-pettit-creek/CgLsb6/,,,,,,https://photos.zillowstatic.com/fp/787c0d88277a6215d3d835792c40ea05-p_e.jpg,,
"The Bend at Pettit Creek, 111 Lipscomb Cir SE #301, Cartersville, GA 30121",30121,Cartersville,GA,2710.0,3.0,3.0,1853.0,,https://www.zillow.com/apartments/cartersville-ga/the-bend-at-pettit-creek/CgLsb6/,,,,,,https://photos.zillowstatic.com/fp/787c0d88277a6215d3d835792c40ea05-p_e.jpg,,
"The Bend at Pettit Creek, 111 Lipscomb Cir SE #202, Cartersville, GA 30121",30121,Cartersville,GA,2710.0,3.0,3.0,1853.0,,https://www.zillow.com/apartments/cartersville-ga/the-bend-at-pettit-creek/CgLsb6/,,,,,,https://photos.zillowstatic.com/fp/787c0d88277a6215d3d835792c40ea05-p_e.jpg,,
"The Bend at Pettit Creek, 111 Lipscomb Cir SE #436, Cartersville, GA 30121",30121,Cartersville,GA,2710.0,3.0,3.0,1853.0,,https://www.zillow.com/apartments/cartersville-ga/the-bend-at-pettit-creek/CgLsb6/,,,,,,https://photos.zillowstatic.com/fp/787c0d88277a6215d3d835792c40ea05-p_e.jpg,,
"The Bend at Pettit Creek, 111 Lipscomb Cir SE #402, Cartersville, GA 30121",30121,Cartersville,GA,2236.0,3.0,3.0,1675.0,,https://www.zillow.com/apartments/cartersville-ga/the-bend-at-pettit-creek/CgLsb6/,,,,,,https://photos.zillowstatic.com/fp/787c0d88277a6215d3d835792c40ea05-p_e.jpg,,
"North Decatur Gardens, 1400 Church St #1404-C, Decatur, GA 30030",30030,Decatur,GA,1660.0,2.0,2.0,1040.0,,https://www.zillow.com/apartments/decatur-ga/north-decatur-gardens/5XkJ4m/,33.788715,-84.28869,,,,https://photos.zillowstatic.com/fp/4a5b80717a0f439bfa1364f75f293ed4-p_e.jpg,,
"Covington Creek, 3589 Fairview Rd #5011, Covington, GA 30016",30016,Covington,GA,2454.0,4.0,2.0,1850.0,,https://www.zillow.com/apartments/covington-ga/covington-creek/CgGq74/,33.61418,-83.93339,,,,https://photos.zillowstatic.com/fp/e8c19ced1e20fea3f46cac400d73ab73-p_e.jpg,,
"Wynfield Trace, 100 Wynfield Trce #512, Peachtree Corners, GA 30092",30092,Peachtree Corners,GA,1829.0,2.0,2.0,1250.0,,https://www.zillow.com/apartments/peachtree-corners-ga/wynfield-trace/5nfjyy/,33.965263,-84.24173,,,,https://photos.zillowstatic.com/fp/9591be6809854dde92c002308b7d29ed-p_e.jpg,,
"Stonebrooke, 4901 Stonebrooke Dr #1090932, Valdosta, GA 31605",31605,Valdosta,GA,1558.0,3.0,2.0,1641.0,,https://www.zillow.com/apartments/valdosta-ga/stonebrooke/Ch84Jz/,30.901825,-83.25819,,,,https://photos.zillowstatic.com/fp/2ce9ceb91b94d8659ad35cb653e57d0a-p_e.jpg,,
"Towne Park, 568 Governor Treutlen Cir #568, Pooler, GA 31322",31322,Pooler,GA,2319.0,3.0,3.0,10.0,,https://www.zillow.com/apartments/pooler-ga/towne-park/9CQrRN/,32.106598,-81.23919,,,,https://photos.zillowstatic.com/fp/05c4ec679259be083deed4cc0ad9360d-p_e.jpg,,
"768 Ebenezer Rd, Rincon, GA 31326",31326,Rincon,GA,1813.0,3.0,3.0,1391.0,,https://www.zillow.com/homedetails/768-Ebenezer-Rd-Rincon-GA-31326/2142882975_zpid/,32.34142,-81.23742,,241200.0,,https://photos.zillowstatic.com/fp/fe923109a62319a213c8f5030d186e18-p_e.jpg,,
