zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
455590216,FOR_RENT,Apartment for rent,,1450.0,714.0,2.0,,,,,,2.0,1.0,"Hilo Val Hala Apartments, 120 Puueo St, Hilo, HI 96720",120 Puueo St #89369A45C,Hilo,HI,96720,19.729961,-155.08934,,False,,,,
347197401,FOR_RENT,Apartment for rent,,1724.0,400.0,4.0,,,1434.0,,,1.0,1.0,"La'ilani Apartments, 74-984 Manawalea St, Kailua Kona, HI 96740",74-984 Manawalea St #5A65B86FA,Kailua Kona,HI,96740,19.674253,-155.98619,,False,,,,
436017098,FOR_RENT,Apartment for rent,,1051.0,,,,,,,,2.0,1.0,"Riverside Apartments, 333 Ohai St, Hilo, HI 96720",333 Ohai St #2B-1BA,Hilo,HI,96720,19.727541,-155.0898,,False,,,,
402800460,FOR_RENT,Apartment for rent,,1430.0,908.0,2.0,,,,,,3.0,2.0,"Ouli Ekahi Cottages, 62-2600 Ouli Ekahi Pl, Kamuela, HI 96743",62-2600 Ouli Ekahi Pl #3B-1BA-908SQFT,Kamuela,HI,96743,20.022306,-155.76035,,False,,,,
448262557,FOR_RENT,Apartment for rent,,1034.0,384.0,3.0,,,,,,1.0,1.0,"Wisteria Vista, 1239 S King St, Honolulu, HI 96814",1239 S King St #42694D919,Honolulu,HI,96814,21.29916,-157.84326,,False,,,,
448262433,FOR_RENT,Apartment for rent,,1450.0,600.0,2.0,,,,,,2.0,1.0,"Birch Street Apartments, 916 Birch St, Honolulu, HI 96814",916 Birch St #330933F00,Honolulu,HI,96814,21.298756,-157.84308,,False,,,,
448262221,FOR_RENT,Apartment for rent,,615.0,420.0,1.0,,,,,,1.0,1.0,"Artesian Vista, 1828 Young St, Honolulu, HI 96826",1828 Young St #F0B800074,Honolulu,HI,96826,21.29654,-157.83153,,False,,,,
331690085,FOR_RENT,Apartment for rent,,3500.0,984.0,4.0,826100.0,840.0,3252.0,,,2.0,1.0,"29 Holopuni Rd UNIT A, Kula, HI 96790",29 Holopuni Rd UNIT A,Kula,HI,96790,20.77861,-156.3283,,False,,,,
72207256,FOR_RENT,Apartment for rent,,2900.0,729.0,4.0,488700.0,670.0,2485.0,,,2.0,1.0,"95-1041 Ainamakua Dr APT 6, Mililani, HI 96789",95-1041 Ainamakua Dr APT 6,Mililani,HI,96789,21.469635,-158.00226,,False,,,,
347342723,FOR_RENT,Apartment for rent,,3500.0,786.0,4.0,,,1620.0,,,1.0,1.0,"206 Merchant St #2B, Honolulu, HI 96813",206 Merchant St #2B,Honolulu,HI,96813,21.307413,-157.86124,,False,,,,
756655,FOR_RENT,Apartment for rent,,3550.0,646.0,5.0,584900.0,905.0,3123.0,,,2.0,1.0,"4955 Hanawai St APT 6-202, Lahaina, HI 96761",4955 Hanawai St APT 6-202,Lahaina,HI,96761,20.985971,-156.66846,,False,,,,
51615251,FOR_RENT,Apartment for rent,,3300.0,1397.0,2.0,822800.0,589.0,3832.0,,,2.0,1.0,"1736 Kaehulua Pl UNIT 4, Kapaa, HI 96746",1736 Kaehulua Pl UNIT 4,Kapaa,HI,96746,22.101057,-159.33937,,False,,,,
68133289,FOR_RENT,House for rent,,18000.0,3580.0,5.0,3286500.0,918.0,5613.0,,,4.0,4.0,"50 Lewa Lani Pl, Lahaina, HI 96761",50 Lewa Lani Pl,Lahaina,HI,96761,20.91508,-156.68167,,False,,,,
72191596,FOR_RENT,Apartment for rent,,2700.0,742.0,4.0,494300.0,666.0,2665.0,,,2.0,2.0,"92-1171 Palahia St APT G104, Kapolei, HI 96707",92-1171 Palahia St APT G104,Kapolei,HI,96707,21.361763,-158.08937,,False,,,,
2106182922,FOR_RENT,Apartment for rent,,5000.0,1470.0,3.0,777000.0,529.0,4110.0,,,2.0,2.0,"425 South St APT 701, Honolulu, HI 96813",425 South St APT 701,Honolulu,HI,96813,21.300564,-157.8611,,False,,,,
82449901,FOR_RENT,Townhouse for rent,,4200.0,1650.0,3.0,834100.0,506.0,3909.0,,,4.0,2.0,"46-359 Haiku Rd APT A7, Kaneohe, HI 96744",46-359 Haiku Rd APT A7,Kaneohe,HI,96744,21.414228,-157.81657,,False,,,,
