zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
452759528,FOR_RENT,Apartment for rent,,1700.0,1012.0,2.0,,,,,,2.0,1.0,"Homestead Village Apartments, 2025 Us Highway 2, Sandpoint, ID 83864",2025 Us Highway 2 #AB54FD183,Sandpoint,ID,83864,48.264053,-116.57304,,False,,,,
455247003,FOR_RENT,Apartment for rent,,1375.0,1065.0,1.0,,,,,,2.0,2.0,"Sage Point Village, 2746 Judy St #1301, Idaho Falls, ID 83406",2746 Judy St #1301,Idaho Falls,ID,83406,43.46382,-111.97923,,False,,,,
2082882537,FOR_RENT,Apartment for rent,,1495.0,544.0,3.0,,,1470.0,,,1.0,1.0,"North Pine Apartments, 3635 N 17th St APT C7, Coeur D Alene, ID 83815",3635 N 17th St APT C7,Coeur D Alene,ID,83815,47.71073,-116.76403,,False,,,,
2055887394,FOR_RENT,Apartment for rent,,1525.0,800.0,2.0,,,1431.0,,,1.0,1.0,"The Betty Apartments, 2550 W Targee St #205, Boise, ID 83705",2550 W Targee St #205,Boise,ID,83705,43.582798,-116.21307,,False,,,,
2079941923,FOR_RENT,Apartment for rent,,1795.0,1036.0,2.0,,,1689.0,,,2.0,2.0,"Parkwood Apartments, 4800 W Clark St #2, Boise, ID 83705",4800 W Clark St #2,Boise,ID,83705,43.59173,-116.24124,,False,,,,
450059781,FOR_RENT,Apartment for rent,,1380.0,803.0,2.0,,,,,,1.0,1.0,"Signature Pointe Apartments, 3509 N Cole Rd, Boise, ID 83704",3509 N Cole Rd #96B4134BF,Boise,ID,83704,43.636963,-116.2769,,False,,,,
454969170,FOR_RENT,Apartment for rent,,1699.0,960.0,2.0,,,,,,2.0,2.0,"Trails End Apartments, 1819 W Legends Pkwy #104, Coeur D Alene, ID 83815",1819 W Legends Pkwy #104,Coeur D Alene,ID,83815,47.703983,-116.81188,,False,,,,
2056322256,FOR_RENT,Apartment for rent,,1700.0,960.0,2.0,,,1628.0,,,2.0,2.0,"Stonesthrow, 4195 E Florence Dr, Meridian, ID 83642",4195 E Florence Dr #4B13499FF,Meridian,ID,83642,43.6166,-116.34221,,False,,,,
349665455,FOR_RENT,Apartment for rent,,1395.0,667.0,2.0,,,1423.0,,,1.0,1.0,"Shaw Mountain, 670 N Avenue H Ave, Boise, ID 83712",670 N Avenue H Ave #746ADA1F2,Boise,ID,83712,43.61425,-116.18311,,False,,,,
440341261,FOR_RENT,Townhouse for rent,,2408.0,1890.0,1.0,,,,,,4.0,3.0,"BB Living The Oaks, 4990 N Palustris Ave #6291, Meridian, ID 83646",4990 N Palustris Ave #6291,Meridian,ID,83646,43.65018,-116.47042,,False,,,,
452255117,FOR_RENT,Apartment for rent,,1600.0,960.0,2.0,,,,,,2.0,2.0,"Cimarron Townhomes, 1201 S Bird St #B, Boise, ID 83709",1201 S Bird St #B,Boise,ID,83709,43.593857,-116.290245,,False,,,,
449657244,FOR_RENT,Apartment for rent,,1399.0,940.0,1.0,,,,,,2.0,2.0,"Canyon Crossing Apartments, 2704 Owyhee St, Caldwell, ID 83605",2704 Owyhee St #3AEE8A0C1,Caldwell,ID,83605,43.666176,-116.66531,,False,,,,
2067991276,FOR_RENT,Apartment for rent,,1990.0,911.0,2.0,,,1458.0,,,1.0,1.0,"The Timbers, 1940 W Riverstone Dr #115, Coeur D Alene, ID 83814",1940 W Riverstone Dr #115,Coeur D Alene,ID,83814,47.696777,-116.81153,,False,,,,
452095302,FOR_RENT,Apartment for rent,,2849.0,300.0,9.0,,,,,,,1.0,"Boise - Airport, 2500 S Vista Ave, Boise, ID 83705",2500 S Vista Ave #828,Boise,ID,83705,43.57973,-116.2128,,False,,,,
451122542,FOR_RENT,Apartment for rent,,1585.0,850.0,2.0,,,,,,2.0,1.0,"Heartwood, 910 E 4th Ave #S305, Post Falls, ID 83854",910 E 4th Ave #S305,Post Falls,ID,83854,47.710514,-116.93542,,False,,,,
452809614,FOR_RENT,Apartment for rent,,1450.0,900.0,2.0,,,,,,2.0,1.0,"Penn Station Apartments, 1300 N Penn Station Ln #1324-101, Meridian, ID 83642",1300 N Penn Station Ln #1324-101,Meridian,ID,83642,43.61746,-116.37783,,False,,,,
2078375031,FOR_RENT,Apartment for rent,,1485.0,1105.0,1.0,,,1508.0,,,2.0,2.0,"Bel Cielo Apartments LLC, 4130 E 16th Ave #D-320, Post Falls, ID 83854",4130 E 16th Ave #D-320,Post Falls,ID,83854,47.722115,-116.892426,,False,,,,
2053832193,FOR_RENT,Apartment for rent,,1625.0,1008.0,2.0,,,1630.0,,,2.0,2.0,"Tree Valley Village Apartments, 2663 N Fastwater Ave, Boise, ID 83713",2663 N Fastwater Ave #7B3837861,Boise,ID,83713,43.62909,-116.33404,,False,,,,
349666000,FOR_RENT,Apartment for rent,,1675.0,1217.0,1.0,,,1626.0,,,3.0,2.0,"Crimson Point, 1832 N Madderlake Pl, Kuna, ID 83634",1832 N Madderlake Pl #78098468,Kuna,ID,83634,43.50492,-116.435326,,False,,,,
440761300,FOR_RENT,Apartment for rent,,508.0,,,,,,,,1.0,1.0,"Prospector Pointe, 2507 Orogrande Ln, Caldwell, ID 83605",2507 Orogrande Ln #1B-1BA,Caldwell,ID,83605,43.662937,-116.68736,,False,,,,
455324339,FOR_RENT,Apartment for rent,,1375.0,660.0,2.0,,,,,,1.0,1.0,"Ponderosa East, 1915 S Vista Ave #1945, Boise, ID 83705",1915 S Vista Ave #1945,Boise,ID,83705,43.585926,-116.21416,,False,,,,
2053194975,FOR_RENT,Apartment for rent,,1475.0,975.0,2.0,,,1502.0,,,2.0,2.0,"Initial Point Apartments, 550 W Deer Flat Rd, Kuna, ID 83634",550 W Deer Flat Rd #625803A2B,Kuna,ID,83634,43.50349,-116.41989,,False,,,,
452060807,FOR_RENT,Apartment for rent,,1375.0,946.0,1.0,,,,,,2.0,1.0,"River Street, 1110 W River St #1130, Boise, ID 83702",1110 W River St #1130,Boise,ID,83702,43.612656,-116.21196,,False,,,,
454065553,FOR_RENT,Apartment for rent,,1850.0,1184.0,2.0,,,,,,3.0,2.0,"Crossfield Apartments, 980 W Parkstone St APT E206, Meridian, ID 83646",980 W Parkstone St APT E206,Meridian,ID,83646,43.633045,-116.40481,,False,,,,
455528471,FOR_RENT,Apartment for rent,,1275.0,890.0,1.0,,,,,,2.0,1.0,"Mesa Falls Apartments, 940 S 5 W #3104, Rexburg, ID 83440",940 S 5 W #3104,Rexburg,ID,83440,43.807087,-111.80194,,False,,,,
455313438,FOR_RENT,Apartment for rent,,1375.0,620.0,2.0,,,,,,1.0,1.0,"Juniper West, 5140 W Blaser Ln #5112, Boise, ID 83705",5140 W Blaser Ln #5112,Boise,ID,83705,43.596325,-116.2451,,False,,,,
