address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"2610 N Laramie Ave #2610H-3W, Chicago, IL 60639",60639,Chicago,IL,1330,2.0,1.0,620.0,2.15,https://zillow.com/apartments/chicago-il/2610-n-laramie-ave/5XcQ7w/,41.928226,-87.75665,APARTMENT,,1498.0,https://photos.zillowstatic.com/fp/c5f19a7499b4e08e39c6101cb03927e7-p_e.jpg,,
"2110 S 5th Ave APT 306, Maywood, IL 60153",60153,Maywood,IL,1535,1.0,1.0,600.0,2.56,https://zillow.com/apartments/maywood-il/2110-s-5th-ave/5Xks4S/,41.865868,-87.838745,APARTMENT,,,https://photos.zillowstatic.com/fp/d7e9c98518a051abd8993e56fbeae371-p_e.jpg,,
"260 E 22nd St, Lombard, IL 60148",60148,Lombard,IL,1739,,1.0,300.0,5.8,https://zillow.com/apartments/lombard-il/chicago-lombard-yorktown-center/Ckpt3k/,41.84654,-88.00901,APARTMENT,,,https://photos.zillowstatic.com/fp/a64cea6231864d6f749c8bdafe23a2cb-p_e.jpg,,
"2345 Sokol, Darien, IL 60561",60561,Darien,IL,2085,,1.0,300.0,6.95,https://zillow.com/apartments/darien-il/chicago-darien/Cm4vCG/,41.718273,-88.00193,APARTMENT,,,https://photos.zillowstatic.com/fp/0fd54d89477088079c01990b24db4739-p_e.jpg,,
"2 Itasca Pl UNIT 221, Itasca, IL 60143",60143,Itasca,IL,2975,2.0,3.0,1982.0,1.5,https://zillow.com/apartments/itasca-il/2-itasca-place/5XjW5d/,41.956993,-88.032486,APARTMENT,,2976.0,https://photos.zillowstatic.com/fp/8812844dc68137afc8afe53760114a47-p_e.jpg,,
"229 Park Ave #LW-19, Clarendon Hills, IL 60514",60514,Clarendon Hills,IL,3821,,,1453.0,2.63,https://zillow.com/apartments/clarendon-hills-il/highpoint-clarendon-hills/CkCSMp/,41.795647,-87.95444,APARTMENT,,,https://photos.zillowstatic.com/fp/0fec36e9619c540882efe1bb66f7d371-p_e.jpg,,
"1075 E Lake St, Hanover Park, IL 60133",60133,Hanover Park,IL,1739,,1.0,300.0,5.8,https://zillow.com/apartments/hanover-park-il/chicago-hanover-park/CkqFMk/,41.97855,-88.13153,APARTMENT,,,https://photos.zillowstatic.com/fp/c6b11f22bd2dde75bc3df79bd707c04a-p_e.jpg,,
"2000 N Roselle Rd, Schaumburg, IL 60195",60195,Schaumburg,IL,4849,,1.0,300.0,16.16,https://zillow.com/apartments/schaumburg-il/chicago-schaumburg-i-90/Cm4tkQ/,42.06302,-88.08238,APARTMENT,,,https://photos.zillowstatic.com/fp/6ae6293bda59e7bdb686cc648d66d0e5-p_e.jpg,,
"445 Warrenville Rd, Lisle, IL 60532",60532,Lisle,IL,1975,,1.0,300.0,6.58,https://zillow.com/apartments/lisle-il/chicago-lisle/Ckpszz/,41.80716,-88.05654,APARTMENT,,,https://photos.zillowstatic.com/fp/7de8222f52c19fc1fe30691a7553d7e7-p_e.jpg,,
"7524 State Rd, Chicago, IL 60638",60638,Chicago,IL,1799,,1.0,300.0,6.0,https://zillow.com/apartments/bedford-park-il/chicago-midway/CjDnqd/,41.757378,-87.74582,APARTMENT,,,https://photos.zillowstatic.com/fp/57d87707089d75538a4309237f40d052-p_e.jpg,,
"5018 W Jackson Blvd APT A, Chicago, IL 60644",60644,Chicago,IL,1070,1.0,1.0,650.0,1.65,https://zillow.com/apartments/chicago-il/5018-w-jackson-blvd/5XdCyM/,41.87698,-87.75014,APARTMENT,,1215.0,https://photos.zillowstatic.com/fp/9cbea724a93cb22d7e41cdf7a979bf58-p_e.jpg,,
"2185 Marriott Dr, Dundee, IL 60118",60118,Dundee,IL,6000,,1.0,300.0,20.0,https://zillow.com/apartments/west-dundee-il/chicago-elgin-west-dundee/9Hsw63/,42.074673,-88.287094,APARTMENT,,,https://photos.zillowstatic.com/fp/22accc47bfec40c828b3f321c8c85e47-p_e.jpg,,
"5036 W Quincy St #1S, Chicago, IL 60644",60644,Chicago,IL,1430,3.0,1.0,800.0,1.79,https://zillow.com/apartments/chicago-il/5036-w-quincy-st/5XhGk7/,41.877884,-87.75081,APARTMENT,,1521.0,https://photos.zillowstatic.com/fp/cf95d396e0573bff2d19d2347b5353ce-p_e.jpg,,
"550 W Grand Ave, Elmhurst, IL 60126",60126,Elmhurst,IL,1739,,1.0,300.0,5.8,https://zillow.com/apartments/elmhurst-il/chicago-elmhurst-o'hare/CkqJ5F/,41.92746,-87.95834,APARTMENT,,,https://photos.zillowstatic.com/fp/b0d3751553b172756baa5ddf32020ea0-p_e.jpg,,
"2701 Technology Dr, Lombard, IL 60148",60148,Lombard,IL,1589,,1.0,300.0,5.3,https://zillow.com/apartments/lombard-il/chicago-lombard-oak-brook/Ckpt4Z/,41.838768,-87.996826,APARTMENT,,,https://photos.zillowstatic.com/fp/7413a1dcc4ce5cd66f1a4c40b0aec8f1-p_e.jpg,,
"712 Villa Ave #14-118, Villa Park, IL 60181",60181,Villa Park,IL,1445,1.0,1.0,700.0,2.06,https://zillow.com/apartments/villa-park-il/villa-garden-apartments-on-villa-avenue-in-villa-park/CkYHZL/,41.903633,-87.96924,APARTMENT,,,https://photos.zillowstatic.com/fp/584bed1f0da2d2ae5cfaab4cb404a578-p_e.jpg,,
"3150 Finley Rd, Downers Grove, IL 60515",60515,Downers Grove,IL,1810,,1.0,300.0,6.03,https://zillow.com/apartments/downers-grove-il/chicago-downers-grove/CkqHmS/,41.829918,-88.02664,APARTMENT,,,https://photos.zillowstatic.com/fp/4b9b545e2997fa3ff3eef49f4f982636-p_e.jpg,,
"1181 N Rohlwing Rd, Itasca, IL 60143",60143,Itasca,IL,1972,,1.0,300.0,6.57,https://zillow.com/apartments/itasca-il/chicago-itasca/CkqFNK/,41.986115,-88.03042,APARTMENT,,,https://photos.zillowstatic.com/fp/a1dc5dd87a8f89d9e0bdef93070ae232-p_e.jpg,,
"7770 W Madison St #6, River Forest, IL 60305",60305,River Forest,IL,3000,2.0,1.0,,,https://zillow.com/apartments/river-forest-il/7770-madison-bldg/CcN9qW/,41.87955,-87.81881,APARTMENT,,,https://photos.zillowstatic.com/fp/af8f09c11a10f0c9d349ccf6466cee9b-p_e.jpg,,
