address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"825 Summer Place Ln, Granger, IN 46530",46530,Granger,IN,1405,2.0,2,980.0,1.43,https://zillow.com/apartments/granger-in/summer-place-apartments/5XtNZx/,41.719837,-86.16927,APARTMENT,,,https://photos.zillowstatic.com/fp/9d8bdc7857d51a8c4fa4785d63e82ff3-p_e.jpg,,
"903 Bison Rdg, Nappanee, IN 46550",46550,Nappanee,IN,824,1.0,1,660.0,1.25,https://zillow.com/apartments/nappanee-in/bison-ridge-apartments/5hJ4Xj/,41.455402,-85.997215,APARTMENT,,,https://photos.zillowstatic.com/fp/c5a41ec914ec95c9e84952ec555db94e-p_e.jpg,,
"1018 S Bend Ave, South Bend, IN 46617",46617,South Bend,IN,1200,,1,464.0,2.59,https://zillow.com/apartments/south-bend-in/five-corners/CkMFcb/,41.686764,-86.23457,APARTMENT,,,https://photos.zillowstatic.com/fp/1f0f8c6e0ffa5ebe81e796f045851997-p_e.jpg,,
"5305 N Main St, Mishawaka, IN 46545",46545,Mishawaka,IN,2220,,1,300.0,7.4,https://zillow.com/apartments/mishawaka-in/south-bend-mishawaka-north/CkkXtq/,41.707954,-86.18205,APARTMENT,,,https://photos.zillowstatic.com/fp/a4cc07ae082ce265dc8d37c984b92b2c-p_e.jpg,,
"1355 E 83rd Ave, Merrillville, IN 46410",46410,Merrillville,IN,1739,,1,300.0,5.8,https://zillow.com/apartments/merrillville-in/merrillville-us-rte.-30/Cm6k6G/,41.46735,-87.32209,APARTMENT,,,https://photos.zillowstatic.com/fp/6516a37a9766809e2ea8c990f4009d2d-p_e.jpg,,
"3300 Denise Dr #3312-204, Portage, IN 46368",46368,Portage,IN,1185,1.0,1,931.0,1.27,https://zillow.com/apartments/portage-in/breckenridge-apartments/5XjKz4/,41.556583,-87.17959,APARTMENT,,,https://photos.zillowstatic.com/fp/abeaf3c08b3ef3220586a4e6e76fd17b-p_e.jpg,,
"421 Westwood Ln, Rochester, IN 46975",46975,Rochester,IN,780,,1,450.0,1.73,https://zillow.com/apartments/rochester-in/rochester-place-apartments/CjyhYk/,41.052773,-86.21414,APARTMENT,,,https://photos.zillowstatic.com/fp/d5993403a679e0054278bda066111034-p_e.jpg,,
"930 Cypress Point Dr #A-17, Crown Pt, IN 46307",46307,Crown Pt,IN,1659,2.0,1,950.0,1.75,https://zillow.com/apartments/crown-point-in/cypress-pointe/65WXvF/,41.403927,-87.35295,APARTMENT,,,https://photos.zillowstatic.com/fp/43252ad2c658c1502a2577906a5ceeb5-p_e.jpg,,
"652 Northgate Cir #618, Rochester, IN 46975",46975,Rochester,IN,595,,1,400.0,1.49,https://zillow.com/apartments/rochester-in/northgate-apartments/BMSRSB/,41.066235,-86.193756,APARTMENT,,,https://photos.zillowstatic.com/fp/5dfeb30b1656e0c9a45d3f5bee93d750-p_e.jpg,,
"200 Plymouth Ln, La Porte, IN 46350",46350,La Porte,IN,1235,2.0,2,917.0,1.35,https://zillow.com/b/200-plymouth-lane-la-porte-in-5Xt8TQ/,41.5896,-86.7383,APARTMENT,,,https://photos.zillowstatic.com/fp/760fba5fe4c50fc0a3dba7b434eff530-p_e.jpg,,
"1901 Wood St, Valparaiso, IN 46383",46383,Valparaiso,IN,1100,1.0,1,885.0,1.24,https://zillow.com/apartments/valparaiso-in/westwind-village-apartments/Cn2d66/,41.473186,-87.0374,APARTMENT,,,https://photos.zillowstatic.com/fp/4597cc3a3f1db8978fb24b804124cead-p_e.jpg,,
"3224 Ardmore Trl APT 408, South Bend, IN 46628",46628,South Bend,IN,942,2.0,1,875.0,1.08,https://zillow.com/apartments/south-bend-in/heritage-place-at-lasalle-square-apartment-homes/5XqvPs/,41.688675,-86.294395,APARTMENT,,,https://photos.zillowstatic.com/fp/cb9e95c433b620525fe551890914ea63-p_e.jpg,,
"1651 E Market St, Nappanee, IN 46550",46550,Nappanee,IN,750,2.0,1,800.0,0.94,https://zillow.com/apartments/nappanee-in/eastown-villa-apartments/5XtNJk/,41.442123,-85.983505,APARTMENT,,,https://photos.zillowstatic.com/fp/33fca38c68943a003ca3167171f49048-p_e.jpg,,
"1512 Rosemary Ln, South Bend, IN 46637",46637,South Bend,IN,885,2.0,1,910.0,0.97,https://zillow.com/apartments/south-bend-in/village-terre-apartments/5XtNTJ/,41.69584,-86.218544,APARTMENT,,,https://photos.zillowstatic.com/fp/dadac801d3455c46fd41c5b6802f0f5f-p_e.jpg,,
"1106 S 20th St, South Bend, IN 46615",46615,South Bend,IN,599,3.0,2,800.0,0.75,https://zillow.com/apartments/south-bend-in/riverwalk-commons/5gkPHp/,41.663128,-86.21735,APARTMENT,,,https://photos.zillowstatic.com/fp/916531fb00aa0238eac7fd27245d857f-p_e.jpg,,
"451 Brookshire Dr, Valparaiso, IN 46385",46385,Valparaiso,IN,1100,2.0,1,,,https://zillow.com/apartments/valparaiso-in/brookshire-apartments/5XjPSh/,41.501232,-87.067696,APARTMENT,,,https://photos.zillowstatic.com/fp/c5faf06d294c9e631b0acf1ac2eaaf84-p_e.jpg,,
"1049 S Main St #129, Crown Pt, IN 46307",46307,Crown Pt,IN,1175,1.0,1,702.0,1.67,https://zillow.com/apartments/crown-point-in/highbranch-apartments/5ZbQQY/,41.399174,-87.36459,APARTMENT,,,https://photos.zillowstatic.com/fp/5c6b9a482be0011b9623e0999954d9a9-p_e.jpg,,
"4715 N Main St, Mishawaka, IN 46545",46545,Mishawaka,IN,2393,,1,300.0,7.98,https://zillow.com/apartments/mishawaka-in/south-bend-mishawaka-south/CkkXwm/,41.702732,-86.18322,APARTMENT,,,https://photos.zillowstatic.com/fp/47b9034cb24609c6c236ac05cb1c4249-p_e.jpg,,
"3201 Mall Ct #D-7, Michigan City, IN 46360",46360,Michigan City,IN,895,2.0,1,825.0,1.08,https://zillow.com/apartments/michigan-city-in/edgewood-apartments/5XtPm4/,41.693783,-86.87774,APARTMENT,,,https://photos.zillowstatic.com/fp/4dd632a2ca722984f80ba1e72848b6ed-p_e.jpg,,
"700 N Waverly Rd, Chesterton, IN 46304",46304,Chesterton,IN,835,1.0,1,650.0,1.28,https://zillow.com/apartments/chesterton-in/orchard-apartments/5Xk4Ck/,41.6259,-87.07016,APARTMENT,,,https://photos.zillowstatic.com/fp/7dc8b374f75ce70ce42c3b8c90590cbf-p_e.jpg,,
"405 Monroe St, Valparaiso, IN 46383",46383,Valparaiso,IN,900,1.0,1,600.0,1.5,https://zillow.com/homedetails/405-Monroe-St-155CBF8F3-Valparaiso-IN-46383/352335116_zpid/,41.465645,-87.05539,APARTMENT,,979.0,https://photos.zillowstatic.com/fp/70ab93c05eaac2a4321d32146e1f562b-p_e.jpg,,
"405 S Huntington St #MA-W312, Gary, IN 46403",46403,Gary,IN,735,1.0,1,697.0,1.05,https://zillow.com/apartments/gary-in/marquette-apartments-west/5j7797/,41.60195,-87.26235,APARTMENT,,752.0,https://photos.zillowstatic.com/fp/2bcec2560125d35116b70c18ff3b7128-p_e.jpg,,
"5850 Pennsylvania St #230-8A, Merrillville, IN 46410",46410,Merrillville,IN,1030,2.0,1,888.0,1.16,https://zillow.com/apartments/merrillville-in/edgewood-group/5XjMxZ/,41.511753,-87.33267,APARTMENT,,,https://photos.zillowstatic.com/fp/aba454402875c08091dd546e04dd114b-p_e.jpg,,
"1810 E Barker Ave #1816-D, Michigan City, IN 46360",46360,Michigan City,IN,1000,1.0,1,850.0,1.18,https://zillow.com/apartments/michigan-city-in/queen's-park-apartments/CgxFG7/,41.705894,-86.872925,APARTMENT,,,https://photos.zillowstatic.com/fp/0645626b8c0785a97f1221a6f6ddd07d-p_e.jpg,,
"909 Spring St #3, Michigan City, IN 46360",46360,Michigan City,IN,900,1.0,1,826.0,1.09,https://zillow.com/apartments/michigan-city-in/mason-sherman-apartments/5ZhpXd/,41.71307,-86.89678,APARTMENT,,,https://photos.zillowstatic.com/fp/48c0785dcfb0814a43fa548251215197-p_e.jpg,,
"1301 N Michigan St #STU, South Bend, IN 46617",46617,South Bend,IN,525,,1,325.0,1.62,https://zillow.com/apartments/south-bend-in/hillcrest-apartments/5XtNQy/,41.692486,-86.25096,APARTMENT,,,https://photos.zillowstatic.com/fp/44b7543d3eb569e05111abdf67ec926f-p_e.jpg,,
"2700 Gleneagles Blvd, Valparaiso, IN 46383",46383,Valparaiso,IN,1108,2.0,2,986.0,1.12,https://zillow.com/apartments/valparaiso-in/the-masters/5XjR7Y/,41.4942,-87.03326,APARTMENT,,,https://photos.zillowstatic.com/fp/1e690a62849d51c0e393c5b47fb2c6e1-p_e.jpg,,
"6540 Nebraska Ave, Hammond, IN 46323",46323,Hammond,IN,920,1.0,1,,,https://zillow.com/apartments/hammond-in/nebraska/5jFkfX/,41.594288,-87.44117,APARTMENT,,946.0,https://photos.zillowstatic.com/fp/e0b4f81c6d1d3afa0ecb6505847f21a8-p_e.jpg,,
"1803 Davis Ave, Whiting, IN 46394",46394,Whiting,IN,920,1.0,1,,,https://zillow.com/apartments/whiting-in/davis-apartment/636Hgx/,41.68081,-87.50701,APARTMENT,,967.0,https://photos.zillowstatic.com/fp/2737dc055fedc91a1993048428c06721-p_e.jpg,,
"1841 Austin Ave #17, Schererville, IN 46375",46375,Schererville,IN,1025,1.0,1,540.0,1.9,https://zillow.com/apartments/schererville-in/camelot-ii-apartments-llc/CkLcJt/,41.488346,-87.445915,APARTMENT,,,https://photos.zillowstatic.com/fp/b5f14e8a152a0734645817fa1fbd9462-p_e.jpg,,
"3605 Orchard Dr, Hammond, IN 46323",46323,Hammond,IN,950,1.0,1,,,https://zillow.com/apartments/hammond-in/grand-orchard/5jGDdp/,41.57623,-87.44194,APARTMENT,,985.0,https://photos.zillowstatic.com/fp/ea766ca779f8cd8b307eb14bbe9f87c9-p_e.jpg,,
"3611 167th St, Hammond, IN 46323",46323,Hammond,IN,1375,2.0,1,765.0,1.8,https://zillow.com/apartments/hammond-in/williamsburg-square-apartments/CkBFrz/,41.59195,-87.44192,APARTMENT,,,https://photos.zillowstatic.com/fp/f14a038b149387137e604460b8dcc2cb-p_e.jpg,,
"6134 Mulberry Ave, Portage, IN 46368",46368,Portage,IN,800,2.0,1,620.0,1.29,https://zillow.com/homedetails/6134-Mulberry-Ave-Portage-IN-46368/81493227_zpid/,41.571922,-87.17783,SINGLE_FAMILY,128700.0,1160.0,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=41.571922302246094,-87.1778335571289&key=AIzaSyBWYJWCA8FNMQvSe_k3LKfDGJaEgdKwsco&signature=L9IpW3qhfT2jVc4vJ9ZwSALCiaA=",,
"10530 Whitney Pl, Crown Point, IN 46307",46307,Crown Point,IN,3475,4.0,3,2521.0,1.38,https://zillow.com/homedetails/10530-Whitney-Pl-Crown-Point-IN-46307/351557060_zpid/,41.467503,-87.42566,SINGLE_FAMILY,428200.0,3678.0,https://photos.zillowstatic.com/fp/432fd2b020553efd9aab29099624dc28-p_e.jpg,,
"534 Severn Ct, Kingsford Heights, IN 46346",46346,Kingsford Heights,IN,1025,2.0,1,800.0,1.28,https://zillow.com/homedetails/534-Severn-Ct-Kingsford-Heights-IN-46346/94498441_zpid/,41.479458,-86.6989,TOWNHOUSE,110200.0,1089.0,https://photos.zillowstatic.com/fp/a1deff8f6e2a5d0665928276b4660c8b-p_e.jpg,,
"209 S 2nd St #A, Elkhart, IN 46516",46516,Elkhart,IN,1000,1.0,1,,,https://zillow.com/homedetails/209-S-2nd-St-A-Elkhart-IN-46516/2085973450_zpid/,41.685436,-85.97465,APARTMENT,,862.0,https://photos.zillowstatic.com/fp/3dbaf866d0569072213bc20505fb60d1-p_e.jpg,,
"3860 W Dunes Hwy, Michigan City, IN 46360",46360,Michigan city,IN,1250,1.0,1,1500.0,0.83,https://zillow.com/homedetails/3860-W-Dunes-Hwy-Michigan-City-IN-46360/81521789_zpid/,41.68344,-86.95811,APARTMENT,,1079.0,https://photos.zillowstatic.com/fp/d9e82e7d0f2c2d664a7e74c69eec2f83-p_e.jpg,,
