zpid,Status Type,Status Text,Time On Zillow,rent,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,city,State,Zipcode,latitude,longitude,Broker Name,is zillow owned,Sold Date,Sold Price,fips_code,geo_id
443190902,FOR_RENT,Apartment for rent,,1995.0,860.0,2.0,,,,,,2.0,2.0,"Connect55+ Indianola Senior Living 55+, 610 E Scenic Valley Ave, Indianola, IA 50125",610 E Scenic Valley Ave #2B-1BA-860SQFT,Indianola,IA,50125,41.3831,-93.55288,,False,,,,
352013977,FOR_RENT,Apartment for rent,,1850.0,,,,,1527.0,,,3.0,3.0,"2925 Long Ave, Van Meter, IA 50261",2925 Long Ave,Van Meter,IA,50261,41.515156,-93.94615,,False,,,,
456153084,FOR_RENT,Apartment for rent,,1200.0,928.0,1.0,,,,,,2.0,1.0,"Pleasant St. Apartments, 1801 Pleasant St, Des Moines, IA 50314",1801 Pleasant St #9D3E19239,Des Moines,IA,50314,41.59005,-93.641594,,False,,,,
441745196,FOR_RENT,Apartment for rent,,1000.0,654.0,2.0,,,,,,1.0,1.0,"Bricktowne at Signature Village, 1420 NW 18th St, Ankeny, IA 50023",1420 NW 18th St #1B-1BA-654SQFT,Ankeny,IA,50023,41.74822,-93.6179,,False,,,,
447537658,FOR_RENT,Apartment for rent,,1200.0,1100.0,1.0,,,,,,3.0,2.0,"Campus Court Condos, 9015 University Ave, Cedar Falls, IA 50613",9015 University Ave #6B92EE93D,Cedar Falls,IA,50613,42.505634,-92.466866,,False,,,,
2075365375,FOR_RENT,Apartment for rent,,860.0,792.0,1.0,,,807.0,,,2.0,1.0,"Woodland West, 4403 Woodland Ave #4401-04, West Des Moines, IA 50266",4403 Woodland Ave #4401-04,West Des Moines,IA,50266,41.588657,-93.76379,,False,,,,
250961106,FOR_RENT,Apartment for rent,,1295.0,1160.0,1.0,,,1345.0,,,2.0,2.0,"Meadowbrook Condos Hudson, 309 Springfield Ave APT 6, Hudson, IA 50643",309 Springfield Ave APT 6,Hudson,IA,50643,42.414227,-92.4462,,False,,,,
2078922408,FOR_RENT,Apartment for rent,,1080.0,947.0,1.0,,,976.0,,,2.0,2.0,"Washington Manor, 3901 Woodland Ave #A-11, West Des Moines, IA 50266",3901 Woodland Ave #A-11,West Des Moines,IA,50266,41.58967,-93.757576,,False,,,,
455853905,FOR_RENT,Apartment for rent,,775.0,600.0,1.0,,,,,,1.0,1.0,"The Briza, 1104 8th St #209, Boone, IA 50036",1104 8th St #209,Boone,IA,50036,42.06342,-93.87619,,False,,,,
443770618,FOR_RENT,Apartment for rent,,1250.0,673.0,2.0,,,,,,1.0,1.0,"NewBo Lofts, 455 16th Ave SE #514, Cedar Rapids, IA 52404",455 16th Ave SE #514,Cedar Rapids,IA,52404,41.970737,-91.6549,,False,,,,
